ID,Title,description,streetaddress,city,state,amenityfeatures,type,unclearaddress,uncleartype,Year,notes,dateadded,lastmodified
1,Marti's ,,176 Railroad St.,Central Falls,RI,"(L),(D)",Bars/Clubs,,,1980,,4/20/2020 12:36am,7/27/2020 1:15pm
2,David's,,28 Prospect Hill off Thames St.,Newport,RI,"(YC),(D),(*)",Bars/Clubs,,,1980,,4/20/2020 12:39am,7/27/2020 1:16pm
3,Venetian Room,(Some L),3 Farewell St.,Newport,RI,(L),Bars/Clubs,,,1980,,4/20/2020 12:39am,7/27/2020 1:16pm
5,Franklin Spa Drug Store,(Lunches),229 Spring at Franklin,Newport,RI,"Cruisy Area,(M)",Cruising Areas,,,1980,,4/20/2020 12:40am,7/27/2020 1:16pm
6,Buttery ,,68 Dorrence at Weybosset ,Providence,RI,"(M),(R),(C),(AH)",Restaurant,,,1980,,4/20/2020 12:40am,7/27/2020 1:16pm
7,Clemence St. Book Store,,35 Clemence St.,Providence,RI,,Book Store,,,1980,,4/20/2020 12:41am,7/27/2020 1:16pm
8,Club Providence Baths,,257 Weybosset,Providence,RI,(*),Baths,,,1980,,4/20/2020 12:41am,7/27/2020 1:16pm
9,Deja Vu,(Closed 12 midnight),95 Eddy St.,Providence,RI,"(W),(YC),(E)",Bars/Clubs,,,1980,,4/20/2020 12:41am,7/27/2020 1:16pm
10,Fife & Drum ,(Upstairs) (Some L) (Disco),123 Weybosset,Providence,RI,"(YC),(*),(L),(D)",Bars/Clubs,,,1980,,4/20/2020 1:18am,7/27/2020 1:16pm
11,Gallery,(Hip) (Unisex) (Disco),194 Richmond,Providence,RI,"(YC),(D),(*)",Bars/Clubs,,,1980,,4/20/2020 1:19am,7/27/2020 1:16pm
12,La Boheme,('Gold Coin') (Some OC) (Cruisy) (Below Fife & Drum) ,79 Dorrence at Weybosset,Providence,RI,"(*),(OC),(E)","Bars/Clubs,Cruising Areas",,,1980,,4/20/2020 1:19am,7/27/2020 1:16pm
13,M.C.C.,,5 Junction St.,Providence,RI,M.C.C.,Church,,,1980,,4/20/2020 1:20am,7/27/2020 1:16pm
