ID,Title,description,streetaddress,city,state,amenityfeatures,type,unclearaddress,uncleartype,Year,notes,dateadded,lastmodified
54,Playboy Book Shop ,(Books & 'Peep Shows'),657 7th St.,Parkersburg,WV,,Book Store,,,1978,,4/12/2020 1:41am,7/27/2020 1:17pm
55,Playboy Theatre,,806 7th St.,Parkersburg,WV,,Theatre,,,1978,,4/12/2020 1:41am,7/27/2020 1:17pm
60,Sam's Place,,712 Bland,Bluefield,WV,(M),Bars/Clubs,,,1977,,4/14/2020 3:09am,7/27/2020 1:17pm
61,Downstaris Club,(Disco) (Some G),617 Brooks St.,Charlestown,WV,"(P),(D),(G),(S),(*)",Bars/Clubs,,,1977,,4/14/2020 3:09am,7/27/2020 1:17pm
62,Tap Room,(Some RT) (Downstairs at Quarrier Diner),1022 Quarrier,Charlestown,WV,"(M),(RT)",Bars/Clubs,,,1977,,4/14/2020 3:10am,7/27/2020 1:17pm
63,Tradewinds,(Some G),500 Carolina ,Charlestown,WV,"(M),(D),(G)",Bars/Clubs,,,1977,,4/14/2020 3:10am,7/27/2020 1:17pm
66,Elixir,(Some G) (Disco),742 W. Pike St.,Clarksburg,WV,"(M),(YC),(G),(D),(*)",Bars/Clubs,,,1977,,4/14/2020 3:11am,7/27/2020 1:17pm
67,Elk Ridge Ranch & Camp,,"Box 284-C, R.J., Harpers Ferry, W. VA 25425",Harpers Ferry,WV,"(P),(H)",Hotels,,,1977,,4/14/2020 3:12am,7/27/2020 1:17pm
68,S.J. Ranch ,,"P.O. Box 301, Harpers Ferry, W. Va 25425",Harpers Ferry,WV,"(P),(H),(W),(SM)",Hotels,,,1977,,4/14/2020 3:12am,7/27/2020 1:17pm
69,Chateau Club,(Out-of-state guests welcome-opens 4 p.m.),1121 7th Ave.,Huntington,WV,"(P),(YC),(D),(*)",Bars/Clubs,,,1977,,4/14/2020 3:14am,7/27/2020 1:17pm
70,South Seas,(Some G),4th Avenue at First St.,Huntington,WV,"(YC),(D),(G),(*),(P)",Bars/Clubs,,,1977,,4/14/2020 3:15am,7/27/2020 1:17pm
72,Chancellor Hotel Lounge,"(was going well for a while, but management now seems to be discouraging clientelle)",7th & Market St.,Parkersburg,WV,(M),"Bars/Clubs,Hotels",,,1977,,4/14/2020 3:17am,7/27/2020 1:17pm
73,Dick's 400,(7:30 a.m. - 12 midnight),400 Juliana St.,Parkersburg,WV,"(M),(C),(R),(YC),(*)",Restaurant,,,1977,,4/14/2020 3:18am,7/27/2020 1:17pm
