ID,Title,description,streetaddress,city,amenityfeatures,type,Year,unclearaddress,uncleartype,notes,dateadded,lastmodified
1,Country Kitchen,,2506 College Ave,Appleton,"(M),(R),(C),(AH)",Restaurant,1980,,,,3/20/2020 8:09pm,3/21/2020 12:08am
2,Lambda Lounge,(Some L) (Snacks),343 W. College,Appleton,"(*),(D),(PT),(L)",Bars/Clubs,1980,,,,3/20/2020 8:09pm,3/21/2020 12:08am
3,Perkins,,2505 College Ave,Appleton,"(M),(R),(C),(AH)",Restaurant,1980,,,,3/20/2020 8:09pm,3/21/2020 12:08am
6,Campus Lounge,,815 Park Ave,Beaver Dam,"(M),(H)",Hotels,1980,,,,3/20/2020 8:09pm,3/21/2020 12:08am
8,Man Hole,"(Disco) (Wed., Fri., Sat.) (Some L, YC, SM)",207 S. Washington,Green Bay,"(*),(D),(PT),(L),(YC),(SM)",Bars/Clubs,1980,,,,3/20/2020 8:09pm,3/21/2020 12:08am
12,Shack,,10936 Sheridan Rd.,Kenosha,"(YC),(D),(*)",Bars/Clubs,1980,,,,3/20/2020 8:09pm,3/21/2020 12:08am
14,Mothers,(Some L) (Disco),223 Pearl St.,La Crosse,"(*),(YC),(L),(PT),(D),(S)",Bars/Clubs,1980,,,,3/20/2020 8:09pm,3/21/2020 12:08am
15,Red Lion,(Many L),120 3rd Sr.,La Crosse,"(L),(D)",Bars/Clubs,1980,,,,3/20/2020 8:09pm,3/21/2020 12:08am
18,Barber's Closet,(Below Palms Cafe),636 W. Washington,Madison,"(M),(E)",Bars/Clubs,1980,,,,3/20/2020 8:09pm,3/21/2020 12:08am
20,Club de Wash,Washington Hotel,636 W. Washington,Madison,(M),"Bars/Clubs,Hotels",1980,,,,3/20/2020 8:09pm,3/26/2020 2:29am
21,Going My Way?,"(G.M.W) (Guys on main floor, L in basement, Game room) (M-YC-Disco D",111 W. Main,Madison,"(*),(L),(M),(YC),(D)",Bars/Clubs,1980,,,,3/20/2020 8:09pm,3/21/2020 12:08am
22,Palms Cafe,(Open until 3am),636 W. Washington,Madison,"(M),(R),(C)",Restaurant,1980,,,,3/20/2020 8:09pm,3/21/2020 12:08am
23,Pirate Ship,"(Some OC, W, SM)",116 N. Fairchild,Madison,"(OC),(W),(SM),(*)",Bars/Clubs,1980,,,,3/20/2020 8:09pm,3/21/2020 12:08am
27,Ball Game,,196 S. 2nd St.,Milwaukee,"(D),(*)",Bars/Clubs,1980,,,,3/20/2020 8:09pm,3/21/2020 12:08am
28,Baron,(Disco),625 E. St Paul,Milwaukee,"(D),(YC),(R),(M),(*)",Restaurant,1980,,,,3/20/2020 8:09pm,3/21/2020 12:08am
29,Beck's Books,(Some SM),753 N. Plankinton,Milwaukee,(SM),Book Store,1980,,checked,the sm is throwing me off,3/20/2020 8:09pm,3/25/2020 6:08pm
30,Beer Garden,(Sun. Brunch),3743 W. Vliet,Milwaukee,"(L),(D),(R)",Restaurant,1980,,,,3/20/2020 8:09pm,3/21/2020 12:08am
31,C'est La Vie,(Disco),231 S. 2nd St.,Milwaukee,"(YC),(D),(*)",Bars/Clubs,1980,,,,3/20/2020 8:09pm,3/21/2020 12:08am
