ID,Title,description,streetaddress,state,amenityfeatures,Type,city,unclearaddress,Year,uncleartype,notes,dateadded,lastmodified
1,St. Elmo's,,36 Brewery Gulch Ave.,AZ,"(M),(HIP),(YC)",Bars/Clubs,Bisbee,,1980,,,4/20/2020 12:46am,7/27/2020 1:16pm
7,Band Box,,4516 N. 19th Ave. ,AZ,"(M),(S)",Bars/Clubs,Phoenix,,1980,,,4/20/2020 12:46am,7/27/2020 1:17pm
14,Diamond Lil's ,(D.L's) ,3024 N. 24th St. ,AZ,"(*),(S)",Bars/Clubs,Phoenix,,1980,,,4/20/2020 12:46am,7/27/2020 1:17pm
17,Fullmoon,(Disco) ,3108 E. McDowell Rd.,AZ,"(L),(D)",Bars/Clubs,Phoenix,,1980,,,4/20/2020 12:46am,7/27/2020 1:17pm
19,Incognito Lounge,(Some L) ,2424 E. Thomas Rd.,AZ,"(L),(D)",Bars/Clubs,Phoenix,,1980,,,4/20/2020 12:46am,7/27/2020 1:17pm
20,Le Casablanca,,4331 N. 16th St. ,AZ,"(S),(D),(*)",Bars/Clubs,Phoenix,,1980,,,4/20/2020 12:46am,7/27/2020 1:17pm
18,His Co. Disco,(2 bars-PT-Game room) (Disco) (Enter thru parking lot in rear),3839 N. 16th St.,AZ,"(*),(PT),(YC),(D)",Bars/Clubs,Phoenix,,1980,,,4/20/2020 12:46am,7/27/2020 1:17pm
21,Mr. Fatfingers,(WE*) (Mixed bag-Some OC-slow dancing),5749 N. 7th St.,AZ,"(WE),(*),(OC)",Bars/Clubs,Phoenix,,1980,,,4/20/2020 12:47am,7/27/2020 1:17pm
27,Sportsmen Lounge,(Disco) (C-AH-WE*),4622 N. 7th St.,AZ,"(D),(PT),(C),(AH),(WE),(*)",Bars/Clubs,Phoenix,,1980,,,4/20/2020 12:47am,7/27/2020 1:17pm
26,Ramrod,(Sun. beer bust),395 N. Black Canyon Rd. ,AZ,"(SM),(W),(PT)",Bars/Clubs,Phoenix,,1980,,,4/20/2020 12:47am,7/27/2020 1:17pm
29,Talk of the Town,(Disco) ,3701 N. 16th St. ,AZ,"(L),(D),(*)",Bars/Clubs,Phoenix,,1980,,,4/20/2020 12:47am,7/27/2020 1:17pm
30,Three-O-Seven Lounge,,222 E. Roosevelt N. 3rd St.,AZ,"(OC),(PT)",Bars/Clubs,Phoenix,,1980,,,4/20/2020 12:47am,7/27/2020 1:17pm
