ID,title,description,streetaddress,city,state,amenityfeatures,type,unclear_address,uncleartype,notes,Year,lastmodified
3693,Owl & Pussycat ,"(WE*) Key West Motel,", 109 2nd Ave.,Asbury Park,NJ,"(L),(E),(WE),(*)",Bars/Clubs,,,,1986,6/7/2022 2:26pm
1218,'B' Street ,(Disco) , 236 S. 'B' St.,San Mateo,CA,"(D),(R),(YC),(PT),(*)","Restaurant,Bars/Clubs",,,,1986,2/11/2022 3:21pm
1186,Buck's,, 301 Stockton Ave.,San Jose ,CA,,Bars/Clubs,,,,1986,2/10/2022 10:05pm
5545,Oar House ,(Disco) (Rear), 4107 Colley Ave. ,Norfolk,VA,"(R),(YC),(D),(*)","Restaurant,Bars/Clubs",,,,1986,4/21/2022 11:38pm
1366,Gay & Lesbians Alliance,,(303) 491-7232,Fort Collins,CO,,Organization,,,,1986,6/7/2022 12:37pm
4989,Safari Lounge ,Staurolite Inn ,1 3/4 mi. E. ,Brookings,SD,(M),Bars/Clubs,,,"at Jct. 14, I-29 ",1986,4/13/2022 12:58pm
2948,Lulu Whites ,(Some L) (Disco) ,1 Appleton St. ,Boston,MA,"(L),(D)",Bars/Clubs,,,,1986,3/11/2022 12:00pm
3997,Wall Street Sauna ,(Baths) (11th floor0 (Best days) ,1 Maiden Lane,New York,NY,(*),Bathhouses,,,at Broadway,1986,3/24/2022 7:35pm
3906,Artists Cafe,,1 Main St.,Lake Placid,NY,"(M),(R)",Restaurant,,,,1986,3/24/2022 7:35pm
2869,Hippopotamus ,(Unisex) (Disco) ,1 W. Wager ,Baltimore,MD,"(*),(YC),(D),(PT)",Bars/Clubs,,,at Charles,1986,3/8/2022 6:26pm
158,Oak Creek Owl,,1/2 mi. S. of 89A on Ariz. 179,Sedona,AZ,"(M),(R)",Restaurant,,,,1986,1/26/2022 7:05pm
5782,Carry's Lounge,"(Some M, L) ",2 N. Main St. ,Fond Du Lac,WI,"(PT),(M),(L)",Bars/Clubs,,,,1986,4/25/2022 1:29pm
4909,Raffles ,(Disco) ,3 Farewell St. ,Newport,RI,"(D),(*)",Bars/Clubs,,,,1986,4/12/2022 6:19pm
3907,Mud Puddles,(Disco) ,3 School St.,Lake Placid,NY,"(M),(YC),(D),(*)",Bars/Clubs,,,,1986,3/24/2022 7:35pm
2845,Underground ,(Disco) (Some L) ,3 Spring St.,Portland,ME,"(*),(YC),(D),(L)",Bars/Clubs,,,,1986,3/6/2022 10:21pm
2842,Backstreet ,"(Some L, M, YC) (Disco) (Above The Underground) ",3 Spring St. ,Portland,ME,"(AH),(BYOB),(L),(M),(YC),(D)",Bars/Clubs,,,,1986,3/6/2022 10:21pm
3935,Daddy's ,(Sun. brunch) ,3rd Ave. ,New York,NY,,Bars/Clubs,,,at 20th St.,1986,3/24/2022 7:35pm
2651,Main Entrance ,(Books) ,3rd St. ,Louisville,KY,,Book Store,,,,1986,3/4/2022 2:19pm
3102,Richmond Inn ,,4 Conant St. ,Provincetown,MA,(H),Hotel,,,,1986,3/11/2022 12:00pm
3051,Ciro & Sal's ,(Italian R) ,4 Kiley Court ,Provincetown,MA,"(M),(R)",Restaurant,,,,1986,3/11/2022 12:00pm
2928,Club Boston Baths & Health Club ,,4 La Grange  ,Boston,MA,"(CBC),(*),(W)",Bathhouses,,,,1986,3/11/2022 12:00pm
200,Owl Bookstore,,4th Ave. at 24th St.,Yuma,AZ,(M),Book Store,,,,1986,1/27/2022 12:35pm
2038,Las Flores ,(Disco) ,5 13th St.,Columbus,GA,"(YC),(D),(S)",Bars/Clubs,,,,1986,2/23/2022 2:27pm
4919,M.C.C. ,,5 Junction St. ,Providence,RI,(MCC),Religious Institution,,,,1986,6/7/2022 12:44pm
3070,Grand Central Cafe,,5 Masonic Pl.,Provincetown,MA,"(M),(R)",Restaurant,,,,1986,3/11/2022 12:00pm
1520,Shooters,(Hot male dancers) (Rear of Rascals) ,5 Riggs C t.,Washington,D.C.,(*),Bars/Clubs,,,,1986,2/15/2022 6:29pm
3122,Victoria House ,,5 Standish St. ,Provincetown,MA,(H),Hotel,,,,1986,3/11/2022 12:00pm
3108,Shady Oaks,,5 Tremont ,Provincetown,MA,"(M),(H)",Hotel,,,,1986,3/11/2022 12:00pm
4749,Karla's ,,5 W. Mechanic St. ,New Hope,PA,"(R),(M)",Restaurant,,,,1986,4/12/2022 6:00pm
3067,Fiver Winslow Guest House,,5 Winslow St. ,Provincetown,MA,"(M),(H)",Hotel,,,,1986,3/11/2022 12:00pm
3129,Winthrop House ,,5 Winthrop St. ,Provincetown,MA,"(M),(H)",Hotel,,,,1986,3/11/2022 12:00pm
3060,Dexter's Inn ,,6 Conwell St. ,Provincetown,MA,"(M),(H)",Hotel,,,,1986,3/11/2022 12:00pm
3042,Capricorn Guest House ,,6 Cottage St. ,Provincetown,MA,"(M),(H)",Hotel,,,,1986,3/11/2022 12:00pm
