ID,title,description,streetaddress,city,state,amenityfeatures,type,Year,unclearaddress,unclear type,notes,dateadded,lastmodified
103,Sans Souci Club,(Disco) (Also C-AH),2320 No. Villa,,OK,"(YC),(D),(S),(R),(C),(AH),(*)",Bars/Clubs,1978,,,,,
276,Schoobee Doo,,800 S. Sheridan,Tulsa,OK,"(P),(D),(*)",Bars/Clubs,1970,,,,,
92,Sunshine Shop,,302 White St.,Norman,OK,(M),Bars/Clubs,1978,,,,,
49,Sunshine Shop,,302 White St.,Norman,OK,(M),,1979,,,,,
4,Sunshine Shop,,302 White St.,Norman,OK,(M),Bars/Clubs,1980,,,,,
308,Sweet Leona's ,,231 W. Sheridan,Oklahoma City,OK,(M),Bars/Clubs,1965,,,,,
277,Taj Mahal,,10 W. 7th,Tulsa,OK,,Bars/Clubs,1970,,,,,
211,Taj Mahal,,10 W. 7th St.,Tulsa,OK,"(P),(YC),(D),(BYOB),(*)",Bars/Clubs,1974,,,,,
235,Taj Mahal,,10 W. 7th St.,Tulsa,OK,(P),Bars/Clubs,1975,,,,,
177,Taj Mahal,,10 W. 7th St. ,Tulsa,OK,"(P),(D),(*)",Bars/Clubs,1976,,,,,
151,Taj Mahal,,10 W. 7th St.,Tulsa,OK,"(P),(YC),(D),(*)",Bars/Clubs,1977,,,,,
121,Taj Mahal,,10 W. 7th St. ,Tulsa,OK,"(P),(YC),(D),(*)",Bars/Clubs,1978,,,,,
264,Taj Mahol,,10 W. 7th St.,Tulsa,OK,"(BYOB),(*)",Bars/Clubs,1971,,,,,
251,Taj Mahol,,10 W. 7th St.,Tulsa,OK,"(BYOB),(*)",Bars/Clubs,1972,,,,,
185,Taj Mahol,,10 W. 7th St.,Tulsa,OK,"(P),(YC),(D),(BYOB),(*)",,1973,,,,,
286,Taj mahol,,10 W. 7th,Tulsa,OK,,Bars/Clubs,1969,,,,,
152,Tiffany,(Disco),915 S. Main St.,Tulsa,OK,"(P),(YC),(D),(S),(*)",Bars/Clubs,1977,,,,,
63,Torch Club,(Some G) ('Twinkies') (go go boys - looks promising),2125 N.W. 39th St.,Oklahoma City,OK,"(P),(G)",Bars/Clubs,1979,,,,,
18,Torch Club,,2125 N. W. 39th St.,Oklahoma City,OK,"(P),(L)",,1980,,,,,
164,Truck Stop,(Looks promising) (Next to Circa Club),2203 N.W. 39th St.,Oklahoma City,OK,"(C),(R),(AH)",Restaurant,1976,,,,,
236,Tulsa Book Mart,,620 S. Main,Tulsa,OK,,Book Store,1975,,,,,
178,Tulsa Book Mart,,620 S. Main,Tulsa,OK,,Book Store,1976,,,,,
298,Urn,,6915 N. Classen,Oklahoma City,OK,(P),Bars/Clubs,1966,,,,,
272,Voodoo,,2345 N.W. 12th St.,Oklahoma City,OK,"(G),(P),(D)",Bars/Clubs,1970,,,,,
258,Voodoo,,2345 N.W. 12th St.,Oklahoma City,OK,"(G),(P),(D)",Bars/Clubs,1971,,,,,
93,Walter Mitty's Bar,,573 University Blvd.,Norman,OK,"(M),(YC),(*)",Bars/Clubs,1978,,,,,
50,Walter Mitty's Bar,,573 University Blvd.,Norman,OK,"(M),(YC),(*)",,1979,,,,,
5,Walter Mitty's Bar,,573 University Blvd.,Norman,OK,"(M),(YC),(*)",Bars/Clubs,1980,,,,,
265,What's It To Ya,,2405 E. Admiral ,Tulsa,OK,(G),Bars/Clubs,1971,,,,,
252,What's It To Ya,,2405 E. Admiral ,Tulsa,OK,(G),Bars/Clubs,1972,,,,,
83,Whittier Square Books,('Flicks' & arcade),1 N. Lewis,Tulsa,OK,(M),Book Store,1979,,,,,
38,Whittier Square Books,('Flicks' & arcade),1 N. Lewis,Tulsa,OK,(M),Bars/Clubs,1980,,,,,
153,Zebra,,720 S. Main,Tulsa,OK,"(P),(OC),(W)",Bars/Clubs,1977,,,,,
84,Zebra,,720 S. Main,Tulsa,OK,"(P),(OC),(W)",Bars/Clubs,1979,,,,,
39,Zebra,,720 S. Main,Tulsa,OK,"(P),(OC),(W)",Bars/Clubs,1980,,,,,
122,Zebra ,,720 So. Main,Tulsa,OK,"(P),(OC),(W)",Bars/Clubs,1978,,,,,
186,Zebra Lounge,,720 S. Main St. ,Tulsa,OK,"(P),(BYOB)",,1973,,,,,
212,Zebra Lounge,,721 S. Main,Tulsa,OK,"(P),(BYOB)",Bars/Clubs,1974,,,,,
237,Zebra Lounge,,721 S. Main,Tulsa,OK,"(P),(YC)",Bars/Clubs,1975,,,,,
179,Zebra Lounge,,721 S. Main,Tulsa,OK,"(P),(YC),(*)",Bars/Clubs,1976,,,,,
