ID,Title,description,streetaddress,city,state,amenityfeatures,type,Year,unclearaddress,notes,dateadded,lastmodified
63,Parker's ,('Hustlers'),704 N. Howard,Baltimore,MD,"(B),(RT)",Bars/Clubs,1979,,,4/13/2020 3:37pm,5/7/2020 7:25am
64,Sappho's,(Disco),100 Albemarle,Baltimore,MD,"(G),(D)",Bars/Clubs,1979,,,4/13/2020 3:37pm,5/7/2020 7:25am
65,Senator Bar,(Some OC) (Good Sundays),612 N. Howard,Baltimore,MD,"(*),(E),(OC)",Bars/Clubs,1979,,,4/13/2020 3:37pm,5/7/2020 7:25am
66,Shot Tower Bar,(Some G),4 N. High St.,Baltimore,MD,(G),Bars/Clubs,1979,,,4/13/2020 3:37pm,5/7/2020 7:25am
67,Studio,"(Some SM, W) (Adjoins Gallery)",1735 Maryland Ave.,Baltimore,MD,"(*),(R),(SM),(W)",Restaurant,1979,,,4/13/2020 3:37pm,5/7/2020 7:25am
69,Turkish Baths,"(Some OC, B)",1425 E. Baltimore,Baltimore,MD,"(OC),(B),(*)",Baths,1979,,,4/13/2020 3:37pm,5/7/2020 7:25am
70,Tyson Place,(Can enter thru rear of Leon's),227 W. Chase St.,Baltimore,MD,"(M),(R)",Restaurant,1979,,,4/13/2020 3:37pm,5/7/2020 7:25am
71,Y.M.C.A.,,24 W. Franklin,Baltimore,MD,"(M),(H)",Hotels,1979,,,4/13/2020 3:37pm,5/7/2020 7:25am
72,Zodiac Club,(May be changing name),2001 Eastern,Baltimore,MD,,Bars/Clubs,1979,,,4/13/2020 3:37pm,5/7/2020 7:25am
82,Bull Ring Lounge,(Cl. Sun.) Colonial Hotel at Antietam,57 S. Potomac,Hagerstown,MD,"(YC),(*)","Bars/Clubs,Hotels",1979,,,4/13/2020 3:37pm,5/7/2020 7:25am
87,Towson Books,,516 York Rd.,Towson,MD,(*),Book Store,1979,,,4/13/2020 3:37pm,5/7/2020 7:25am
88,Little Campus,,63 Maryland,Annapolis,MD,(M),Bars/Clubs,1978,,,4/13/2020 3:37pm,5/7/2020 7:25am
91,Barracks,(Baths) (Health Club),1114 Cathedral,Baltimore,MD,"(P),(*)",Baths,1978,,,4/13/2020 3:37pm,5/7/2020 7:25am
93,Club East Baths,,1105 Cathedral,Baltimore,MD,"(P),(*)",Baths,1978,,,4/13/2020 3:37pm,5/7/2020 7:25am
94,Club Mitchell,(G only) (also C-AH),1103 E. Pratt,Baltimore,MD,"(P),(G),(D),(PT),(C),(AH),(*)",Bars/Clubs,1978,,,4/13/2020 3:37pm,5/7/2020 7:25am
95,Connie's Hideaway Lounge,,2308 Boston St.,Baltimore,MD,"(M),(G),(D)",Bars/Clubs,1978,,,4/13/2020 3:37pm,5/7/2020 7:25am
96,Eager St. Saloon,"(Adjoins 'Hippo""- opens 4 p.m.) at Charles",1 W. Eager,Baltimore,MD,"(YC),(D),(PT),(*)",Bars/Clubs,1978,,,4/13/2020 3:37pm,5/7/2020 7:25am
97,Fayette News Center,,205 W. Fayette,Baltimore,MD,(AYOR),Business,1978,,,4/13/2020 3:37pm,5/7/2020 7:25am
98,Frankie & Ronnie's,(Some G),2218 Boston St.,Baltimore,MD,"(M),(YC),(G),(D)",Bars/Clubs,1978,,,4/13/2020 3:37pm,5/7/2020 7:25am
99,Gallery ,& Shipmate's Disco Room,1735 Maryland,Baltimore,MD,"(R),(W),(SM),(*)",Restaurant,1978,,,4/13/2020 3:37pm,5/7/2020 7:25am
100,Hippopotamus,(Unisex)(Disco) at Charles,1 W. Eager,Baltimore,MD,"(*),(M),(HIP),(YC),(D),(PT)",Bars/Clubs,1978,,,4/13/2020 3:37pm,5/7/2020 7:25am
102,Jay Bee's Saloon,(E. Baltimore),2204 Fleet St.,Baltimore,MD,(RT),Bars/Clubs,1978,,,4/13/2020 3:37pm,5/7/2020 7:25am
103,Leon's,(Some OC),870 Park Ave.,Baltimore,MD,"(OC),(*)",Bars/Clubs,1978,,,4/13/2020 3:37pm,5/7/2020 7:25am
104,"Lights, Camera, Action",(Disco) ('Drags'),1642 Light St.,Baltimore,MD,"(D),(S),(RT)",Bars/Clubs,1978,,,4/13/2020 3:37pm,5/7/2020 7:25am
105,Mary's Club,(Disco),1101 Cathedral,Baltimore,MD,"(YC),(D),(*)",Bars/Clubs,1978,,,4/13/2020 3:37pm,5/7/2020 7:25am
106,M.C.C.,,2233 St. Paul St.,Baltimore,MD,M.C.C.,Church,1978,,,4/13/2020 3:37pm,5/7/2020 7:25am
108,Parker's,(6 a.m. to 2 a.m.),704 No. Howard,Baltimore,MD,(B),Bars/Clubs,1978,,,4/13/2020 3:37pm,5/7/2020 7:25am
109,Sappho's,(Disco- WE),100 Albemarle,Baltimore,MD,"(G),(D),(WE),(*)",Bars/Clubs,1978,,,4/13/2020 3:37pm,5/7/2020 7:25am
110,Senator Bar,(Best Sun.),612 No. Howard St.,Baltimore,MD,"(E),(OC),(*)",Bars/Clubs,1978,,,4/13/2020 3:37pm,5/7/2020 7:25am
112,Shot Tower Bar,(Some G),4 No. High St.,Baltimore,MD,(G),Bars/Clubs,1978,,,4/13/2020 3:37pm,5/7/2020 7:25am
113,Stallion Inn,"(Some YC, RT)",2318 Fleet St.,Baltimore,MD,"(PT),(D),(YC),(RT)",Bars/Clubs,1978,,,4/13/2020 3:37pm,5/7/2020 7:25am
114,Studio,(Some SM) (Adjoins Gallery),1735 Maryland Ave.,Baltimore,MD,"(R),(SM),(*)",Restaurant,1978,,,4/13/2020 3:37pm,5/7/2020 7:25am
116,Towson Books,,516 York Rd.,Baltimore,MD,,Book Store,1978,,,4/13/2020 3:37pm,5/7/2020 7:25am
117,Turkish Baths,(Some B),1425 E. Baltimore,Baltimore,MD,"(OC),(B),(*)",Baths,1978,,,4/13/2020 3:37pm,5/7/2020 7:25am
