ID,Title,description,streetaddress,city,state,amenityfeatures,type,Year,unclearaddress,uncleartype,notes,dateadded,lastmodified
62,Madame Lovejoy's Books,(and cruisy arcade*),4217 Central Ave. N.E.,Albuquerque,NM,(*),"Book Store,Cruising Areas",1977,,,,4/26/2020 10:16pm,7/27/2020 1:19pm
63,Milt's Coffee Shop,,4500 Central Ave. N.E.,Albuquerque,NM,"(M),(R),(C),(AH)",Restaurant,1977,,,,4/26/2020 10:16pm,7/27/2020 1:19pm
64,Oasis Albuquerque Baths,,244 Wyoming N.E.,Albuquerque,NM,(*),Baths,1977,,,,4/26/2020 10:16pm,7/27/2020 1:19pm
65,Pump Room Number 1,(some W) (Sunday brunch*) (Adjoins Oasis),242 Wyoming N.E.,Albuquerque,NM,"(W),(*)",Bars/Clubs,1977,,,,4/26/2020 10:16pm,7/27/2020 1:19pm
66,Wellington Lounge,(Disco),3900 Central Avenue S.E.,Albuquerque,NM,"(R),(D),(S)","Restaurant,Bars/Clubs",1977,,,,4/26/2020 10:16pm,7/27/2020 1:19pm
72,La Fonda Hotel Bar,,100 San Francisco,Santa Fe,NM,(M),"Bars/Clubs,Hotels",1977,,,,4/26/2020 10:16pm,7/27/2020 1:19pm
73,Senate,,221 Galisteo,Santa Fe,NM,"(YC),(D),(*)",Bars/Clubs,1977,,,,4/26/2020 10:16pm,7/27/2020 1:19pm
74,The Forge,Inn of the Governors,234 Don Gasper,Santa Fe,NM,"(M),(PE)","Bars/Clubs,Hotels",1977,,,,4/26/2020 10:16pm,7/27/2020 1:19pm
77,Holiday Inn Lounge,,1401 S. White Sands Bl.,Alamagordo,NM,(M),"Bars/Clubs,Hotels",1976,,,,4/26/2020 10:16pm,7/27/2020 1:19pm
78,Height's Lounge,,4021 Central Ave. N.E.,Albuquerque,NM,"(YC),(D),(S),(R),(G),(*)","Bars/Clubs,Restaurant",1976,,,,4/26/2020 10:16pm,7/27/2020 1:19pm
79,Kap's Coffee Shop,,4500 Central Ave. N.E.,Albuquerque,NM,"(M),(R),(C),(AH)",Restaurant,1976,,,,4/26/2020 11:06pm,7/27/2020 1:19pm
80,Oasis- Albuquerque Baths,,244 Wyoming N.E.,Albuquerque,NM,(*),Baths,1976,,,,4/26/2020 11:06pm,7/27/2020 1:19pm
81,Okie's Lounge,,1720 Central Ave. N.E.,Albuquerque,NM,"(M),(HIP),(RT),(YC)",Bars/Clubs,1976,,,,4/26/2020 11:06pm,7/27/2020 1:19pm
82,Pump Room No. 1,(looks promising- adjoins Oasis),242 Wyoming N.E.,Albuquerque,NM,(P),Bars/Clubs,1976,,,,4/26/2020 11:06pm,7/27/2020 1:19pm
83,Wellington Lounge,(Disco),3900 Central Ave. S.E.,Albuquerque,NM,"(R),(D),(*)",Restaurant,1976,,,,4/26/2020 11:06pm,7/27/2020 1:19pm
88,La Fonda Hotel Bar,,100 San Francisco,Santa Fe,NM,"(M),(*)","Bars/Clubs,Hotels",1976,,,,4/26/2020 11:06pm,7/27/2020 1:19pm
89,The Forge,Inn of the Governors,234 Don Gaspar,Santa Fe,NM,"(M),(PE)","Bars/Clubs,Hotels",1976,,,,4/26/2020 11:06pm,7/27/2020 1:19pm
92,Finishing School,(Some G) (use rear door behind Mildred's),4021 Central Ave. N.E.,Albuquerque,NM,"(D),(G)",Bars/Clubs,1975,,,,4/26/2020 11:06pm,7/27/2020 1:19pm
93,Height's Cocktail Lounge,,4207 Central Ave. N.E.,Albuquerque,NM,"(YC),(D),(S),(R),(*)","Bars/Clubs,Restaurant",1975,,,,4/26/2020 11:06pm,7/27/2020 1:19pm
94,Kap's Coffee Shop,,4500 Central Ave. N.E.,Albuquerque,NM,"(M),(R),(C),(AH)",Restaurant,1975,,,,4/26/2020 11:06pm,7/27/2020 1:19pm
95,Mildred's,(some G),4021 Central Ave. N.E.,Albuquerque,NM,"(D),(S),(G),(*)",Bars/Clubs,1975,,,,4/26/2020 11:06pm,7/27/2020 1:19pm
96,Okie's Lounge,,1720 Central Ave. N.E.,Albuquerque,NM,"(M),(HIP),(YC)",Bars/Clubs,1975,,,,4/26/2020 11:06pm,7/27/2020 1:19pm
101,Claude's,"(was closed, but may be reopening)",656 Canyon Rd.,Santa Fe,NM,"(M),(HIP),(*)",Bars/Clubs,1975,,,,4/26/2020 11:06pm,7/27/2020 1:19pm
102,La Fonda Hotel Bar,,100 San Francisco,Santa Fe,NM,"(M),(*)","Bars/Clubs,Hotels",1975,,,,4/26/2020 11:06pm,7/27/2020 1:19pm
103,The Forge,Inn of the Governors,234 Don Gaspar,Santa Fe,NM,"(M),(PE)",Bars/Clubs,1975,,,,4/26/2020 11:06pm,7/27/2020 1:19pm
105,Height's Cocktail Lounge,,4201 Central Ave. N.E.,Albuquerque,NM,"(D),(*)",Bars/Clubs,1974,,,,4/26/2020 11:06pm,7/27/2020 1:19pm
