ID,Title,description,streetaddress,city,amenityfeatures,type,Year,unclearaddress,uncleartype,notes,dateadded,lastmodified
15,Stone Balloon,,1 Queens Cross,"Christiansted, St. Croix","(M),(*)",Bars/Clubs,1980,,,,4/27/2020 6:18pm,4/27/2020 6:38pm
16,Persian Virgin,,14 King St.,"Frederiksted, St. Croix",(M),Bars/Clubs,1980,,,,4/27/2020 6:18pm,4/27/2020 6:39pm
30,Stone Balloon,,1 Queens Cross,"Christiansted, St. Croix","(M),(*)",Bars/Clubs,1979,,,,4/27/2020 6:18pm,4/27/2020 7:04pm
31,Persian Virgin,,14 King St.,"Frederiksted, St. Croix",(M),Bars/Clubs,1979,,,,4/27/2020 6:18pm,4/27/2020 7:04pm
45,Stone Ballon,,1 Queens Cross,"Christiansted, St. Croix","(M),(*)",Bars/Clubs,1978,,,,4/27/2020 6:18pm,4/28/2020 12:08am
46,Persian Virgin,,14 King St.,"Frederiksted, St. Croix",(M),Bars/Clubs,1978,,,,4/27/2020 6:18pm,4/28/2020 12:08am
59,Stone Balloon,,1 Queens Cross,"Christiansted, St. Croix","(M),(*)",Bars/Clubs,1977,,,,4/27/2020 6:18pm,4/28/2020 2:21pm
60,Persian Virgin,,14 King Street,"Frederiksted, St. Croix",(M),Bars/Clubs,1977,,,,4/27/2020 6:18pm,4/28/2020 2:22pm
72,Stone Balloon,,1 Queens Cross,"Christiansted, St. Croix","(M),(*)",Bars/Clubs,1976,,,,4/28/2020 2:34pm,4/28/2020 2:36pm
73,Persian Virgin,,14 King St.,"Frederiksted, St. Croix",(M),Bars/Clubs,1976,,,,4/28/2020 2:34pm,4/28/2020 2:36pm
84,Stone Balloon,,1 Queens Cross ,"Christiansted, St. Croix","(M),(*)",Bars/Clubs,1975,,,,4/28/2020 2:34pm,4/28/2020 2:41pm
85,Persian Virgin,,14 King St.,"Frederiksted, St. Croix",(M),Bars/Clubs,1975,,,,4/28/2020 2:34pm,4/28/2020 2:43pm
90,Stone Balloon,,1 Queens Cross,"Christiansted, St. Croix","(M),(*)",Bars/Clubs,1974,,,,4/28/2020 2:34pm,4/28/2020 2:45pm
91,Persian Virgin,,14 King St.,"Frederiksted, St. Croix",(M),Bars/Clubs,1974,,,,4/28/2020 2:34pm,4/28/2020 2:46pm
93,Katie's,,1 Nelike Gade,"Charlotte Amalie, St. Thomas",(*),Bars/Clubs,1973,,,,4/28/2020 2:34pm,4/28/2020 2:47pm
95,Stone Balloon,,1 Queens Cross,"Christiansted, St. Croix",(*),Bars/Clubs,1973,,,,4/28/2020 2:34pm,4/28/2020 2:48pm
96,Persian Virgin,,14 King St.,"Frederiksted, St. Croix",,Bars/Clubs,1973,,,,4/28/2020 2:34pm,4/28/2020 2:48pm
98,Katie's,,1 Nelike Gade,"Charlotte Amalie, St. Thomas",(*),Bars/Clubs,1972,,,,4/28/2020 2:34pm,4/28/2020 2:49pm
100,Stone Balloon,,1 Queens Cross,"Christiansted, St. Croix",(*),Bars/Clubs,1972,,,,4/28/2020 2:34pm,4/28/2020 2:50pm
101,Persian Virgin,,14 King St.,"Frederiksted, St. Croix",,Bars/Clubs,1972,,,,4/28/2020 2:34pm,4/28/2020 2:50pm
103,Katie's,,1 Nelike Gade,"Charlotte Amalie, St. Thomas",(*),Bars/Clubs,1971,,,,4/28/2020 2:34pm,4/28/2020 2:51pm
105,Stone Baloon,,1 Queens Cross,"Christiansted, St. Croix",(*),Bars/Clubs,1971,,,,4/28/2020 2:51pm,4/28/2020 2:52pm
106,Persian Virgin,,14 King St.,"Frederiksted, St. Croix",,Bars/Clubs,1971,,,,4/28/2020 2:51pm,4/28/2020 2:52pm
