ID,title,description,streetaddress,city,state,amenityfeatures,type,Year,unclearaddress,unclear type,notes,dateadded,lastmodified
110,3241 Club Baths,(upstairs above the Saimore),3241 Lafayette Rd.,Portsmouth,NH,(*),Baths,1973,,,,,
107,Akropolis,(above Fran's Rio),77 Daniel St.,Portsmouth,NH,"(G),(D),(P)",Bars/Clubs,1973,,,,,
98,Akropolis,(upstairs - above Big Daddy's),77 Daniel St.,Portsmouth,NH,"(P),(D),(YC),(*)",Bars/Clubs,1974,,,,,
2,Appletree Book Store,,24 Warren St. ,Concord,NH,(M),Book Store,1980,,,,,
47,Chateau Lounge,,201 Hanover St.,Manchester,NH,"(M),(OC),(R)",Restaurant,1977,,,,,
32,Chateau Lounge,,201 Hanover St.,Manchester,NH,"(M),(OC)",Restaurant,1978,,,,,
20,Chateau Lounge,,201 Hanover St.,Manchester,NH,"(M),(R),(OC)",Restaurant,1979,,,,,
111,Chateau Restaurant Lounge,,201 Hanover St.,Manchester,NH,"(M),(*)",Restaurant,1972,,,,,
103,Chateau Restaurant Lounge,,201 Hanover St.,Manchester,NH,"(M),(*)",Restaurant,1973,,,,,
93,Chateau Restaurant Lounge,,201 Hanover St.,Manchester,NH,(M),Restaurant,1974,,,,,
78,Chateau Restaurant Lounge,,201 Hanover St.,Manchester,NH,(M),Restaurant,1975,,,,,
64,Chateau Restaurant Lounge,,201 Hanover St.,Manchester,NH,"(M),(OC),(R)",Restaurant,1976,,,,,
112,Del's ,,128 Maple,Manchester,NH,(G),Bars/Clubs,1972,,,,,
104,Del's ,,128 Maple,Manchester,NH,(G),Bars/Clubs,1973,,,,,
48,Elbow Room,,201 Merrimack,Manchester,NH,"(P),(YC),(R)",Restaurant,1977,,,,,
33,Elbow Room,,201 Merrimack,Manchester,NH,"(P),(YC)",Bars/Clubs,1978,,,,,
21,Elbow Room,,201 Merrimack,Manchester,NH,"(P),(YC)",Bars/Clubs,1979,,,,,
65,Four Eighty Eight Club,(Disco) ('Queen City Club'),484 Chestnut St.,Manchester,NH,"(P),(D),(E),(S),(*)",Bars/Clubs,1976,,,,,
49,Four-Eighty-Four Club,('Queen City') (Disco),484 Chestnut St. ,Manchester,NH,"(P),(YC),(D),(E),(S)",Bars/Clubs,1977,,,,,
34,Four-Eighty-Four Club,('Queen City') (Disco),484 Chestnut St. ,Manchester,NH,"(*),(P),(YC),(D),(S)",Bars/Clubs,1978,,,,,
22,Four-Eighty-Four Club,('Queen City') (Disco),484 Chestnut St. ,Manchester,NH,"(P),(YC),(D)",Bars/Clubs,1979,,,,,
8,Four-Eighty-Four Club,('Queen City') (Some L) (Disco),484 Chestnut,Manchester,NH,"(*),(P),(L),(D)",Bars/Clubs,1980,,,,,
81,Four-Eighty-Four-Club,,484 Chestnut St.,Manchester,NH,"(P),(D),(*)",Bars/Clubs,1975,,,,,
131,Kearsarge Hotel Bar,,104 Congress,Portsmouth,NH,,"Hotels,Bars/Clubs",1968,,,,,
127,Kearsarge Hotel Bar,,104 Congress,Portsmouth,NH,,"Hotels,Bars/Clubs",1969,,,,,
123,Kearsarge Hotel Bar,,104 Congress,Portsmouth,NH,,"Bars/Clubs,Hotels",1970,,,,,
118,Kearsarge Hotel Bar,,104 Congress,Portsmouth,NH,(M),"Hotels,Bars/Clubs",1971,,,,,
115,Kearsarge Hotel Bar,,104 Congress,Portsmouth,NH,(M),"Hotels,Bars/Clubs",1972,,,,,
108,Kearsarge Hotel Bar,,104 Congress,Portsmouth,NH,(M),"Hotels,Bars/Clubs",1973,,,,,
99,Kearsarge Hotel Lounge,,104 Congress,Portsmouth,NH,(M),"Hotels,Bars/Clubs",1974,,,,,
85,Kearsarge Hotel Lounge,,104 Congress,Portsmouth,NH,(M),"Hotels,Bars/Clubs",1975,,,,,
69,Kearsarge Hotel Lounge,,104 Congress,Portsmouth,NH,"(M),(OC)",Bars/Clubs,1976,,,,,
53,Kearsarge Hotel Lounge,,104 Congress,Portsmouth,NH,"(M),(OC)","Hotels,Bars/Clubs",1977,,,,,
70,Odd Shop,(Books & 'toys'),109 Daniel St.,Portsmouth,NH,,Book Store,1976,,,,,
54,Odd Shop,"(books, toys, etc)",109 Daniel St.,Portsmouth,NH,(*),Book Store,1977,,,,,
39,Odd Shop,"(Books, etc)",136 Lafayette Rd,North Hampton,NH,(*),Book Store,1978,,,,,
116,Sagamore Club,(above Fran's 'Rio'),77 Daniel St. ,Portsmouth,NH,"(P),(D),(*)",Bars/Clubs,1972,,,,,
109,Sagamore Club,,3241 Lafayette Rd.,Portsmouth,NH,"(YC),(D),(P),(*)",Bars/Clubs,1973,,,,,
