ID,Title,description,streetaddress,city,amenityfeatures,type,unclearaddress,uncleartype,Year,notes,dateadded,lastmodified
241,El Mar Guest House,,1 Calle Clemenceau ,Condado,(H),Hotels,,,1974,,4/28/2020 12:28am,4/28/2020 12:38am
243,El Retablo,,206 Calle Luna,San Juan,"(RT),(M)",Bars/Clubs,,,1974,,4/28/2020 12:29am,4/28/2020 12:38am
246,La Gondola Italian Restaurant ,,305 Recinto Sur,San Juan,(M),Restaurant,,,1974,,4/28/2020 12:30am,4/28/2020 12:38am
247,Lion of St. Marks Baths,(opens 8 pm),152 Calle Tanca,San Juan,,Baths,,,1974,,4/28/2020 12:30am,4/28/2020 12:38am
248,Lion's Den,(nude 'flicks' & go-go boys - wild back room),205 Calle Luna,San Juan,"(D),(S),(*)",Bars/Clubs,,,1974,,4/28/2020 12:31am,4/28/2020 12:38am
249,Little Penthouse Club,,1019 Ashford Ave.,Condado,"(D),(S),(*)",Bars/Clubs,,,1974,,4/28/2020 12:31am,4/28/2020 12:38am
250,Main Street Bar,(opens 12 noon),253 Calle San Jose,San Juan,"(S),(*)",Bars/Clubs,,,1974,,4/28/2020 12:31am,4/28/2020 12:38am
253,Plaza Patio Bar & Restaurant ,(opens 12 noon),409 Calle San Francisco,San Juan,,"Bars/Clubs,Restaurant",,,1974,,4/28/2020 12:32am,4/28/2020 12:38am
254,Ray's Bar,,161 Calle San Jose,San Juan,(RT),Bars/Clubs,,,1974,,4/28/2020 12:33am,4/28/2020 12:38am
255,Rudy's on the Beach,,1 Vendig St.,Condado,(M),Bars/Clubs,,,1974,,4/28/2020 12:33am,4/28/2020 12:38am
256,Sam's Patio,(open till 1 am),102 Calle San Sebastian,San Juan,"(M),(R),(*)",Restaurant,,,1974,,4/28/2020 12:33am,4/28/2020 12:38am
257,San Francisco Inn,"(also bar, opening at 5 pm)",263 Calle San Francisco,San Juan,"(H),(*)",Hotels,,,1974,,4/28/2020 12:34am,4/28/2020 12:38am
258,Small World Bar,(opens 11 am) (adj. deli),250 Calle San Jose,San Juan,(*),Bars/Clubs,,,1974,,4/28/2020 12:34am,4/28/2020 12:38am
259,Ten Twenty Club,(opens 3 pm),1020 Ashford ,Condado,(S),Bars/Clubs,,,1974,,4/28/2020 12:34am,4/28/2020 12:38am
260,Tony's Monkey Business ,(nude 'flicks' & go-go boys),275 Calle Luna,San Juan,"(D),(S)",Bars/Clubs,,,1974,,4/28/2020 12:35am,4/28/2020 12:38am
252,Top of the Aquarium,,255 Calle San Justo,San Juan,"(YC),(D),(G)",Bars/Clubs,,,1974,,4/28/2020 12:32am,4/28/2020 12:38am
266,Pinball Gallery ,,264 Calle San Francisco,San Juan,Cruisy Area,Cruising Areas,,,1974,,4/28/2020 12:37am,4/28/2020 12:38am
269,Arturo's Furnished Cottages,"(P.O. Box 428, tel: 832-7002)",105 Limon Rd.,Mayaguez,(H),Hotels,,,1973,,4/28/2020 12:39am,4/28/2020 2:10am
271,Abbey,(newst 'in' spot),251 Calle Cruz,San Juan,"(YC),(D),(*)",Bars/Clubs,,,1973,,4/28/2020 12:40am,4/28/2020 2:11am
272,Annex,(go go boys),151 Calle Tetuan,San Juan,"(YC),(D),(*)",Bars/Clubs,,,1973,,4/28/2020 12:41am,4/28/2020 2:11am
273,Arcos Blancos Guest House,,10 Carrion Court,Condado,(H),Hotels,,,1973,,4/28/2020 12:41am,4/28/2020 2:11am
274,Caleta Guest House,,11 Calle Caleta Las Monjas,San Juan,"(M),(H)",Hotels,,,1973,,4/28/2020 12:41am,4/28/2020 2:11am
275,Casa Mario Guest House,,255 Calle San Jose,San Juan,(H),Hotels,,,1973,,4/28/2020 12:42am,4/28/2020 2:11am
276,Casa Madrid Guest House,(Rooftop bar & lounge),112 Calle San Jorge ,Condado,(H),Hotels,,,1973,,4/28/2020 12:42am,4/28/2020 2:11am
277,Chickie's Next Door,($2.00 cover),253 Calle San Jose,San Juan,"(D),(S)",Bars/Clubs,,,1973,,4/28/2020 12:43am,4/28/2020 2:11am
278,Club 551,,551 De Diego,Puerto Nuevo,,Bars/Clubs,,,1973,,4/28/2020 12:43am,4/28/2020 2:11am
279,Downtown Bar,,255 Calle San Jose,San Juan,(R),Restaurant,,,1973,,4/28/2020 2:02am,4/28/2020 2:11am
280,El Doral Guest House,,159 Del Parque,San Juan,(H),Hotels,,,1973,,4/28/2020 2:02am,4/28/2020 2:11am
281,El Mar Guest House,,1 Calle Ciemenceau,Condado,(H),Hotels,,,1973,,4/28/2020 2:02am,4/28/2020 2:11am
282,El Mirador Bar,(top of Casa Mario - open for breakfast),255 Calle San Jose,San Juan,,Bars/Clubs,,,1973,,4/28/2020 2:03am,4/28/2020 2:11am
283,Finale,,58 Calle San Jose,San Juan,"(D),(*)",Bars/Clubs,,,1973,,4/28/2020 2:03am,4/28/2020 2:11am
285,Lion of St. Mark Baths,,152 Calle Tanco,San Juan,,Baths,,,1973,,4/28/2020 2:04am,4/28/2020 2:11am
286,Lion's Den,(Nude 'flicks' & go go boys),205 Calle Luna,San Juan,"(YC),(D),(*)",Bars/Clubs,,,1973,,4/28/2020 2:04am,4/28/2020 2:11am
287,Little Penthouse Club,(Opens 12 noon),1019 Ashford Ave.,Condado,"(P),(D),(*)",Bars/Clubs,,,1973,,4/28/2020 2:04am,4/28/2020 2:11am
289,Main St. Bar,(Opens 12 noon),253 Calle San Jose,San Juan,"(S),(*)",Bars/Clubs,,,1973,,4/28/2020 2:04am,4/28/2020 2:11am
288,Napoleon Club,,112 Calle Condado ,Condado,"(P),(D),(PE)",Bars/Clubs,,,1973,,4/28/2020 2:04am,4/28/2020 2:11am
291,Ole del Duende ,,206 Calle Luna,San Juan,(RT),Bars/Clubs,,,1973,,4/28/2020 2:06am,4/28/2020 2:11am
292,Plaza Patio Bar,(Opens 12 noon),409 Calle San Francisco,San Juan,(R),Restaurant,,,1973,,4/28/2020 2:06am,4/28/2020 2:11am
294,Salvation Bar,,150 Calle Cruz,San Juan,(D),Bars/Clubs,,,1973,,4/28/2020 2:07am,4/28/2020 2:11am
295,Sam's Patio,(late evenings),102 Calle San Sebastian,San Juan,"(*),(M),(R)",Restaurant,,,1973,,4/28/2020 2:07am,4/28/2020 2:11am
296,San Francisco Inn,,263 Calle San Francisco,San Juan,"(H),(*)",Hotels,,,1973,,4/28/2020 2:07am,4/28/2020 2:11am
297,Si Como No,,263 Calle San Francisco,San Juan,"(D),(S)",Bars/Clubs,,,1973,,4/28/2020 2:08am,4/28/2020 2:11am
298,Small World ,(Opens 11 a.m.),250 Calle San Jose,San Juan,(M),Bars/Clubs,,,1973,,4/28/2020 2:08am,4/28/2020 2:11am
299,Ten Twenty Club,(Opens 3 p.m.),1020 Ashford Ave.,Condado,"(S),(*)",Bars/Clubs,,,1973,,4/28/2020 2:08am,4/28/2020 2:11am
308,Annex,,151 Tetuan,San Juan,"(YC),(D),(*)",Bars/Clubs,,,1972,,4/28/2020 2:12am,4/28/2020 2:21am
309,Big Spender,,104 Calle San Jose,San Juan,(S),Bars/Clubs,,,1972,,4/28/2020 2:12am,4/28/2020 2:21am
310,Blanche's Place,,107 Calle San Sebastian,San Juan,(M),Bars/Clubs,,,1972,,4/28/2020 2:13am,4/28/2020 2:21am
312,Downtown,,255 Calle San Jose,San Juan,,Bars/Clubs,,,1972,,4/28/2020 2:13am,4/28/2020 2:21am
313,Finale,,58 Calle San Jose,San Juan,"(D),(*)",Bars/Clubs,,,1972,,4/28/2020 2:14am,4/28/2020 2:21am
316,Lion's Head,(best after 2 am),105 Calle Luna,San Juan,"(YC),(D),(*)",Bars/Clubs,,,1972,,4/28/2020 2:14am,4/28/2020 2:21am
317,Madrid Guest House,(rooftop bar & lounge) ,112 Calle San Jorge,Condado,"(H),(*)",Hotels,,,1972,,4/28/2020 2:15am,4/28/2020 2:21am
319,Mary's Bar & Deli,,275 Calle Sol,San Juan,,Bars/Clubs,,,1972,,4/28/2020 2:15am,4/28/2020 2:21am
324,Plaza Patio & Restaurant ,,409 Calle San Francisco,San Juan,,Restaurant,,,1972,,4/28/2020 2:17am,4/28/2020 2:21am
325,St. Marks South Baths ,(above Rialto Theatre),152 Calle Tanca,San Juan,,Baths,,,1972,,4/28/2020 2:17am,4/28/2020 2:21am
328,San Francisco Inn,,263 Calle San Francisco,San Juan,"(H),(*)",Hotels,,,1972,,4/28/2020 2:18am,4/28/2020 2:21am
329,Small World ,,250 Calle San Jose,San Juan,(M),Bars/Clubs,,,1972,,4/28/2020 2:18am,4/28/2020 2:21am
330,Tea Room Bar,(go go boys),52 Calle San Jose,San Juan,(D),Bars/Clubs,,,1972,,4/28/2020 2:18am,4/28/2020 2:21am
331,Ten Twenty Club,,1020 Ashford Ave.,Condado,(*),Bars/Clubs,,,1972,,4/28/2020 2:19am,4/28/2020 2:21am
332,Unique Guest House,,151 Calle Tetuan,San Juan,(H),Hotels,,,1972,,4/28/2020 2:19am,4/28/2020 2:21am
336,Annex ,,151 Tetuan,San Juan,"(D),(*)",Bars/Clubs,,,1971,,4/28/2020 2:21am,4/28/2020 2:27am
333,Big Spender,,104 Calle San Jose,San Juan,,Bars/Clubs,,,1971,,4/28/2020 2:19am,4/28/2020 2:27am
326,Blanche's Place,,107 Calle San Sebastian,San Juan,(M),Bars/Clubs,,,1971,,4/28/2020 2:17am,4/28/2020 2:27am
338,Downtown ,,255 Calle San Jose,San Juan,,Bars/Clubs,,,1971,,4/28/2020 2:22am,4/28/2020 2:27am
339,Fantasy ,,58 Calle San Juneto,San Juan,,Bars/Clubs,,,1971,,4/28/2020 2:22am,4/28/2020 2:27am
340,Finale,,58 Calle San Jose,San Juan,"(D),(*)",Bars/Clubs,,,1971,,4/28/2020 2:22am,4/28/2020 2:27am
342,Golden Gate,(Best after 2 am),5 Calle Luna,San Juan,"(YC),(D),(*)",Bars/Clubs,,,1971,,4/28/2020 2:23am,4/28/2020 2:27am
345,Madrid Guest House,(rooftop bar & lounge),112 San Jorge ,Condado,(H),Hotels,,,1971,,4/28/2020 2:24am,4/28/2020 2:27am
349,San Francisco Inn,,263 Calle San Francisco,San Juan,(H),Hotels,,,1971,,4/28/2020 2:26am,4/28/2020 2:27am
351,St. Marks South Baths,(above Rialto Theatre),152 Calle Tanca,San Juan,,Baths,,,1971,,4/28/2020 2:26am,4/28/2020 2:27am
352,Small World ,,250 Calle San Jose,San Juan,(M),Bars/Clubs,,,1971,,4/28/2020 2:27am,4/28/2020 2:27am
353,Tea Room Bar,,52 Calle San Jose,San Juan,(D),Bars/Clubs,,,1971,,4/28/2020 2:27am,4/28/2020 2:27am
354,Unique Guest House ,,151 Calle Tetuan,San Juan,,Bars/Clubs,,,1971,,4/28/2020 2:27am,4/28/2020 2:27am
356,Annex,,151 Tetuan,San Juan,(*),Bars/Clubs,,,1970,,4/28/2020 2:50am,4/28/2020 2:54am
361,Hilltop,,150 San Sebastian,San Juan,,Bars/Clubs,,,1970,,4/28/2020 2:52am,4/28/2020 2:54am
365,Small World ,,250 Calle San Jose,San Juan,,Bars/Clubs,,,1970,,4/28/2020 2:53am,4/28/2020 2:54am
370,Annex,,151 Tetuan,San Juan,(*),Bars/Clubs,,,1969,,4/28/2020 2:56am,4/28/2020 2:59am
372,Hilltop,,150 San Sebastian,Old San Juan,"(D),(*)",Bars/Clubs,,,1969,,4/28/2020 2:56am,4/28/2020 2:59am
374,Small World ,,250 San Jose,San Juan,,Bars/Clubs,,,1969,,4/28/2020 2:58am,4/28/2020 2:59am
382,Small World ,,250 San Jose,San Juan,,Bars/Clubs,,,1968,,4/28/2020 3:02am,4/28/2020 3:02am
383,Staircase,,151 Tetuan,San Juan,,Bars/Clubs,,,1968,,4/28/2020 3:02am,4/28/2020 3:02am
