ID,title,description,streetaddress,city,state,Year,amenityfeatures,type,unclearaddress,Verified?,notes,dateadded,lastmodified
1125,Stockman's Bar,(next to Albany Hotel),1504 Capitol,Cheyenne,WY,1976,"(M),(RT)",Bars/Clubs,,,,2/14/2020 11:46am,3/28/2020 12:11pm
1126,Tippin,1/2 block W. of O'Neill,642 W. 20th ,Cheyenne,WY,1976,"(P),(M),(RT),(AH)",Bars/Clubs,,,,2/14/2020 11:46am,3/28/2020 12:11pm
1129,Silver Dollar,,86 W. Broadway,Jackson,WY,1976,"(M),(W)",Bars/Clubs,,,,2/14/2020 11:46am,3/28/2020 12:11pm
1130,Green Door,(entrance behind Al's Liquors),301 E. 16th,Cheyenne,WY,1975,(M),Bars/Clubs,,,,2/14/2020 11:46am,3/28/2020 12:11pm
1131,Mayflower,(Back bar only),112 W. 17th,Cheyenne,WY,1975,"(M),(W)",Bars/Clubs,,,,2/14/2020 11:46am,3/28/2020 12:11pm
1132,Stockman's Bar,(next to Albany Hotel),1504 Capitol,Cheyenne,WY,1975,"(M),(RT)",Bars/Clubs,,,,2/14/2020 11:46am,3/28/2020 12:11pm
1133,Silver Dollar,,86 W. Broadway,Jackson,WY,1975,(M),Bars/Clubs,,,,2/14/2020 11:46am,3/28/2020 12:11pm
1134,Green Door,(entrance behind Al's Liquors),301 E. 16th,Cheyenne,WY,1974,(M),Bars/Clubs,,,,2/14/2020 11:46am,3/28/2020 12:11pm
1135,Mayflower,(Back bar only),112 W. 17th,Cheyenne,WY,1974,"(M),(W)",Bars/Clubs,,,,2/14/2020 11:46am,3/28/2020 12:11pm
1136,Stockman's Bar,(next to Albany Hotel),1504 Capitol,Cheyenne,WY,1974,"(M),(RT)",Bars/Clubs,,,,2/14/2020 11:46am,3/28/2020 12:11pm
1137,Silver Dollar,,86 W. Broadway,Jackson,WY,1974,(M),Bars/Clubs,,,,2/14/2020 11:46am,3/28/2020 12:11pm
1138,Green Door,(entrance behind Al's Liquors),301 E. 16th,Cheyenne,WY,1973,(M),Bars/Clubs,,,,2/14/2020 11:46am,3/28/2020 12:11pm
1139,Mayflower,(Back bar only),112 W. 17th,Cheyenne,WY,1973,"(M),(W)",Bars/Clubs,,,,2/14/2020 11:46am,3/28/2020 12:11pm
1140,Stockman's Bar,(next to Albany Hotel),1504 Capitol,Cheyenne,WY,1973,"(M),(RT)",Bars/Clubs,,,,2/14/2020 11:46am,3/28/2020 12:11pm
1141,Silver Dollar,,86 W. Broadway,Jackson,WY,1973,(M),Bars/Clubs,,,,2/14/2020 11:46am,3/28/2020 12:11pm
1144,Silver Dollar,,86 W. Broadway,Jackson,WY,1972,(M),Bars/Clubs,,,,2/14/2020 11:46am,3/28/2020 12:11pm
1147,Silver Dollar,,86 W. Broadway,Jackson,WY,1971,(M),Bars/Clubs,,,,2/14/2020 11:46am,3/28/2020 12:11pm
1149,Silver Dollar,,86 W. Broadway,Jackson,WY,1970,(M),Bars/Clubs,,,,2/14/2020 11:46am,3/28/2020 12:11pm
1150,Plains Hotel Bar,,1600 Central Ave,Cheyenne,WY,1969,(M),"Bars/Clubs,Hotels",,,,2/14/2020 12:45pm,3/28/2020 12:11pm
1151,Silver Dollar,,86 W. Broadway,Jackson,WY,1969,(M),Bars/Clubs,,,,2/14/2020 12:45pm,3/28/2020 12:11pm
1152,Plains Hotel Bar,,1600 Central Ave,Cheyenne,WY,1968,(M),"Bars/Clubs,Hotels",,,,2/14/2020 12:45pm,3/28/2020 12:11pm
1153,Silver Dollar,,86 W. Broadway,Jackson,WY,1968,(M),Bars/Clubs,,,,2/14/2020 12:45pm,3/28/2020 12:11pm
1154,Plains Hotel Bar,,1600 Central Ave,Cheyenne,WY,1966,(M),"Bars/Clubs,Hotels",,,,2/14/2020 12:45pm,3/28/2020 12:11pm
1155,Silver Dollar,,86 W. Broadway,Jackson,WY,1966,(M),Bars/Clubs,,,,2/14/2020 12:45pm,3/28/2020 12:11pm
1156,Plains Hotel Bar,,1600 Central Ave,Cheyenne,WY,1965,(M),Bars/Clubs,,,,2/14/2020 12:45pm,3/28/2020 12:11pm
1157,Silver Dollar,,86 W. Broadway,Jackson,WY,1965,(SM),Bars/Clubs,,,,2/14/2020 12:45pm,3/28/2020 12:11pm
1158,,,,,,,,,,,,2/14/2020 12:49pm,
