ID,Title,description,streetaddress,city,state,amenityfeatures,type,Year,unclearaddress,uncleartype,notes,dateadded,lastmodified
2,Bear's Place,,1316 E. 3rd St.,Bloomington,IN,"(M),(HIP),(YC)",Bars/Clubs,1980,,,,2/20/2020 9:47pm,3/30/2020 11:52am
6,Omni,"(Some M, L, YC) (Disco) (Best ever in Bloomington)",214 Kirkwood,Bloomington,IN,"(M),(L),(YC),(D),(*)",Bars/Clubs,1980,,,,2/20/2020 9:47pm,3/30/2020 11:52am
12,Evansville Book Mart,,201 S. Fulton Ave,Evansville,IN,,Book Store,1980,,,,2/20/2020 10:02pm,3/30/2020 11:52am
17,Erotica House,(Book Store),930 Broadway,Ft. Wayne,IN,,Book Store,1980,,,,2/20/2020 10:02pm,3/30/2020 11:52am
18,Henry's,('Hustlers'),536 Main St.,Ft. Wayne,IN,"(M),(RT)",Bars/Clubs,1980,,,,2/20/2020 10:02pm,3/30/2020 11:52am
19,Swingers World Book Store,,224 W. Main St.,Ft. Wayne,IN,(*),Book Store,1980,,,,2/20/2020 10:02pm,3/30/2020 11:52am
20,Up the Street,('Tops' in area) (Disco) (Showbar),226 W. Main St.,Ft. Wayne,IN,"(HIP),(YC),(D),(R)",Restaurant,1980,,,,2/20/2020 10:02pm,3/30/2020 11:52am
21,Pearl St. ,From Harrison to Ewing,,Ft. Wayne,IN,Cruisy Area,Cruising Areas,1980,,,,2/20/2020 10:02pm,3/30/2020 11:52am
22,Swinney Park,(days),,Ft. Wayne,IN,Cruisy Area,Cruising Areas,1980,,,,2/20/2020 10:02pm,3/30/2020 11:52am
23,W. section of Marquette Park & Miller Beach,,,Gary,IN,Cruisy Area,Cruising Areas,1980,,,,2/20/2020 10:02pm,3/30/2020 11:52am
24,Club Fayette Baths,(Scruffy),532 Fayette St.,Hammond,IN,(AYOR),Baths,1980,,,,2/20/2020 10:02pm,3/30/2020 11:52am
25,Body Works,(Baths),303 N. Senate Ave.,Indianapolis,IN,(*),Baths,1980,,,,2/20/2020 10:13pm,3/30/2020 11:52am
26,Club Indianapolis Baths,,341 N. Capitol,Indianapolis,IN,,Baths,1980,,,,2/20/2020 10:13pm,3/30/2020 11:52am
27,Denny's ,,4901 38th St.,Indianapolis,IN,"(M),(R),(C),(AH)",Restaurant,1980,,,,2/20/2020 10:13pm,3/30/2020 11:52am
28,E. Washington Book Mart,,5444 E. Washington,Indianapolis,IN,(M),Book Store,1980,,,,2/20/2020 10:13pm,3/30/2020 11:52am
29,Famous Door,(Wed.-Sat only) (Some L),252 N. Capitol,Indianapolis,IN,"(M),(S),(L),(*)",Bars/Clubs,1980,,,,2/20/2020 10:13pm,3/30/2020 11:52am
30,Fourth World,(Many L) (Disco) (Game room) ,1808 N. Central,Indianapolis,IN,"(L),(D),(PT),(*)",Bars/Clubs,1980,,,,2/20/2020 10:13pm,3/30/2020 11:52am
31,Gravel Girtie's,(R & Bar) (Cruisy) (Open 11am-3am) ,2301 N. Meridian,Indianapolis,IN,"(R),(D),(*)","Restaurant,Bars/Clubs,Cruising Areas",1980,,,,2/20/2020 10:13pm,3/30/2020 11:52am
32,Hunt,(3 floors 'super bar'-ground flood 'Lodge') (Cruisy) & 'Chase' upstairs (Disco),107 S. Pennsylvania,Indianapolis,IN,"(W),(YC),(D),(PT),(*)","Bars/Clubs,Cruising Areas",1980,,,,2/20/2020 10:13pm,3/30/2020 11:52am
33,J. Pierpont's,,148 E. Market St. ,Indianapolis,IN,"(M),(R)",Restaurant,1980,,,,2/20/2020 10:13pm,3/30/2020 11:52am
34,M.C.C.,(May be moving),1940 N. Delaware,Indianapolis,IN,,Church,1980,,,,2/20/2020 10:13pm,3/30/2020 11:52am
35,The Club,('Darlo's) ,508 S. Alabama,Indianapolis,IN,"(RT),(L),(PT),(B)",Bars/Clubs,1980,,,,2/20/2020 10:13pm,3/30/2020 11:52am
36,The Ruins,(Cruisy) (Enter thru 'active' parking lot in rear) ,1218 N. Pennsylvania,Indianapolis,IN,"(R),(D),(*)","Restaurant,Bars/Clubs,Cruising Areas",1980,,,,2/20/2020 10:13pm,3/30/2020 11:52am
37,Varsity Lounge,(R-days) (Some OC) (Nights*),,Indianapolis,IN,"(*),(M),(R),(OC)","Restaurant,Bars/Clubs",1980,,,,2/20/2020 10:13pm,3/30/2020 11:52am
43,Knickerbocker,5th St. betw Main & Columbia (W. Lafayette),,Lafayette,IN,"(M),(YC)",Bars/Clubs,1980,,,,2/20/2020 10:30pm,3/30/2020 11:52am
44,Carriage House,,247 Kilgore,Muncie,IN,"(M),(R)",Restaurant,1980,,,,2/20/2020 10:30pm,3/30/2020 11:52am
45,Mark III,(Disco),107 E. Main St.,Muncie,IN,"(YC),(D)",Bars/Clubs,1980,,,,2/20/2020 10:30pm,3/30/2020 11:52am
47,Little Denmark Book Store,,3002 Western Ave,South Bend,IN,(*),Book Store,1980,,,,2/20/2020 10:30pm,3/30/2020 11:52am
48,Michigan St. Theatre & Book Store,('Wild back room'),1316 S. Michigan,South Bend,IN,,"Theatre,Book Store",1980,,,,2/20/2020 10:30pm,3/30/2020 11:52am
49,Sea Horse,(Many L) (No sign-opp. A & P),1902 Western Ave.,South Bend,IN,"(L),(D),(S)",Bars/Clubs,1980,,,,2/20/2020 10:30pm,3/30/2020 11:52am
50,St. Joe Water Works,(Disco) (basement cruise bar),411 E. Jefferson,South Bend,IN,"(YC),(R),(PT),(D)","Restaurant,Bars/Clubs",1980,,,,2/20/2020 10:30pm,3/30/2020 11:52am
57,Jack's Poplar Bar,"(Some B, RT)",1430 Poplar ,Terre Haute,IN,"(M),(B),(RT)",Bars/Clubs,1980,,,,2/20/2020 10:30pm,3/30/2020 11:52am
59,Utopian Club,(Some L),635 N. 10th St.,Terre Haute,IN,(L),Bars/Clubs,1980,,,,2/20/2020 10:43pm,3/30/2020 11:52am
61,Bear's Place,,1316 E. 3rd St.,Bloomington,IN,"(M),(HIP),(YC)",Bars/Clubs,1979,,,,2/27/2020 12:17am,3/30/2020 11:52am
62,Kirkwood Bar,(Some G),212 Kirkwood Ave.,Bloomington,IN,"(M),(G),(RT),(D)",Bars/Clubs,1979,,,,2/27/2020 12:17am,3/30/2020 11:52am
66,Evansville Book Mart,,201 S. Fulton Ave.,Evansville,IN,,Book Store,1979,,,,2/27/2020 12:17am,3/30/2020 11:52am
70,Brick Bar,(Sleazy) (G in back room),1814 W. Main,Ft. Wayne,IN,"(M),(G)",Bars/Clubs,1979,,,,2/27/2020 12:17am,3/30/2020 11:52am
71,Erotica House,(Book store),930 Broadway,Ft. Wayne,IN,,Book Store,1979,,,,2/27/2020 12:17am,3/30/2020 11:52am
72,Henry's,('Hustlers),536 Main St,Ft. Wayne,IN,"(M),(RT)",Bars/Clubs,1979,,,,2/27/2020 12:17am,3/30/2020 11:52am
73,Swingers World Book Store,,224 W. Main St.,Ft. Wayne,IN,,Book Store,1979,,,,2/27/2020 12:17am,3/30/2020 11:52am
74,Up the Street,('Tops' in area) (Disco),226 W. Main St.,Ft. Wayne,IN,"(HIP),(YC),(D),(R)","Restaurant,Bars/Clubs",1979,,,,2/27/2020 12:17am,3/30/2020 11:52am
78,Club Fayette Baths,,532 Fayette St.,Hammond,IN,,Baths,1979,,,,2/27/2020 12:17am,3/30/2020 11:52am
79,Adult Book Store,,2424 E. Washington,Indianapolis,IN,(M),Book Store,1979,,,,2/27/2020 12:17am,3/30/2020 11:52am
80,Betty K's Meat Rack,,1808 N. Central,Indianapolis,IN,"(M),(B),(S)",Bars/Clubs,1979,,,,2/27/2020 12:17am,3/30/2020 11:52am
81,Body Works,(Baths),303 N. Senate Ave.,Indianapolis,IN,(*),Baths,1979,,,,2/27/2020 12:17am,3/30/2020 11:52am
82,Cardinal,Bus Depot,936 Virginia Ave,Indianapolis,IN,"(M),(B),(RT)",Bars/Clubs,1979,,,,2/27/2020 12:17am,3/30/2020 11:52am
83,Club Indianapolis Baths,(Recently remodeled),341 N. Capitol,Indianapolis,IN,(*),Baths,1979,,,,2/27/2020 12:17am,3/30/2020 11:52am
84,Denny's,,4901 38th St.,Indianapolis,IN,"(M),(C),(AH),(R)",Restaurant,1979,,,,2/27/2020 12:17am,3/30/2020 11:52am
85,E. Washington Book Mart,,5444 E. Washington,Indianapolis,IN,(M),Book Store,1979,,,,2/27/2020 12:17am,3/30/2020 11:52am
86,Famous Door,(Many G) (Wed-Sat only*),252 N. Capitol,Indianapolis,IN,"(M),(S),(G),(*)",Bars/Clubs,1979,,,,2/27/2020 12:17am,3/30/2020 11:52am
87,Hunt,(3 floors 'super bar'-ground floor 'Lodge' (Cruisy) & 'Chase'  upstairs (Disco),107 S. Pennsylvania ,Indianapolis,IN,"(W),(YC),(D),(PT)","Bars/Clubs,Cruising Areas",1979,,,,2/27/2020 12:18am,3/30/2020 11:52am
88,Jackie's Lounge,(Sundays*),1545 N. Meridian,Indianapolis,IN,"(R),(E),(*)","Bars/Clubs,Restaurant",1979,,,,2/27/2020 12:18am,3/30/2020 11:52am
89,M.C.C.,,1940 N. Delaware,Indianapolis,IN,,Church,1979,,,,2/27/2020 12:18am,3/30/2020 11:52am
90,One Ten Club,,17 Jackson Place,Indianapolis,IN,"(G),(R),(*)",Restaurant,1979,,,,2/27/2020 12:18am,3/30/2020 11:52am
92,The Club,('Darlos),508 S. Alabama,Indianapolis,IN,"(RT),(G),(PT)",Bars/Clubs,1979,,,,2/27/2020 12:18am,3/30/2020 11:52am
