ID,title,description,streetaddress,city,state,amenityfeatures,type,unclearaddress,uncleartype,notes,dateadded,lastmodified,Year
77,Bold Venture,,6357 Holywood Blvd.,Los Angeles ,CA,(RT) - 'Raunchy types' - downtown type places - often hustlers,Bars/Clubs,,,,7/23/2019 12:01am,7/23/2019 12:11am,1974
482,Bolt ,(Formerly the No-Names) ('wild back room') ,1347 Folsom,San Francisco,CA,"(W) - Western or coyboy types,""(FFA) - Final Faith of America, or ask your friendly SM Serviceman"",(*) - Very popular,(PT) - Pool Table",Bars/Clubs,,,,2/2/2020 8:30pm,2/25/2020 11:47am,1977
508,Bolt ,(Crusiy),1347 Folsom St.,San Francisco,CA,"(W) - Western or coyboy types,""(FFA) - Final Faith of America, or ask your friendly SM Serviceman"",(PT) - Pool Table,Cruisy Area,(*) - Very popular","Bars/Clubs,Cruising Areas",,,,2/4/2020 11:35am,2/25/2020 11:51am,1978
1173,Bon Air Motel,,1727 N. Western Ave.,Hollywood,CA,"""(H) - Hotel, motel, or other overnight accomodations""",Hotel,,,,2/10/2020 2:21pm,2/10/2020 2:29pm,1975
61,Bon Air Motel,,1727 N. Western,Los Angeles ,CA,"""(H) - Hotel, motel, or other overnight accomodations"",(M) - Mixed Crowds",Hotels,,,,7/25/2019 7:58am,7/25/2019 7:58am,1972
79,Bon Air Motel,,1727 N. Western Ave.,Hollywood,CA,"(M) - Mixed Crowds - Some Straights,""(H) - Hotel, motel, or other overnight accomodations""",Hotels,,,,2/9/2020 9:39pm,2/25/2020 11:41am,1973
78,Bon Air Motel,,1727 N. Western Ave,Los Angeles ,CA,"(M) - Mixed Crowds,""(H) - Hotel, motel, or other overnight accomodations""",Hotels,,,,7/23/2019 12:01am,7/23/2019 12:11am,1974
91,Bon Air Motel,,1727 N. Western Ave. ,Hollywood,CA,"(M) - Mixed Crowds - Some Straights,""(H) - Hotel, motel, or other overnight accomodations""",Hotels,,,,2/7/2020 11:26pm,2/25/2020 11:45am,1976
127,Bon Air Motel,,1727 No. Western Ave. ,Hollywood,CA,"(M) - Mixed Crowds - Some Straights,""(H) - Hotel, motel, or other overnight accomodations""",Hotels,,,,1/26/2020 8:05pm,2/25/2020 11:51am,1978
138,Bon Air Motel,,1727 N. Western Ave.,Hollywood,CA,"(M) - Mixed Crowds - Some Straights,""(H) - Hotel, motel, or other overnight accomodations""",Hotels,,,,1/23/2020 11:06pm,2/25/2020 11:55am,1979
113,Bon Air Motel ,,1727 N. Western Ave.,Hollywood,CA,"(M) - Mixed Crowds - Some Straights,""(H) - Hotel, motel, or other overnight accomodations""",Hotels,,,,1/25/2020 6:14pm,2/25/2020 11:47am,1977
91,Bonanza,,5932 N. Atlantic Blvd.,Long Beach,CA,(PT) - Pool Table,Bars/Clubs,,,,1/23/2020 11:05pm,2/25/2020 11:55am,1979
483,Bones,,1840 Haight ,San Francisco,CA,"(HIP) - Heads frequent,(YC) - Young and/or collegiate types",Bars/Clubs,,,,2/2/2020 8:30pm,2/25/2020 11:47am,1977
509,Bones,(Disco),1840 Haight St.,San Francisco,CA,"(HIP) - Heads frequent,(D) - Dancing,(*) - Very popular",Bars/Clubs,,,,2/4/2020 11:35am,2/25/2020 11:51am,1978
497,Bones ,"(Disco)
",1840 Haight St.,San Francisco,CA,(D) - Dancing,Bars/Clubs,,,,1/30/2020 9:08pm,2/25/2020 11:55am,1979
186,Bonita Inn,(Looks promising) (Bonita),4252 Bonita Rd.,San Diego,CA,,Restaurant,,,,2/12/2020 11:40am,2/26/2020 11:11am,1975
1174,Book Bin,,4459 Sunset Blvd.,Hollywood,CA,,Book Store,,,,2/10/2020 2:21pm,2/10/2020 2:30pm,1975
92,Book Bin,,4459 Santa Monica Blvd.,Hollywood,CA,,Book Store,,,,2/7/2020 11:26pm,2/25/2020 11:45am,1976
1139,Book Boutique ,,1495 Glenneyre St. ,Laguna Beach ,CA,(*) - Very popular,Book Store,,,,1/25/2020 2:09am,2/25/2020 11:56am,1980
128,Book Circus,(Books- open 24 hrs.),8230 Santa Monica Blvd.,Hollywood,CA,(*) - Very popular,Book Store,,,,1/26/2020 8:05pm,2/25/2020 11:51am,1978
139,Book Circus,(Books-Open 24 hrs),8230 Santa Monica Blvd.,Hollywood,CA,(*) - Very popular,Book Store,,,,1/23/2020 11:06pm,2/25/2020 11:55am,1979
1208,Book Circus,(Books - open 24 hrs),8230 Santa Monica Blvd.,Hollywood,CA,(*) - Very popular,Book Store,,,,1/27/2020 2:47am,2/25/2020 11:56am,1980
93,Book Circus ,,8230 Santa Monica Blvd.,Hollywood,CA,,Book Store,,,,2/7/2020 11:26pm,2/25/2020 11:45am,1976
114,Book Circus ,(Books- open 24 hours),8230 Santa Monica Boulevard,Hollywood,CA,,Book Store,,,,1/25/2020 6:14pm,2/25/2020 11:47am,1977
442,Book Mark,,4077 Adams Ave.,San Diego ,CA,,"Bars/Clubs,Book Store",,checked,,2/4/2020 12:58am,2/25/2020 11:51am,1978
439,Book Mark,,4077 Adams St.,San Diego ,CA,,Book Store,,,,1/30/2020 9:07pm,2/25/2020 11:55am,1979
1543,Book Mark ,,4077 Adams St.,San Diego ,CA,,Book Store,,,,2/3/2020 4:26am,2/25/2020 11:56am,1980
1363,Books Unlimited,,3125 W. Burbank ,Burbank,CA,,Bars/Clubs,,,,2/2/2020 2:03am,2/25/2020 11:56am,1980
73,Boom Boom Room,(Game room) (Enter thru side door  or thru Tap Room) Coast Inn,1401 So. Coast Hwy,Laguna Beach ,CA,"(YC) - Young and/or collegiate types,(PT) - Pool Table,(*) - Very popular","Bars/Clubs,Hotels",,,,1/26/2020 7:02pm,2/25/2020 11:51am,1978
69,Boom Boom Room,(Game Room)(Cruisy) (Enter thru side door or thru Tap Room Coast Inn,1401 S. Coast hwy.,Laguna Beach ,CA,"(*) - Very popular,(YC) - Young and/or collegiate types,(PT) - Pool Table","Cruising Areas,Bars/Clubs",,,,1/23/2020 12:31pm,2/25/2020 11:55am,1979
63,Boom Boom Room ,"(Enter through side door) Coast Inn
",1401 S. Coast Hwy. ,Laguna Beach ,CA,"(YC) - Young and/or collegiate types,(PT) - Pool Table,(*) - Very popular",Bars/Clubs,,,,1/25/2020 2:01pm,2/25/2020 11:47am,1977
1140,Boom Boom Room ,(Game room) (Enter thru side door or thru Tap Room) (Cruisy) Coast Inn,1401 S. Coast Hwy.,Laguna Beach ,CA,"(*) - Very popular,(YC) - Young and/or collegiate types,(PT) - Pool Table","Bars/Clubs,Cruising Areas",,,,1/25/2020 2:11am,2/25/2020 11:56am,1980
375,Boomerang Club ,,630 Market St. ,San Diego ,CA,(D) - Dancing,Bars/Clubs,,,,2/12/2020 9:03pm,2/25/2020 11:45am,1976
231,Boot Camp,,1010 Bryant,San Francisco,CA,"(W) - Western or coyboy types,""(FFA) - Final Faith of America, or ask your friendly SM Serviceman"",(*) - Very popular",Bars/Clubs,,,,2/12/2020 12:14pm,2/26/2020 11:11am,1975
386,Boot Camp,,1010 Bryant,San Francisco,CA,"(WE) = Weekends,(*) - Very popular",Bars/Clubs,,,,2/16/2020 10:57pm,2/25/2020 11:41am,1973
,Boot Camp,,1010 Bryant St,San Francisco,CA,"""(SM) - Some motorcycle. Don't confuse with 'M-S,' which means mixed crowds - shows."",(W) - Western or cowboy types,(*) - Very popular",Bars/Clubs,,,,,,1974
510,Boot Camp,('wild back room'),1010 Bryant ,San Francisco,CA,"(W) - Western or coyboy types,(*) - Very popular",Bars/Clubs,,,,2/4/2020 11:35am,2/25/2020 11:51am,1978
498,Boot Camp,('wild back room'),1010 Bryant,San Francisco,CA,"(*) - Very popular,(W) - Western or coyboy types",Bars/Clubs,,,,1/30/2020 9:08pm,2/25/2020 11:55am,1979
1608,Boot Camp,(Probably closing) ,1010 Bryant ,San Francisco,CA,(OC) - Older/More Mature Crowd,Bars/Clubs,,,,2/3/2020 5:40am,2/25/2020 11:56am,1980
425,Boot Camp ,,1010 Bryant St. ,San Francisco,CA,"(W) - Western or coyboy types,""(FFA) - Final Faith of America, or ask your friendly SM Serviceman"",(*) - Very popular",Bars/Clubs,,,,2/14/2020 9:42pm,2/25/2020 11:45am,1976
484,Boot Camp ,,1010 Bryant ,San Francisco,CA,"(W) - Western or coyboy types,""(FFA) - Final Faith of America, or ask your friendly SM Serviceman"",(*) - Very popular",Bars/Clubs,,,,2/2/2020 8:30pm,2/25/2020 11:47am,1977
511,Boot Den,(Shoes),4240 18th St.,San Francisco,CA,,Business,,,,2/4/2020 11:35am,2/25/2020 11:51am,1978
1838,Boot Rack ,"(Looks promising) (Some W, SM)",415 Stockton ,San Jose,CA,(W) - Western or coyboy types,Bars/Clubs,,,,2/10/2020 10:09pm,2/25/2020 11:56am,1980
274,Boots,(Enter thru rear) (Studio City),12319 Ventura Blvd.,Studio City,CA,"(W) - Western or coyboy types,(*) - Very popular,(PT) - Pool Table",Bars/Clubs,,,,1/23/2020 11:06pm,2/25/2020 11:55am,1979
1364,Boots,(enter thru rear) ,12319 Ventura Blvd.,Studio City,CA,"(*) - Very popular,(W) - Western or coyboy types,(PT) - Pool Table",Bars/Clubs,,,,2/2/2020 2:04am,2/25/2020 11:56am,1980
262,Boulevard Baths,,11948 Ventura Blvd.,Studio City,CA,,Baths,,,,2/2/2020 3:23pm,2/25/2020 11:51am,1978
256,Boulevard Baths ,,11948 Ventura Blvd.,Studio City,CA,,Baths,,,,1/28/2020 5:30pm,2/25/2020 11:47am,1977
1252,Box Car,(Atwater),2906 Los Feliz,Los Angeles,CA,(W) - Western or coyboy types,Bars/Clubs,,,,2/23/2020 5:59pm,2/23/2020 6:48pm,1975
156,Box Car,,2906 Los Feliz,Los Angeles ,CA,,Bars/Clubs,,,,7/23/2019 5:07pm,7/23/2019 6:15pm,1974
53,Box Office,,5873 Atlantic ,Long Beach,CA,(*) - Very popular,Theatre,,checked,,2/9/2020 9:38pm,2/25/2020 11:41am,1973
45,Boy's,,1100 S. Alvardo ,Los Angeles,CA,,Bars/Clubs,,,,2/13/2020 5:31pm,2/25/2020 10:51am,1966
44,Boy's,,1100 S Alvarado,Los Angeles,CA,,Bars/Clubs,,,,7/21/2019 12:24am,7/21/2019 7:47am,1968
65,Boy's ,,1100 S Alvarado ,Los Angeles ,CA,,Bars/Clubs,,,,2/11/2020 1:18am,2/25/2020 10:52am,1969
187,Bradley's,,303 Plaza,San Diego,CA,"(M) - Mixed Crowds - Some Straights,(RT) - 'Raunchy types' - downtown type places - often hustlers",Bars/Clubs,,,,2/12/2020 11:40am,2/26/2020 11:11am,1975
104,Bradley's,,303 Plaza,San Diego,CA,,Bars/Clubs,,,,2/13/2020 5:29pm,2/28/2020 10:17am,1965
8,Bradley's,,6310 Pacific,Huntington Park,CA,"""(M) - Mixed, and/or tourists_""",Bars/Clubs,,,,2/13/2020 5:29pm,2/28/2020 10:17am,1965
124,Bradley's,,303 Plaza,San Diego,CA,"(M) - Mixed Crowds,(RT) - 'Raunchy types' - downtown type places - often hustlers",Bars/Clubs,,,,2/13/2020 5:31pm,2/25/2020 10:51am,1966
151,Bradley's,,303 Plaza,San Diego,CA,"(M) - Mixed crowd and/or tourists_,(*) - Very popular_",Bars/Clubs,,,,7/21/2019 1:39am,7/21/2019 7:47am,1968
186,Bradley's,,303 Plaza,San Diego ,CA,"(M) - Mixed Crowds_,""(RT) - 'Raunchy types' - usually downtown type establishments-can mean """"rent"""" or commerical""",Bars/Clubs,,,,7/22/2019 3:56pm,7/22/2019 4:12pm,1970
230,Bradley's,,303 Plaza,San Diego ,CA,"(M) - Mixed Crowds - Some Straights,(RT) - 'Raunchy types' - downtown type places - often hustlers",Bars/Clubs,,,,2/9/2020 6:00pm,2/25/2020 10:53am,1971
165,Bradley's,,303 Plaza,San Diego ,CA,"(M) - Mixed Crowds,(RT) - 'Raunchy types' - downtown type places - often hustlers",Bars/Clubs,,,,7/25/2019 7:58am,7/25/2019 7:58am,1972
348,Bradley's,,303 Plaza,San Diego ,CA,"(M) - Mixed Crowds - Some Straights,(RT) - 'Raunchy types' - downtown type places - often hustlers",Bars/Clubs,,,,2/16/2020 10:57pm,2/25/2020 11:41am,1973
292,Bradley's,,303 Plaza,San Diego ,CA,"(M) - Mixed Crowds,(RT) - 'Raunchy types' - downtown type places - often hustlers",Bars/Clubs,,,,7/24/2019 1:13pm,7/24/2019 1:23pm,1974
205,Bradley's ,,303 Plaza ,San Diego ,CA,"(M) - Mixed Crowds - Some Straights,(RT) - 'Raunchy types' - downtown type places - often hustlers",Bars/Clubs,,,,2/17/2020 3:40am,2/25/2020 10:52am,1969
376,Bradley's ,(Liquor) ,303 Plaza ,San Diego ,CA,"(M) - Mixed Crowds - Some Straights,(RT) - 'Raunchy types' - downtown type places - often hustlers",Bars/Clubs,,,,2/12/2020 9:03pm,2/25/2020 11:45am,1976
433,Bradley's ,(Liquor) ,303 Plaza ,San Diego ,CA,"(M) - Mixed Crowds - Some Straights,(RT) - 'Raunchy types' - downtown type places - often hustlers",Bars/Clubs,,,,2/2/2020 8:29pm,2/25/2020 11:47am,1977
232,Bradley's Corner,,900 Cole St.,San Francisco,CA,,Bars/Clubs,,,,2/12/2020 12:14pm,2/26/2020 11:11am,1975
210,Bradley's Corner,,900 Cole St,San Francisco,CA,,Bars/Clubs,,,,2/18/2020 11:27pm,2/28/2020 10:17am,1965
138,Bradley's Corner,,900 Cole St,San Francisco,CA,(*) - Very popular,Bars/Clubs,,,,2/13/2020 5:31pm,2/25/2020 10:51am,1966
218,Bradley's Corner,,900 Cole St,San Francisco,CA,,Bars/Clubs,,,,2/17/2020 4:19am,2/25/2020 10:52am,1969
243,Bradley's Corner,,900 Cole St.,San Francisco,CA,,Bars/Clubs,,,,,,1970
250,Bradley's Corner,,900 Cole St. ,San Francisco,CA,,Bars/Clubs,,,,2/9/2020 6:00pm,2/25/2020 10:53am,1971
327,Bradley's Corner,,900 Cole St.,San Francisco,CA,,Bars/Clubs,,,,,,1972
387,Bradley's Corner,,900 Cole St.,San Francisco,CA,,Bars/Clubs,,,,2/16/2020 10:57pm,2/25/2020 11:41am,1973
,Bradley's Corner,,900 Cole St.,San Francisco,CA,,Bars/Clubs,,,,,,1974
512,Bradley's Corner,(Sun. brunch),900 Cole,San Francisco,CA,(PT) - Pool Table,Bars/Clubs,,,,2/4/2020 11:35am,2/25/2020 11:51am,1978
499,Bradley's Corner,(Sun. brunch),900 Cole,San Francisco,CA,(PT) - Pool Table,Restaurant,,,,1/30/2020 9:08pm,2/25/2020 11:55am,1979
1609,Bradley's Corner,(Sun. brunch),900 Cole ,San Francisco,CA,(PT) - Pool Table,Bars/Clubs,,,,2/3/2020 5:40am,2/25/2020 11:56am,1980
,Bradley's Corner ,,900 Cole St. ,San Francisco,CA,,Bars/Clubs,,,,,,1968
426,Bradley's Corner ,,900 Cole St. ,San Francisco,CA,,Bars/Clubs,,,,2/14/2020 9:42pm,2/25/2020 11:45am,1976
485,Bradley's Corner ,(Sun. brunch) ,900 Cole St. ,San Francisco,CA,(PT) - Pool Table,Bars/Clubs,,,,2/2/2020 8:30pm,2/25/2020 11:47am,1977
1299,Branch Office,(Sherman Oaks),13452 Ventura Blvd.,Sherman Oaks,CA,,Bars/Clubs,,,,2/23/2020 6:25pm,2/23/2020 6:57pm,1975
207,Branch Office,,13542 Ventura Blvd.,Sherman Oaks,CA,,Bars/Clubs,,,,7/23/2019 6:14pm,7/23/2019 11:34pm,1974
222,Branch Office ,,13542 Ventura Blvd. ,Sherman Oaks,CA,,Bars/Clubs,,checked,,2/7/2020 11:27pm,2/25/2020 11:45am,1976
257,Branch Office ,,11342 Ventura Blvd.,Sherman Oaks,CA,,Bars/Clubs,,checked,,1/28/2020 5:30pm,2/25/2020 11:47am,1977
275,Branch Office ,('Nowheresville') (Sherman Oaks),13548 Ventura Bl.,Sherman Oaks,CA,,Bars/Clubs,,checked,,1/23/2020 11:06pm,2/25/2020 11:55am,1979
742,Branding Iron,,2222 Wilshire Blvd.,Santa Monica,CA,(M) - Mixed Crowds - Some Straights,Restaurant,,,,2/4/2020 1:18pm,2/25/2020 11:55am,1979
105,Brass Rail,,5th & Robinson,San Diego,CA,,Bars/Clubs,,,,2/13/2020 5:29pm,2/28/2020 10:17am,1965
125,Brass Rail,,5th and Robinson,San Diego,CA,,Bars/Clubs,,,,2/13/2020 5:31pm,2/25/2020 10:51am,1966
152,Brass Rail,,5th & Robinson,San Diego,CA,"""(RT) - """"Raunchy Types"""" , often commercial_"",(*) - Very popular_",Bars/Clubs,,,,7/21/2019 1:41am,7/21/2019 7:47am,1968
187,Brass Rail,,5th & Robinson,San Diego ,CA,"(YC) - Young and/or collegiate types_,(D) - Dancing_,(*) - Very popular_",Bars/Clubs,,,,7/22/2019 3:56pm,7/22/2019 4:12pm,1970
293,Brass Rail,,2802 5th at Robinson,San Diego ,CA,"(HIP) - Heads frequent,(*) - Very popular",Bars/Clubs,,,,7/24/2019 1:13pm,7/24/2019 1:23pm,1974
1544,Brass Rail,(Cruisy) (Liquor),5th & Robinson,San Diego ,CA,"(D) - Dancing,Cruisy Area,(*) - Very popular",Bars/Clubs,,,,2/3/2020 4:26am,2/25/2020 11:56am,1980
1253,Brass Spur,,674 S. Vermont,Los Angeles,CA,"""(C) - Coffee, soft drinks and sometimes snacks"",(AH) - After Hours",Bars/Clubs,,,,2/23/2020 5:59pm,2/23/2020 6:49pm,1975
500,Brasserie,"at 12th St.
",1600 Folsom,San Francisco,CA,(M) - Mixed Crowds - Some Straights,Restaurant,,,,1/30/2020 9:08pm,2/25/2020 11:55am,1979
307,Brave Bull,(Disco),709 So. 9th St.,Modesto ,CA,"(YC) - Young and/or collegiate types,(D) - Dancing,(*) - Very popular",Bars/Clubs,,,,2/3/2020 11:18pm,2/25/2020 11:51am,1978
315,Brave Bull,(Many G) (Also C-AH),413 N. 7th St.,Modesto ,CA,"""(G) - Girls, but seldom exclusively"",(D) - Dancing,(AH) - After Hours,""(C) - Coffee, soft drinks and sometimes snacks""",Bars/Clubs,,,,1/28/2020 11:01pm,2/25/2020 11:55am,1979
1408,Brave Bull,(Also C - AH) (Many L),413 N. 7th St.,Modesto ,CA,"""(L) - Ladies/Ms, but seldom exclusively unless noted"",(D) - Dancing,""(C) - Coffee, soft drinks and sometimes snacks"",(AH) - After Hours",Business,,,,2/2/2020 11:46pm,2/25/2020 11:56am,1980
22,Breakers,On Boardwalk,140 S. Laguna,Laguna Beach ,CA,(*) - Very popular_,Bars/Clubs,,,,7/21/2019 11:33pm,7/21/2019 11:37pm,1970
30,Breakers,(on the boardwalk),140 S. Laguna,Laguna Beach ,CA,(*) - Very popular,Bars/Clubs,,,,2/9/2020 5:59pm,2/25/2020 10:53am,1971
25,Breakers,(on the boardwalk),140 S. Laguna ,Laguna Beach ,CA,,Bars/Clubs,,,,7/25/2019 7:58am,7/25/2019 7:58am,1972
258,Brewery ,(Use rear entrance) ,13542 Ventura Blvd. ,Studio City,CA,(D) - Dancing,Bars/Clubs,,,,1/28/2020 5:30pm,2/25/2020 11:47am,1977
259,Brien's Tavern,,11916 Ventura Blvd. ,Studio City,CA,,Restaurant,,,,1/28/2020 5:30pm,2/25/2020 11:47am,1977
223,Brien's Tavern ,,11916 Ventura Blvd. ,Studio City,CA,,Restaurant,,,,2/7/2020 11:27pm,2/25/2020 11:45am,1976
97,Brig,,3103 Beverly Blvd.,Los Angeles ,CA,,Bars/Clubs,,,,2/9/2020 5:59pm,2/25/2020 10:53am,1971
501,Brig,"(Some W, SM, FFA) (WE*)

",1347 Folsom St.,San Francisco,CA,"(W) - Western or coyboy types,""(FFA) - Final Faith of America, or ask your friendly SM Serviceman"",(PT) - Pool Table,(WE) - Weekends,(*) - Very popular",Bars/Clubs,,,,1/30/2020 9:08pm,2/25/2020 11:55am,1979
1610,Brig,"(Some W, SM, FFA)",1347 Folsom St.,San Francisco,CA,"""(FFA) - Final Faith of America, or ask your friendly SM Serviceman"",(PT) - Pool Table,(W) - Western or coyboy types,(*) - Very popular",Bars/Clubs,,,,2/3/2020 5:41am,2/25/2020 11:56am,1980
233,Brighton Express,,580 Pacific St.,San Francisco,CA,(M) - Mixed Crowds - Some Straights,Restaurant,,,,2/12/2020 12:14pm,2/26/2020 11:11am,1975
486,Brighton Express,,580 Pacific Ave. ,San Francisco,CA,"(M) - Mixed Crowds - Some Straights,(*) - Very popular",Restaurant,,,,2/2/2020 8:30pm,2/25/2020 11:47am,1977
427,Brighton Express ,,580 Pacific St. ,San Francisco,CA,(M) - Mixed Crowds - Some Straights,Restaurant,,,,2/14/2020 9:42pm,2/25/2020 11:45am,1976
12,Brink ,,2124 Tuolumne,Fresno ,CA,,Bars/Clubs,,,,2/11/2020 12:24am,2/25/2020 10:52am,1969
149,Broadway,,130 Broadway,Santa Monica,CA,,Bars/Clubs,,,,7/22/2019 2:40pm,7/22/2019 2:51pm,1970
85,Broadway Eddie's,(Cruisy) (May be adding liquor & D),3348 E. Broadway,Long Beach,CA,"(PT) - Pool Table,(*) - Very popular",Bars/Clubs,,,,1/26/2020 7:15pm,2/25/2020 11:51am,1978
92,Broadway Eddie's,(Cruisy),3348 E. Broadway,Long Beach,CA,(PT) - Pool Table,"Cruising Areas,Bars/Clubs",,,,1/23/2020 11:05pm,2/25/2020 11:55am,1979
1162,Broadway Eddie's ,(Adding liquor) (Cruisy),3348 E. Broadway,Long Beach,CA,"Cruisy Area,(PT) - Pool Table,(*) - Very popular",Bars/Clubs,,,,1/27/2020 1:43am,2/25/2020 11:56am,1980
399,Broadway West,,130 Broadway,Santa Monica,CA,"(RT) - 'Raunchy types' - downtown type places - often hustlers,(D) - Dancing",Restaurant,,,,2/24/2020 12:25pm,2/26/2020 11:11am,1975
291,Broadway West,,130 Broadway,Santa Monica,CA,,Bars/Clubs,,,,2/14/2020 12:20am,2/25/2020 10:53am,1971
31,Broadway West,,130 Broadway,Santa Monica,CA,"(D) - Dancing,(*) - Very popular",Restaurant,,,,7/25/2019 7:58am,7/25/2019 7:58am,1972
507,Broadway West,,130 Broadway,Santa Monica,CA,"(D) - Dancing,(RT) - 'Raunchy types' - downtown type places - often hustlers",Restaurant,,,,2/17/2020 4:35pm,2/25/2020 11:41am,1973
330,Broadway West,,130 Broadway,Santa Monica,CA,"""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place."",(D) - Dancing,(RT) - 'Raunchy types' - downtown type places - often hustlers",Bars/Clubs,,,,7/24/2019 1:45pm,7/24/2019 1:57pm,1974
211,Bronze Lantern,,8051 Webb Ave.,North Hollywood ,CA,"""(G) - Girls, but seldom exclusively""",Bars/Clubs,,,,7/25/2019 7:58am,7/25/2019 7:58am,1972
142,Brook's Baths,(N. Hollywood),10737 Magnolia,Hollywood,CA,,Baths,,,,2/9/2020 5:59pm,2/25/2020 10:53am,1971
522,Broom Hilda's,,16809 Pacific Coast Hwy.,Sunset Beach,CA,(D) - Dancing,Bars/Clubs,,,,2/17/2020 4:35pm,2/25/2020 11:41am,1973
341,Broom Hilda's,,16809 Pacific Coast Hwy.,Sunset Beach,CA,(D) - Dancing,Bars/Clubs,,,,7/24/2019 1:46pm,7/24/2019 1:58pm,1974
1611,Brothel Hotel,(Also gym & sauna) (Coffee shop),1500 Sutter St.,San Francisco,CA,"(*) - Very popular,""(H) - Hotel, motel, or other overnight accomodations""",Hotels,,,,2/3/2020 5:41am,2/25/2020 11:56am,1980
502,Brother Hotel,(Also gym & sauna) (Plans R),1500 Sutter St.,San Francisco,CA,"""(H) - Hotel, motel, or other overnight accomodations"",(*) - Very popular",Hotels,,,,1/30/2020 9:08pm,2/25/2020 11:55am,1979
1612,Brown's Hostelry & Pub,,1190 Folsom St.,San Francisco,CA,"""(H) - Hotel, motel, or other overnight accomodations""",Hotels,,,,2/3/2020 5:42am,2/25/2020 11:56am,1980
272,Brunswick,,45 E. Colorado Blvd. ,Pasadena ,CA,,Bars/Clubs,,,,7/24/2019 12:52pm,7/24/2019 1:10pm,1974
128,Brunswick News,,45 E. Colorado Blvd.,Pasadena,CA,,Bars/Clubs,,,,2/10/2020 12:19pm,2/26/2020 11:11am,1975
315,Brunswick News ,,45 E. Colorado Blvd. ,Pasadena ,CA,,Bars/Clubs,,checked,,2/12/2020 9:02pm,2/25/2020 11:45am,1976
355,Brunswick News ,,45 East Colorado Boulevard ,Pasadena ,CA,,Business,,checked,,1/28/2020 5:30pm,2/25/2020 11:47am,1977
224,Buckaroo,,902 Hollywood Way ,North Hollywood ,CA,(W) - Western or coyboy types,Bars/Clubs,,,,2/7/2020 11:27pm,2/25/2020 11:45am,1976
260,Buckaroo ,"(""Franks's"") (Saturday brunch) ",902 Hollywood Way ,North Hollywood ,CA,(W) - Western or coyboy types,Bars/Clubs,,,,1/28/2020 5:30pm,2/25/2020 11:47am,1977
81,Bull,,170 W Chanel Rd,Santa Monica,CA,"""(M) - Mixed, and/or tourists_""",Bars/Clubs,,,,2/13/2020 5:29pm,2/28/2020 10:17am,1965
98,Bull,,170 W. Chanel Rd,Santa Monica,CA,(M) - Mixed Crowds,Bars/Clubs,,,,2/13/2020 5:31pm,2/25/2020 10:51am,1966
1411,Bull & Bear,(May use old name 'Gilded Cage') (Should 'click' again) (Cruisy),420 Tyler St.,Monterey,CA,"(D) - Dancing,Cruisy Area",Bars/Clubs,,,,2/2/2020 11:49pm,2/25/2020 11:56am,1980
129,Bull Dot ,(Disco),739 No. La Brea,Hollywood,CA,"(W) - Western or coyboy types,(D) - Dancing,(*) - Very popular",Bars/Clubs,,,,1/26/2020 8:06pm,2/25/2020 11:51am,1978
444,Bull Ring,,1355 5th Ave.,San Diego ,CA,"(PT) - Pool Table,""(C) - Coffee, soft drinks and sometimes snacks"",(AH) - After Hours",Bars/Clubs,,,,2/4/2020 12:58am,2/25/2020 11:51am,1978
512,Bull Ring,(Sun. brunch),1355 5th Ave.,San Diego ,CA,(*) - Very popular,Restaurant,,,,1/30/2020 11:00pm,2/25/2020 11:55am,1979
166,Bull Rings,,147 Mason St,San Francisco,CA,(S) - Shows - impersonators or record pantomime acts - often touristy,Bars/Clubs,,,,2/19/2020 1:09am,2/25/2020 10:51am,1966
140,Bullshot,(Disco),739 N. La Brea,Hollywood,CA,"(W) - Western or coyboy types,(D) - Dancing,(*) - Very popular",Bars/Clubs,,,,1/23/2020 11:06pm,2/25/2020 11:55am,1979
1254,Bunk House,,4519 Santa Monica Blvd.,Los Angeles,CA,(W) - Western or coyboy types,Bars/Clubs,,,,2/23/2020 5:59pm,2/23/2020 6:49pm,1975
116,Bunk House,,4519 Santa Monica,Los Angeles ,CA,(W) - Western or cowboy types,Bars/Clubs,,,,7/25/2019 7:58am,7/25/2019 7:58am,1972
158,Bunk House,,4519 Santa Monica Blvd.,Los Angeles ,CA,"(W) - Western or coyboy types,(*) - Very popular",Bars/Clubs,,,,2/9/2020 9:39pm,2/25/2020 11:41am,1973
157,Bunk House,,4519 Santa Monica Blvd.,Los Angeles ,CA,"(W) - Western or cowboy types,""(SM) - Some motorcycle. Don't confuse with 'M-S,' which means mixed crowds - shows."",(*) - Very popular",Bars/Clubs,,,,7/23/2019 5:07pm,7/23/2019 6:15pm,1974
205,Bunk House,(looking up with new owners) ,4519 Santa Monica Blvd.,Los Angeles ,CA,"(W) - Western or coyboy types,(PT) - Pool Table",Bars/Clubs,,,,1/27/2020 4:00pm,2/25/2020 11:47am,1977
218,Bunk House,,4519 Santa Monica Blvd.,Los Angeles ,CA,"(W) - Western or coyboy types,(PT) - Pool Table",Bars/Clubs,,,,1/26/2020 9:04pm,2/25/2020 11:51am,1978
