ID,title,description,streetaddress,city,state,amenityfeatures,type,unclearaddress,uncleartype,notes,dateadded,lastmodified,Year
153,8709 Club Baths,"(Referral necessary) (Some W,SM) (Upstairs-enter on Hammel Dr.)
",8709  W. 3rd St.,Hollywood,CA,"(P) - Private club - Inquire locally to admission,(YC) - Young and/or collegiate types,(W) - Western or coyboy types,(*) - Very popular",Baths,,,,1/23/2020 11:06pm,2/25/2020 11:55am,1979
1225,8709 Club Baths,(Referral necessary) (Upstairs - enter on Hammel Dr.),8709 W. 3rd St.,Hollywood,CA,"(P) - Private club - Inquire locally to admission,(YC) - Young and/or collegiate types,(W) - Western or coyboy types,(*) - Very popular",Baths,,,,1/27/2020 3:04am,2/25/2020 11:56am,1980
424,A Different Drum,(Disco) (go-go boys- Indian Motif) ,3175 India Street ,San Diego ,CA,"(D) - Dancing,(*) - Very popular",Bars/Clubs,,,,2/2/2020 8:29pm,2/25/2020 11:47am,1977
428,A Different Drum,(Liquor) (go-go boys),3175 India St.,San Diego ,CA,(*) - Very popular,Bars/Clubs,,,,2/4/2020 12:16am,2/25/2020 11:51am,1978
433,A Different Drum,(Liquor) (Go go boys),3175 India St.,San Diego ,CA,(*) - Very popular,Bars/Clubs,,,,1/30/2020 9:07pm,2/25/2020 11:55am,1979
1537,A Different Drum,(Liquor) (Go go boys),3175 India St.,San Diego ,CA,(*) - Very popular,Bars/Clubs,,,,2/3/2020 4:17am,2/25/2020 11:56am,1980
1591,A Little More,(WE - only),15th & Potrero ,San Francisco,CA,"""(L) - Ladies/Ms, but seldom exclusively unless noted"",(D) - Dancing,(WE) = Weekends",Bars/Clubs,,,,2/3/2020 5:22am,2/25/2020 11:56am,1980
15,Acacia Inn,,16134 Arrow,Fontana,CA,"""(G) - Girls, but seldom exclusively""",Bars/Clubs,,,,7/22/2019 4:24pm,7/22/2019 10:53pm,1974
119,Academy,(Uniforms),6236 Santa Monica Blvd.,Hollywood,CA,(*) - Very popular,Restaurant,,,,1/26/2020 7:56pm,2/25/2020 11:51am,1978
128,Academy,(Uniforms),6236 Santa Monica Bl.,Hollywood,CA,(*) - Very popular,Restaurant,,,,1/23/2020 11:06pm,2/25/2020 11:55am,1979
1199,Academy,(Uniforms),6236 Santa Monica Blvd.,Hollywood,CA,(*) - Very popular,Restaurant,,,,1/27/2020 2:17am,2/25/2020 11:56am,1980
468,Accident ,,990 Post Street ,San Francisco,CA,,Bars/Clubs,,,,2/2/2020 8:30pm,2/25/2020 11:47am,1977
138,Ace in the Hole,,71835 Hwy 111,Rancho Mirage,CA,,Bars/Clubs,,,,7/21/2019 1:25am,7/21/2019 7:47am,1968
117,Ace's Pizza,,281 Lighthouse Ave,Monterey,CA,"""(R) - Restaurant, although not all places serving food are indicated_""",Restaurant,,,,2/18/2020 10:59pm,2/28/2020 10:17am,1965
176,Ace's Pizza Parlor,,281 Lighthouse,Monterey,CA,,Restaurant,,,,2/17/2020 3:27am,2/25/2020 10:52am,1969
147,Ace's Pizza Parlour,,281 Lighthouse,Monterey,CA,,Restaurant,,,,2/19/2020 12:41am,2/25/2020 10:51am,1966
,Ace's Pizza Parlour ,,281 Lighthouse ,Monterey,CA,"""(R) - Restaurant, although not all places serving food are so indicated_""",Restaurant,,,,,,1968
197,Acropolis,,6230 Sepulvida Blvd.,Van Nuys,CA,,Bars/Clubs,,,,2/9/2020 9:39pm,2/25/2020 11:41am,1973
1167,Adam & Eve Book Store,,1251 N. Vine St.,Hollywood,CA,,Book Store,,,,2/10/2020 2:21pm,2/10/2020 2:24pm,1975
52,Adam & Eve Book Store,,1251 N. Vine St.,Los Angeles ,CA,,Book Store,,,,7/25/2019 7:58am,7/25/2019 7:58am,1972
69,Adam & Eve Book Store,,1251 N. Vine St.,Hollywood,CA,,Book Store,,,,2/9/2020 9:39pm,2/25/2020 11:41am,1973
65,Adam & Eve Book Store,,1251 N. Vine St.,Los Angeles ,CA,,Business,,,,7/22/2019 11:31pm,7/23/2019 12:02am,1974
120,Adam & Eve Book Store,,1251 No. Vine St.,Hollywood,CA,,Book Store,,,,1/26/2020 7:57pm,2/25/2020 11:51am,1978
129,Adam & Eve Book Store,,1251 N. Vine St. ,Hollywood,CA,,Book Store,,,,1/23/2020 11:06pm,2/25/2020 11:55am,1979
85,Adam & Eve Book Store ,,1251 N. Vine St. ,Hollywood,CA,,Book Store,,,,2/7/2020 4:01pm,2/25/2020 11:45am,1976
107,Adam & Eve Book Store ,,1251 N. Vine St. ,Hollywood,CA,,Book Store,,,,1/25/2020 6:14pm,2/25/2020 11:47am,1977
221,Adam Theatre,,72 - 6th St.,San Francisco,CA,,Theatre,,,,2/12/2020 12:12pm,2/26/2020 11:11am,1975
414,Adam Theatre ,,72 6th St. ,San Francisco,CA,,Theatre,,,,2/14/2020 9:42pm,2/25/2020 11:45am,1976
1536,Adam's End ,(Cruisy),1813 Adams Ave.,San Diego ,CA,"Cruisy Area,(PT) - Pool Table",Bars/Clubs,,,,2/3/2020 4:17am,2/25/2020 11:56am,1980
222,Adonis Book Store,,384 Ellis St.,San Francisco,CA,,Book Store,,,,2/12/2020 12:12pm,2/26/2020 11:11am,1975
213,Adonis Book Store,,350 Ellis St,San Francisco,CA,,Book Store,,,,2/17/2020 4:18am,2/25/2020 10:52am,1969
238,Adonis Book Store,,350 Ellis St,San Francisco,CA,,Bookstore,,,added bs as type,,,1970
244,Adonis Book Store,,384 Ellis St.,San Francisco,CA,,Book Store,,,,2/9/2020 6:00pm,2/25/2020 10:53am,1971
319,Adonis Book Store,,384 Ellis St.,San Francisco,CA,,Book Store,,,,,,1972
376,Adonis Book Store,,384 Ellis St.,San Francisco,CA,,Book Store,,,,2/16/2020 10:57pm,2/25/2020 11:41am,1973
,Adonis Book Store,,384 Ellis St.,San Francisco,CA,,Business,,,,,,1974
492,Adonis Book Store,,384 Ellis St.,San Francisco,CA,(*) - Very popular,Book Store,,,,2/4/2020 11:35am,2/25/2020 11:51am,1978
479,Adonis Book Store,,384 Ellis St.,San Francisco,CA,(*) - Very popular,Book Store,,,,1/30/2020 9:08pm,2/25/2020 11:55am,1979
1589,Adonis Book Store,,384 Ellis St.,San Francisco,CA,(*) - Very popular,Book Store,,,,2/3/2020 5:20am,2/25/2020 11:56am,1980
415,Adonis Book Store ,,384 Ellis St. ,San Francisco,CA,,Book Store,,,,2/14/2020 9:42pm,2/25/2020 11:45am,1976
470,Adonis Book Store ,,384 Ellis Street ,San Francisco,CA,(*) - Very popular,Book Store,,,,2/2/2020 8:30pm,2/25/2020 11:47am,1977
314,Adult Book Store,,1249 McHenry,Modesto ,CA,,Book Store,,,,1/28/2020 11:01pm,2/25/2020 11:55am,1979
1104,Adult Book Store,,4304 N. Blackstone,Fresno ,CA,,Business,,,,1/24/2020 11:02pm,2/25/2020 11:56am,1980
1407,Adult Book Store,,1249 McHenry,Modesto ,CA,,Business,,,,2/2/2020 11:46pm,2/25/2020 11:56am,1980
40,Adult Book Stores,,3601 Ventura ,Fresno ,CA,,Book Store,,,,1/26/2020 6:23pm,2/25/2020 11:51am,1978
31,Adult Book Stores ,,4304 N. Blackstone & 3601 Ventura ,Fresno ,CA,Cruisy Area,"Book Store,Cruising Areas",,,,1/24/2020 10:46pm,2/25/2020 11:47am,1977
39,Adult Book Stores ,,4303 No. Blackstone,Fresno ,CA,,Book Store,,,,1/26/2020 6:16pm,2/25/2020 11:51am,1978
