ID2,title,description,streetaddress,city,state,amenityfeatures,type,unclear_address,Year,unclear type or question,notes,Last Modified
3141,Gold Coast,(Disco)(Go go boys),2971 E. 7 Mile Rd. ,Detroit,MI,(D),Bars/Clubs,,1985,,,12/5/2021 12:17pm
504,Gold Coast ,(Cruisy),8228 Santa Monica Blvd. ,Hollywood West,CA,(PT),"Bars/Clubs,Cruising Areas",,1985,,,12/5/2021 12:17pm
2200,Gold Coast ('G.C.'),(Cruisy basement),501 N. Clark St. ,Chicago,IL,"(*),(SM),(W),(FFA)","Bars/Clubs,Cruising Areas",,1985,,,1/19/2022 4:52pm
1854,Gold Rush Saloon,(AIA at Granada),18 Bouvard ,Ormond Beach,FL,,Bars/Clubs,,1985,,,12/5/2021 12:17pm
4590,Golden Arrow,(Owner doesn't want gay label),134 E. Pittsburgh St. ,Greensburg,PA,,Bars/Clubs,,1985,,,12/5/2021 12:17pm
1283,Golden Bull,,170 W. Channel Rd. ,Santa Monica,CA,"(R),(OC),(*)",Restaurant,,1985,,,12/5/2021 12:17pm
5491,Golden Crown,(Liquor) (nr. 4th & Pine),1608 Times Court ,Seattle,WA,"(E),(S),(OC),(*)",Bars/Clubs,,1985,,,2/1/2022 5:01am
901,Golden Eagle,(May be changin name),630 Market St. ,San Diego,CA,,Bars/Clubs,,1985,checked,,12/5/2021 12:17pm
318,Golden Gate Adult Book Store ,,40555- B Grimmer Blvd. ,Fremont,CA,(F&S),Book Store,,1985,,,12/5/2021 12:17pm
350,Golden Gate Adult Books,,22553 Main St. ,Hayward,CA,,Book Store,,1985,,,12/5/2021 12:17pm
1216,Golden Gate Adult Bookstore,,4475 1st St. ,San Jose,CA,,Book Store,,1985,,,12/5/2021 12:17pm
665,Golden Gate Book Nook,,1022 9th St. ,Modesto,CA,,Book Store,,1985,,,12/5/2021 12:17pm
852,Golden Gate Book Store,(Cruisy),905 E. Alisal ,Salinas,CA,(M),"Book Store,Cruising Areas",,1985,,,1/19/2022 4:50pm
2672,Golden Lantern,"(Some W,SM)(Something for everyone)(24 hrs.)(Good days)",1239 Royal St. ,New Orleans,LA,"(*),(W),(SM)",Bars/Clubs,,1985,,,12/5/2021 12:17pm
4241,Golden Lions,,340 Ludlow,Cincinnati,OH,"(E),(OC)",Bars/Clubs,,1985,,,12/5/2021 12:17pm
2673,Golden Star Steak House,,911 Decatur St. ,New Orleans,LA,"(M),(R),(*)",Restaurant,,1985,,,12/5/2021 12:17pm
4709,Golden Triangle News ,,816 Liberty,Pittsburgh ,PA,,Book Store,,1985,,,1/7/2022 12:19pm
1274,Golden West,,2050 Soquel Ave. ,Santa Cruz,CA,"(M),(R),(C),(AH)","Bars/Clubs,Restaurant",,1985,,,1/20/2022 6:23am
5659,Goldenshaft,,300 W. Juneau,Milwaukee,WI,,Bars/Clubs,,1985,,,12/10/2021 7:48pm
569,Good Company ,,2939 Sunset Blvd. ,Silverlake,CA,(PT),Bars/Clubs,,1985,,,12/5/2021 12:17pm
5492,Good News,"(Cards, etc.)",1510 E. Olive Way,Seattle,WA,,Book Store,,1985,,,1/7/2022 12:00pm
2242,Good Shepherd M.C.C.,,615 W. Wellington,Chicago,IL,(MCC),Religious Institution,,1985,,,12/5/2021 12:17pm
2479,Good Times Too,(Adult Books),117 N. 16th St. ,Council Bluffs,IA,,Book Store,,1985,,,12/5/2021 12:17pm
124,Goog's ,,1812 E. Camelback Rd. ,Phoenix,AZ,"(M),(R),(AH)",Restaurant,,1985,,,12/5/2021 12:17pm
4242,Gordon's on Broadway,(Lunches),817 Broadway,Cincinnati,OH,"(PE),(R)",Restaurant,,1985,,,12/5/2021 12:17pm
1136,Gough Hayes Hotel,(Reasonable prices*),417 Gough St. ,San Francisco,CA,(*),Hotel,,1985,,,12/5/2021 12:17pm
2759,Gov. Wm. F. King Guest House ,,89 Shore Rd. ,Ogunquit,ME,"(H),(M)",Hotel,,1985,,,12/5/2021 12:17pm
181,Graduate ,(Something for everyone) (Cocktail hour),23 W. University,Tucson,AZ,(D),Bars/Clubs,,1985,,,12/5/2021 12:17pm
4224,Graduate ,,24 W. Union,Athens,OH,(M),Bars/Clubs,,1985,,,12/5/2021 12:17pm
1105,Graffiti's,(Neo-punk),853 Valencia ,San Francisco,CA,"(M),(D)",Bars/Clubs,,1985,,,12/5/2021 12:17pm
975,Gramophone,"(Records, Mags.,etc.)",432 Castro St. ,San Francisco,CA,(*),Business,,1985,,,12/5/2021 12:17pm
