ID,Title,description,streetaddress,city,state,amenityfeatures,type,Year,unclearaddress,uncleartype,notes,dateadded,lastmodified
17,Pink Panther ,,1913 DuDoit Lane ,Waikiki,HI,(*),Bars/Clubs,1969,,,,4/17/2020 11:50pm,7/27/2020 11:33am
132,Queen's Surf ,,2709 Kalakaua Ave. ,Waikiki,HI,(M),Bars/Clubs,1969,,,,4/18/2020 12:23am,7/27/2020 11:33am
133,Wagon Wheel ,,2070 Kalakaua Ave. ,Waikiki,HI,,Bars/Clubs,1969,,,,4/18/2020 12:23am,7/27/2020 11:33am
134,Yappy's ,(off limits),434 Kapahulu ,Waikiki,HI,,Bars/Clubs,1969,,,,4/18/2020 12:24am,7/27/2020 11:33am
135,French Quarter ,(strip shows),1112 Maunakea,Honolulu,HI,(M),Bars/Clubs,1970,,,,4/18/2020 12:25am,7/27/2020 11:33am
136,Glade ,(off limits) ,152 N. Hotel St. ,Honolulu,HI,"(S),(M)",Bars/Clubs,1970,,,,4/18/2020 12:25am,7/27/2020 11:33am
138,Apartment ,"(small alley- Behind Fernbody's, no sign)",124 Kapahulu,Waikiki,HI,"(*),(YC),(D)",Bars/Clubs,1970,,,,4/18/2020 12:26am,7/27/2020 11:33am
18,Cocktail Center,(Ala Moana),435 Atkinson Dr.,Waikiki,HI,(*),Bars/Clubs,1970,,,,4/17/2020 11:50pm,7/27/2020 11:33am
19,Fernbody's ,(old Little Dipper),124 Kapahulu Ave. ,Waikiki,HI,,Bars/Clubs,1970,,,,4/17/2020 11:50pm,7/27/2020 11:33am
139,Hofbrau,,2448 Kalakaua Ave. ,Waikiki,HI,(M),Bars/Clubs,1970,,,,4/18/2020 12:28am,7/27/2020 11:33am
140,Queen's Surf ,,2709 Kalakaua Ave. ,Waikiki,HI,(M),Bars/Clubs,1970,,,,4/18/2020 12:28am,7/27/2020 11:33am
142,Wagon Wheel ,,2070 Kalakaua Ave. ,Waikiki,HI,(*),Bars/Clubs,1970,,,,4/18/2020 12:29am,7/27/2020 11:33am
143,Yappy's ,(off limits),434 Kapahulu ,Waikiki,HI,,Bars/Clubs,1970,,,,4/18/2020 12:29am,7/27/2020 11:33am
20,The Glades,(off limits),152 N. Hotel St. ,Honolulu,HI,"(M),(S)",Bars/Clubs,1971,,,,4/17/2020 11:50pm,7/27/2020 11:33am
144,Apartment ,(3rd floor- above Fernbody's),124 Kapahulu,Waikiki,HI,"(*),(YC),(D)",Bars/Clubs,1971,,,,4/18/2020 12:31am,7/27/2020 11:33am
21,Attic,"(piano bar only)(side street entrance, upstairs)",2254 Kalakaua ,Waikiki,HI,(M),Bars/Clubs,1971,,,,4/17/2020 11:50pm,7/27/2020 11:33am
145,Cocktail Center,(across from Ala Moana Center),435 Atkinson Dr.,Waikiki,HI,,Bars/Clubs,1971,,,,4/18/2020 12:33am,7/27/2020 11:33am
146,Glades,(off limits),152 N. Hotel St. ,Honolulu,HI,"(M),(S)",Bars/Clubs,1972,,,,4/18/2020 12:37am,7/27/2020 11:33am
22,Question Mark ,(sign is a ?)(between downtown & Waikiki),1420 S. Beretania ,Honolulu,HI,(*),Bars/Clubs,1972,,,,4/17/2020 11:50pm,7/27/2020 11:33am
147,Apartment ,(3rd floor- above Fernbody's)(cabaret),124 Kapahulu,Waikiki,HI,"(*),(YC),(D)",Bars/Clubs,1972,,,,4/18/2020 12:38am,7/27/2020 11:33am
148,Attic,"(piano bar only)(side street entrance, upstairs)",2254 Kalakaua ,Waikiki,HI,(M),Bars/Clubs,1972,,,,4/18/2020 12:39am,7/27/2020 11:33am
23,Hilo Travelodge Bar ,,121 Banyon Dr. ,Hilo,HI,(M),Bars/Clubs,1973,,,,4/17/2020 11:50pm,7/27/2020 11:33am
149,Glades,(off limits),152 N. Hotel St. ,Honolulu,HI,"(M),(S),(RT)",Bars/Clubs,1973,,,,4/18/2020 12:43am,7/27/2020 11:33am
150,Question Mark ,,43 S. Beretania ,Honolulu,HI,(*),Bars/Clubs,1973,,,,4/18/2020 12:43am,7/27/2020 11:33am
24,Apartment Cabaret ,(cl. Tuesday),124 Kapahulu,Waikiki,HI,(D),Bars/Clubs,1973,,,,4/17/2020 11:50pm,7/27/2020 11:33am
25,Cesar's ,,1911 Kalakaua,Waikiki,HI,"(M),(R),(*)",Restaurant,1973,,,,4/17/2020 11:50pm,7/27/2020 11:33am
151,Cocktail Center,(across from Ala Moana),435 Atkinson ,Waikiki,HI,,Bars/Clubs,1973,,,,4/18/2020 12:47am,7/27/2020 11:33am
26,Gay Nineties Cabaret ,,1900 Kalakaua,Waikiki,HI,"(YC),(D),(*)",Bars/Clubs,1973,,,,4/17/2020 11:50pm,7/27/2020 11:33am
27,Governor's Coffee House ,(after hours),117 Uluniu Ave. ,Waikiki,HI,"(R),(YC)",Restaurant,1973,,,,4/17/2020 11:50pm,7/27/2020 11:33am
28,Hideout ,(may be closing),1735 Kalakaua,Waikiki,HI,"(R),(M)",Restaurant,1973,,,,4/17/2020 11:50pm,7/27/2020 11:33am
29,Island Club Baths,"(rm. 235, upstairs)",825 Keeamaku St. ,Waikiki,HI,,Baths,1973,,,,4/17/2020 11:50pm,7/27/2020 11:33am
152,Hill Travelodge Bar ,,121 Banyon Dr. ,Hilo,HI,(M),Bars/Clubs,1974,,,,4/18/2020 6:14pm,7/27/2020 11:33am
34,Baron Theatre ,,63. N. Hotel St. ,Honolulu,HI,,Theatre,1974,,,,4/17/2020 11:50pm,7/27/2020 11:33am
35,Glades ,(This famous drag bar is really a 'drag'- Adm. charge- off limits),152 N. Hotel St. ,Honolulu,HI,"(S),(M),(RT)",Bars/Clubs,1974,,,,4/17/2020 11:50pm,7/27/2020 11:33am
36,Question Mark ,,43 S. Beretania ,Honolulu,HI,(*),Bars/Clubs,1974,,,,4/17/2020 11:50pm,7/27/2020 11:33am
40,Apartment Cabaret ,(sign says 'Dipper' walk up to 3rd floor. Closed Tuesdays),124 Kapahulu,"Waikiki Beach, Oahu",HI,"(D),(*)",Bars/Clubs,1974,,,,4/17/2020 11:50pm,7/27/2020 11:33am
41,Cocktail Center ,(some G),435 Atkinson ,"Waikiki Beach, Oahu",HI,(G),Bars/Clubs,1974,,,,4/17/2020 11:50pm,7/27/2020 11:33am
43,Four Twelve ,,412 Lewers ,"Waikiki Beach, Oahu",HI,"(M),(HIP),(YC)",Bars/Clubs,1974,,,,4/17/2020 11:50pm,7/27/2020 11:33am
44,Gay Nineties Cabaret ,,1900 Kalakaua,"Waikiki Beach, Oahu",HI,"(YC),(D),(*)",Bars/Clubs,1974,,,,4/17/2020 11:50pm,7/27/2020 11:33am
45,Island Club Baths ,"(Rm. 235, upstairs)",825 Keeaumoku St. ,"Waikiki Beach, Oahu",HI,,Baths,1974,,,,4/17/2020 11:50pm,7/27/2020 11:33am
46,Metropolitan Community Church,,2500 Pali Hwy. ,"Waikiki Beach, Oahu",HI,,Church,1974,,,,4/17/2020 11:50pm,7/27/2020 11:33am
53,Hilo Travelodge Bar ,,121 Banyon Dr. ,Hilo,HI,(M),Bars/Clubs,1975,,,,4/17/2020 11:50pm,7/27/2020 11:33am
54,Glades ,(This famous drag bar is really a 'drag'- Adm. charge- off limits),152 N. Hotel St. ,Honolulu,HI,"(S),(M),(RT)",Bars/Clubs,1975,,,,4/17/2020 11:50pm,7/27/2020 11:33am
55,Question Mark ,,43 S. Beretania ,Honolulu,HI,,Bars/Clubs,1975,,,,4/17/2020 11:50pm,7/27/2020 11:33am
60,Cocktail Center ,(some G),435 Atkinson ,"Waikiki Beach, Oahu",HI,(G),Bars/Clubs,1975,,,,4/17/2020 11:50pm,7/27/2020 11:33am
62,Gay Nineties Cabaret ,,1900 Kalakaua ,"Waikiki Beach, Oahu",HI,"(YC),(D),(*)",Bars/Clubs,1975,,,,4/17/2020 11:50pm,7/27/2020 11:33am
63,House of Charles ,,2260 Kuhio Ave. ,"Waikiki Beach, Oahu",HI,"(E),(*)",Bars/Clubs,1975,,,,4/17/2020 11:50pm,7/27/2020 11:33am
64,Island Club Baths ,(rm. 235- upstairs),825 Keeaumoku St. ,"Waikiki Beach, Oahu",HI,(*),Baths,1975,,,,4/17/2020 11:50pm,7/27/2020 11:33am
65,M.C.C. ,,2500 Pali Hwy. ,"Waikiki Beach, Oahu",HI,,Church,1975,,,,4/17/2020 11:50pm,7/27/2020 11:33am
66,Stuffed Tomato ,(Go-go-boys),240 McCully at Ala Wai ,"Waikiki Beach, Oahu",HI,"(YC),(D),(*)",Bars/Clubs,1975,,,,4/17/2020 11:50pm,7/27/2020 11:33am
67,Surf Baths ,(5p.m.- 2a.m.)(2nd floor),307 Lewers near Kuhio,"Waikiki Beach, Oahu",HI,(P),Baths,1975,,,,4/17/2020 11:50pm,7/27/2020 11:33am
68,Ala Moana Park,,,"Waikiki Beach, Oahu",HI,,Cruising Areas,1975,,,,4/17/2020 11:50pm,7/27/2020 11:33am
69,Diamond Head 'BA' Beach ,below Coast Guard Lighthouse,,"Waikiki Beach, Oahu",HI,,Cruising Areas,1975,,,,4/17/2020 11:50pm,7/27/2020 11:33am
70,Kalakaua Ave.,,,"Waikiki Beach, Oahu",HI,,Cruising Areas,1975,,,,4/17/2020 11:50pm,7/27/2020 11:33am
71,Kapiolani Park Beach ,,,"Waikiki Beach, Oahu",HI,,Cruising Areas,1975,,,,4/17/2020 11:50pm,7/27/2020 11:33am
72,Kuhio Beach Park ,Waikiki Beach Center Bldg. Center Building,,"Waikiki Beach, Oahu",HI,,Cruising Areas,1975,,,,4/17/2020 11:50pm,7/27/2020 11:33am
73,Hilo Travelodge Bar ,,121 Banyon Dr. ,"Waikiki Beach, Oahu",HI,(M),Bars/Clubs,1976,,,,4/17/2020 11:51pm,7/27/2020 11:33am
74,Glades,(adm. charge),152 N. Hotel St. ,Honolulu,HI,"(S),(M),(RT)",Bars/Clubs,1976,,,,4/17/2020 11:51pm,7/27/2020 11:33am
153,Question Mark ,,43 S. Beretania ,Honolulu,HI,(OC),Bars/Clubs,1976,,,,4/18/2020 7:11pm,7/27/2020 11:33am
75,Blow Hole Cabaret ,,124 Kapahulu,"Waikiki Beach, Oahu",HI,"(YC),(D)",Bars/Clubs,1976,,,,4/17/2020 11:51pm,7/27/2020 11:33am
158,Cocktail Center ,(some G),435 Atkinson ,"Waikiki Beach, Oahu",HI,"(G),(*)",Bars/Clubs,1976,,,,4/18/2020 7:17pm,7/27/2020 11:33am
160,Gay Nineties Cabaret ,,1900 Kalakaua ,"Waikiki Beach, Oahu",HI,"(YC),(D),(*),(E)",Bars/Clubs,1976,,,,4/18/2020 7:19pm,7/27/2020 11:33am
161,M.C.C. ,,2500 Pali Hwy. ,"Waikiki Beach, Oahu",HI,,Church,1976,,,,4/18/2020 7:21pm,7/27/2020 11:33am
162,Surf Baths ,(5p.m.- 2a.m.)(2nd floor),307 Lewers near Kuhio,"Waikiki Beach, Oahu",HI,(P),Baths,1976,,,,4/18/2020 7:21pm,7/27/2020 11:33am
76,Tomato ,(some W-SM in adjoining Lli Holo Room),240 McCully at Ala Wai,"Waikiki Beach, Oahu",HI,"(YC),(D),(*),(W)",Bars/Clubs,1976,,,,4/17/2020 11:51pm,7/27/2020 11:33am
82,City Tavern ,(Natives),55 Haili Street,Hilo,HI,(M),Bars/Clubs,1977,,,,4/17/2020 11:51pm,7/27/2020 11:33am
83,Hilo Travelodge Bar ,,121 Banyon Drive,Hilo,HI,"(M),(*)",Bars/Clubs,1977,,,,4/17/2020 11:51pm,7/27/2020 11:33am
84,Glades ,(Admission charge),152 N. Hotel St. ,Honolulu,HI,"(S),(M),(RT)",Bars/Clubs,1977,,,,4/17/2020 11:51pm,7/27/2020 11:33am
85,Question Mark ,,43 S. Beretania ,Honolulu,HI,(OC),Bars/Clubs,1977,,,,4/17/2020 11:51pm,7/27/2020 11:33am
90,Blowhole Cabaret ,(cruisy),124 Kapahulu,"Waikiki Beach, Oahu",HI,"Cruisy Area,(D),(E),(*)","Bars/Clubs,Cruising Areas",1977,,,,4/17/2020 11:51pm,7/27/2020 11:33am
91,Cocktail Center ,"(Some G, W)",435 Atkinson ,"Waikiki Beach, Oahu",HI,"(G),(W),(PT),(*)",Bars/Clubs,1977,,,,4/17/2020 11:51pm,7/27/2020 11:33am
92,Coco's ,,Kalakaua and Kapiolani ,"Waikiki Beach, Oahu",HI,"(M),(R),(C),(AH)",Restaurant,1977,,,,4/17/2020 11:51pm,7/27/2020 11:33am
93,Fox Cinema Club ,(adm.-no booze- 'flicks' & 'wild back room'),478 Ena Rd. at Klakaua,"Waikiki Beach, Oahu",HI,,Bars/Clubs,1977,,,,4/17/2020 11:51pm,7/27/2020 11:33am
