ID,Title,description,streetaddress,city,amenityfeatures,type,Year,unclearaddress,uncleartype,notes,dateadded,lastmodified
3,Art I Cinema,,204 Tremont,Boston,,Theatre,1980,,,,3/28/2020 9:31pm,3/29/2020 12:49am
4,Beacon Tours,(Travel),160 Commonwealth,Boston,,Business,1980,,,,3/28/2020 9:31pm,3/29/2020 12:49am
5,Buddie's,(Opening soon-should be winner) (Disco) (Cruise bar-PT),733 Boylston St.,Boston,"(D),(E),(PT)","Cruising Areas,Bars/Clubs",1980,,,,3/28/2020 9:31pm,3/29/2020 12:49am
6,Carnival,(In the 'Combat Zone',39 Boylston St.,Boston,"(RT),(AYOR)",Bars/Clubs,1980,,,,3/28/2020 9:31pm,3/29/2020 12:49am
7,Chaps,,25 Huntington Ave.,Boston,,Bars/Clubs,1980,,,,3/28/2020 9:31pm,3/29/2020 12:49am
8,Citadel,(E-upstairs),22 Avery St.,Boston,"(S),(D),(E)",Bars/Clubs,1980,,,,3/28/2020 9:31pm,3/29/2020 12:49am
11,Club 76,(Many L) (Disco),76 Batterymarch,Boston,"(R),(E),(L),(M),(D)",Bars/Clubs,1980,,,,3/28/2020 9:31pm,3/29/2020 12:49am
12,Dart's,(Disco) (R-lunch) (Cruisy) (Macho) ('Jocks'),27 Dartmouth St.,Boston,"(*),(YC),(D),(PT),(R)","Cruising Areas,Restaurant,Bars/Clubs",1980,,,,3/28/2020 9:31pm,3/29/2020 12:49am
14,Eagle,"(Some W, SM) (Adj. Disco) (Biz must be lousy as they refuse to pay me for last years books)",88 Queensberry St.,Boston,"(W),(SM),(D)",Bars/Clubs,1980,,,,3/28/2020 9:31pm,3/29/2020 12:49am
15,Esplanade Paperbacks Books,,107 Charles St.,Boston,(*),Book Store,1980,,,,3/28/2020 9:31pm,3/29/2020 12:49am
16,Harry's Place,,45 Essex St.,Boston,(D),Bars/Clubs,1980,,,,3/28/2020 9:31pm,3/29/2020 12:49am
17,Herbie's Ramrod Room,,1254 Boylston St.,Boston,"(SM),(W),(*)",Bars/Clubs,1980,,,,3/28/2020 9:31pm,3/29/2020 12:49am
18,Jacques',(Disco),87 Broadway,Boston,"(RT),(D)",Bars/Clubs,1980,,,,3/28/2020 9:31pm,3/29/2020 12:49am
41,Jupiter in Aries,"(Gym, sauna, games &  men's massage) (10 am to 12 midnight) ",283 Dartmouth,Boston,,Business,1980,,,,3/28/2020 9:34pm,3/29/2020 12:49am
42,Ken's,,549 Boylston St.,Boston,"(M),(R),(C),(AH)",Restaurant,1980,,,,3/28/2020 10:05pm,3/29/2020 12:49am
43,La Trattoria,(Italian R),288 Cambridge St.,Boston,"(M),(R)",Restaurant,1980,,,,3/28/2020 10:05pm,3/29/2020 12:49am
44,M.C.C.,Old West Church,131 Cambridge St.,Boston,M.C.C.,Church,1980,,,,3/28/2020 10:05pm,3/29/2020 12:49am
45,Napoleon Club,(D upstairs WE),52 Piedmont,Boston,"(*),(OC),(E),(D),(WE)",Bars/Clubs,1980,,,,3/28/2020 10:05pm,3/29/2020 12:49am
46,119 Merrimac,(Disco) (Thurs. nights*),119 Merrimac,Boston,"(D),(*)",Bars/Clubs,1980,,,,3/28/2020 10:05pm,3/29/2020 12:49am
47,Over Harry's,,45 Essex,Boston,(S),Bars/Clubs,1980,,,,3/28/2020 10:05pm,3/29/2020 12:49am
48,Paperback Booksmith,(Books),753 Boylston,Boston,"(M),(*)",Book Store,1980,,,,3/28/2020 10:05pm,3/29/2020 12:49am
49,Playland,('Hustlers') ('Combat Zone'),21 Essex,Boston,"(RT),(*)",Bars/Clubs,1980,,,,3/28/2020 10:05pm,3/29/2020 12:49am
50,Regency Club Baths,,11 Otis St,Boston,(*),Baths,1980,,,,3/28/2020 10:05pm,3/29/2020 12:49am
51,Side Street,(Bookshop),18 La Grange,Boston,,Book Store,1980,,,,3/28/2020 10:05pm,3/29/2020 12:49am
52,Somewhere,(Disco) (Many L),295 Franklin,Boston,"(*),(L),(D)",Bars/Clubs,1980,,,,3/28/2020 10:05pm,3/29/2020 12:49am
53,South Station Cinema 1 & 2,,23 South St.,Boston,,Theatre,1980,,,,3/28/2020 10:05pm,3/29/2020 12:49am
54,Sporters ,"(Cruisy) (Small disco room) (Opp. Holiday Inn-no sign, but don't miss it-opens 4pm) nr. Blossom St.",228 Cambridge,Boston,"(*),(YC),(PT)","Cruising Areas,Bars/Clubs",1980,,,,3/28/2020 10:05pm,3/31/2020 8:31pm
55,Sue's City Diner,,21 Huntington,Boston,(R),Restaurant,1980,,,,3/28/2020 10:05pm,3/29/2020 12:49am
56,The Bar,"(Disco) (Some YC, Midnight Cowboys)",252 Boylston St.,Boston,"(D),(YC),(*)","Cruising Areas,Bars/Clubs",1980,,,,3/28/2020 10:05pm,3/29/2020 12:49am
57,The House ,"(Italian R) (Guest house) ., off Cambridge nr. Harvard (Allston)",12 Wilton St,Boston,"(R),(H)","Restaurant,Hotels",1980,,,,3/28/2020 10:05pm,3/31/2020 8:32pm
58,Together,(Disco) (Bar downstairs) (Best Mondays),110 Boylston,Boston,"(D),(S)",Bars/Clubs,1980,,,,3/28/2020 10:06pm,3/29/2020 12:49am
59,Twelve-Seventy Club,(3 floors) (Disco),1270 Boylston St.,Boston,"(*),(HIP),(YC),(D)",Bars/Clubs,1980,,,,3/28/2020 10:06pm,3/29/2020 12:49am
60,Union Station,"(Very M)  (Some RT, B, L) (AH-till 6 am-BYOB)",176 Tremont St.,Boston,"(M),(RT),(B),(L),(AH),(BYOB)",Bars/Clubs,1980,,,,3/28/2020 10:06pm,3/29/2020 12:49am
61,Werner's ,(Disco) (Best late),38 Cornhill,Boston,(D),Bars/Clubs,1980,,,,3/28/2020 10:06pm,3/29/2020 12:49am
72,Bob's Place,,44 Centre St.,Brockton,,Bars/Clubs,1980,,,,3/28/2020 10:06pm,3/29/2020 12:49am
73,Enrico's,,20 Legion Pkwy.,Brockton,,Bars/Clubs,1980,,,,3/28/2020 10:06pm,3/29/2020 12:49am
74,Amaranth,,134 Hampshire St.,Cambridge,"(L),(R)",Restaurant,1980,,,,3/28/2020 10:06pm,3/29/2020 12:49am
75,New Words,(Books),186 Hampshire St.,Cambridge,(L),Book Store,1980,,,,3/28/2020 10:06pm,3/29/2020 12:49am
76,Paradise Club,(Cruisy) (Closes 1 am),180 Massachusets Ave.,Cambridge,"(*),(YC)","Cruising Areas,Bars/Clubs",1980,,,,3/28/2020 10:06pm,3/29/2020 12:49am
77,Redbook,(Some L) (Books),136 River St.,Cambridge,(L),Book Store,1980,,,,3/28/2020 10:06pm,3/29/2020 12:49am
78,WordsWoth,(Books),30 Brattle St.,Cambridge,,Book Store,1980,,,,3/28/2020 10:06pm,3/29/2020 12:49am
79,Xanadu Books,,143 Albany St.,Cambridge,,Book Store,1980,,,,3/28/2020 10:06pm,4/4/2020 2:24pm
82,Sword & Shield,,735 Pleasant St.,Fall River,"(D),(*)",Bars/Clubs,1980,,,,3/28/2020 10:06pm,3/29/2020 12:49am
88,Cosmopolitan Cafe,,511 Market Cafe,Lowell,(M),Restaurant,1980,,,,3/28/2020 10:39pm,3/29/2020 12:49am
89,Tower News Stand,(Books),101 Gotham St.,Lowell,(M),Book Store,1980,,,,3/28/2020 10:39pm,3/29/2020 12:49am
91,Fran's Place,(Many L) (Disco),776 Washington,Lynn,"(L),(D)",Bars/Clubs,1980,,,,3/28/2020 10:39pm,3/29/2020 12:49am
95,Ballarou Skating Rink ,(Tues. night roller skating),376 Mystic Ave.,Medford,,Business,1980,,,,3/28/2020 10:39pm,3/29/2020 12:49am
98,House of Orange,,25 Orange St.,Nantucket,"(M),(H)",Hotels,1980,,,,3/28/2020 10:39pm,3/29/2020 12:49am
99,Friends & Lovers,"(Some B, L, Latins) (Disco) ",145 N. Front St,New Bedford,"(B),(L),(D),(AYOR),(*)",,1980,,,,3/28/2020 10:39pm,3/29/2020 12:49am
100,Meeting Place,(Some L) (Plans movies),1447 Acushnet St.,New Bedford,"(*),(D),(PT),(L)","Bars/Clubs,Theatre",1980,,,,3/28/2020 10:39pm,3/29/2020 12:49am
104,Sleepy Pilgrim Motel,,182 Court St.,Peabody,"(M),(H)",Hotels,1980,,,,3/28/2020 10:40pm,3/29/2020 12:49am
105,Anchors Inn Guest House,,175 Commercial St.,Provincetown,(H),Hotels,1980,,,,3/28/2020 10:40pm,3/29/2020 12:49am
106,Angels Landing,,353 Commercial St.,Provincetown,"(H),(*)",Hotels,1980,,,,3/28/2020 10:40pm,3/29/2020 12:49am
110,Boatslip Motel,"& Bar ('Tops' days-cruisy beach & pool) (Tea dance Disco, 3:30-6:30)",161 Commercial St.,Provincetown,"(H),(R),(*)","Hotels,Bars/Clubs,Restaurant,Cruising Areas",1980,,,,3/28/2020 10:40pm,3/29/2020 12:49am
111,Burch House,,116 Bradford St.,Provincetown,(H),Hotels,1980,,,,3/28/2020 10:40pm,3/29/2020 12:49am
