ID,Title,description,streetaddress,city,amenityfeatures,type,Year,unclearaddress,uncleartype,notes,dateadded,lastmodified
112,Caper Inn,(Swim Pool) ,14 Mechanic St.,Provincetown,"(H),(*)",Hotels,1980,,,,3/28/2020 10:40pm,3/29/2020 12:49am
113,Capricorn Guest House,,6 Cottage St.,Provincetown,"(YC),(H)",Hotels,1980,,,,3/28/2020 10:40pm,3/29/2020 12:49am
114,Captain & His Ship,,164 Commercial St.,Provincetown,"(H),(*)",Hotels,1980,,,,3/28/2020 10:40pm,3/29/2020 12:49am
116,Carl's Guest House,,68 Bradford St.,Provincetown,"(H),(*)",Hotels,1980,,,,3/28/2020 10:40pm,3/29/2020 12:49am
117,Casablanca Guest House,,166 Commercial St.,Provincetown,(H),Hotels,1980,,,,3/28/2020 10:40pm,3/29/2020 12:49am
118,Chancellor Inn,,17 Center St. ,Provincetown,"(M),(H)",Hotels,1980,,,,3/28/2020 10:40pm,3/29/2020 12:49am
119,Chicago Guest House,,6 Winslow St. ,Provincetown,"(H),(*)",Hotels,1980,,,,3/28/2020 10:40pm,3/29/2020 12:49am
120,Christopher Inn,,8 Dyer St.,Provincetown,"(H),(YC)",Hotels,1980,,,,3/28/2020 10:40pm,3/29/2020 12:49am
121,Ciro & Sal's,(Italian R),4 Kiley Court,Provincetown,"(M),(*),(R)",Restaurant,1980,,,,3/28/2020 10:40pm,3/29/2020 12:49am
122,Cottage,(Breakfast & lunch),149 Commercial St.,Provincetown,"(M),(R),(*)",Restaurant,1980,,,,3/28/2020 10:40pm,3/29/2020 12:49am
123,Crown & Anchor,"(Includes the 'Back Room' 'Cellar Bar' Cabaret, Clambake & Sidewalk Cafe",247 Commercial St.,Provincetown,"(H),(*),(M),(R)","Restaurant,Bars/Clubs,Hotels",1980,,,,3/28/2020 10:40pm,3/29/2020 12:49am
124,Dance 293,(Disco),292 Commercial St.,Provincetown,"(M),(YC),(D)",Baths,1980,,,,3/28/2020 10:40pm,3/29/2020 12:49am
125,Dexter's Inn ,,6 Conwell St.,Provincetown,"(M),(H),(*)",Hotels,1980,,,,3/28/2020 10:40pm,3/29/2020 12:49am
127,Fisherman's Cove,,145 Commercial St.,Provincetown,"(H),(M),(*)",Hotels,1980,,,,3/28/2020 10:40pm,3/29/2020 12:49am
128,Fredrik's Guest House,,156 Bradford St.,Provincetown,(H),Hotels,1980,,,,3/28/2020 10:40pm,3/29/2020 12:49am
129,Front Street,,230 Commercial St.,Provincetown,"(M),(R)",Restaurant,1980,,,,3/28/2020 10:40pm,3/29/2020 12:49am
130,Gallery Inn,(Some L),3 Johnston St.,Provincetown,(H),Hotels,1980,,,,3/28/2020 10:40pm,3/29/2020 12:49am
131,George's Inn,,9 Court St.,Provincetown,"(H),(*)",Hotels,1980,,,,3/28/2020 10:40pm,3/29/2020 12:49am
133,Haven House ,,12 Carver St. ,Provincetown,"(M),(H)",Hotels,1980,,,,3/28/2020 10:40pm,3/29/2020 12:49am
135,Isis Books & Records,(Many L),247 Commercial St.,Provincetown,"(L),(*)",Book Store,1980,,,,3/28/2020 10:40pm,3/29/2020 12:49am
136,Jenny Lind,(Some L),183 Commercial St.,Provincetown,"(M),(R),(L),(*)",Restaurant,1980,,,,3/28/2020 10:40pm,3/29/2020 12:49am
137,J.P.'s Hilltop Inn,,140 Bradford St.,Provincetown,(H),Hotels,1980,,,,3/28/2020 10:40pm,3/29/2020 12:49am
138,Land's End Inn ,,22 Commercial St.,Provincetown,"(M),(H)",Hotels,1980,,,,3/28/2020 10:40pm,3/29/2020 12:49am
139,Liverpool Mod,"(Clothes, books, erotica,liquid)",393 Commercial St.,Provincetown,(*),Business,1980,,,,3/28/2020 11:29pm,3/29/2020 12:49am
140,Madeira Room,Pilgrim House,336 Commercial St.,Provincetown,"(M),(S),(*)",Bars/Clubs,1980,,,,3/28/2020 11:29pm,3/29/2020 12:49am
141,Moffett House,,296A Commercial St.,Provincetown,(H),Hotels,1980,,,,3/28/2020 11:29pm,3/29/2020 12:49am
142,Monument View,,82 Bradford St. ,Provincetown,(H),Hotels,1980,,,,3/28/2020 11:29pm,3/29/2020 12:49am
144,Normandy House ,,1 Miller Hill Rd.,Provincetown,(H),Hotels,1980,,,,3/28/2020 11:29pm,3/29/2020 12:49am
145,Ocean's Inn,,386 Commercial St.,Provincetown,"(H),(R)","Hotels,Restaurant",1980,,,,3/28/2020 11:29pm,3/29/2020 12:49am
146,Pete's Bouy,,97 Bradford St.,Provincetown,(H),Hotels,1980,,,,3/28/2020 11:29pm,3/29/2020 12:49am
147,Pied Piper,(Disco),193-A Commercial St.,Provincetown,"(*),(D),(R),(PT),(L)","Restaurant,Bars/Clubs",1980,,,,3/28/2020 11:30pm,3/29/2020 12:49am
148,Pilgrim House,,336 Commercial St.,Provincetown,(H),Hotels,1980,,,,3/28/2020 11:30pm,3/30/2020 12:31am
150,Plaza Gueset House,,11 Pearl St.,Provincetown,(H),Hotels,1980,,,,3/28/2020 11:30pm,3/29/2020 12:49am
151,Poor Richards Buttery,,432 Commercial St.,Provincetown,"(M),(R)",Restaurant,1980,,,,3/28/2020 11:30pm,3/29/2020 12:49am
152,Post Office Cabaret,(Upstairs),303 Commercial St.,Provincetown,"(M),(R),(E)","Restaurant,Bars/Clubs",1980,,,,3/28/2020 11:30pm,3/29/2020 12:49am
154,Richmond Inn,,4 Conant St.,Provincetown,(H),Hotels,1980,,,,3/28/2020 11:30pm,3/29/2020 12:49am
155,Sandpiper Beach House,(Swim pool),165 Commercial St.,Provincetown,"(M),(H),(*)",Hotels,1980,,,,3/28/2020 11:30pm,3/29/2020 12:49am
156,Sea Drift Inn,,80 Bradford St. ,Provincetown,"(H),(W),(SM),(*)",Hotels,1980,,,,3/28/2020 11:30pm,3/29/2020 12:49am
157,Six Dryer Street Guest House,,6 Dryer St. ,Provincetown,(H),Hotels,1980,,,,3/28/2020 11:30pm,3/29/2020 12:49am
158,Sunset Inn,,142 Bradford St.,Provincetown,(H),Hotels,1980,,,,3/28/2020 11:30pm,3/29/2020 12:49am
160,The Ranch,"(Some W, OC)",198 Commercial St.,Provincetown,"(H),(W),(OC),(*)",Hotels,1980,,,,3/28/2020 11:30pm,3/29/2020 12:49am
161,Town House,(Bar with (OC)-'sing along' is in back through (M) (R) called 'The Gallery'),291 Commercial St.,Provincetown,"(R),(*),(OC),(M)","Restaurant,Bars/Clubs",1980,,,,3/28/2020 11:30pm,3/29/2020 12:49am
162,Trade Winds,,12 Johnson St.,Provincetown,(H),Hotels,1980,,,,3/28/2020 11:30pm,3/29/2020 12:49am
163,Uptown Strutters Ball,(Clothing Store),212 Commercial St.,Provincetown,,Business,1980,,,,3/28/2020 11:30pm,3/29/2020 12:49am
164,Victoria House ,,5 Standish St.,Provincetown,(H),Hotels,1980,,,,3/28/2020 11:30pm,3/29/2020 12:49am
166,White Wind Inn,(Very M),174 Commercial St.,Provincetown,(M),Hotels,1980,,,,3/28/2020 11:30pm,3/29/2020 12:49am
167,Winnie's,(Breakfast),296 Commercial St.,Provincetown,"(M),(R)",Restaurant,1980,,,,3/28/2020 11:30pm,3/29/2020 12:49am
174,Country Club,(Disco) (Swim pool) (WE*) (Rte.139),44 Mazeo Drive ,Randolph,"(P),(D),(E),(WE),(*)",Bars/Clubs,1980,,,,3/29/2020 12:07am,3/29/2020 12:49am
175,Dixie Beer Garden,,160 Boulevard,Revere Beach,"(M),(YC)",Bars/Clubs,1980,,,,3/29/2020 12:07am,3/29/2020 12:49am
176,Pleasant Stock,,421 Washington St.,Somerville,(R),Restaurant,1980,,,,3/29/2020 12:07am,3/29/2020 12:49am
177,Arbor,,83 Worthington St. ,Springfield,"(YC),(L),(D),(S)",Bars/Clubs,1980,,,,3/29/2020 12:07am,3/29/2020 12:49am
178,Frontier,(Disco)(Sun. brunch) (Cruisy) (3 bars) ,19 Pearl St.,Springfield,"(*),(YC),(D),(R)","Restaurant,Bars/Clubs,Cruising Areas",1980,,,,3/29/2020 12:07am,3/29/2020 12:49am
180,Pub,"(Some OC) (Cocktail hour, 5-8 pm-Tues. night pizza) nr. Worthington",382 Dwight St.,Springfield,"(*),(D),(OC),(S)",Bars/Clubs,1980,,,,3/29/2020 12:26am,3/29/2020 12:49am
181,Quarry,"(Some W, SM) (Disco) (C-AH-WE*) (Below 'The Pub')",382 Dwight St.,Springfield,"(YC),(W),(SM),(D),(C),(AH),(WE),(*)",Bars/Clubs,1980,,,,3/29/2020 12:26am,3/29/2020 12:49am
196,Bickford's Pancake House,,97 Stafford St.,Worcester,"(M),(R),(C),(AH)",Restaurant,1980,,,,3/29/2020 12:36am,3/29/2020 12:49am
197,Howard Johnson's,,481 Lincoln ,Worcester,"(M),(R),(C),(AH)",Restaurant,1980,,,,3/29/2020 12:36am,3/29/2020 12:49am
198,Isaiah's,(Cruisy) (Disco),11 Thomas St.,Worcester,"(R),(D),(*)","Restaurant,Cruising Areas",1980,,,,3/29/2020 12:36am,3/29/2020 12:49am
199,Mailbox,(Cruisy) (Disco),282 Main St.,Worcester,"(*),(YC),(D)","Cruising Areas,Bars/Clubs",1980,,,,3/29/2020 12:36am,3/29/2020 12:49am
203,Drake's Village Inn,,85 Amity St.,Amherst,"(M),(YC)",Hotels,1979,,,,3/29/2020 12:36am,3/29/2020 5:17pm
205,Act I Cinema,,204 Tremont,Boston,,Theatre,1979,,,,3/29/2020 12:36am,3/30/2020 1:43am
206,Bamboo Lounge,,30 Avery St.,Boston,,Bars/Clubs,1979,,,,3/29/2020 12:36am,3/30/2020 1:43am
207,Boston Boston,(Disco) (4th attempt at this old 'super bar') ($3.50 min),13 Landsdowne St.,Boston,"(YC),(D)",Bars/Clubs,1979,,,,3/29/2020 12:36am,3/30/2020 1:43am
208,Boston Eagle,('wild back room'),88 Queensberry St.,Boston,"(SM),(W),(*)",Bars/Clubs,1979,,,,3/29/2020 12:36am,3/30/2020 1:43am
209,Carnival,"(On again, off again) (In the 'Combat Zone'",89 Boylston St.,Boston,"(RT),(AYOR)",Bars/Clubs,1979,,,,3/29/2020 12:36am,3/30/2020 1:43am
210,Chaps,(Wish they would pay me for last year's books),25 Huntington Ave.,Boston,"(W),(YC),(*)",Bars/Clubs,1979,,,,3/29/2020 12:36am,3/30/2020 1:43am
211,Citadel,,22 Avery St.,Boston,"(S),(D),(E)",Bars/Clubs,1979,,,,3/29/2020 12:36am,3/30/2020 1:43am
213,Club Max,(Looks promising) ,54 Park Square,Boston,(R),Baths,1979,,,,3/29/2020 12:36am,3/30/2020 1:43am
214,Community Club,(Disco) (Sun. brunch),252 Boylston,Boston,(D),Bars/Clubs,1979,,,,3/29/2020 12:36am,3/30/2020 1:43am
215,Club 76,,76 Batterymarch,Boston,"(R),(E)","Restaurant,Bars/Clubs",1979,,,,3/29/2020 12:36am,3/30/2020 1:43am
216,Delivery Entrance ,(Bar at The House) ,12 Wilton ,Boston,,Bars/Clubs,1979,,,,3/29/2020 12:36am,3/30/2020 1:43am
217,Eagle Annex,"(Leather, erotica, pet, plant, & gift shop)",81 Kilmarnock St.,Boston,,Business,1979,,,,3/29/2020 12:36am,3/30/2020 1:43am
218,Esplanade Paperbacks Books,,107 Charles St.,Boston,(*),Book Store,1979,,,,3/29/2020 12:36am,3/30/2020 1:43am
219,Harry's Place,,45 Essex St.,Boston,,Bars/Clubs,1979,,,,3/29/2020 12:36am,3/30/2020 1:43am
221,Hound's Tooth,,14 Carver St.,Boston,"(M),(R)",Restaurant,1979,,,,3/29/2020 12:36am,3/30/2020 1:43am
222,Jacque's,(Many G) (Disco),87 Broadway,Boston,"(G),(RT),(D)",Bars/Clubs,1979,,,,3/29/2020 12:36am,3/30/2020 1:43am
223,Jupiter in Aries,"(Gym, sauna, games &  men's massage) (10 a.m. to 12 midnight) ",283 Dartmouth,Boston,,Business,1979,,,,3/29/2020 12:36am,3/30/2020 1:43am
224,Ken's,,549 Boylston St.,Boston,"(M),(R),(C),(AH)",Restaurant,1979,,,,3/29/2020 12:36am,3/30/2020 1:43am
225,La Trattoria,(Italian R),288 Cambridge St.,Boston,"(M),(R)",Restaurant,1979,,,,3/29/2020 12:36am,3/30/2020 1:43am
226,M.C.C.,Old West Church,131 Cambridge St.,Boston,M.C.C.,Church,1979,,,,3/29/2020 12:36am,3/30/2020 1:43am
227,Napoleon Club,(D upstairs WE),52 Piedmont,Boston,"(*),(OC),(E),(D),(WE)",Bars/Clubs,1979,,,,3/29/2020 12:36am,3/30/2020 1:43am
228,119 Merrimac,(Disco) (Thurs. nights*),119 Merrimac,Boston,"(D),(*)",Bars/Clubs,1979,,,,3/29/2020 6:02pm,3/30/2020 1:43am
229,Over Harry's,,45 Essex,Boston,(S),Bars/Clubs,1979,,,,3/29/2020 6:02pm,3/30/2020 1:43am
230,Paperback Booksmith,(Books),753 Boylston,Boston,"(M),(*)",Book Store,1979,,,,3/29/2020 6:02pm,3/30/2020 1:43am
231,Playland,('Hustlers') ('Combat Zone'),21 Essex,Boston,"(RT),(*)",Bars/Clubs,1979,,,,3/29/2020 6:02pm,3/30/2020 1:43am
232,Regency Club Baths,,11 Otis St,Boston,"(*),(OC)",Baths,1979,,,,3/29/2020 6:02pm,3/30/2020 1:43am
233,Saints,(G only) (Apt address:),112 Broad,Boston,"(G),(D),(*)",Bars/Clubs,1979,,,,3/29/2020 6:02pm,3/30/2020 1:43am
234,Shed,(Not what it once was),272 Huntington St.,Boston,(PT),Bars/Clubs,1979,,,,3/29/2020 6:02pm,3/30/2020 1:43am
235,Side Street,(Bookshop),18 La Grange,Boston,,Book Store,1979,,,,3/29/2020 6:02pm,3/30/2020 1:43am
236,Somewhere,(Disco) (Many G),295 Franklin,Boston,"(D),(G)",Bars/Clubs,1979,,,,3/29/2020 6:02pm,3/30/2020 1:43am
237,South Station Station 1 & 2,,23 South St.,Boston,,Theatre,1979,,,,3/29/2020 6:02pm,3/30/2020 1:43am
238,Sporters ,"(Cruisy) (Small disco room) (Opp. Holiday Inn-no sign, but don't miss it-opens 4pm)  nr. Blossom St",228 Cambridge,Boston,"(*),(YC),(PT)","Cruising Areas,Bars/Clubs",1979,,,,3/29/2020 6:30pm,3/31/2020 8:32pm
243,Styx,(Enter from Huntington St. behind public library),10 Blagden,Boston,"(YC),(D),(*)",Bars/Clubs,1979,,,,3/29/2020 6:30pm,3/30/2020 1:43am
244,The Bar,(New cruise bar),252 Boylston St.,Boston,,"Cruising Areas,Bars/Clubs",1979,,,,3/29/2020 6:30pm,3/30/2020 1:43am
245,The House ,"(Italian R) , off Cambridge nr. Harvard (Allston)",12 Wilton St.,Boston,(R),Restaurant,1979,,,,3/29/2020 6:30pm,3/31/2020 8:32pm
246,Together,(Disco) (E downstairs) (Best Mondays),110 Boylston,Boston,"(*),(M),(D),(S),(E)",Bars/Clubs,1979,,,,3/29/2020 6:30pm,3/30/2020 1:43am
272,Twelve Carver,,12 Carver St.,Boston,(*),Bars/Clubs,1979,,,,3/29/2020 7:01pm,3/30/2020 1:43am
247,Twelve-Seventy Club,"(3 floors) (Some B, G) (Disco)",1270 Boylston St.,Boston,"(*),(HIP),(YC),(D),(B),(G)",Bars/Clubs,1979,,,,3/29/2020 6:30pm,3/30/2020 1:43am
258,Charlie's,,10 Elliot St.,Cambridge,"(M),(YC),(WE)",Bars/Clubs,1979,,,,3/29/2020 6:30pm,3/30/2020 1:43am
259,New Hasty Pudding Theatre,,12 Holyoke St.,Cambridge,,Theatre,1979,,,,3/29/2020 6:30pm,3/30/2020 1:43am
260,Paradise Club,(cruisy back room) (Closes 1 a.m.),180 Massachusets Ave.,Cambridge,"(*),(YC)","Cruising Areas,Bars/Clubs",1979,,,,3/29/2020 6:30pm,3/30/2020 1:43am
263,Sword & Shield,,735 Pleasant St.,Fall River,"(D),(*)",Bars/Clubs,1979,,,,3/29/2020 6:30pm,3/30/2020 1:43am
266,Cosmopolitan Cafe,,511 Market Cafe,Lowell,(M),Restaurant,1979,,,,3/29/2020 6:30pm,3/30/2020 1:43am
267,Tower News Stand,(Books),101 Gotham St.,Lowell,(M),Book Store,1979,,,,3/29/2020 6:30pm,3/30/2020 1:43am
269,Fran's Place,(Many G) (Disco),776 Washington,Lynn,"(G),(D),(*)",Bars/Clubs,1979,,,,3/29/2020 6:30pm,3/30/2020 1:43am
271,Ballarou Skating Rink ,(Tues. night roller skating),376 Mystic Ave.,Medford,,Business,1979,,,,3/29/2020 6:30pm,3/30/2020 1:43am
274,House of Orange,,25 Orange St.,Nantucket,"(M),(H)",Hotels,1979,,,,3/29/2020 7:51pm,3/30/2020 1:43am
275,R& R Club,,78 Covel St.,New Bedford,"(D),(*)",Bars/Clubs,1979,,,,3/29/2020 7:51pm,3/30/2020 1:43am
277,Anchor Inn Guest House,,175 Commercial St.,Provincetown,(H),Hotels,1979,,,,3/29/2020 7:51pm,3/30/2020 1:43am
282,Bradford Gardens,,177 Bradford St.,Provincetown,"(M),(H)",Hotels,1979,,,,3/29/2020 7:51pm,3/30/2020 1:43am
283,Bradford House,,41 Bradford St.,Provincetown,(H),Hotels,1979,,,,3/29/2020 7:51pm,3/30/2020 1:43am
372,Burch House,,161 Bradford St.,Provincetown,(H),Hotels,1979,,,,3/29/2020 7:57pm,3/30/2020 1:43am
285,Caper Inn,(Weekly or monthly apartments),14 Mechanic St.,Provincetown,(H),Hotels,1979,,,,3/29/2020 7:51pm,3/30/2020 1:43am
286,Capricorn Guest House,,6 Cottage St.,Provincetown,"(YC),(H)",Hotels,1979,,,,3/29/2020 7:51pm,3/30/2020 1:43am
288,Carl's Guest House,(BYOB for 'set-ups' in patio),68 Bradford St.,Provincetown,"(H),(*),(BYOB)",Hotels,1979,,,,3/29/2020 7:51pm,3/31/2020 1:09am
289,Chancellor Inn,,17 Center St. ,Provincetown,"(M),(H)",Hotels,1979,,,,3/29/2020 7:51pm,3/30/2020 1:43am
290,Ciro & Sal's,(Italian R),4 Kiley Court,Provincetown,"(M),(*),(R)",Restaurant,1979,,,,3/29/2020 7:51pm,3/30/2020 1:43am
291,Cottage,(Breakfast & lunch),149 Commercial St.,Provincetown,"(M),(R),(*)",Restaurant,1979,,,,3/29/2020 7:51pm,3/30/2020 1:43am
292,Crown & Anchor,(Includes the 'Back Room' (Hip) (YC) (D)  & 'Cellar Bar') ,247 Commercial St.,Provincetown,"(H),(R),(*),(HIP),(YC),(D)","Restaurant,Bars/Clubs,Hotels",1979,,,,3/29/2020 7:51pm,3/30/2020 1:43am
294,Fisherman's Cove,,145 Commercial St.,Provincetown,"(H),(*),(R)","Hotels,Restaurant",1979,,,,3/29/2020 7:51pm,3/30/2020 1:43am
295,Five Winslow Street,,5 Winslow St.,Provincetown,"(H),(PE),(OC)",Hotels,1979,,,,3/29/2020 7:51pm,3/30/2020 1:43am
296,Fredrik's Guest House,,156 Bradford St.,Provincetown,(H),Hotels,1979,,,,3/29/2020 7:51pm,3/30/2020 1:43am
