ID,title,description,streetaddress,city,state,amenityfeatures,type,Year,unclearaddress,unclear type,notes,dateadded,lastmodified
81,Alpine Room,(also called 'Golden Greeks'),835 King St.,Wilmington,DE,(*),Bars/Clubs,1965,,,,,
82,Alpine Room,(also called 'Golden Greeks'),835 King St.,Wilmington,DE,(*),Bars/Clubs,1966,,,,,
83,Alpine Room,(also called 'Golden Greeks'),835 King St.,Wilmington,DE,(*),Bars/Clubs,1968,,,,,
85,Alpine Room,(also called 'Golden Greeks'),835 King St.,Wilmington,DE,(*),Bars/Clubs,1969,,,,,
79,Alpine Room,(also called 'Golden Greeks'),835 King St.,Wilmington,DE,(*),Bars/Clubs,1970,,,,,
77,Alpine Room,(also called 'Golden Greeks'),835 King St.,Wilmington,DE,(*),Bars/Clubs,1971,,,,,
75,Alpine Room,(also called 'Golden Greeks'),835 King St.,Wilmington,DE,(*),Bars/Clubs,1972,,,,,
72,Alpine Room,(also called 'Golden Greeks'),835 King St.,Wilmington,DE,(*),Bars/Clubs,1973,,,,,
64,Alpine Room,(The 'Golden Greeks' has set the pace in Wilmington for years),835 King St.,Wilmington,DE,(*),Bars/Clubs,1974,,,,,
55,Alpine Room,(The 'Golden Greeks' has set the pace in Wilmington for years),835 King St.,Wilmington,DE,(*),Bars/Clubs,1975,,,,,
45,Alpine Room,(The Golden Greeks - long time favorite),835 King St.,Wilmington,DE,(*),Bars/Clubs,1976,,,,,
23,Alpine Room,(Cruisy) ('The Golden Greeks'),835 King St.,Wilmington,DE,(*),Crusing Areas,1978,,,,,
13,Alpine Room,(Cruisy) ('The Golden Greek's'),835 King St.,Wilmington,DE,(*),"Crusing Areas,Bars/Clubs",1979,,,,,
5,Alpine Room,(Will be moving),835 King St.,Wilmington,DE,(*),Bars/Clubs,1980,,,,,
35,Alpine Room ,"('The Golden Greeks', A Delaware 'Institution')",835 King Street,Wilmington,DE,(*),Bars/Clubs,1977,,,,,
24,Arc Club,"(Disco)(AH*)(If obtain liquor license, will close earlier)",5101 Gov. Printz Blvd.,Wilmington,DE,"(P),(YC),(D),(AH),(*),(BYOB)",Bars/Clubs,1978,,,,,
14,Dance Land,(Semi-P)(Disco)(Some G)(AH 11pm -6am. WE only),915 Shipley,Wilmington,DE,"(P),(D),(YC),(AH),(WE),(BYOB),(G)",Bars/Clubs,1979,,,,,
65,Dog House,,1200 Dupont,Wilmington,DE,"(M),(R)",Restaurant,1974,,,,,
56,Dog House,,1200 DuPont Hwy.,Wilmington,DE,"(M),(R)",Restaurant,1975,,,,,
46,Dog House,,1200 DuPont Hwy,Wilmington,DE,"(M),(R)",Restaurant,1976,,,,,
47,Gas Lamp,(Some G),915 Shipley St.,Wilmington,DE,"(P),(YC),(G),(D),(*)",Bars/Clubs,1976,,,,,
36,Michaelangelo's,,207 W. 8th,Wilmington,DE,"(D),(*)",Bars/Clubs,1977,,,,,
25,Michaelangelo's,,207 W. 8th,Wilmington,DE,(D),Bars/Clubs,1978,,,,,
86,Playboy,,109 E. 7th St.,Wilmington,DE,(M),Bars/Clubs,1969,,,,,
80,Playboy,,109 E. 7th St.,Wilmington,DE,(M),Bars/Clubs,1970,,,,,
66,Presto,(bar only - late),816 Shipley,Wilmington,DE,"(M),(R)","Restaurant,Bars/Clubs",1974,,,,,
57,Presto,(bar only -late),816 Shipley,Wilmington,DE,"(M),(R)",Restaurant,1975,,,,,
48,Presto,(bar only -late),816 Shipley St.,Wilmington,DE,"(M),(R)",Bars/Clubs,1976,,,,,
37,Renaissance,(Looks promising),107 W. 6th St. ,Wilmington,DE,,Bars/Clubs,1977,,,,,
26,Renaissance,,107 W. 6th St.,Wilmington,DE,(*),Bars/Clubs,1978,,,,,
15,Renaissance,,107 W. 6th St.,Wilmington,DE,"(*),(PT)",Bars/Clubs,1979,,,,,
6,Renaissance,,107 W. 6th St.,Wilmington,DE,(PT),Bars/Clubs,1980,,,,,
39,Steak 'n' Eggs,,702 Delaware Avenue,Wilmington,DE,"(M),(R),(C),(AH)",Restaurant,1977,,,,,
16,Steak 'n' Eggs,,702 Delaware Ave,Wilmington,DE,"(M),(R),(C),(AH)",Restaurant,1979,,,,,
7,Steak 'n' Eggs,,702 Delaware Ave,Wilmington,DE,"(M),(R),(C),(AH)",Restaurant,1980,,,,,
27,Steak 'n' Eggs ,,702 Delaware Ave.,Wilmington,DE,"(M),(R),(C),(AH)",Restaurant,1978,,,,,
28,Tomcat Book Store,,101 W. 8th St.,Wilmington,DE,,Book Store,1978,,,,,
