"title","description","streetaddress","city","state","amenityfeatures","type","Year","notes","lon","lat","status","unclear_address","full.address","geoAddress","ID"
"Lewis & Clark Motor Inn","","2nd & Main","Lewiston","ID","(M),(H)","Hotel",1977,"approximate.",-117.030526,46.421548,"Verified Location",NA,NA,NA,"1977-ID-0034"
"Lewis & Clarke Motel","","2nd & Main","Lewiston","ID","(M),(H)","Hotel",1978,"approximate.",-117.030526,46.421548,"Verified Location",NA,NA,NA,"1978-ID-0035"
"Little Mac's","","9th & Main St.","Boise","ID","(M)","Bars/Clubs",1968,"",-116.204679,43.61622,"Verified Location",NA,NA,NA,"1968-ID-0036"
"Little Mac's","","9th & Main St.","Boise","ID","(M)","Bars/Clubs",1971,"",-116.204679,43.61622,"Verified Location",NA,NA,NA,"1971-ID-0037"
"Little Mac's","","9th & Main St.","Boise","ID","(M)","Bars/Clubs",1966,"",-116.204679,43.61622,"Verified Location",NA,NA,NA,"1966-ID-0038"
"Little Mac's","","9th & Main St.","Boise","ID","(M)","Bars/Clubs",1969,"",-116.204679,43.61622,"Verified Location",NA,NA,NA,"1969-ID-0039"
"Little Mac's","","9th & Main St.","Boise","ID","(M)","Bars/Clubs",1970,"",-116.204679,43.61622,"Verified Location",NA,NA,NA,"1970-ID-0040"
"Moscow Hotel - T-Room","","","Moscow","ID","Cruisy Area","Cruising Areas",1980,"",-117.001911,46.731985,"Verified Location",NA,NA,NA,"1980-ID-0041"
"Moscow Hotel - T-Room","","313 S. Main","Moscow","ID","Cruisy Area","Cruising Areas",1979,"",-117.001911,46.731985,"Verified Location",NA,NA,NA,"1979-ID-0042"
"Northwest Gay Alliance","","P.O. Box 8758, Moscow, Idaho, 83843","Moscow","ID","","Organizations",1980,"",-117.000165,46.732387,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1980-ID-0043"
"Office","","251 E. Center","Pocatello","ID","","Bars/Clubs",1973,NA,-112.4466388,42.864336,"Google Verified Location",NA,NA,NA,"1973-ID-0044"
"Office","","251 E. Center St","Pocatello","ID","(M)","Bars/Clubs",1977,NA,-112.4466388,42.864336,"Google Verified Location",NA,NA,NA,"1977-ID-0045"
