"title","description","streetaddress","city","state","amenityfeatures","type","Year","notes","lon","lat","status","unclear_address","full.address","geoAddress","ID"
"Adult Pleasure Palace","(Books, 'flicks', peep shows & cruisy aracde)","331 20th St.","Rock Island","IL","(*)","Book Store,Cruising Areas",1980,NA,-90.571566,41.50908,"Google Verified Location",NA,NA,NA,"1980-IL-0033"
"Aire Crown Forest Preserve","(Summers)","","La Grange","IL","Cruisy Area","Cruising Areas",1977,"",-87.87216,41.768373,"Verified Location",NA,NA,NA,"1977-IL-0034"
"Airie Crown Forest Preserve","(summers only)","","La Grange","IL","Cruisy Area","Cruising Areas",1976,"",-87.87216,41.768373,"Verified Location",NA,NA,NA,"1976-IL-0035"
"Airie Crown Forest Preserve","(Closed in winter)","","La Grange","IL","Cruisy Area","Cruising Areas",1975,"",-87.87216,41.768373,"Verified Location",NA,NA,NA,"1975-IL-0036"
"Airie Crown Forest Preserve","(Summers)","","La Grange","IL","Cruisy Area","Cruising Areas",1979,"",-87.87216,41.768373,"Verified Location",NA,NA,NA,"1979-IL-0037"
"Airie Crown Forest Preserve","(Summers)","","La Grange","IL","Cruisy Area","Cruising Areas",1978,"",-87.87216,41.768373,"Verified Location",NA,NA,NA,"1978-IL-0038"
"Airie Crown Forest Preserve","(Summers)","","La Grange","IL","Cruisy Area","Cruising Areas",1980,"",-87.87216,41.768373,"Verified Location",NA,NA,NA,"1980-IL-0039"
"Alameda","","5210 N. Sheridan ","Chicago","IL","(*)","Bars/Clubs",1972,NA,-87.6556018,41.9768633,"Google Verified Location",NA,NA,NA,"1972-IL-0040"
"Alameda","","5210 N. Sheridan","Chicago","IL","(*)","Bars/Clubs",1973,NA,-87.6556018,41.9768633,"Google Verified Location",NA,NA,NA,"1973-IL-0041"
"Alameda","","5210 N. Sheridan Rd.","Chicago","IL","(*)","Bars/Clubs",1971,NA,-87.6556018,41.9768633,"Google Verified Location",NA,NA,NA,"1971-IL-0042"
"Alameda","","5210 N. Sheridan","Chicago","IL","","Bars/Clubs",1974,NA,-87.6556018,41.9768633,"Google Verified Location",NA,NA,NA,"1974-IL-0043"
"Alameda","","5210 N. Sheridan","Chicago","IL","","Bars/Clubs",1975,NA,-87.6556018,41.9768633,"Google Verified Location",NA,NA,NA,"1975-IL-0044"
"Alameda","","5210 N. Sheridan","Chicago","IL","","Bars/Clubs",1976,NA,-87.6556018,41.9768633,"Google Verified Location",NA,NA,NA,"1976-IL-0045"
"Alameda","(""Drags"")","5210 N. Sheridan","Chicago","IL","(RT)","Bars/Clubs",1977,NA,-87.6556018,41.9768633,"Google Verified Location",NA,NA,NA,"1977-IL-0046"
"Alameda ","","5210 N. Sheridan Rd","Chicago","IL","(*)","Bars/Clubs",1970,NA,-87.6556018,41.9768633,"Google Verified Location",NA,NA,NA,"1970-IL-0047"
"Alfie's","","900 N. Rush St.","Chicago","IL","(YC),(*)","Cruising Areas,Bars/Clubs",1980,NA,-87.6267975,41.8991897,"Google Verified Location",NA,NA,NA,"1980-IL-0048"
"Alfie's","(Cocktail hour)","900 N. Rush St.","Chicago","IL","(M),(YC),(R)","Restaurant",1978,NA,-87.6267975,41.8991897,"Google Verified Location",NA,NA,NA,"1978-IL-0049"
"Alfie's ","","900 N. Rush St.","Chicago","IL","(YC),(*)","Bars/Clubs,Cruising Areas",1979,NA,-87.6267975,41.8991897,"Google Verified Location",NA,NA,NA,"1979-IL-0050"
"Alibi","","223 N. 5th St.","Springfield","IL","","Bars/Clubs",1972,NA,-89.6494328,39.8033043,"Google Verified Location",NA,NA,NA,"1972-IL-0051"
"Amtrak Station","","","Springfield","IL","(AYOR),Cruisy Area","Cruising Areas",1980,"",-89.651328,39.802343,"Verified Location",NA,NA,NA,"1980-IL-0052"
"Amtrak Station","","","Springfield","IL","(AYOR),Cruisy Area","Cruising Areas",1979,"",-89.651328,39.802343,"Verified Location",NA,NA,NA,"1979-IL-0053"
"Annex","","2865 N Clark St","Chicago","IL","(*)","Bars/Clubs",1969,NA,-87.6460955,41.934492,"Google Verified Location",NA,NA,NA,"1969-IL-0054"
"Annex","(Was closed - may be reopening summer '69)","2865 N. Clark St","Chicago","IL","","Bars/Clubs",1970,NA,-87.6460955,41.934492,"Google Verified Location",NA,NA,NA,"1970-IL-0055"
"Annex","","2865 N Clark St","Chicago","IL","(S),(*)","Bars/Clubs",1965,NA,-87.6460955,41.934492,"Google Verified Location",NA,NA,NA,"1965-IL-0056"
"Annex","","2865 N Clark","Chicago","IL","(*)","Bars/Clubs",1968,NA,-87.6460955,41.934492,"Google Verified Location",NA,NA,NA,"1968-IL-0057"
"Annex","","2865 N. Clark St.","Chicago","IL","(HIP),(YC),(D)","Bars/Clubs",1975,NA,-87.6460955,41.934492,"Google Verified Location",NA,NA,NA,"1975-IL-0058"
"Annex","","2865 N. Clark ","Chicago","IL","(YC),(D)","Bars/Clubs",1976,NA,-87.6460955,41.934492,"Google Verified Location",NA,NA,NA,"1976-IL-0059"
"Annex","(Cruisy late)","2865 N. Clark","Chicago","IL","(YC),(D)","Bars/Clubs,Cruising Areas",1977,"",-87.646095,41.934492,"Verified Location",NA,NA,NA,"1977-IL-0060"
"Annex ","(maybe closing in August 71)","2865 N. Clark St.","Chicago","IL","(YC),(HIP),(*)","Bars/Clubs",1972,NA,-87.6460955,41.934492,"Google Verified Location",NA,NA,NA,"1972-IL-0061"
"Annex ","","2865 N. Clark St.","Chicago","IL","","Bars/Clubs",1971,NA,-87.6460955,41.934492,"Google Verified Location",NA,NA,NA,"1971-IL-0062"
"Annex ","","2865 N. Clark St.","Chicago","IL","(D),(HIP),(YC),(*)","Bars/Clubs",1973,NA,-87.6460955,41.934492,"Google Verified Location",NA,NA,NA,"1973-IL-0063"
"Annex ","","2865 N. Clark St.","Chicago","IL","(HIP),(YC),(D)","Bars/Clubs",1974,NA,-87.6460955,41.934492,"Google Verified Location",NA,NA,NA,"1974-IL-0064"
"Another Place","","7300 S. Cottage Grove","Chicago","IL","(B)","Bars/Clubs",1977,NA,-87.60576,41.762028,"Google Verified Location",NA,NA,NA,"1977-IL-0065"
"Another Place","","7300 S. Cottage Grove","Chicago","IL","(B)","Bars/Clubs",1976,NA,-87.60576,41.762028,"Google Verified Location",NA,NA,NA,"1976-IL-0066"
"Another Place","","Cottage Grove & E. 73rd St.","Chicago","IL","(B)","Bars/Clubs",1975,"",-87.605463,41.76225,"Verified Location",NA,NA,NA,"1975-IL-0067"
"Another Place","","Cottage Grove & E. 73rd St.","Chicago","IL","(B)","Bars/Clubs",1974,"",-87.605463,41.76225,"Verified Location",NA,NA,NA,"1974-IL-0068"
"Audrey's","","6312 W. 111th St","Ridgeland","IL","","Bars/Clubs",1970,NA,-87.7771788,41.6907655,"Google Verified Location",NA,NA,NA,"1970-IL-0069"
"Audrey's","","Ridgeland at 111th St.","Chicago","IL","","Bars/Clubs",1972,"",-87.778759,41.690452,"Verified Location",NA,NA,NA,"1972-IL-0070"
"Augie's","","313 20th St.","Rock Island","IL","(G),(RT)","Bars/Clubs",1972,NA,-90.5715652,41.5094235,"Google Verified Location",NA,NA,NA,"1972-IL-0071"
"Augie's","(inquire locally)","","Rock Island","IL","(G),(RT)","Bars/Clubs",1970,"",-90.578748,41.509477,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1970-IL-0072"
"Augie's","","3237 N. Halsted","Chicago","IL","(G)","Bars/Clubs",1977,NA,-87.6493077,41.9410654,"Google Verified Location",NA,NA,NA,"1977-IL-0073"
"Augie's","","3237 N. Halsted","Chicago","IL","(G),(R)","Restaurant",1975,NA,-87.6493077,41.9410654,"Google Verified Location",NA,NA,NA,"1975-IL-0074"
"Augie's","","313 20th St.","Rock Island","IL","(L),(RT)","Bars/Clubs",1980,NA,-90.5715652,41.5094235,"Google Verified Location",NA,NA,NA,"1980-IL-0075"
"Augie's","","313 20th St.","Rock Island","IL","(G),(RT)","Bars/Clubs",1976,NA,-90.5715652,41.5094235,"Google Verified Location",NA,NA,NA,"1976-IL-0076"
"Augie's","","313 20th St.","Rock Island","IL","(G),(RT)","Bars/Clubs",1975,NA,-90.5715652,41.5094235,"Google Verified Location",NA,NA,NA,"1975-IL-0077"
"Augie's","","313 20th Street","Rock Island","IL","(G),(RT)","Bars/Clubs",1977,NA,-90.5715652,41.5094235,"Google Verified Location",NA,NA,NA,"1977-IL-0078"
"Augie's","","3729 N. Halsted","Chicago","IL","(G)","Bars/Clubs",1979,NA,-87.6493634,41.9499403,"Google Verified Location",NA,NA,NA,"1979-IL-0079"
"Augie's","","313 20th St.","Rock Island","IL","(G),(RT)","Bars/Clubs",1974,NA,-90.5715652,41.5094235,"Google Verified Location",NA,NA,NA,"1974-IL-0080"
"Augie's","","313 20th St.","Rock Island","IL","(G),(RT)","Bars/Clubs",1978,NA,-90.5715652,41.5094235,"Google Verified Location",NA,NA,NA,"1978-IL-0081"
"Augie's","","3729 No. Halsted","Chicago","IL","(G)","Bars/Clubs",1978,NA,-87.6493634,41.9499403,"Google Verified Location",NA,NA,NA,"1978-IL-0082"
"Augie's ","","313 20th St.","Rock Island","IL","(G),(RT)","Bars/Clubs",1973,NA,-90.5715652,41.5094235,"Google Verified Location",NA,NA,NA,"1973-IL-0083"
"Augie's ","(Inquire locally)","","Rock Island","IL","(G),(RT)","Bars/Clubs",1971,NA,-90.5787476,41.5094771,"Google Verified Location",NA,NA,NA,"1971-IL-0084"
"Augie's ","","313 20th St.","Rock Island","IL","(G),(RT)","Bars/Clubs",1979,NA,-90.5715652,41.5094235,"Google Verified Location",NA,NA,NA,"1979-IL-0085"
"Augie's ","","3729 N. Halsted","Chicago","IL","(L)","Bars/Clubs",1980,NA,-87.6493634,41.9499403,"Google Verified Location",NA,NA,NA,"1980-IL-0086"
"Augie's ","","3237 N. Halstead","Chicago","IL","(G)","Bars/Clubs",1976,NA,-87.6493077,41.9410654,"Google Verified Location",NA,NA,NA,"1976-IL-0087"
"Balloon Saloon","(Some G)","317 No. Fremont Ave.","Champaign","IL","(YC),(D),(G),(*)","Bars/Clubs",1978,NA,-88.242339,40.1196303,"Google Verified Location",NA,NA,NA,"1978-IL-0088"
"Balloon Saloon ","(Some G)","317 N. Fremont Avenue ","Champaign","IL","(YC),(D),(G),(*)","Bars/Clubs",1977,NA,-88.242339,40.1196303,"Google Verified Location",NA,NA,NA,"1977-IL-0089"
"Baloon Saloon","(Some G)","317 N. Fremont Ave.","Champaign","IL","(YC),(D),(*),(G)","Bars/Clubs",1976,NA,-88.242339,40.1196303,"Google Verified Location",NA,NA,NA,"1976-IL-0090"
"Baloon Saloon","(Some G)","317 N. Fremont Ave.","Champaign","IL","(G),(YC),(D),(*)","Bars/Clubs",1975,NA,-88.242339,40.1196303,"Google Verified Location",NA,NA,NA,"1975-IL-0091"
"Bank Vault","(Disco)","200 W. State","Calumet City","IL","(YC),(D),(*)","Bars/Clubs",1978,NA,-87.5615941,41.6300658,"Google Verified Location",NA,NA,NA,"1978-IL-0092"
"Bank Vault","(Disco)","200 W. State","Calumet City","IL","(YC),(D)","Bars/Clubs",1980,NA,-87.5615941,41.6300658,"Google Verified Location",NA,NA,NA,"1980-IL-0093"
"Bank Vault ","(Disco)","200 W. State","Calumet City","IL","(YC),(D)","Bars/Clubs",1979,NA,-87.5615941,41.6300658,"Google Verified Location",NA,NA,NA,"1979-IL-0094"
