Field 1,ID,title,description,streetaddress,city,state,amenityfeatures,type,Year,notes,lon,lat,status
27084,S1462,Capri Adult Theatre ,(Cruisy) ,1319 No. 15th St. ,Waco,TX,(M),"Cruising Areas,Theatre",1978,,-97.1505568,31.5589329,Google Verified Location
27086,S1464,Capri Theatre ,,818 East St. ,Texarkana,TX,,Bars/Clubs,1978,,-94.0299578,33.4129678,Google Verified Location
27088,S1466,Captain Tony's,,428 Green St,Key West,FL,"(M),(*)",Bars/Clubs,1971,,-81.8055051,24.5588141,Google Verified Location
27087,S1465,Captain Tony's,,428 Green St.,Key West,FL,(*),Bars/Clubs,1970,,-81.8055051,24.5588141,Google Verified Location
27089,S1467,Captain Tony's ,,428 Green St.,Key West,FL,"(M),(*)",Bars/Clubs,1972,,-81.8055051,24.5588141,Google Verified Location
27090,S1468,Captain Tony's ,,428 Green St.,Key West,FL,(M),Bars/Clubs,1973,,-81.8055051,24.5588141,Google Verified Location
27091,S1469,Captains II,Montgomery Coliseum Travelodge,1550 Federal Dr.,Montgomery,AL,"(YC),(D),(*)",Bars/Clubs,1973,,-86.2685105,32.4023449,Google Verified Location
27092,S1470,Cara Mia,(DIsco),5306 S. Cleveland,Ft. Myers,FL,"(M),(R),(D)",Restaurant,1980,,-81.8719789,26.5824991,Google Verified Location
27093,S1471,Cara Mia ,,1031 No. Tamiami Trail,Ft. Myers,FL,(R),Restaurant,1978,,-81.8775451,26.6628678,Google Verified Location
27095,S1473,Carnival,,137 NE 3rd St,Miami,FL,(*),Bars/Clubs,1966,,-80.1914253,25.7771056,Google Verified Location
27094,S1472,Carnival,,137 NE 3rd Ave,Miami,FL,(*),Bars/Clubs,1965,,-80.1885924,25.7759724,Google Verified Location
27096,S1474,Carnival,,137 NE 3rd St,Miami,FL,,Bars/Clubs,1968,,-80.1914253,25.7771056,Google Verified Location
27100,S1478,Carnival,"(Latins)
",137 N.E. 3rd Ave,Miami,FL,(RT),Bars/Clubs,1974,,-80.1885924,25.7759724,Google Verified Location
27098,S1476,Carnival,,137 N.E. 3rd Ave,Miami,FL,,Bars/Clubs,1970,,-80.1885924,25.7759724,Google Verified Location
27099,S1477,Carnival,,137 N.E. 3rd Ave,Miami,FL,(RT),Bars/Clubs,1971,,-80.1885924,25.7759724,Google Verified Location
27097,S1475,Carnival,,137 NE 3rd Ave,Miami,FL,,Bars/Clubs,1969,,-80.1885924,25.7759724,Google Verified Location
27103,S1481,Carnival ,(Latins),137 N.E. 3rd Ave,Miami,FL,(RT),Bars/Clubs,1976,,-80.1885924,25.7759724,Google Verified Location
27102,S1480,Carnival ,(Latins),137 N.E. 3rd Ave.,Miami,FL,(RT),Bars/Clubs,1975,,-80.1885924,25.7759724,Google Verified Location
27101,S1479,Carnival ,,137 N.E. 3rd Ave.,Miami,FL,(RT),Bars/Clubs,1972,,-80.1885924,25.7759724,Google Verified Location
27104,S1482,Carnival ,(Latins) ,137 N.E. 3rd Avenue ,Miami,FL,(RT),Bars/Clubs,1977,,-80.1885924,25.7759724,Google Verified Location
27108,S1485,Carnival Room,,2506 Tangley,Houston,TX,"(D),(P),(C)",Bars/Clubs,1966,,-95.416987,29.7200315,Google Verified Location
27107,S1483,Carnival Room,,2506 Tangley,Houston,TX,,Bars/Clubs,1965,,-95.416987,29.7200315,Google Verified Location
27105,S1484,Carnival Room,"Sheraton-Peabody Hotel
",149 Union Ave,Memphis,TN,"(M),(PE)","Bars/Clubs,Hotel",1966,,-90.0519835,35.1426419,Google Verified Location
27106,S1486,Carnival Room,Shearton-Peabody Hotel,149 Union Ave,Memphis,TN,"(M),(PE)","Bars/Clubs,Hotel",1968,,-90.0519835,35.1426419,Google Verified Location
27109,S1487,Carnival Room ,"Sheraton-Peabody Hotel
",149 Union Ave,Memphis,TN,"(PE),(M)","Bars/Clubs,Hotel",1969,,-90.0519835,35.1426419,Google Verified Location
27113,S1491,Carousel,,1806 W. Platt St.,Tampa,FL,"(*),(YC),(D)",Bars/Clubs,1970,,-82.4781736,27.9416592,Google Verified Location
27112,S1490,Carousel,,1806 W Platt St,Tampa,FL,(*),Bars/Clubs,1968,,-82.4781736,27.9416592,Google Verified Location
27119,S1497,Carousel,(Disco) (2 floors),1501 White Ave. S.,Knoxville,TN,"(*),(YC),(D),(R),(E),(S)","Bars/Clubs,Restaurant",1980,,-83.9290607,35.9591021,Google Verified Location
27110,S1488,Carousel,,1806 W Platt St,Tampa,FL,(*),Bars/Clubs,1965,,-82.4781736,27.9416592,Google Verified Location
27120,S1495,Carousel,,703 Travis,Wichita Falls,TX,,Bars/Clubs,1976,,-98.4947914,33.9114268,Google Verified Location
27118,S1498,Carousel,,1806 W. Platt,Tampa,FL,"(L),(D)",Bars/Clubs,1980,,-82.4781736,27.9416592,Google Verified Location
27115,S1493,Carousel,(50¢ adm. Weekends),1806 W. Platt St.,Tampa,FL,"(YC),(D),(*)",Bars/Clubs,1972,,-82.4781736,27.9416592,Google Verified Location
27111,S1489,Carousel,,1806 W. Platt St,Tampa,FL,(*),Bars/Clubs,1966,,-82.4781736,27.9416592,Google Verified Location
27117,S1496,Carousel,($1.50 min.)(Disco),1806 W. Platt,Tampa,FL,"(B),(YC),(D),(G)",Bars/Clubs,1976,,-82.4781736,27.9416592,Google Verified Location
27114,S1492,Carousel,($.50 adm. weekends),1806 W. Platt St. ,Tampa,FL,"(YC),(D),(*)",Bars/Clubs,1971,,-82.4781736,27.9416592,Google Verified Location
27116,S1494,Carousel,($1 admission weekends),1806 W. Platt St,Tampa,FL,"(YC),(D),(*)",Bars/Clubs,1974,,-82.4781736,27.9416592,Google Verified Location
27130,S1505,Carousel ,,"
  703 Travis
  ",Wichita Falls,TX,(*),Bars/Clubs,1978,,-98.4947914,33.9114268,Google Verified Location
27129,S1503,Carousel ,,703 Travis ,Wichita Falls,TX,(*),Bars/Clubs,1977,,-98.4947914,33.9114268,Google Verified Location
27123,S1501,Carousel ,(Disco) ($1.50 minimum),1806 W. Platt,Tampa,FL,"(YC),(HIP),(G),(B),(*),(D)",Bars/Clubs,1975,,-82.4781736,27.9416592,Google Verified Location
27126,S1502,Carousel ,(Some G) (Disco) (two floors) ,1501 White Avenue ,Knoxville,TN,"(YC),(D),(R),(S),(*),(G)","Bars/Clubs,Restaurant",1977,,-83.9290607,35.9591021,Google Verified Location
27124,S1506,Carousel ,(Disco) (Looking up again),1806 W. Platt ,Tampa,FL,"(G),(D)",Bars/Clubs,1978,,-82.4781736,27.9416592,Google Verified Location
27125,S1508,Carousel ,(Disco) (Some G) ,1806 W. Platt ,Tampa,FL,"(*),(D),(G)",Bars/Clubs,1979,,-82.4781736,27.9416592,Google Verified Location
27127,S1504,Carousel ,(Some G) (Disco) (2 floors) ,1501 White Ave. So. ,Knoxville,TN,"(*),(YC),(D),(R),(E),(S),(G)",Restaurant,1978,,-83.9290607,35.9591021,Google Verified Location
27122,S1500,Carousel ,($1.00 adm. Wkends),1806 W. Platts St.,Tampa,FL,"(SM),(D),(*)",Bars/Clubs,1973,,-82.4781736,27.9416592,Google Verified Location
27128,S1507,Carousel ,(2 floors) (Disco) ,1501 White Ave. S.,Knoxville,TN,"(*),(YC),(D),(R),(E),(S)",Restaurant,1979,,-83.9290607,35.9591021,Google Verified Location
27121,S1499,Carousel ,,1806 W. Platt St,Tampa,FL,"(YC),(*)",Bars/Clubs,1969,,-82.4781736,27.9416592,Google Verified Location
27131,S1509,Carousel Book Store,,5606 Charlotte,Nashville,TN,,Book Store,1980,,-86.8587377,36.1499482,Google Verified Location
27132,S1510,Carter's Adult Book Store ,,2819 Louisiana ,Houston,TX,,Book Store,1978,,-95.377785,29.7455825,Google Verified Location
27133,S1511,Carter's Adult Library ,,1201 Richmond ,Houston,TX,,Book Store,1977,,-95.3939347,29.7342557,Google Verified Location
27134,S1512,Carter's Warehouse ,(Adult books) ,1201 Richmond,Houston,TX,,Book Store,1979,,-95.3939347,29.7342557,Google Verified Location
27135,S1513,Cary Towne Inn,,Cary St. & Belmont,Richmond,VA,"(L),(*)",Bars/Clubs,1980,,-77.480097,37.552959,Verified Location
27136,S1514,Cary Towne Inn ,Inquire locally (G-nights),,Richmond,VA,,Bars/Clubs,1979,,-77.4360481,37.5407246,Google Verified Location
27139,S1517,Casa Blanca,(Some ladies) (Disco) (Cruise bar),220 Pat Harrison Ave.,Biloxi,MS,"(YC),(L),(D),(*)","Bars/Clubs,Cruising Areas",1980,,-88.9278795,30.3979311,Google Verified Location
27137,S1515,Casa Blanca,(Some G) (Disco) (Also Follies cruise bar) ,220 Pat Harrison Ave. ,Biloxi,MS,"(YC),(D),(*),(G)","Bars/Clubs,Cruising Areas",1978,,-88.9278795,30.3979311,Google Verified Location
27138,S1516,Casa Blanca,(Some G) (Disco) (Cruise Bar) ,220 Pat Harrison Ave. ,Biloxi,MS,"(*),(YC),(D),(G)","Bars/Clubs,Cruising Areas",1979,,-88.9278795,30.3979311,Google Verified Location
27140,S1518,Casa de Felicidad,,5018 Branch Ave. ,Tampa,FL,"(H),(OC)",Hotel,1978,,-82.4575683,27.9922457,Google Verified Location
27141,S1519,Casa de Felicidad,,5018 Branch Ave. ,Tampa,FL,"(H),(OC)",Hotel,1979,,-82.4575683,27.9922457,Google Verified Location
27142,S1520,Casa de Felicidad,,5018 Branch Ave.,Tampa,FL,"(H),(OC)",Hotel,1980,,-82.4575683,27.9922457,Google Verified Location
27143,S1521,Casa Donovan Guest House,,617 Whitehead,Key West,FL,"(H),(*)",Hotel,1980,,-81.8026011,24.5536811,Google Verified Location
27145,S1523,Casbar,,1390 Ocean Dr,Miami Beach,FL,,Bars/Clubs,1969,,-80.1299915,25.7850292,Google Verified Location
27146,S1524,Casbar,,1390 Ocean Dr.,Miami Beach,FL,,Bars/Clubs,1970,,-80.1299915,25.7850292,Google Verified Location
27144,S1522,Casbar,,1390 Ocean Dr,Miami Beach,FL,,Bars/Clubs,1968,,-80.1299915,25.7850292,Google Verified Location
27147,S1525,Casino ,(P-Show Adress Book for adm.) (Some G) (Disco),2526 Moss St.,Lafayette,LA,"(D),(*),(G),(P)",Bars/Clubs,1979,,-92.0057134,30.2552201,Google Verified Location
27151,S1529,Castaways,,310 Ingalles,Pascagoula,MS,(M),Bars/Clubs,1978,,-88.559345,30.3547311,Google Verified Location
27153,S1531,Castaways,,310 Ingalles,Pascagoula,MS,(M),Bars/Clubs,1980,,-88.559345,30.3547311,Google Verified Location
27150,S1528,Castaways,,310 Ingalles Ave.,Pascagoula,MS,(M),Bars/Clubs,1976,,-88.559345,30.3547311,Google Verified Location
27148,S1526,Castaways,(weekends),413 N. 1st St,Jacksonville Beach,FL,"(M),(YC),(S)",Bars/Clubs,1974,,-81.3901487,30.2925151,Google Verified Location
27152,S1530,Castaways,,310 Ingalles,Pascagoula,MS,(M),Bars/Clubs,1979,,-88.559345,30.3547311,Google Verified Location
27149,S1527,Castaways,,310 Ingalles Ave.,Pascagoula,MS,(M),Bars/Clubs,1975,,-88.559345,30.3547311,Google Verified Location
27154,S1532,Castaways Lounge ,(Some G) (No sign -just door marked Private) ,3027 E. Palmetto St. ,Florence,SC,"(P),(PT),(G)",Bars/Clubs,1979,,-79.7067481,34.1973204,Google Verified Location
27155,S1533,Castle,,3019 N. Haskell,Dallas,TX,"(M),(G),(B)",Bars/Clubs,1973,,-96.793667,32.8072282,Google Verified Location
27157,S1535,Castle,,3019 N. Haskell,Dallas,TX,"(M),(G),(B)",Bars/Clubs,1975,,-96.793667,32.8072282,Google Verified Location
27158,S1536,Castle,,3019 N. Haskell,Dallas,TX,"(M),(G),(B)",Bars/Clubs,1976,,-96.793667,32.8072282,Google Verified Location
27156,S1534,Castle,,3019 N. Haskell,Dallas,TX,"(M),(G),(B)",Bars/Clubs,1974,,-96.793667,32.8072282,Google Verified Location
27159,S1537,Castle Club,Inquire locally,,Daytona Beach,FL,"(D),(P)",Bars/Clubs,1968,,-81.022833,29.210815,Verified Location
27160,S1538,Catfish Hut,,Hwy. 90,Ponce de Leon,FL,"(HIP),(YC),(D),(R),(*)",Restaurant,1973,,-85.937436,30.722967,Location could not be verified. General city or location coordinates used.
27161,S1539,Catfish Hut,,,Ponce De Leon,FL,"(M),(R)",Restaurant,1974,,-85.937436,30.722967,Location could not be verified. General city or location coordinates used.
27162,S1540,Cavanaugh's Boutique,"(Liquid, etc.)",520 Front St.,Key West,FL,,Bars/Clubs,1980,,-81.8052062,24.5605022,Google Verified Location
27163,S1541,Cave,"at 3rd
",304 Main,Ft. Worth,TX,,Bars/Clubs,1974,,-97.3355414,32.7624674,Google Verified Location
27164,S1542,Cavern's,,901 Bourbon St. ,New Orleans,LA,,Bars/Clubs,1971,,-90.0642121,29.9604081,Google Verified Location
27165,S1543,Caverns,,901 Bourbon St.,New Orleans,LA,,Bars/Clubs,1970,,-90.0642121,29.9604081,Google Verified Location
27166,S1544,Caverns,,801 Bourbon St.,New Orleans,LA,"(D),(*)",Bars/Clubs,1972,,-90.0649145,29.9596511,Google Verified Location
27167,S1545,Caverns,(best late),801 Bourbon St.,New Orleans,LA,"(HIP),(YC),(B),(RT),(D),(*)",Bars/Clubs,1974,,-90.0649145,29.9596511,Google Verified Location
27168,S1546,Caverns,(Best Late *),801 Bourbon St.,New Orleans,LA,"(HIP),(YC),(B),(RT),(D),(*)",Bars/Clubs,1975,,-90.0649145,29.9596511,Google Verified Location
27169,S1547,Caverns ,,801 Bourbon St.,New Orleans,LA,"(HIP),(YC),(B),(RT),(D),(*)",Bars/Clubs,1973,,-90.0649145,29.9596511,Google Verified Location
27170,S1548,CBC Ft. Lauderdale,(Baths),3271 W. Broward Blvd.,Ft. Lauderdale,FL,(YC),Baths,1980,,-80.189054,26.121745,Google Verified Location
27171,S1549,Ce-Ray's Corral,(Disco) (Adm),2015 Federal Dr.,Montgomery,AL,"(P),(M),(YC),(D),(S),(PT),(*)",Bars/Clubs,1980,,-86.2653378,32.4056272,Google Verified Location
27172,S1550,Cecil's,,613 Duval,Key West,FL,,Bars/Clubs,1968,,-81.8015973,24.5546473,Google Verified Location
27173,S1551,Cental Cafe,('Market Place') (May be moving or closing),Springhill & Dauphin,Mobile,AL,,Bars/Clubs,1980,,-88.039911,30.695341,Location could not be verified. General city or location coordinates used.
27174,S1552,Centaur,,2237 Cedar Spings,Dallas,TX,,Bars/Clubs,1965,,-96.8057066,32.7948,Google Verified Location
27175,S1553,Centaur Phase II,(Disco) (Wed. - Sun popular),Hwy. 64-70,Hickory,NC,"(S),(YC),(D),(*)",Bars/Clubs,1980,,-81.344457,35.734454,Location could not be verified. General city or location coordinates used.
27176,S1554,Centennial Male Theatre,,3551 W. Broward,Ft. Lauderdale,FL,,Theatre,1980,,-80.195868,26.121504,Google Verified Location
27177,S1555,Centennial Male Theatre ,,"3551 W, Broward",Ft. Lauderdale,FL,,Theatre,1979,,-80.195868,26.121504,Google Verified Location
27178,S1556,Centennial Park,near the lake,,Nashville,TN,Cruisy Area,Cruising Areas,1975,,-86.811991,36.149026,Verified Location
27179,S1557,Centennial Park,nr. the lake,,Nashville,TN,Cruisy Area,Cruising Areas,1980,,-86.811991,36.149026,Verified Location
27180,S1558,Centennial Park - near the lake,,,Nashville,TN,Cruisy Area,Cruising Areas,1976,,-86.811991,36.149026,Verified Location
27181,S1559,Centennial Park -near the Lake,,,Nashville,TN,Cruisy Area,Cruising Areas,1977,,-86.811991,36.149026,Verified Location
27182,S1560,Centennial Park -nr. the Lake,,,Nashville,TN,Cruisy Area,Cruising Areas,1978,,-86.811991,36.149026,Verified Location
27183,S1561,Centennial Park -nr. the lake,,,Nashville,TN,Cruisy Area,Cruising Areas,1979,,-86.811991,36.149026,Verified Location
27184,S1562,Central Book Mart,,2430 Central Ave. ,St. Petersburg,FL,,Book Store,1979,,-82.666426,27.7708138,Google Verified Location
27185,S1563,Central Book Mart ,,2436 Central Ave. ,St. Petersburg,FL,,Book Store,1978,,-82.6665394,27.7708948,Google Verified Location
27186,S1564,Central Cafe,"('Market Place') (Some western cowboy types, motorcycle, blacks)
(Go-go boys)",Springhill & Dauphin,Mobile,AL,"(W),(B),(D)",Bars/Clubs,1978,,-88.039911,30.695341,Location could not be verified. General city or location coordinates used.
27187,S1565,Central Cafe ,(Market Place) (Dull)  ,Springhill & Dauphin,Mobile,AL,,Restaurant,1979,,-88.039911,30.695341,Location could not be verified. General city or location coordinates used.
27189,S1567,Central Park,,,Louisville,KY,Cruisy Area,Cruising Areas,1974,,-85.762809,38.229611,Verified Location
27190,S1568,Central Park,,4th and Magnolia,Louisville,KY,Cruisy Area,Cruising Areas,1975,,-85.762809,38.229611,Verified Location
27188,S1566,Central Park,,4th & Magnolia,Louisville,KY,Cruisy Area,Cruising Areas,1973,,-85.762809,38.229611,Verified Location
27191,S1569,Central Park - 4th & Magnolia,,,Louisville,KY,Cruisy Area,Cruising Areas,1976,,-85.762809,38.229611,Verified Location
27192,S1570,Central Park - 4th & Magnolia,,,Louisville,KY,Cruisy Area,Cruising Areas,1980,,-85.762809,38.229611,Verified Location
27194,S1572,Central Park -4th & Magnolia,,,Louisville,KY,Cruisy Area,Cruising Areas,1978,,-85.762809,38.229611,Verified Location
27193,S1571,Central Park -4th & Magnolia,,,Louisville,KY,Cruisy Area,Cruising Areas,1977,,-85.762809,38.229611,Verified Location
