Field 1,ID,title,description,streetaddress,city,state,amenityfeatures,type,Year,notes,lon,lat,status
803,OK195,White St. - nr. the U. of OK.,,,Norman,OK,Cruisy Area,Cruising Areas,1980,,-97.444652,35.213017,Verified Location
822,OK214,White St. - nr. the U. of OK.,,,Norman,OK,Cruisy Area,Cruising Areas,1979,,-97.444652,35.213017,Verified Location
837,OK229,White St. - nr. the U. of OK.,,,Norman,OK,Cruisy Area,Cruising Areas,1978,,-97.444652,35.213017,Verified Location
631,OK023,Whittier Square Books,('Flicks' & arcade),1 N. Lewis,Tulsa,OK,(M),Bars/Clubs,1980,NA,-95.9579717,36.1600042,Google Verified Location
657,OK049,Whittier Square Books,('Flicks' & arcade),1 N. Lewis,Tulsa,OK,(M),Book Store,1979,NA,-95.9579717,36.1600042,Google Verified Location
807,OK199,Will Rogers Park,,,Oklahoma City,OK,"Cruisy Area,(AYOR)",Cruising Areas,1980,,-97.580252,35.503952,Verified Location
871,OK263,Will Rogers Park,,,Oklahoma City,OK,"Cruisy Area,(HOT)",Cruising Areas,1975,,-97.580252,35.503952,Verified Location
823,OK215,Will Rogers Park,,,Oklahoma City,OK,"Cruisy Area,(HOT)",Cruising Areas,1979,,-97.580252,35.503952,Verified Location
844,OK236,Will Rogers Park,,,Oklahoma City,OK,"Cruisy Area,(HOT)",Cruising Areas,1978,,-97.580252,35.503952,Verified Location
856,OK248,Will Rogers Park,,,Oklahoma City,OK,"Cruisy Area,(HOT)",Cruising Areas,1977,,-97.580252,35.503952,Verified Location
863,OK255,Will Rogers Park,,,Oklahoma City,OK,"Cruisy Area,(HOT)",Cruising Areas,1976,,-97.580252,35.503952,Verified Location
852,OK244,Woodward Park,,,Tulsa,OK,Cruisy Area,Cruising Areas,1978,,-95.973661,36.131925,Verified Location
861,OK253,Woodward Park,,,Tulsa,OK,Cruisy Area,Cruising Areas,1977,,-95.973661,36.131925,Verified Location
836,OK228,Woodward Park,,,Tulsa,OK,Cruisy Area,Cruising Areas,1979,,-95.973661,36.131925,Verified Location
816,OK208,Woodward Park,,,Tulsa,OK,Cruisy Area,Cruising Areas,1980,,-95.973661,36.131925,Verified Location
632,OK024,Zebra,,720 S. Main,Tulsa,OK,"(P),(OC),(W)",Bars/Clubs,1980,NA,-95.9889231,36.1487383,Google Verified Location
699,OK091,Zebra,,720 S. Main,Tulsa,OK,"(P),(OC),(W)",Bars/Clubs,1977,NA,-95.9889231,36.1487383,Google Verified Location
658,OK050,Zebra,,720 S. Main,Tulsa,OK,"(P),(OC),(W)",Bars/Clubs,1979,NA,-95.9889231,36.1487383,Google Verified Location
679,OK071,Zebra ,,720 So. Main,Tulsa,OK,"(P),(OC),(W)",Bars/Clubs,1978,NA,-95.9889231,36.1487383,Google Verified Location
753,OK145,Zebra Lounge,,721 S. Main,Tulsa,OK,"(P),(YC)",Bars/Clubs,1975,NA,-95.9889314,36.1493552,Google Verified Location
736,OK128,Zebra Lounge,,721 S. Main,Tulsa,OK,"(P),(BYOB)",Bars/Clubs,1974,NA,-95.9889314,36.1493552,Google Verified Location
714,OK106,Zebra Lounge,,721 S. Main,Tulsa,OK,"(P),(YC),(*)",Bars/Clubs,1976,NA,-95.9889314,36.1493552,Google Verified Location
719,OK111,Zebra Lounge,,720 S. Main St. ,Tulsa,OK,"(P),(BYOB)",Bars/Clubs,1973,NA,-95.9889231,36.1487383,Google Verified Location
900,OK292,Zipper's,(Disco) (Cl. Mon & Tues.),33rd & Yale,Tulsa,OK,"(YC),(D)",Bars/Clubs,1980,,-95.922485,36.115654,Verified Location
