"title","description","streetaddress","city","state","amenityfeatures","type","Year","notes","lon","lat","status","unclear_address","full.address","geoAddress","ID"
"Downstairs Club","","617 Brooks St.","Charlestown","WV","(P),(YC),(D),(*)","Bars/Clubs",1975,NA,-81.6256421,38.3500112,"Google Verified Location",NA,NA,NA,"1975-WV-0033"
"Downstairs Club","","617 Brooks St.","Charlestown","WV","(*)","Bars/Clubs",1972,NA,-81.6256421,38.3500112,"Google Verified Location",NA,NA,NA,"1972-WV-0034"
"Downstairs Club","","617 Brooks St.","Charlestown","WV","(YC),(D),(P),(*)","Bars/Clubs",1973,NA,-81.6256421,38.3500112,"Google Verified Location",NA,NA,NA,"1973-WV-0035"
"Downstaris Club","(Disco) (Some G)","617 Brooks St.","Charlestown","WV","(P),(D),(G),(S),(*)","Bars/Clubs",1977,NA,-81.6256421,38.3500112,"Google Verified Location",NA,NA,NA,"1977-WV-0036"
"Driftwood Lounge","(Out of state guests welcome - opens 4 p.m.)","1121 7th Ave.","Huntington","WV","(P),(YC),(D),(*)","Bars/Clubs",1978,NA,-82.4382673,38.4171622,"Google Verified Location",NA,NA,NA,"1978-WV-0037"
"Driftwood Lounge","(Opens 4 p.m.) (Out of staters welcome)","1121 7th Ave.","Huntington","WV","(P),(YC),(D),(*)","Bars/Clubs",1979,NA,-82.4382673,38.4171622,"Google Verified Location",NA,NA,NA,"1979-WV-0038"
"Driftwood Lounge","(Opens 4 pm) (Out of staters welcome)","1121 7th Ave.","Huntington","WV","(*),(P),(YC),(D)","Bars/Clubs",1980,NA,-82.4382673,38.4171622,"Google Verified Location",NA,NA,NA,"1980-WV-0039"
"Elixir","(Some G) (Disco)","742 W. Pike St.","Clarksburg","WV","(M),(YC),(G),(D),(*)","Bars/Clubs",1978,NA,-80.348299,39.2823675,"Google Verified Location",NA,NA,NA,"1978-WV-0040"
"Elixir","(Some G) (Disco)","742 W. Pike St.","Clarksburg","WV","(M),(YC),(G),(D),(*)","Bars/Clubs",1977,NA,-80.348299,39.2823675,"Google Verified Location",NA,NA,NA,"1977-WV-0041"
"Elk Ridge Ranch ","","Box 284-C, R.I., Harpers Ferry, W. Va 25425","Harpers Ferry","WV","(H)","Hotel",1974,NA,-77.7292072,39.3228225,"Google Verified Location",NA,NA,NA,"1974-WV-0042"
"Elk Ridge Ranch & Camp","","Box 284-C, R.I., Harpers Ferry, W. Va. 25425","Harpers Ferry","WV","(H),(P)","Hotel",1975,NA,-77.7292072,39.3228225,"Google Verified Location",NA,NA,NA,"1975-WV-0043"
"Elk Ridge Ranch & Camp","","Box 284-C, R.J., Harpers Ferry, W. VA 25425","Harpers Ferry","WV","(P),(H)","Hotel",1977,NA,-77.7388818,39.3253786,"Google Verified Location",NA,NA,NA,"1977-WV-0044"
"Elk Ridge Ranch & Camp","(Summers)","Box 284-C, R.J., Harpers Ferry, W.V 25425","Harpers Ferry","WV","(P),(H)","Hotel",1978,NA,-77.7388818,39.3253786,"Google Verified Location",NA,NA,NA,"1978-WV-0045"
"Elk Ridge Ranch & Camp","","Box 284-C, R.I., Harpers Ferry, W. Va. 25425","Harpers Ferry","WV","(P),(H)","Hotel",1976,NA,-77.7292072,39.3228225,"Google Verified Location",NA,NA,NA,"1976-WV-0046"
"Empire","(Downstairs) (Some M, RT)","1022 Quarrier","Charlestown","WV","(M),(RT)","Bars/Clubs",1979,NA,-81.6325878,38.3482742,"Google Verified Location",NA,NA,NA,"1979-WV-0047"
"Empire ","(Some M, RT) (Downstairs)","1022 Quarrier St.","Charlestown","WV","(M),(RT)","Bars/Clubs",1980,NA,-81.6325878,38.3482742,"Google Verified Location",NA,NA,NA,"1980-WV-0048"
"Fran's","","7th Ave. at 1st St.","Huntington","WV","","Bars/Clubs",1974,NA,-82.456431,38.414338,"Verified Location",NA,NA,NA,"1974-WV-0049"
"Grand Palace","(Disco) (Occ. S) (Some L)","617 Brooks St.","Charlestown","WV","(*),(YC),(D),(P),(S),(L)","Bars/Clubs",1980,NA,-81.6256421,38.3500112,"Google Verified Location",NA,NA,NA,"1980-WV-0050"
"Greek Club","","Lee St.","Charlestown","WV","","Bars/Clubs",1971,NA,-81.630743,38.348486,"Location could not be verified. General city or location coordinates used.",NA,NA,NA,"1971-WV-0051"
"Greek Downstairs Club","(Disco) (Some G)","617 Brooks St.","Charlestown","WV","(P),(*),(D),(G),(S)","Bars/Clubs",1979,NA,-81.6256421,38.3500112,"Google Verified Location",NA,NA,NA,"1979-WV-0052"
