ID,title,description,streetaddress,city,Year,notes,full.address,lat,lon,geoAddress,status
NA,'Polk Strasse',Polk St. betw. Post & Union,,San Francisco,1978,,", CA",37.787538,-122.414642,unclear_coded_by_hand,Found
1228,'Polk Strasse',,Polk St. between Post and Union,San Francisco,1975,,"Polk St. between Post and Union, CA",37.787538,-122.414642,unclear_coded_by_hand,Found
741,'Polkstrasse',,Polk St. betw. Post & Union,San Francisco,1979,,"Polk St. betw. Post & Union, CA",37.787538,-122.414642,unclear_coded_by_hand,Found
611,'Rest Stop',"on I-280, just N. of Bunker Hill Dr. exit",,Hillsborough,1979,,", CA",37.574103,-122.379416,unclear_coded_by_hand,Found
NA,'Rest Stop',"on I-280, just No. of Blackland Road exit",,Hillsborough,1978,,", CA",37.574103,-122.379416,unclear_coded_by_hand,Found
NA,'Rest Stop',"On I-280, N. of Bunker Hill Dr. exit",,Hillsborough,1980,,", CA",37.574103,-122.379416,unclear_coded_by_hand,Found
NA,'Rest Stop',on No. side of I-10 betw. Fontana & Rialto,,San Bernardino,1978,,", CA",34.108345,-117.289765,unclear_coded_by_hand,General City Coordinates Used
NA,'Rest Stop',on I-10 betw. Fontana & Rialto (N. side) (HOT),,San Bernardino,1979,,", CA",34.108345,-117.289765,unclear_coded_by_hand,General City Coordinates Used
NA,'Rest Stop',on I-10 betw. Fontana & Rialto (N. side),,San Bernardino,1980,,", CA",34.108345,-117.289765,unclear_coded_by_hand,General City Coordinates Used
1216,'Rest Stop',"on N. side of I-10, between Fontana & Ontario",,San Bernardino,1975,,", CA",34.108345,-117.289765,unclear_coded_by_hand,General City Coordinates Used
NA,'Rest Stop',"N. of Goleta, just before tunnel",,Santa Barbara,1979,,", CA",34.420831,-119.69819,unclear_coded_by_hand,General City Coordinates Used
1133,'Rest Stop',"U.S. 101, N. of Malibu",,Santa Monica,1980,,", CA",34.019454,-118.491191,unclear_coded_by_hand,General City Coordinates Used
NA,'Rest Stop',"US 101, N. of Malibu",,Santa Monica,1979,,", CA",34.019454,-118.491191,unclear_coded_by_hand,General City Coordinates Used
NA,'Rest Stop',on US 101 1 mi. No. of Malibu (Lost Hills exit),,Santa Monica,1978,,", CA",34.019454,-118.491191,unclear_coded_by_hand,General City Coordinates Used
369,'Rest Stop' on I-208 N.,just N. of Blackland Rd. exit,,Hillsborough,1976,,", CA",37.574103,-122.379416,unclear_coded_by_hand,Found
1280,'Rest Stop' on N. side of I-10 between Fontana and Rialto,,,Salinas,1976,,", CA",36.677737,-121.655501,unclear_coded_by_hand,General City Coordinates Used
NA,'Sin Jose',1st St. betw. San Salvador & Santa Clara (Hustlers),,San Jose,1978,Approximate. Location halfway between San Salvador and Santa Clara on 1st.,", CA",37.334225,-121.889073,unclear_coded_by_hand,Found
753,'Sin Jose',1st. St. betw. San Salvador & Santa Clara ('Hustlers'),,San Jose,1979,Approximate. Location halfway between San Salvador and Santa Clara on 1st.,", CA",37.334225,-121.889073,unclear_coded_by_hand,Found
281,'Tenderloin',Eddy & Mason,,San Francisco,1973,,", CA",37.784363,-122.409332,unclear_coded_by_hand,Found
,'Tenderloin' - Midnight cowboys at Flagg Bros. 'corner' Mason & Market Sts,,,San Francisco,1974,,,37.784363,-122.409332,unclear_coded_by_hand,Found
747,'Tenderloin' hustlers,at Flagg Bros. 'corner'-,Mason & Market Sts.,San Francisco,1979,,"Mason & Market Sts., CA",37.78322,-122.409091,unclear_coded_by_hand,Found
NA,'Tenderloin' hustlers at Flagg Bros.,'corner' Mason & Market Sts.,,San Francisco,1978,,", CA",37.78322,-122.409091,unclear_coded_by_hand,Found
436,'Tenderloin'- 'Midnight Cowboys' at Flag Bros.,Corner Mason & Market Streets,,San Francisco,1976,,", CA",37.78322,-122.409091,unclear_coded_by_hand,Found
376,'The Bluffs',on beach betw. Gaviota & Redondo,,Long Beach,1976,Location here is approximate for the middle of the beach between Gaviota st and Redondo.,", CA",33.76225,-118.162909,unclear_coded_by_hand,Found
676,'The Grove',S. end of Evans Lake,,Riverside,1979,,", CA",33.994289,-117.377887,unclear_coded_by_hand,Found
748,'The Strip',Market St. from Van Ness to Castro 'Hitch-hikers' or by car,,San Francisco,1979,Approximate. Location for the middle of this stretch from Van Ness to Castro.,", CA",37.771246,-122.423857,unclear_coded_by_hand,Found
437,'The Strip',Market St. from Van Ness to Castro- hitch-hikers or by car,,San Francisco,1976,,", CA",37.771246,-122.423857,unclear_coded_by_hand,Found
NA,'The Strip',Market St. from Van Ness to Castro 'Hitch-hikers' or by car,,San Francisco,1978,Approximate. Location for the middle of this stretch from Van Ness to Castro.,", CA",37.771246,-122.423857,unclear_coded_by_hand,Found
1229,'The Strip',"Market St. from Van Ness to Castro St. by cars, walking or hitching",,San Francisco,1975,,", CA",37.771246,-122.423857,unclear_coded_by_hand,Found
NA,'Truck Stop',US 101 S. - east side,,Burlingame,1980,,", CA",37.57787,-122.34809,unclear_coded_by_hand,General City Coordinates Used
1297,'Truck Stop',on US 101 S. east side,,Burlingame,1979,,", CA",37.57787,-122.34809,unclear_coded_by_hand,General City Coordinates Used
NA,'Truck Stop',on US 101 S.,,Eureka,1980,,", CA",40.802071,-124.163673,unclear_coded_by_hand,General City Coordinates Used
603,'Truck Stop',on US 101,,Eureka,1979,,", CA",40.802071,-124.163673,unclear_coded_by_hand,General City Coordinates Used
NA,'Truck Stop',"on US 101, just SO. of Burlingame- east side",,Redwood City,1978,,", CA",37.485215,-122.236355,unclear_coded_by_hand,General City Coordinates Used
1905,'We' Junction,(Some L),693 Grape Ave.,Sunnyvale,1980,,"693 Grape Ave., Sunnyvale, CA",37.3718598,-122.0535794,"693 grape ave, sunnyvale, ca 94087, usa",Geocoded
759,'We' Junction,(Some G),693 Grave Ave.,Sunnyvale,1979,,"693 Grave Ave., Sunnyvale, CA",37.3718598,-122.0535794,"693 grape ave, sunnyvale, ca 94087, usa",Geocoded
528,"""B.A"" Beach on Russian River",1 1/2 miles from Mirabelle Park,,Russian River ,1977,,", CA",38.499623,-122.904043,unclear_coded_by_hand,General City Coordinates Used
260,"""Bare Ass Beach""",a half hour walk from parking lot at Torrey Pines Beach St. Park to base of golf course,,San Diego,1973,,", CA",32.889556,-117.253649,unclear_coded_by_hand,Found
565,"""Castro Village""",Castro street between 18th and Market Streets,,San Francisco,1977,,", CA",37.759767,-122.444146,unclear_coded_by_hand,Found
188,"""F"" Street",Between 5th and Columbia,,San Diego,1972,Coordinates for the middle of this block range. The construction of Horton Plaza in Downtown San Diego changed the streets slightly making this location difficult to approximate.,", CA",32.713589,-117.163858,unclear_coded_by_hand,Found
534,"""K"" Street Mall",,,Sacramento ,1977,,", CA",38.573139,-121.471161,unclear_coded_by_hand,Found
571,"""Miracle Mile""",Folsom Street between 6th & 12th Streets,,San Francisco,1977,,", CA",37.775037,-122.410441,unclear_coded_by_hand,Found
581,"""Muscle Beach""",,,Santa Monica,1977,,", CA",33.985382,-118.472509,unclear_coded_by_hand,Found
572,"""Polk Strasse""",Polk Street between Post & Union Streets,,San Francisco,1977,,", CA",37.787538,-122.414642,unclear_coded_by_hand,Found
469,"""Rest Stop""","on I-208, just north of Blackland Road exit",,Hillsborough,1977,,", CA",37.574103,-122.379416,unclear_coded_by_hand,Found
537,"""Rest Stop""",on north side of I-10 between Fontana and Rialto,,San Bernardino,1977,,", CA",34.108345,-117.289765,unclear_coded_by_hand,General City Coordinates Used
577,"""Tenderloin""","Hustlers at Flagg Bros. ""corner""- Mason & Market Streets",,San Francisco,1977,,", CA",37.78322,-122.409091,unclear_coded_by_hand,Found
578,"""The Strip""",Market Street from Van Ness to Castro/Hitch-hikers or by car,,San Francisco,1977,,", CA",37.771246,-122.423857,unclear_coded_by_hand,Found
1696,1 Beam ,(Unisex) (Disco) (Game room) (Upstairs),1748 Haight ,San Francisco,1980,,"1748 Haight , San Francisco, CA",37.769665,-122.4511099,"1748 haight st, san francisco, ca 94117, usa",Geocoded
594,21st & 'K' Sts.,,,Bakersfield,1979,,", CA",35.378138,-119.017595,unclear_coded_by_hand,Found
NA,21st & 'K' Sts.,,,Bakersfield,1978,,", CA",35.378138,-119.017595,unclear_coded_by_hand,Found
NA,21st & K Sts.,,,Bakersfield,1980,,", CA",35.378138,-119.017595,unclear_coded_by_hand,Found
452,21st and K Streets,,,Bakersfield,1977,,", CA",35.378138,-119.017595,unclear_coded_by_hand,Found
92,49'er Back Room,,5510 Hollywood Blvd.,Hollywood,1973,,"5510 Hollywood Blvd., Hollywood, CA",34.1014861,-118.3098182,"5510 hollywood blvd, los angeles, ca 90028, usa",Geocoded
270,49'r Disco,,6411 Lankershim Blvd.,North Hollywood,1978,,"6411 Lankershim Blvd., North Hollywood , CA",34.1871471,-118.3880805,"6411 lankershim blvd, north hollywood, ca 91606, usa",Geocoded
90,49er Back Room,Some (G),5510 Hollywood Blvd.,Los Angeles,1974,,"5510 Hollywood Blvd., Los Angeles , CA",34.1014861,-118.3098182,"5510 hollywood blvd, los angeles, ca 90028, usa",Geocoded
108,49er Show Bar ,,5510 Hollywood Blvd.,Hollywood,1976,,"5510 Hollywood Blvd., Hollywood, CA",34.1014861,-118.3098182,"5510 hollywood blvd, los angeles, ca 90028, usa",Geocoded
1187,49er Showbar,(Some G),5510 Hollywood Blvd.,Hollywood,1975,,"5510 Hollywood Blvd., Hollywood, CA",34.1014861,-118.3098182,"5510 hollywood blvd, los angeles, ca 90028, usa",Geocoded
1425,73rd Ave. Baths,,2544 73rd Ave.,Oakland,1980,,"2544 73rd Ave., Oakland, CA",37.7665059,-122.1756471,"2544 73rd ave, oakland, ca 94605, usa",Geocoded
1808,222 Club ,(Opens 6am),222 Hyde St.,San Francisco,1980,,"222 Hyde St., San Francisco, CA",37.7829502,-122.415646,"222 hyde st, san francisco, ca 94102, usa",Geocoded
109,452 Club ,,6011 Hollywood Blvd.,Hollywood,1976,,"6011 Hollywood Blvd., Hollywood, CA",34.1016735,-118.3206886,"6011 hollywood blvd, los angeles, ca 90028, usa",Geocoded
128,452 Club ,,6011 Hollywood Blvd,Hollywood,1977,,"6011 Hollywood Blvd, Hollywood, CA",34.1016735,-118.3206886,"6011 hollywood blvd, los angeles, ca 90028, usa",Geocoded
1843,641 Club,"(Some W, SM)",641 Stockton,San Jose,1980,,"641 Stockton, San Jose, CA",37.3394014,-121.9123982,"641 stockton ave, san jose, ca 95126, usa",Geocoded
