Field 1,ID,title,description,streetaddress,city,state,amenityfeatures,type,Year,notes,lon,lat,status
7248,NV046,Dave's VIP Club ,(behind Westside Motel),3001 W. 4th St. ,Reno,NV,"(D),(*)",Bars/Clubs,1977,NA,-119.8489517,39.5198392,Google Verified Location
7253,NV106,Dave's VIP Club ,,3001 W. 4th ,Reno,NV,(*),Bars/Clubs,1968,NA,-119.8489517,39.5198392,Google Verified Location
7265,NV150,Dave's VIP Club ,(behind Westside Motel),3001 W. 4th St. ,Reno,NV,"(*),(D),(YC)",Bars/Clubs,1974,NA,-119.8489517,39.5198392,Google Verified Location
7269,NV174,Dave's VIP Club ,(behind Westside Motel),3001 W. 4th St. ,Reno,NV,"(*),(D),(YC)",Bars/Clubs,1976,NA,-119.8489517,39.5198392,Google Verified Location
7259,NV126,Dave's Vip Club ,(behind Westside Motel),3001 W. 4th St. ,Reno,NV,"(*),(D)",Bars/Clubs,1971,NA,-119.8489517,39.5198392,Google Verified Location
7270,NV175,Dave's Westside Motel,,3001 W. 4th St. ,Reno,NV,,Hotel,1976,NA,-119.8489517,39.5198392,Google Verified Location
7266,NV151,Dave's Westside Motel,,3001 W. 4th St. ,Reno,NV,(H),Hotel,1974,NA,-119.8489517,39.5198392,Google Verified Location
7268,NV163,Dave's Westside Motel,(may be adding baths),3001 W. 4th St. ,Reno,NV,,Hotel,1975,NA,-119.8489517,39.5198392,Google Verified Location
7264,NV142,Dave's Westside Motel,,3001 W. 4th St. ,Reno,NV,"(H),(*)",Hotel,1973,NA,-119.8489517,39.5198392,Google Verified Location
7249,NV047,Dave's Westside Motel & Spa,,3001 W. 4th St. ,Reno,NV,,Hotel,1977,NA,-119.8489517,39.5198392,Google Verified Location
7341,NV006,Driftwood ,,4231 Main St. ,Las Vegas,NV,,Bars/Clubs,1968,NA,-115.1527427,36.1610061,Google Verified Location
7319,NV196,Exchange ,"(some OC, L)",1278 S. Virginia,Reno,NV,"(OC),(L)",Bars/Clubs,1980,NA,-119.8059973,39.5119947,Google Verified Location
7400,NV190,Fantasy Park,,Washington betw. Bruce & Las Vegas,Las Vegas,NV,,Cruising Areas,1980,NA,-115.129069,36.182345,Verified Location
