"title","description","streetaddress","city","state","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","unclear_address","ID"
"Little Penthouse","(FFA - ""flicks"" - $3.00 minimum - some natives - ""tops"" in Condado)","1019 Ashford Ave.","Condado","PR","(D),(*),(FFA)","Bars/Clubs",1977,"","1019 Ashford Ave., ",-66.079403,18.460543,"unclear_coded_by_hand","Verified Location",NA,"1977-PR-0024"
"Penthouse Club","($3. adm.) (Some locals - FFA 'flicks')","1019 Ashford Ave.","Condado","PR","(*),(D),(FFA)","Bars/Clubs",1979,NA,"1019 Ashford Ave., Condado, ",-66.0794032,18.4605432,"1019 ashford ave, san juan, 00907, puerto rico","Google Verified Location",NA,"1979-PR-0025"
"Penthouse Club","($3. adm.) (Some locals - FFA 'flicks')","1019 Ashford Ave.","Condado","PR","(*),(D),(FFA)","Bars/Clubs",1980,NA,"1019 Ashford Ave., Condado, ",-66.0794032,18.4605432,"1019 ashford ave, san juan, 00907, puerto rico","Google Verified Location",NA,"1980-PR-0026"
"Sam's Patio (Patio de Sam)","(Open until 1 a.m.)","102 Calle San Francisco","San Juan","PR","(E),(M),(R),(*)","Restaurant",1977,NA,"102 Calle San Francisco, San Juan, ",-66.117466,18.4651636,"102 c. de san francisco, san juan, 00901, puerto rico","Google Verified Location",NA,"1977-PR-0027"
"Sam's Patio","(late evenings)","102 Calle San Sebastian","San Juan","PR","(*),(M),(R)","Restaurant",1973,NA,"102 Calle San Sebastian, San Juan, ",-66.1181682,18.4671463,"102 calle san sebastián, san juan, 00901, puerto rico","Google Verified Location",NA,"1973-PR-0028"
"Sam's Patio","(open till 1 am)","102 Calle San Sebastian","San Juan","PR","(M),(R),(*)","Restaurant",1974,NA,"102 Calle San Sebastian, San Juan, ",-66.1181682,18.4671463,"102 calle san sebastián, san juan, 00901, puerto rico","Google Verified Location",NA,"1974-PR-0029"
"Sam's Patio","(Open 'till 1 a.m.)","102 Calle San Sebastian","San Juan","PR","(M),(R),(*)","Restaurant",1975,NA,"102 Calle San Sebastian, San Juan, ",-66.1181682,18.4671463,"102 calle san sebastián, san juan, 00901, puerto rico","Google Verified Location",NA,"1975-PR-0030"
"Sam's Patio (El Patio de Sam)","(open until 1 am)","102 Calle San Sebastian","San Juan","PR","(M),(R),(*)","Restaurant",1976,NA,"102 Calle San Sebastian, San Juan, ",-66.1181682,18.4671463,"102 calle san sebastián, san juan, 00901, puerto rico","Google Verified Location",NA,"1976-PR-0031"
"Sam's Patio","(Open 'til 1 a.m.)","102 Calle San Sebastian","San Juan","PR","(M),(R),(E),(*)","Restaurant",1979,NA,"102 Calle San Sebastian, San Juan, ",-66.1181682,18.4671463,"102 calle san sebastián, san juan, 00901, puerto rico","Google Verified Location",NA,"1979-PR-0032"
"Sam's Patio","(Open 'til 1 am)","102 Calle San Sebastian","San Juan","PR","(M),(*),(R),(E)","Bars/Clubs,Restaurant",1980,NA,"102 Calle San Sebastian, San Juan, ",-66.1181682,18.4671463,"102 calle san sebastián, san juan, 00901, puerto rico","Google Verified Location",NA,"1980-PR-0033"
"Ten Twenty Club","(Opens 3 p.m.) (Some W, SM, levis)","1020 A Ashford Ave.","Condado","PR","(W),(*),(SM)","Bars/Clubs",1979,NA,"1020 A Ashford Ave., Condado, ",-66.0768569,18.4585693,"1020 ashford ave, san juan, 00907, puerto rico","Google Verified Location",NA,"1979-PR-0034"
"Ten Twenty Club","(Opens 3 p.m.) ","1020 A Ashford Avenue ","Condado","PR","(*),(E)","Bars/Clubs",1977,NA,"1020 A Ashford Avenue , Condado, ",-66.0768569,18.4585693,"1020 ashford ave, san juan, 00907, puerto rico","Google Verified Location",NA,"1977-PR-0035"
