ID,title,description,streetaddress,city,state,amenityfeatures,type,Year,unclearaddress,notes,dateadded,lastmodified,full.address,lon,lat,geoAddress,status
NH045,Kearsarge Hotel Lounge,,104 Congress,Portsmouth,NH,(M),"Hotels,Bars/Clubs",1975,NA,NA,NA,NA,"104 Congress, Portsmouth, NH",-70.7596382,43.0759798,"104 congress street, portsmouth, nh 03801, usa",Geocoded
NH046,Seaport Club,(upstairs - above Big Daddy's),77 Daniel St.,Portsmouth,NH,"(P),(D),(YC),(*)",Bars/Clubs,1975,NA,NA,NA,NA,"77 Daniel St., Portsmouth, NH",-70.7559911,43.0772645,"77 daniel st, portsmouth, nh 03801, usa",Geocoded
NH047,Tony's Pizza,,5 Allen St.,Hanover,NH,,Restaurant,1974,NA,NA,NA,NA,"5 Allen St., Hanover, NH",-72.2903417,43.7017035,"5 allen st, hanover, nh 03755, usa",Geocoded
NH048,Tony's Cafe,,16 High St.,Lebanon,NH,,Restaurant,1974,NA,NA,NA,NA,"16 High St., Lebanon, NH",-72.255845,43.6426022,"16 high st, lebanon, nh 03766, usa",Geocoded
NH049,Chateau Restaurant Lounge,,201 Hanover St.,Manchester,NH,(M),Restaurant,1974,NA,NA,NA,NA,"201 Hanover St., Manchester, NH",-71.4584101,42.9907413,"201 hanover st, manchester, nh 03104, usa",Geocoded
NH050,Sheraton-Carpenter Hotel Lounge,,323 Franklin St.,Manchester,NH,(M),Bars/Clubs,1974,NA,NA,NA,NA,"323 Franklin St., Manchester, NH",-71.4638405,42.9897015,"323 franklin st, manchester, nh 03101, usa",Geocoded
NH051,Tudor Cafe,,361 Pine St.,Manchester,NH,(*),Restaurant,1974,NA,NA,NA,NA,"361 Pine St., Manchester, NH",-71.4592863,42.9906413,"361 pine st, manchester, nh 03103, usa",Geocoded
NH052,Akropolis,(upstairs - above Big Daddy's),77 Daniel St.,Portsmouth,NH,"(P),(D),(YC),(*)",Bars/Clubs,1974,NA,NA,NA,NA,"77 Daniel St., Portsmouth, NH",-70.7559911,43.0772645,"77 daniel st, portsmouth, nh 03801, usa",Geocoded
NH053,Kearsarge Hotel Lounge,,104 Congress,Portsmouth,NH,(M),"Hotels,Bars/Clubs",1974,NA,NA,NA,NA,"104 Congress, Portsmouth, NH",-70.7596382,43.0759798,"104 congress street, portsmouth, nh 03801, usa",Geocoded
NH054,Tony's Pizza #5,,5 Allen St.,Hanover,NH,,Restaurant,1973,NA,NA,NA,NA,"5 Allen St., Hanover, NH",-72.2903417,43.7017035,"5 allen st, hanover, nh 03755, usa",Geocoded
NH055,Chateau Restaurant Lounge,,201 Hanover St.,Manchester,NH,"(M),(*)",Restaurant,1973,NA,NA,NA,NA,"201 Hanover St., Manchester, NH",-71.4584101,42.9907413,"201 hanover st, manchester, nh 03104, usa",Geocoded
NH056,Del's ,,128 Maple,Manchester,NH,(G),Bars/Clubs,1973,NA,NA,NA,NA,"128 Maple, Manchester, NH",-71.4531502,42.9771698,"128 maple st, manchester, nh 03103, usa",Geocoded
NH057,Sheraton-Carpenter Hotel Lounge,,323 Franklin St.,Manchester,NH,(M),"Hotels,Bars/Clubs",1973,NA,NA,NA,NA,"323 Franklin St., Manchester, NH",-71.4638405,42.9897015,"323 franklin st, manchester, nh 03101, usa",Geocoded
NH058,Yvette's,,657 Chestnut,Manchester,NH,"(M),(RT),(*)",Bars/Clubs,1973,NA,NA,NA,NA,"657 Chestnut, Manchester, NH",-71.4617999,43.0014049,"657 chestnut st, manchester, nh 03104, usa",Geocoded
NH059,Akropolis,(above Fran's Rio),77 Daniel St.,Portsmouth,NH,"(G),(D),(P)",Bars/Clubs,1973,NA,NA,NA,NA,"77 Daniel St., Portsmouth, NH",-70.7559911,43.0772645,"77 daniel st, portsmouth, nh 03801, usa",Geocoded
NH060,Kearsarge Hotel Bar,,104 Congress,Portsmouth,NH,(M),"Hotels,Bars/Clubs",1973,NA,NA,NA,NA,"104 Congress, Portsmouth, NH",-70.7596382,43.0759798,"104 congress street, portsmouth, nh 03801, usa",Geocoded
