Field 1,ID,title,description,streetaddress,city,state,amenityfeatures,type,Year,notes,lon,lat,status
15040,MN119,Club ,(next door to Orpheum Theatre & upstairs -Admission Charge) ,916 Hennepin,Minneapolis,MN,"(YC),(R),(C),(D)","Restaurant,Bars/Clubs",1973,,-93.277722,44.97636,Google Verified Location
15052,MN131,Club ,(Next door to Orpheum Theatre & upstairs -Admission Charge) ,916 Hennepin,Minneapolis,MN,"(YC),(R),(C),(D)","Restaurant,Bars/Clubs",1972,,-93.277722,44.97636,Google Verified Location
15010,MN089,Club ,(next door to Orpheum Theatre & upstairs -adm charge) (AH*),916 Hennepin,Minneapolis,MN,"(YC),(R),(C),(D),(AH),(*)","Restaurant,Bars/Clubs",1975,,-93.277722,44.97636,Google Verified Location
15025,MN104,Club ,(next door to Orpheum Theatre & upstairs -Adm Charge) ,916 Hennepin,Minneapolis,MN,"(YC),(R),(C),(D),(AH),(*)","Restaurant,Bars/Clubs",1974,,-93.277722,44.97636,Google Verified Location
15011,MN090,Club Cabaret,(3 floors-go-go boys),5 S. 5th St.,Minneapolis,MN,"(D),(S),(*)",Bars/Clubs,1975,,-93.27191,44.9793254,Google Verified Location
15026,MN105,Club Cabaret,,5 S. 5th St.,Minneapolis,MN,"(S),(*)",Bars/Clubs,1974,,-93.27191,44.9793254,Google Verified Location
15239,MN318,Club Hennepin Baths,,5th & Hennepin,Minneapolis,MN,,Baths,1980,,-93.272574,44.979598,Verified Location
14930,MN009,Club Minneapolis Baths,(Should be a winner),113 1st St. N. ,Minneapolis,MN,,Baths,1980,,-93.2685683,44.9849015,Google Verified Location
15049,MN128,D & O Lounge,,775 Front St.,St. Paul,MN,(G),Bars/Clubs,1973,,-93.132837,44.970438,Google Verified Location
15036,MN115,D & O Lounge,,775 Front St.,St. Paul,MN,"(M),(RT),(G)",Bars/Clubs,1974,,-93.132837,44.970438,Google Verified Location
15126,MN205,D & O Lounge,,775 Front St.,St. Paul,MN,"(M),(RT),(G)",Bars/Clubs,1976,,-93.132837,44.970438,Google Verified Location
15060,MN139,D & O Lounge,,775 Front St.,St. Paul,MN,(G),Bars/Clubs,1972,,-93.132837,44.970438,Google Verified Location
15020,MN099,D & O Lounge,,775 Front St.,St. Paul,MN,"(M),(RT),(G)",Bars/Clubs,1975,,-93.132837,44.970438,Google Verified Location
15075,MN154,D & O Lounge,,775 Front St.,St. Paul,MN,(G),Bars/Clubs,1971,,-93.132837,44.970438,Google Verified Location
14931,MN010,Diginity,(Catholic Church),1701 Univeristy,Minneapolis,MN,,Church,1980,,-93.2281611,44.9845683,Google Verified Location
14956,MN035,Diginity,(Catholic Church),1701 Univeristy,Minneapolis,MN,,Church,1979,,-93.2281611,44.9845683,Google Verified Location
15087,MN166,DQ Lounge,,775 Front St.,St. Paul,MN,(G),Bars/Clubs,1970,,-93.132837,44.970438,Google Verified Location
15111,MN190,Duluth Hotel Bar,,231 E Superior,Duluth,MN,(M),"Hotel,Bars/Clubs",1965,,-92.0950194,46.7897626,Google Verified Location
14974,MN053,Duluth Hotel Bar,,231 E. Superior,Duluth,MN,(M),"Hotel,Bars/Clubs",1978,,-92.0950194,46.7897626,Google Verified Location
15115,MN194,Duluth Hotel Bar,,231 E. Superior,Duluth,MN,(M),"Hotel,Bars/Clubs",1976,,-92.0950194,46.7897626,Google Verified Location
15105,MN184,Duluth Hotel Bar,,231 E Superior,Duluth,MN,(M),"Hotel,Bars/Clubs",1966,,-92.0950194,46.7897626,Google Verified Location
14993,MN072,Duluth Hotel Bar,,231 E. Superior,Duluth,MN,(M),"Hotel,Bars/Clubs",1977,,-92.0950194,46.7897626,Google Verified Location
14948,MN027,Duluth Hotel Bar,,231 E. Superior,Duluth,MN,(M),"Hotel,Bars/Clubs",1979,,-92.0950194,46.7897626,Google Verified Location
14923,MN002,Duluth Hotel Bar,,231 E. Superior,Duluth,MN,(M),"Hotel,Bars/Clubs",1980,,-92.0950194,46.7897626,Google Verified Location
15008,MN087,Duluth Steam Baths,(Closes 12 midnight),18 N. 1st Ave. E.,Duluth,MN,,Baths,1975,76 is at the bottom!,-92.0973096,46.7885323,Google Verified Location
15077,MN156,Duluth Steam Baths,,18 N. 1st Ave. E.,Duluth,MN,,Baths,1970,,-92.0973096,46.7885323,Google Verified Location
14949,MN028,Duluth Steam Baths,(Closes 12 midnight),18 N. 1st Ave. E.,Duluth,MN,,Baths,1979,,-92.0973096,46.7885323,Google Verified Location
15116,MN195,Duluth Steam Baths,(Closes 12 midnight),18 N. 1st Ave. E.,Duluth,MN,,Baths,1976,,-92.0973096,46.7885323,Google Verified Location
14994,MN073,Duluth Steam Baths,(Closes 12 midnight),18 North 1st Avenue East.,Duluth,MN,,Baths,1977,,-92.0973096,46.7885323,Google Verified Location
15106,MN185,Duluth Steam Baths,,18 N 1st Av,Duluth,MN,,Baths,1966,,-92.0973879,46.7884657,Google Verified Location
15089,MN168,Duluth Steam Baths,,18 N 1st Ave,Duluth,MN,,Baths,1969,,-92.0973879,46.7884657,Google Verified Location
15063,MN142,Duluth Steam Baths,,18 N. 1st Ave. E.,Duluth,MN,,Baths,1971,,-92.0973096,46.7885323,Google Verified Location
15097,MN176,Duluth Steam Baths,,18 N 1st Ave,Duluth,MN,,Baths,1968,,-92.0973879,46.7884657,Google Verified Location
15112,MN191,Duluth Steam Baths,,18 N 1st Av,Duluth,MN,,Baths,1965,,-92.0973879,46.7884657,Google Verified Location
14975,MN054,Duluth Steam Baths,(Closes 12 midnight),18 No. 1st Ave. E.,Duluth,MN,,Baths,1978,,-92.0973096,46.7885323,Google Verified Location
14924,MN003,Duluth Steam Baths,(Closes 12 midnight),18 N. 1st Ave. E.,Duluth,MN,,Baths,1980,,-92.0973096,46.7885323,Google Verified Location
15051,MN130,Duluth Steam Baths,(Closes 12 midnight),18 N. 1st Ave. E.,Duluth,MN,,Baths,1972,,-92.0973096,46.7885323,Google Verified Location
15023,MN102,Duluth Steam Baths,(Closes 12 midnight),18 N. 1st Ave. E.,Duluth,MN,,Baths,1974,,-92.0973096,46.7885323,Google Verified Location
15038,MN117,Duluth Steam Baths,(Closes 12 midnight),18 N. 1st Ave. E.,Duluth,MN,,Baths,1973,,-92.0973096,46.7885323,Google Verified Location
15223,MN302,Embers,,26th & Hennepin,Minneapolis,MN,"(M),(R),(C),(AH)",Restaurant,1979,,-93.296736,44.955413,Verified Location
14922,MN001,Erie Rex Lounge,(Cruisy-WE),Hwy. 10 E,Detroit Lakes,MN,"(M),(R),(E),(WE)","Cruising Areas,Restaurant,Bars/Clubs",1980,,-95.8231186,46.8093797,Google Verified Location
15218,MN297,Erie Rex Lounge,(Cruisy-WE),Hwy. 10 E,Detroit Lakes,MN,"(M),(R),(E),(WE)","Cruising Areas,Restaurant,Bars/Clubs",1979,,-95.845325,46.817181,Location could not be verified. General city or location coordinates used.
15048,MN127,F-M Motel Bar,,403 Center Ave.,Moorhead,MN,,"Bars/Clubs,Hotel",1973,,-96.773502,46.874876,Google Verified Location
15034,MN113,F-M Motel Bar,,403 Center Ave.,Moorhead,MN,,"Bars/Clubs,Hotel",1974,,-96.773502,46.874876,Google Verified Location
15019,MN098,F-M Motel Bar,,403 Center Ave.,Moorhead,MN,(M),"Bars/Clubs,Hotel",1975,,-96.773502,46.874876,Google Verified Location
14945,MN024,Foxy's,(Disco) (WE*) (Neon sigh says Saints & Sinners),249 W. 7th St.,St. Paul,MN,"(L),(D),(WE),(*)",Bars/Clubs,1980,,-93.1051603,44.9430545,Google Verified Location
14970,MN049,Foxy's,(Disco),249 W. 7th St.,St. Paul,MN,"(G),(D)",Bars/Clubs,1979,,-93.1051603,44.9430545,Google Verified Location
14988,MN067,Foxy's,(Many G) (Disco),249 W. 7th St.,St. Paul,MN,"(G),(D),(*)",Bars/Clubs,1978,,-93.1051603,44.9430545,Google Verified Location
15161,MN240,Franklin Theatre,,10th & Franklin,Minneapolis,MN,,Theatre,1974,,-93.259662,44.962714,Verified Location
14957,MN036,Gay House,(Social organ.),4419 Nicollet,Minneapolis,MN,,Organizations,1979,,-93.277716,44.9226156,Google Verified Location
14932,MN011,Gay House,(Social organ.),4419 Nicollet,Minneapolis,MN,,Organizations,1980,,-93.277716,44.9226156,Google Verified Location
14933,MN012,Gay Nineties,(Disco) (Some L) (Adj. Happy Hour),408 Hennepin Ave,Minneapolis,MN,"(*),(YC),(D),(L),(R)","Restaurant,Bars/Clubs",1980,,-93.2719109,44.9804466,Google Verified Location
14997,MN076,Gay Nineties,(Disco) (Next to Happy Hour),408 Hennepin Ave,Minneapolis,MN,"(*),(YC),(D)","Restaurant,Bars/Clubs",1977,,-93.2719109,44.9804466,Google Verified Location
14980,MN059,Gay Nineties,(Disco) (Adjoins Happy Hour),408 Hennepin Ave,Minneapolis,MN,"(*),(YC),(D)","Restaurant,Bars/Clubs",1978,,-93.2719109,44.9804466,Google Verified Location
14958,MN037,Gay Nineties,(Disco) (Some L) (Adj. Happy Hour),408 Hennepin Ave,Minneapolis,MN,"(*),(YC),(D),(L),(R)","Restaurant,Bars/Clubs",1979,,-93.2719109,44.9804466,Google Verified Location
15064,MN143,Geno's,(after hours) (admission charge) ,916 Hennepin,Minneapolis,MN,"(C),(D)",Bars/Clubs,1971,,-93.277722,44.97636,Google Verified Location
15219,MN298,Grand Finale,(Disco) (also Victorian Pub),490 N. Robert St. at 10th St.,St. Paul,MN,"(YC),(D),(*)",Bars/Clubs,1979,,-93.093876,44.950813,Verified Location
15230,MN309,Grand Finale,(Disco) (Macho) (Cruisy),490 N. Robert St. at 10th St.,St. Paul,MN,"(YC),(D),(PT),(*)","Cruising Areas,Bars/Clubs",1980,,-93.093876,44.950813,Verified Location
15188,MN267,Greyhound Bus Depot,,,Duluth,MN,Cruisy Area,Cruising Areas,1977,,-92.100759,46.783892,Verified Location
15199,MN278,Greyhound Bus Depot,,,Duluth,MN,Cruisy Area,Cruising Areas,1978,,-92.100759,46.783892,Verified Location
15222,MN301,Greyhound Bus Depot,,,Duluth,MN,Cruisy Area,Cruising Areas,1979,,-92.100759,46.783892,Verified Location
15236,MN315,Greyhound Bus Depot,,,Duluth,MN,Cruisy Area,Cruising Areas,1980,,-92.100759,46.783892,Verified Location
15027,MN106,Haberdashery,Raddison Hotel,45 S. 7th St.,Minneapolis,MN,"(M),(R)","Bars/Clubs,Restaurant,Hotel,Hotel",1974,,-93.2731363,44.9771474,Google Verified Location
15053,MN132,Haberdashery,Raddison Hotel,45 S. 7th St.,Minneapolis,MN,(M),"Bars/Clubs,Restaurant,Hotel,Hotel",1972,,-93.2731363,44.9771474,Google Verified Location
15119,MN198,Haberdashery,Raddison Hotel,45 S. 7th St.,Minneapolis,MN,"(M),(R),(HIP)","Bars/Clubs,Restaurant,Hotel,Hotel",1976,,-93.2731363,44.9771474,Google Verified Location
15041,MN120,Haberdashery,Raddison Hotel,45 So. 7th St.,Minneapolis,MN,(M),"Bars/Clubs,Restaurant,Hotel,Hotel",1973,,-93.2731363,44.9771474,Google Verified Location
14998,MN077,Haberdashery,Raddison Hotel,45 S. 7th St.,Minneapolis,MN,"(M),(R),(HIP),(YC)","Bars/Clubs,Restaurant,Hotel,Hotel",1977,,-93.2731363,44.9771474,Google Verified Location
15004,MN083,Haberdashery,,395 Wabasaha Ave.,St. Paul,MN,"(M),(YC),(R)",Restaurant,1977,,-93.084634,44.9338288,Google Verified Location
14981,MN060,Haberdashery,Raddison Hotel,45 So. 7th St.,Minneapolis,MN,"(M),(R),(HIP),(YC)","Bars/Clubs,Restaurant,Hotel,Hotel",1978,,-93.2731363,44.9771474,Google Verified Location
15012,MN091,Haberdashery,Raddison Hotel,45 S. 7th St.,Minneapolis,MN,"(M),(R),(HIP)","Bars/Clubs,Restaurant,Hotel,Hotel",1975,,-93.2731363,44.9771474,Google Verified Location
14989,MN068,Haberdashery,,395 Wabasaha Ave.,St. Paul,MN,"(M),(YC),(R)",Restaurant,1978,,-93.084634,44.9338288,Google Verified Location
15107,MN186,Happy Hour,(Gay 90's Theater bar),408 Hennepin ,Minneapolis,MN,(*),Bars/Clubs,1966,,-93.2719109,44.9804466,Google Verified Location
