ID,title,description,streetaddress,city,state,amenityfeatures,type,Year,unclearaddress,notes,dateadded,lastmodified,full.address,lon,lat,geoAddress,status
MD022,Bull Ring Lounge,(Cl. Sun.) Colonial Apts. at Antietam,57 S. Potomac,Hagerstown,MD,,Bars/Clubs,1980,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"57 S. Potomac, Hagerstown, MD",-77.721462,39.6409329,"57 s potomac st, hagerstown, md 21740, usa",Geocoded
MD023,Westwood,(Some W)(Best late- Cl. 1 am),8233 Georgia Ave.,Silver Lake,MD,"(M),(R),(W)",Restaurant,1980,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"8233 Georgia Ave., Silver Lake, MD",-77.0262093,38.9926626,"8233 georgia ave, silver spring, md 20910, usa",Geocoded
MD024,Townson Books,,526 Tork Rd.,Towson,MD,(*),Book Store,1980,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"526 Tork Rd., Towson, MD",-76.6022188,39.4011503,"526 york rd, towson, md 21204, usa",Geocoded
MD025,Little Campus,,63 Maryland,Annapolis,MD,(M),Bars/Clubs,1979,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"63 Maryland, Annapolis, MD",-76.4897218,38.9796937,"63 maryland ave, annapolis, md 21401, usa",Geocoded
MD026,Barracks,(Baths)(Health Club)(Use rear entrance),1114 Cathedral,Baltimore,MD,"(*),(P)",Baths,1979,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"1114 Cathedral, Baltimore, MD",-76.6183009,39.3020316,"1114 cathedral st, baltimore, md 21201, usa",Geocoded
MD027,Cinema Follies Club,('Flicks')(back room),137 W. North Ave.,Baltimore,MD,"(P),(BYOB)",Theatre,1979,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"137 W. North Ave., Baltimore, MD",-76.6192057,39.3106725,"137 w north ave, baltimore, md 21201, usa",Geocoded
MD028,Club East Baths,,1105 Cathedral,Baltimore,MD,"(P),(*)",Baths,1979,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"1105 Cathedral, Baltimore, MD",-76.617758,39.302556,"1105 cathedral st, baltimore, md 21201, usa",Geocoded
MD029,Club Mitchell,(Also C-AH),1103 E. Pratt,Baltimore,MD,"(G),(R),(*),(D),(PT),(C),(AH)","Bars/Clubs,Restaurant",1979,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"1103 E. Pratt, Baltimore, MD",-76.6005399,39.2883197,"1103 e pratt st, baltimore, md 21202, usa",Geocoded
MD030,Eager St. Saloon,(Adjoins Hippo- opens 4 p.m.) at Charles,1 W. Eager,Baltimore,MD,"(YC),(D),(PT),(*)",Bars/Clubs,1979,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"1 W. Eager, Baltimore, MD",-76.6163574,39.3008418,"1 w eager st, baltimore, md 21201, usa",Geocoded
MD031,Frankie & Ronnie's,(Some G),2218 Boston St.,Baltimore,MD,"(M),(YC),(D),(PT),(G)",Bars/Clubs,1979,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"2218 Boston St., Baltimore, MD",-76.5850064,39.283682,"2218 boston st, baltimore, md 21231, usa",Geocoded
MD032,Gallery,& Shipmates Disco Room,1735 Maryland,Baltimore,MD,"(*),(SM),(W),(R)",Restaurant,1979,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"1735 Maryland, Baltimore, MD",-76.6176464,39.3096234,"1735 maryland ave, baltimore, md 21201, usa",Geocoded
MD033,Hippopotamus,(Unisex)(Disco) at Charles ,1 W. Eager ,Baltimore,MD,"(*),(HIP),(YC),(D),(PT)",Bars/Clubs,1979,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"1 W. Eager , Baltimore, MD",-76.6163574,39.3008418,"1 w eager st, baltimore, md 21201, usa",Geocoded
MD034,Laura's,,502 N. Howard St.,Baltimore,MD,(D),Bars/Clubs,1979,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"502 N. Howard St., Baltimore, MD",-76.6200392,39.2951166,"502 n howard st, baltimore, md 21201, usa",Geocoded
MD035,Leon's,,870 Park Ave.,Baltimore,MD,(*),Bars/Clubs,1979,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"870 Park Ave., Baltimore, MD",-76.6189891,39.3015442,"870 park ave, baltimore, md 21201, usa",Geocoded
MD036,Mary's Club,"(Some YC, B) (Disco)",1101 Cathedral,Baltimore,MD,"(*),(YC),(B),(D)",Bars/Clubs,1979,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"1101 Cathedral, Baltimore, MD",-76.6178248,39.302445,"1101 cathedral st, baltimore, md 21201, usa",Geocoded
MD037,M.C.C.,,2233 St. Paul St.,Baltimore,MD,M.C.C.,Church,1979,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"2233 St. Paul St., Baltimore, MD",-76.6149136,39.3152395,"2233 st paul st, baltimore, md 21218, usa",Geocoded
MD038,Parker's ,('Hustlers'),704 N. Howard,Baltimore,MD,"(B),(RT)",Bars/Clubs,1979,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"704 N. Howard, Baltimore, MD",-76.6201738,39.2976088,"704 n howard st, baltimore, md 21201, usa",Geocoded
MD039,Sappho's,(Disco),100 Albemarle,Baltimore,MD,"(G),(D)",Bars/Clubs,1979,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"100 Albemarle, Baltimore, MD",-76.6039212,39.2884704,"100 albemarle st, baltimore, md 21202, usa",Geocoded
MD040,Senator Bar,(Some OC) (Good Sundays),612 N. Howard,Baltimore,MD,"(*),(E),(OC)",Bars/Clubs,1979,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"612 N. Howard, Baltimore, MD",-76.6202656,39.2972148,"612 n howard st, baltimore, md 21201, usa",Geocoded
MD041,Shot Tower Bar,(Some G),4 N. High St.,Baltimore,MD,(G),Bars/Clubs,1979,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"4 N. High St., Baltimore, MD",-76.6045234,39.2904544,"4 n high st, baltimore, md 21202, usa",Geocoded
MD042,Studio,"(Some SM, W) (Adjoins Gallery)",1735 Maryland Ave.,Baltimore,MD,"(*),(R),(SM),(W)",Restaurant,1979,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"1735 Maryland Ave., Baltimore, MD",-76.6176464,39.3096234,"1735 maryland ave, baltimore, md 21201, usa",Geocoded
MD043,Turkish Baths,"(Some OC, B)",1425 E. Baltimore,Baltimore,MD,"(OC),(B),(*)",Baths,1979,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"1425 E. Baltimore, Baltimore, MD",-76.5977944,39.2912747,"1425 e baltimore st, baltimore, md 21231, usa",Geocoded
MD044,Tyson Place,(Can enter thru rear of Leon's),227 W. Chase St.,Baltimore,MD,"(M),(R)",Restaurant,1979,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"227 W. Chase St., Baltimore, MD",-76.6191881,39.3016308,"227 w chase st, baltimore, md 21201, usa",Geocoded
MD045,Y.M.C.A.,,24 W. Franklin,Baltimore,MD,"(M),(H)",Hotels,1979,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"24 W. Franklin, Baltimore, MD",-76.6165858,39.2954574,"24 w franklin st, baltimore, md 21201, usa",Geocoded
MD046,Zodiac Club,(May be changing name),2001 Eastern,Baltimore,MD,,Bars/Clubs,1979,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"2001 Eastern, Baltimore, MD",-76.5886125,39.2856009,"2001 eastern ave, baltimore, md 21231, usa",Geocoded
MD047,Bull Ring Lounge,(Cl. Sun.) Colonial Hotel at Antietam,57 S. Potomac,Hagerstown,MD,"(YC),(*)","Bars/Clubs,Hotels",1979,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"57 S. Potomac, Hagerstown, MD",-77.721462,39.6409329,"57 s potomac st, hagerstown, md 21740, usa",Geocoded
MD048,Towson Books,,516 York Rd.,Towson,MD,(*),Book Store,1979,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"516 York Rd., Towson, MD",-76.6017813,39.4011275,"516 york rd, towson, md 21204, usa",Geocoded
MD049,Little Campus,,63 Maryland,Annapolis,MD,(M),Bars/Clubs,1978,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"63 Maryland, Annapolis, MD",-76.4897218,38.9796937,"63 maryland ave, annapolis, md 21401, usa",Geocoded
MD050,Barracks,(Baths) (Health Club),1114 Cathedral,Baltimore,MD,"(P),(*)",Baths,1978,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"1114 Cathedral, Baltimore, MD",-76.6183009,39.3020316,"1114 cathedral st, baltimore, md 21201, usa",Geocoded
MD051,Club East Baths,,1105 Cathedral,Baltimore,MD,"(P),(*)",Baths,1978,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"1105 Cathedral, Baltimore, MD",-76.617758,39.302556,"1105 cathedral st, baltimore, md 21201, usa",Geocoded
MD052,Club Mitchell,(G only) (also C-AH),1103 E. Pratt,Baltimore,MD,"(P),(G),(D),(PT),(C),(AH),(*)",Bars/Clubs,1978,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"1103 E. Pratt, Baltimore, MD",-76.6005399,39.2883197,"1103 e pratt st, baltimore, md 21202, usa",Geocoded
MD053,Connie's Hideaway Lounge,,2308 Boston St.,Baltimore,MD,"(M),(G),(D)",Bars/Clubs,1978,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"2308 Boston St., Baltimore, MD",-76.5842286,39.2832008,"2308 boston st, baltimore, md 21224, usa",Geocoded
MD054,Eager St. Saloon,"(Adjoins 'Hippo""- opens 4 p.m.) at Charles",1 W. Eager,Baltimore,MD,"(YC),(D),(PT),(*)",Bars/Clubs,1978,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"1 W. Eager, Baltimore, MD",-76.6163574,39.3008418,"1 w eager st, baltimore, md 21201, usa",Geocoded
MD055,Fayette News Center,,205 W. Fayette,Baltimore,MD,(AYOR),Business,1978,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"205 W. Fayette, Baltimore, MD",-76.6182332,39.2903704,"205 w fayette st, baltimore, md 21201, usa",Geocoded
MD056,Frankie & Ronnie's,(Some G),2218 Boston St.,Baltimore,MD,"(M),(YC),(G),(D)",Bars/Clubs,1978,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"2218 Boston St., Baltimore, MD",-76.5850064,39.283682,"2218 boston st, baltimore, md 21231, usa",Geocoded
MD057,Gallery ,& Shipmate's Disco Room,1735 Maryland,Baltimore,MD,"(R),(W),(SM),(*)",Restaurant,1978,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"1735 Maryland, Baltimore, MD",-76.6176464,39.3096234,"1735 maryland ave, baltimore, md 21201, usa",Geocoded
MD058,Hippopotamus,(Unisex)(Disco) at Charles,1 W. Eager,Baltimore,MD,"(*),(M),(HIP),(YC),(D),(PT)",Bars/Clubs,1978,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"1 W. Eager, Baltimore, MD",-76.6163574,39.3008418,"1 w eager st, baltimore, md 21201, usa",Geocoded
MD059,Jay Bee's Saloon,(E. Baltimore),2204 Fleet St.,Baltimore,MD,(RT),Bars/Clubs,1978,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"2204 Fleet St., Baltimore, MD",-76.5855388,39.2850652,"2204 fleet st, baltimore, md 21231, usa",Geocoded
MD060,Leon's,(Some OC),870 Park Ave.,Baltimore,MD,"(OC),(*)",Bars/Clubs,1978,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"870 Park Ave., Baltimore, MD",-76.6189891,39.3015442,"870 park ave, baltimore, md 21201, usa",Geocoded
MD061,"Lights, Camera, Action",(Disco) ('Drags'),1642 Light St.,Baltimore,MD,"(D),(S),(RT)",Bars/Clubs,1978,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"1642 Light St., Baltimore, MD",-76.6117352,39.2707219,"1642 light st, baltimore, md 21230, usa",Geocoded
MD062,Mary's Club,(Disco),1101 Cathedral,Baltimore,MD,"(YC),(D),(*)",Bars/Clubs,1978,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"1101 Cathedral, Baltimore, MD",-76.6178248,39.302445,"1101 cathedral st, baltimore, md 21201, usa",Geocoded
MD063,M.C.C.,,2233 St. Paul St.,Baltimore,MD,M.C.C.,Church,1978,NA,NA,4/13/2020 3:37pm,5/7/2020 7:25am,"2233 St. Paul St., Baltimore, MD",-76.6149136,39.3152395,"2233 st paul st, baltimore, md 21218, usa",Geocoded
