"status","description","streetaddress","city","state","amenityfeatures","type","Year","notes","title","unclear_address","full.address","lon","lat","geoAddress"
"Found","(downstairs)","Dearborn & Erie","Chicago","IL","","Bars/Clubs",1974,"",NA,NA,NA,NA,NA,NA
"Found","","501 N. Clark at Illinois","Chicago","IL","(SM)","Bars/Clubs",1972,"",NA,NA,NA,NA,NA,NA
"Found"," (2 floors - very active basement & leather cell shop) ","501 No. Clark St.","Chicago","IL","(*),(SM),(W),(FFA),Cruisy Area","Bars/Clubs",1978,"",NA,NA,NA,NA,NA,NA
"Found","","Clark & Diversey","Chicago","IL","(M),(R)","Restaurant",1975,"",NA,NA,NA,NA,NA,NA
"Found","","Clark & Diversey","Chicago","IL","(M),(R)","Restaurant",1976,"",NA,NA,NA,NA,NA,NA
"Found","","Clark & Diversey","Chicago","IL","(M),(R)","Restaurant",1977,"",NA,NA,NA,NA,NA,NA
"Found","","Clark & Diversey ","Chicago","IL","(M),(R)","Restaurant",1974,"",NA,NA,NA,NA,NA,NA
"Found","","Michigan & Randolph","Chicago","IL","Cruisy Area","Cruising Areas",1972,"",NA,NA,NA,NA,NA,NA
"Found","","Michigan & Randolph","Chicago","IL","Cruisy Area","Cruising Areas",1974,"",NA,NA,NA,NA,NA,NA
"Found","","Michigan & Ran","Chicago","IL","Cruisy Area","Cruisy Area",1973,"",NA,NA,NA,NA,NA,NA
"Found","","Michigan & Randolph","Chicago","IL","Cruisy Area","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA
"Found","(Open 24 hours)","N. Clark & Illionois","Chicago","IL","(R)","Restaurant",1975,"",NA,NA,NA,NA,NA,NA
"General City Coordinates Used","","N Broadway","Chicago","IL","","Bars/Clubs",1965,"",NA,NA,NA,NA,NA,NA
"Found","nr. Museum of Sciences & Industry","","Chicago","IL","Cruisy Area","Cruising Areas",1978,"approximate",NA,NA,NA,NA,NA,NA
"Found","nr. Musuem of Sciences & Industry","","Chicago","IL","Cruisy Area","Cruising Areas",1980,"approximate",NA,NA,NA,NA,NA,NA
"Found","Museum of Science & Industries","","Chicago","IL","Cruisy Area","Cruising Areas",1975,"approximate",NA,NA,NA,NA,NA,NA
"Found","nr. Museum of Science & Industries","","Chicago","IL","Cruisy Area","Cruising Areas",1976,"approximate",NA,NA,NA,NA,NA,NA
"Found","near Museum of Sciences & Industry","","Chicago","IL","Cruisy Area","Cruising Areas",1977,"approximate",NA,NA,NA,NA,NA,NA
