"status","description","streetaddress","city","state","amenityfeatures","type","Year","notes","title","unclear_address","full.address","lon","lat","geoAddress"
"Found","Foot Trails",NA,"Albuquerque","NM","Cruisy Area","Crusiy Areas",1975,NA,NA,NA,NA,NA,NA,NA
"Found","",NA,"Santa Fe","NM","Cruisy Area,(RT)","Crusiy Areas",1977,NA,NA,NA,NA,NA,NA,NA
"Found","",NA,"Santa Fe","NM","(RT),Cruisy Area","Crusiy Areas",1978,NA,NA,NA,NA,NA,NA,NA
"Found","",NA,"Santa Fe","NM","(RT),Cruisy Area","Crusiy Areas",1979,NA,NA,NA,NA,NA,NA,NA
"Found","",NA,"Santa Fe","NM","(RT),Cruisy Area","Crusiy Areas",1980,NA,NA,NA,NA,NA,NA,NA
"Found","Administration Bldg.",NA,"Albuquerque","NM","Cruisy Area","Crusiy Areas",1975,NA,NA,NA,NA,NA,NA,NA
"Found","Administration Bldg.",NA,"Albuquerque","NM","Cruisy Area","Crusiy Areas",1976,NA,NA,NA,NA,NA,NA,NA
"Found","Administration Bldg. T-Room",NA,"Albuquerque","NM","Cruisy Area","Crusiy Areas",1979,NA,NA,NA,NA,NA,NA,NA
"Found","Geology Bldg. T-Room, Electrical Bldg. T-Room & gym (north showers)",NA,"Albuquerque","NM","Cruisy Area","Crusiy Areas",1980,NA,NA,NA,NA,NA,NA,NA
"Found","Administration Bldg. T-Room",NA,"Albuquerque","NM","Cruisy Area","Crusiy Areas",1978,NA,NA,NA,NA,NA,NA,NA
"Found","",NA,"Albuquerque","NM","Cruisy Area","Crusiy Areas",1975,NA,NA,NA,NA,NA,NA,NA
"Found","",NA,"Albuquerque","NM","Cruisy Area","Crusiy Areas",1976,NA,NA,NA,NA,NA,NA,NA
"Found","",NA,"Albuquerque","NM","Cruisy Area","Crusiy Areas",1977,NA,NA,NA,NA,NA,NA,NA
"Found","",NA,"Albuquerque","NM","Cruisy Area","Crusiy Areas",1978,NA,NA,NA,NA,NA,NA,NA
"Found","",NA,"Albuquerque","NM","Cruisy Area","Crusiy Areas",1979,NA,NA,NA,NA,NA,NA,NA
"Found","",NA,"Albuquerque","NM","Cruisy Area","Crusiy Areas",1980,NA,NA,NA,NA,NA,NA,NA
"Found","Administration Building",NA,"Albuquerque","NM","Cruisy Area","Crusiy Areas",1977,NA,NA,NA,NA,NA,NA,NA
"Found","around La Fonda Hotel (& infamous T-Room)",NA,"Santa Fe","NM","Cruisy Area","Crusiy Areas",1979,NA,NA,NA,NA,NA,NA,NA
"Found","around La Fonda Hotel (& infamous T-Room)",NA,"Santa Fe","NM","Cruisy Area","Crusiy Areas",1980,NA,NA,NA,NA,NA,NA,NA
