"status","description","streetaddress","city","state","amenityfeatures","type","Year","notes","title","unclear_address","full.address","lon","lat","geoAddress"
"Found","","5th & Hennepin","Minneapolis","MN","","Baths",1965,"",NA,NA,NA,NA,NA,NA
"Found","","5th & Hennepin","Minneapolis","MN","","Baths",1966,"",NA,NA,NA,NA,NA,NA
"Found","","5th & Hennepin","Minneapolis","MN","","Baths",1968,"",NA,NA,NA,NA,NA,NA
"Found",""," N. 4th at Center ","Moorhead","MN","(M)","Business",1968,"",NA,NA,NA,NA,NA,NA
"Found","","9th & Hennepin","Minneapolis","MN","(M),(RT)","Bars/Clubs",1968,"",NA,NA,NA,NA,NA,NA
"Found","","9th & Hennepin","Minneapolis","MN","(M),(RT)","Bars/Clubs",1969,"",NA,NA,NA,NA,NA,NA
"Found",""," N. 4th at Center ","Moorhead","MN","(M)","Business",1969,"",NA,NA,NA,NA,NA,NA
"Found","","5th & Hennepin","Minneapolis","MN","","Baths",1969,"",NA,NA,NA,NA,NA,NA
"Found","","9th & Hennepin","Minneapolis","MN","(M),(RT)","Bars/Clubs",1970,"",NA,NA,NA,NA,NA,NA
"Found","","5th & Hennepin","Minneapolis","MN","","Baths",1970,"",NA,NA,NA,NA,NA,NA
"Found",""," N. 4th at Center ","Moorhead","MN","(M)","Business",1970,"",NA,NA,NA,NA,NA,NA
"Found","","5th & Hennepin","Minneapolis","MN","","Baths",1971,"",NA,NA,NA,NA,NA,NA
"Found","","9th & Hennepin","Minneapolis","MN","(M),(RT)","Bars/Clubs",1971,"",NA,NA,NA,NA,NA,NA
"Found","","Center at N. 4th","Moorhead","MN","(M)","Business",1971,"",NA,NA,NA,NA,NA,NA
"Found","","Center at N. 4th","Moorhead","MN","(M)","Business",1972,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","downtown","","Minneapolis","MN","Cruisy Area","Cruising Areas",1972,"Pin on Nicollet Ave",NA,NA,NA,NA,NA,NA
"Found","","5th & Hennepin","Minneapolis","MN","","Baths",1972,"",NA,NA,NA,NA,NA,NA
"Found","","","Minneapolis","MN","Cruisy Area","Cruising Areas",1972,"",NA,NA,NA,NA,NA,NA
"Found","Calhoun Blvd. bet. 31st & 32nd ","","Minneapolis","MN","Cruisy Area","Cruising Areas",1972,"",NA,NA,NA,NA,NA,NA
"Found","Mississippi River Flats at Franklin","","Minneapolis","MN","Cruisy Area,(BA)","Cruising Areas",1972,"",NA,NA,NA,NA,NA,NA
"Found","","","St. Paul","MN","Cruisy Area","Cruising Areas",1972,"",NA,NA,NA,NA,NA,NA
"Found","(bar area only)","4th Street & 5th Avenue S.E","Rochester","MN","(M),(YC)","Bars/Clubs",1973,"",NA,NA,NA,NA,NA,NA
"Found","","","Minneapolis","MN","Cruisy Area","Cruising Areas",1973,"",NA,NA,NA,NA,NA,NA
"Found","","5th & Hennepin","Minneapolis","MN","","Baths",1973,"",NA,NA,NA,NA,NA,NA
"Found","","","St. Paul","MN","Cruisy Area","Cruising Areas",1973,"",NA,NA,NA,NA,NA,NA
"Found","Next to Bus Depot","","Duluth","MN","(M),(RT)","Bars/Clubs",1973,"",NA,NA,NA,NA,NA,NA
"Found","Mississippi River Flats at Franklin","","Minneapolis","MN","Cruisy Area,(BA)","Cruising Areas",1973,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","","","Minneapolis","MN","Cruisy Area","Cruising Areas",1973,"Pin on Nicollet Ave",NA,NA,NA,NA,NA,NA
"Found","Calhoun Blvd. bet. 31st & 32nd ","","Minneapolis","MN","Cruisy Area","Cruising Areas",1973,"",NA,NA,NA,NA,NA,NA
"Found","","","St. Paul","MN","Cruisy Area","Cruising Areas",1974,"",NA,NA,NA,NA,NA,NA
"General Coordinates Used","","","Minneapolis","MN","Cruisy Area","Cruising Areas",1974,"Pin on Nicollet Ave",NA,NA,NA,NA,NA,NA
"Found","(bar area only)","4th Street & 5th Avenue S.E","Rochester","MN","(M),(YC)","Bars/Clubs",1974,"",NA,NA,NA,NA,NA,NA
"Found","","10th & Franklin","Minneapolis","MN","","Theatre",1974,"",NA,NA,NA,NA,NA,NA
"Found","","5th & Hennepin","Minneapolis","MN","","Baths",1974,"",NA,NA,NA,NA,NA,NA
"Found","","","Minneapolis","MN","Cruisy Area","Cruising Areas",1974,"",NA,NA,NA,NA,NA,NA
