"title","status","description","streetaddress","city","state","amenityfeatures","type","Year","notes","unclear_address","full.address","lon","lat","geoAddress"
"State Office Bldg.","Found","","","Fairbanks","AK","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA,NA
"State Office Bldg.","Found","","","Fairbanks","AK","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA,NA
"State Office Bldg. (T-Rooms)","Found","","","Fairbanks","AK","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA,NA
"U. of Alaska Library Constitution Hall, Gym & Wood Ctr.","Found","","","Fairbanks","AK","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA,NA
"U. of Alaska- Library & Wood Student Ctr.","Found","","","Fairbanks","AK","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA,NA
"U. of Alaska- Library & Wood Student Ctr.","Found","","","Fairbanks","AK","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA,NA
"U. of Alaska- Library & Wood Student Ctr.","Found","","","Fairbanks","AK","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA,NA
"U. of Alaska, Library & Student Center","Found","","","Fairbanks","AK","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA,NA
"Upstairs Club","General City Coordinates","(Disco) Next to Cinema II above Bare Affiars","","Fairbanks","AK","(D),(*)","Bars/Clubs",1980,NA,NA,NA,NA,NA,NA
"Winter Palace","Found","(Some G) Jewel Lake & Raspberry Road","","Anchorage","AK","(G),(*),(P),(D),(S)","Bars/Clubs",1975,NA,NA,NA,NA,NA,NA
