"title","status","description","streetaddress","city","state","Year","amenityfeatures","type","notes","unclear_address","full.address","lon","lat","geoAddress"
"Tin Angel","General Cooordinates Used","($1.00 admission)","","Salt Lake City","UT",1969,"(M),(S),(*)","Bars/Clubs","no address given",NA,NA,NA,NA,NA
"Trolley Square","Found","","","Salt Lake City","UT",1977,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Trolley Square","Found","","","Salt Lake City","UT",1976,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Trolley Square","Found","","","Salt Lake City","UT",1975,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Trolley Square T-Room","Found","","","Salt Lake City","UT",1979,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Trolley Square T-Room","Found","","","Salt Lake City","UT",1978,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"U. of Utah","Found","Orson Spencer Hall Basement T-Room","","Salt Lake City","UT",1980,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"U. of Utah - Orson Spencer Hall","Found","Basement T-Room","","Salt Lake City","UT",1979,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"U. of Utah - Orson Spencer Hall","Found","Basement T-Room","","Salt Lake City","UT",1978,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"U. of Utah - Orson Spencer Hall","Found","Basement T-Room","","Salt Lake City","UT",1977,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Univ. of Utah - Orson Spencer Hall","Found","(basement)","","Salt Lake City","UT",1976,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Univ. of Utah - Orson Spencer Hall","Found","(basement)","","Salt Lake City","UT",1975,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Vicinity of Greyhound Bus Depot","Found","","","Salt Lake City","UT",1980,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Vicinity of Greyhound Bus Depot","Found","","","Salt Lake City","UT",1979,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Vicinity of Greyhound Bus Depot","Found","","","Salt Lake City","UT",1978,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Vicinity of Greyhound Bus Depot","Found","","","Salt Lake City","UT",1977,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Vicinity of Greyhound Bus Depot","Found","","","Salt Lake City","UT",1976,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Vicinity of Greyhound Bus Depot","Found","","","Salt Lake City","UT",1975,"Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Wasatch Baths","General Cooordinates Used","(was closed-possible re-opening)","2nd Ave. N.","Salt Lake City","UT",1971,"","Baths","coordinates guessed based on description",NA,NA,NA,NA,NA
