"status","description","streetaddress","city","amenityfeatures","type","Year","notes","title","state","unclear_address","full.address","lon","lat","geoAddress"
"Found","","402 N. Water St. at St. Paul","Milwaukee","(YC),(D),(*)","Bars/Clubs",1974,"",NA,NA,NA,NA,NA,NA,NA
"Found","","5th & Michigan","Milwaukee","(H),(M)","Hotels",1972,"",NA,NA,NA,NA,NA,NA,NA
"Found","(also after hours (C) (R) next door)","5th & Michigan","Milwaukee","(H),(M),(C),(R)","Hotels",1973,"",NA,NA,NA,NA,NA,NA,NA
"Found","","5th & Michigan","Milwaukee","(D),(*)","Bars/Clubs",1973,"",NA,NA,NA,NA,NA,NA,NA
"Found","opposite Trinity Hospital","","Milwaukee","Cruisy Area","Cruising Areas",1975,"",NA,NA,NA,NA,NA,NA,NA
"Found","opp. Trinity Hospital","","Milwaukee","Cruisy Area","Cruising Areas",1976,"",NA,NA,NA,NA,NA,NA,NA
"Found","opposite Trinity Hospital","","Milwaukee","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA,NA
"Found","opp. Trinity Hospital","","Milwaukee","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA,NA
"Found","opp. Trinity Hospital","","Milwaukee","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA,NA
"Found","opp. Trinity Hospital","","Milwaukee","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA,NA
"Found","bet. 10th & 17th","","Milwaukee","Cruisy Area","Cruising Areas",1973,"Approximate. Pin for the middle of wisonsin between these two streets.",NA,NA,NA,NA,NA,NA,NA
"Found","betw. 10th & 17th","","Milwaukee","Cruisy Area","Cruising Areas",1974,"Approximate. Pin for the middle of wisonsin between these two streets.",NA,NA,NA,NA,NA,NA,NA
"Found","between 10th & 17th","","Milwaukee","Cruisy Area","Cruising Areas",1975,"Approximate. Pin for the middle of wisonsin between these two streets.",NA,NA,NA,NA,NA,NA,NA
"Found","betw. 10th & 17th","","Milwaukee","Cruisy Area","Cruising Areas",1976,"Approximate. Pin for the middle of wisonsin between these two streets.",NA,NA,NA,NA,NA,NA,NA
"Found","between 10th & 17th","","Milwaukee","Cruisy Area","Cruising Areas",1977,"Approximate. Pin for the middle of wisonsin between these two streets.",NA,NA,NA,NA,NA,NA,NA
"Found","betw. 10th & 17th","","Milwaukee","Cruisy Area","Cruising Areas",1978,"Approximate. Pin for the middle of wisonsin between these two streets.",NA,NA,NA,NA,NA,NA,NA
"Found","betw. 10th & 17th","","Milwaukee","Cruisy Area","Cruising Areas",1979,"Approximate. Pin for the middle of wisonsin between these two streets.",NA,NA,NA,NA,NA,NA,NA
"Found","betw. 10th & 17th","","Milwaukee","Cruisy Area","Cruising Areas",1980,"Approximate. Pin for the middle of wisonsin between these two streets.",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","","Milwaukee","Cruisy Area","Cruising Areas,Organizations",1975,"No clue as to which location is referenced here. General coordinates for Milwaukee used. ",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","","Milwaukee","Cruisy Area","Cruising Areas,Organizations",1976,"No clue as to which location is referenced here. General coordinates for Milwaukee used. ",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","","Milwaukee","Cruisy Area","Cruising Areas,Organizations",1977,"No clue as to which location is referenced here. General coordinates for Milwaukee used. ",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","","Milwaukee","Cruisy Area","Cruising Areas,Organizations",1978,"No clue as to which location is referenced here. General coordinates for Milwaukee used. ",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","","Milwaukee","Cruisy Area","Cruising Areas,Organizations",1979,"No clue as to which location is referenced here. General coordinates for Milwaukee used. ",NA,NA,NA,NA,NA,NA,NA
"Found","","","Oshkosh","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Oshkosh","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Oshkosh","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Oshkosh","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA,NA
"Found","Oshkosh Student Union T-Roon","","Oshkosh","Cruisy Area","Cruising Areas,Organizations",1979,"",NA,NA,NA,NA,NA,NA,NA
"Found","Oshkosh Student Union T-Roon","","Oshkosh","Cruisy Area","Cruising Areas,Organizations",1980,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","Inquire Locally","","Oshkosh","","Bars/Clubs",1973,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","Inquire Locally","","Oshkosh","","Bars/Clubs",1974,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","Inquire Locally","","Oshkosh","","Bars/Clubs",1975,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","","Prairie Du Chien","Cruisy Area","Cruising Areas",1977,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","","Prairie Du Chien","Cruisy Area","Cruising Areas",1978,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","","Prairie Du Chien","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","","Prairie Du Chien","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Sheboygan","Cruisy Area,(AYOR)","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","(Summers)","","Sheboygan","Cruisy Area,(AYOR)","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","Downtown","","Sheboygan","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA,NA
"Found","","22nd & Mead","Racine","","Bars/Clubs",1974,"",NA,NA,NA,NA,NA,NA,NA
"Found","","22nd & Mead","Racine","","Bars/Clubs",1975,"",NA,NA,NA,NA,NA,NA,NA
"Found","(Summers)","","Racine","Cruisy Area","Cruising Areas",1979,"",NA,NA,NA,NA,NA,NA,NA
"Found","(Summers)","","Racine","Cruisy Area","Cruising Areas",1980,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","N.3rd St.","Superior","","Bars/Clubs",1971,"",NA,NA,NA,NA,NA,NA,NA
"General Coordinates Used","","N.3rd St.","Superior","","Bars/Clubs",1972,"",NA,NA,NA,NA,NA,NA,NA
"Found","","","Wausau","","Bars/Clubs",1973,"",NA,NA,NA,NA,NA,NA,NA
"Found","","2nd & Scott","Wausau","","Bars/Clubs",1974,"",NA,NA,NA,NA,NA,NA,NA
"Found","","2nd & Scott","Wausau","","Bars/Clubs",1975,"",NA,NA,NA,NA,NA,NA,NA
"Found","","2nd & Scott","Wausau","","Bars/Clubs",1976,"",NA,NA,NA,NA,NA,NA,NA
"Found","","2nd & Scott","Wausau","","Bars/Clubs",1977,"",NA,NA,NA,NA,NA,NA,NA
"Found","","2nd & Scott","Wausau","","Bars/Clubs",1978,"",NA,NA,NA,NA,NA,NA,NA
"Found","(Something for everyone)","100 Scott St.","Wausau","(*),(D),(PT)","Bars/Clubs",1980,"",NA,NA,NA,NA,NA,NA,NA
"Found","Fairview Mall & Mart","","Janesville","(YC),(M)","Bars/Clubs",1977,"",NA,NA,NA,NA,NA,NA,NA
"Found","Fairview Mall & Mart","","Janesville","(YC),(M)","Bars/Clubs",1978,"",NA,NA,NA,NA,NA,NA,NA
"Found","Fairview Mall & Mart","","Janesville","(YC),(M)","Bars/Clubs",1979,"",NA,NA,NA,NA,NA,NA,NA
""," Inquire locally","","Shawano Lake","","Restaurant",1970,"",NA,NA,NA,NA,NA,NA,NA
""," Inquire locally","","Shawano Lake","","Restaurant",1971,"",NA,NA,NA,NA,NA,NA,NA
""," Inquire locally","","Shawano Lake","","Restaurant",1972,"",NA,NA,NA,NA,NA,NA,NA
""," Inquire locally","","Shawano Lake","","Restaurant",1973,"",NA,NA,NA,NA,NA,NA,NA
""," Inquire locally","","Shawano Lake","(M)","Restaurant",1974,"",NA,NA,NA,NA,NA,NA,NA
""," Inquire locally","","Shawano Lake","(M)","Restaurant",1975,"",NA,NA,NA,NA,NA,NA,NA
""," Inquire locally","","Shawano Lake","(M),(R)","",1976,"",NA,NA,NA,NA,NA,NA,NA
"","(Some G) Inquire locally","","Shawano Lake","(M),(R),(G)","Restaurant",1977,"",NA,NA,NA,NA,NA,NA,NA
"","(Some G) Inquire locally","","Shawano Lake","(M),(R),(G)","Restaurant",1978,"In the caption below the city it is a summer resort N.W of Green Bay",NA,NA,NA,NA,NA,NA,NA
"Found","Retlaw Hotel"," Main & Division","Fond Du Lac","(M)","Bars/Clubs,Hotels",1973,"",NA,NA,NA,NA,NA,NA,NA
"Found","Retlaw Hotel"," Main & Division","Fond Du Lac","(M)","Bars/Clubs,Hotels",1974,"",NA,NA,NA,NA,NA,NA,NA
"Found","Retlaw Hotel"," Main & Division","Fond Du Lac","(M)","Bars/Clubs,Hotels",1975,"",NA,NA,NA,NA,NA,NA,NA
"Found","Retlaw Hotel"," Main & Division","Fond Du Lac","(M)","Bars/Clubs,Hotels",1976,"",NA,NA,NA,NA,NA,NA,NA
