ID,Title,status,description,streetaddress,lat/lon,city,state,amenityfeatures,type,Year,unclearaddress,uncleartype,notes,dateadded,lastmodified
225,'Rest Stop',General City Coordinates Used,"on I-71, 20 mi, So.",," 41.49932,-81.69436 ",Cleveland,OH,"Cruisy Area,(WE),(*)",Cruising Areas,1979,checked,,,2/27/2020 2:34pm,2/27/2020 10:27pm
267,'Rest Stop',Found,at I-71 & US 30,,"40.779654,-82.419918",Mansfield,OH,Cruisy Area,Cruising Areas,1979,checked,,,2/27/2020 9:41pm,2/27/2020 10:27pm
172,'Rest Stop',General City Coordinates Used,"on Hwy. 77 N, Betw. Akron & Canton",,"40.798947,-81.378447",Canton,OH,Cruisy Area,Cruising Areas,1979,checked,,,2/20/2020 11:44pm,3/13/2020 8:49pm
226,'Rest Stop',General City Coordinates Used,on I-90. 25 mi. E,," 41.49932,-81.69436 ",Cleveland,OH,Cruisy Area,Cruising Areas,1979,checked,,,2/27/2020 2:34pm,2/27/2020 10:27pm
69,'Rest Stop',General City Coordinates Used,"on I-90, 25. E",," 41.49932,-81.69436 ",Cleveland,OH,Cruisy Area,Cruising Areas,1980,checked,,,2/20/2020 11:44pm,3/13/2020 9:14pm
68,'Rest Stop',General City Coordinates Used,"on I-71, 20 mi, S",," 41.49932,-81.69436 ",Cleveland,OH,"Cruisy Area,(WE)",Cruising Areas,1980,checked,,,2/20/2020 11:44pm,3/13/2020 9:14pm
14,'Rest Stop',General City Coordinates Used,on I-77 ('The Playhouse) 10 mi W,," 41.081445,-81.519005",Akron,OH,"(AH),Cruisy Area",Cruising Areas,1980,checked,,,2/20/2020 11:43pm,2/21/2020 1:55am
103,'Rest Stop',General City Coordinates Used,on I-70 & US 202,," 39.758948,-84.191607",Dayton,OH,Cruisy Area,Cruising Areas,1980,checked,,,2/20/2020 11:44pm,2/27/2020 2:10am
24,'Rest Stop',General City Coordinates Used,"on Hwy 77 N, Betw. Akron & Canton",,"40.798947,-81.378447",Canton,OH,Cruisy Area,Cruising Areas,1980,checked,,,2/20/2020 11:43pm,3/14/2020 10:22am
112,'Rest Stop',Found,at I-71 & US 30,,"40.779654,-82.419918",Mansfield,OH,Cruisy Area,Cruising Areas,1980,checked,,,2/20/2020 11:44pm,3/13/2020 8:49pm
564,'Rest Stop' ,Found,at I-71 & U.S. 30,,"40.779654,-82.419918",Mansfield,OH,Cruisy Area,Cruising Areas,1977,checked,,,2/29/2020 6:44pm,2/29/2020 7:43pm
331,'Rest Stop' ,General City Coordinates Used,on Hwy. 77 N. betw Akron & Canton,,"40.798947,-81.378447",Canton,OH,Cruisy Area,Cruising Areas,1978,checked,,,2/27/2020 11:47pm,2/28/2020 2:31am
165,'Rest Stop' ,General City Coordinates Used,on I-77 ('The Playhouse') 10 mi W,," 41.081445,-81.519005",Akron,OH,Cruisy Area,Cruising Areas,1979,checked,,,2/20/2020 11:44pm,2/27/2020 10:27pm
141,'Rest Stop' ,General City Coordinates Used,on Rte. 3 s.,,"40.805057,-81.935143",Wooster,OH,Cruisy Area,Cruising Areas,1980,checked,,,2/20/2020 11:44pm,2/27/2020 2:10am
378,'Rest stop' ,General City Coordinates Used,"on I-90, 25 mi. E. of Cleveland",," 41.49932,-81.69436 ",Cleveland,OH,Cruisy Area,Cruising Areas,1978,checked,,,2/28/2020 1:27am,3/13/2020 9:29pm
467,'Rest Stops' ,General City Coordinates Used,on I-77-about 10 mi. W (Known as the 'The Playhouse'),," 41.081445,-81.519005",Akron,OH,Cruisy Area,Cruising Areas,1977,checked,,,2/28/2020 1:50am,2/29/2020 7:43pm
476,'The Block',General City Coordinates Used,around Andre's Restaurant by foot or car,,"40.798947,-81.378447",Canton,OH,Cruisy Area,Cruising Areas,1977,checked,,,2/28/2020 1:50am,2/29/2020 7:43pm
329,'The Block',General City Coordinates Used,around Andre's Restaurant on N.W. Cleveland-by foot or car,,"40.798947,-81.378447",Canton,OH,Cruisy Area,Cruising Areas,1978,checked,,,2/27/2020 11:47pm,2/28/2020 2:31am
175,'The Block',General City Coordinates Used,around Andre's Restaurant on N.W. Cleveland-by foot or car,,"40.798947,-81.378447",Canton,OH,Cruisy Area,Cruising Areas,1979,checked,,,2/27/2020 11:55am,3/13/2020 8:49pm
25,'The Block',General City Coordinates Used,around Andre's Restaurant on N.W Cleveland-by foot or car,,"40.798947,-81.378447",Canton,OH,Cruisy Area,Cruising Areas,1980,checked,,,2/20/2020 11:43pm,3/14/2020 10:22am
330,"""McKinley Tomb",Found,Memorial Park,,"40.791224,-81.288701",Canton,OH,Cruisy Area,Cruising Areas,1978,checked,,,2/27/2020 11:47pm,2/28/2020 2:31am
191,4th & Main to 5th & Sycamore,Found,,,"39.101292,-84.508729",Cincinnati,OH,Cruisy Area,Cruising Areas,1979,checked,,Pin for middle of this block.,2/27/2020 11:55am,2/27/2020 10:27pm
36,4th & Main to 5th & Sycamore,Found,,,"39.101292,-84.508729",Cincinnati,OH,Cruisy Area,Cruising Areas,1980,checked,,Pin for middle of this block.,2/20/2020 11:44pm,2/27/2020 2:10am
475,304 Club,Found,N.E.,300-04 Cherry Ave ,"40.799137,-81.370635",Canton,OH,"(D),(PT),(*)",Bars/Clubs,1977,checked,,,2/28/2020 1:50am,2/29/2020 7:43pm
478,Adam's Rib,Found,(Many G),217 Calhoun St.,"39.128031,-84.515515",Cincinnati,OH,"(G),(D),(*)",Bars/Clubs,1977,checked,,,2/28/2020 1:50am,2/29/2020 7:43pm
72,Adult Book & Movies,General City Coordinates Used,,High & Towne," 39.961176,-82.998794 ",Columbus,OH,,Book Store,1980,checked,,,2/20/2020 11:44pm,3/13/2020 8:48pm
62,Adult Books,General City Coordinates Used,(back room) Brookpark Rd.,," 41.49932,-81.69436 ",Cleveland,OH,Cruisy Area,"Book Store,Cruising Areas",1980,checked,,,2/20/2020 11:44pm,3/13/2020 9:14pm
98,Adult Books,Found,(Cruisy Arcade) 5th & Ludlow known locally as 'filth '& Ludlow),,"39.75646,-84.192832 ",Dayton,OH,Cruisy Area,"Cruising Areas,Book Store",1980,checked,,,2/20/2020 11:44pm,3/10/2020 10:46am
640,Adult Books & Movies,General City Coordinates Used,,High & Towne," 39.961176,-82.998794 ",Columbus,OH,,"Business,Book Store",1976,checked,,,3/2/2020 1:14am,3/13/2020 9:41pm
381,Adult Books & Movies,General City Coordinates Used,,High & Towne," 39.961176,-82.998794 ",Columbus,OH,,Book Store,1978,checked,,,2/28/2020 1:27am,3/13/2020 9:29pm
229,Adult Books & Movies,General City Coordinates Used,,High & Towne," 39.961176,-82.998794 ",Columbus,OH,,Book Store,1979,checked,,,2/27/2020 2:34pm,2/27/2020 10:27pm
524,Adult's Books & Movies,General City Coordinates Used,,High & Towne," 39.961176,-82.998794 ",Columbus,OH,,Book Store,1977,checked,,,2/29/2020 6:44pm,2/29/2020 7:43pm
353,After Midnight,Found,(Disco)(Juice bar) (WE only-midnight to 5 a.m.),Huron & E. 4th,"41.497143,-81.689202",Cleveland,OH,"(D),(WE)",Bars/Clubs,1978,checked,,,2/28/2020 12:52am,2/28/2020 2:31am
196,After Midnight,Found,(Juice now-may be adding liquor) (Disco) (Fri. & Sat. only from midnight,Huron &  E. 4th,"41.497143,-81.689202",Cleveland,OH,"(YC),(D)",Bars/Clubs,1979,checked,,,2/27/2020 11:55am,2/27/2020 10:27pm
1322,American Club,General City Coordinates Used,,US Hwy 422 bet Girard & Youngstown,"41.09978,-80.649519",Youngstown,OH,,Bars/Clubs,1965,checked,,,3/11/2020 1:18am,3/13/2020 10:18pm
1288,American Club,General City Coordinates Used,,US Hwy 422 bet Girard & Youngstown,"41.09978,-80.649519",Youngstown,OH,,Bars/Clubs,1966,checked,,,3/11/2020 1:18am,3/13/2020 8:41pm
