ID,Title,status,description,streetaddress,lat.lon,city,state,amenityfeatures,type,unclearaddress,uncleartype,Year,notes,dateadded,lastmodified
65,Public Library ,Found,,Capitol & Quarrier,"38.349924,-81.635123",Charlestown,WV,Cruisy Area,Cruising Areas,checked,,1977,,4/14/2020 3:11am,4/14/2020 3:22am
154,Sammy's ,General Coordinates Used,(Inquire locally),,"38.41925,-82.445154",Huntington,WV,,Bars/Clubs,checked,,1966,,4/14/2020 4:13am,4/14/2020 4:14am
148,Sammy's ,General Coordinates Used,(Inquire locally),,"38.41925,-82.445154",Huntington,WV,,Bars/Clubs,checked,,1968,,4/14/2020 4:10am,4/14/2020 4:11am
132,Sammy's ,General Coordinates Used,(Inquire locally),,"38.41925,-82.445154",Huntington,WV,,Bars/Clubs,checked,,1970,,4/14/2020 4:05am,4/14/2020 4:11am
107,South Seas,Found,,4th Ave. at 1st St.," 38.418404,-82.457584",Huntington,WV,"(P),(YC),(D),(*)",Bars/Clubs,checked,,1974,,4/14/2020 3:48am,4/14/2020 3:50am
50,South Seas,Found,(Some G) ,4th Ave. at 1st St.," 38.418404,-82.457584",Huntington,WV,"(P),(G),(D),(YC),(*)",Bars/Clubs,checked,,1978,,4/12/2020 1:33am,4/12/2020 1:45am
13,T-Room,Found,W.V.U. Library,,"39.633177,-79.954247",Morgantown,WV,Cruisy Area,Cruising Areas,checked,,1980,,4/10/2020 2:59am,4/10/2020 11:58am
8,T-Rooms,Found,Daniel Boone Hotel & Diamond Dept. Store (5-9 pm - known locally as the 'rush hour'),,"38.351819,-81.63212",Charlestown,WV,Cruisy Area,"Cruising Areas,Hotels",checked,,1980,,4/10/2020 2:52am,7/20/2020 9:49am
78,Waverly Roadside Park,General Coordinates Used,,Route 2 North,"39.266742,-81.561513",Parkersburg,WV,Cruisy Area,Cruising Areas,checked,,1977,,4/14/2020 3:20am,4/14/2020 3:22am
57,Waverly Roadside Park,General Coordinates Used,,Rte. 2 No.,"39.266742,-81.561513",Parkersburg,WV,Cruisy Area,Cruising Areas,checked,,1978,,4/12/2020 1:42am,4/12/2020 1:45am
36,Waverly Roadside Park,General Coordinates Used,,Rte. 2 N.,"39.266742,-81.561513",Parkersburg,WV,Cruisy Area,Cruising Areas,checked,,1979,,4/12/2020 12:38am,4/12/2020 1:14am
16,Waverly Roadside park,General Coordinates Used,Rte. 2 N.,,"39.266742,-81.561513",Parkersburg,WV,Cruisy Area,Cruising Areas,checked,,1980,,4/10/2020 11:53am,4/10/2020 11:58am
58,Weigh In Scales ,General Coordinates Used,very active when closed after dark ,I-77 No. & So.,"39.266742,-81.561513",Parkersburg,WV,Cruisy Area,Cruising Areas,checked,,1978,,4/12/2020 1:42am,4/12/2020 1:45am
79,Weigh In Scales - very active when closed after dark ,General Coordinates Used,,both North & South on I-77,"39.266742,-81.561513",Parkersburg,WV,Cruisy Area,Cruising Areas,checked,,1977,,4/14/2020 3:20am,4/14/2020 3:22am
37,Weigh-In Scales,General Coordinates Used,Very active when closed after dark ,I-77 N. & S.,"39.266742,-81.561513",Parkersburg,WV,Cruisy Area,Cruising Areas,checked,,1979,,4/12/2020 12:38am,4/12/2020 1:14am
17,Weigh-In Scales ,General Coordinates Used,Very active when closed after dark ,I-77 N. & S.,"39.266742,-81.561513",Parkersburg,WV,Cruisy Area,Cruising Areas,checked,,1980,,4/10/2020 11:54am,4/10/2020 11:58am
