ID,Title,description,streetaddress,amenityfeatures,type,city,state,Year,unclearaddress,uncleartype,notes,lat,lon,status,dateadded,lastmodified
169,Heat Stroke,602/264-3646 bi-weekly lgbt newspaper,,,Publications,Phoenix,AZ,2001,checked,,,33.650181,-112.100108,General Coordinates Used,,3/25/2024 1:03pm
172,The Confidential Connection!,602/252-4900 Meet hot Phoenix men TONIGHT! 18+. It's FREE to Record & Listen to ads! Use FREE code 499.,,,Men's Services,Phoenix,AZ,2001,checked,,,33.650181,-112.100108,General Coordinates Used,,3/25/2024 1:03pm
173,Megaphone Phoenix,"602/993-4567 100% LOCAL! Hot local men waiting to meet you! FREE to Record, Browse & Respond to voice ads. Use code 5050.",,,Men's Services,Phoenix,AZ,2001,checked,,,33.650181,-112.100108,General Coordinates Used,,3/25/2024 1:03pm
182,Dreamy Draw Park,Squaw Peak Pkwy (off Northern) go E along the driveway to the back--popular w/ 9-5ers,,"Cruisy Area,(AYOR)",Cruisy Areas,Phoenix,AZ,2001,checked,,,33.564211,-112.028863,Found,,3/25/2024 1:04pm
183,La Pradera Park,"39th Ave (at Glendale), Glendale",,"Cruisy Area,(AYOR)",Cruisy Areas,Glendale,AZ,2001,checked,,,33.536495,-112.145189,Found,,3/25/2024 1:03pm
184,Papago Park,Galvin Pkwy (btwn McDowell Rd & Van Buren St),,"Cruisy Area,(AYOR)",Cruisy Areas,Phoenix,AZ,2001,checked,,,33.453632,-111.948693,Found,,3/25/2024 1:04pm
185,Thunderbird Park,"I-17 N to Bell Rd (then W to 59th Ave), Glendale popular w/ 9-5ers",,"Cruisy Area,(AYOR)",Cruisy Areas,Glendale,AZ,2001,checked,,,33.694342,-112.187975,Found,,3/25/2024 1:03pm
186,Washington Park,21st Ave (N of Bethany) nights ,,"Cruisy Area,(AYOR)",Cruisy Areas,Phoenix,AZ,2001,checked,,,33.533435,-112.106293,Found,,3/25/2024 1:04pm
189,Granite Creek Park,,,"Cruisy Area,(AYOR)",Cruisy Areas,Prescott,AZ,2001,checked,,,34.548429,-112.468248,Found,,3/25/2024 1:05pm
190,Heritage Park,Willow Creek Rd (3 miles S of Hwy 89),,"Cruisy Area,(AYOR)",Cruisy Areas,Prescott,AZ,2001,checked,,,34.613737,-112.44085,Found,,3/25/2024 1:05pm
191,Huff 'N Puff Inn,520/567-9066 B&B,,"(MW),(NS),(WC)",Accommodations,Rimrock,AZ,2001,checked,,,34.640417,-111.783352,General Coordinates Used,,3/25/2024 1:14pm
208,AA Gay/Lesbian,"520/624-4183 many mtgs, call for schedule",,,Info Lines & Services,Tucson,AZ,2001,checked,,,32.222607,-110.974711,General Coordinates Used,,3/25/2024 1:14pm
209,Community Real Estate Referrals,"800/346-5592 gay realtor at your service, no rentals",,,Info Lines & Services,Tucson,AZ,2001,checked,,,32.222607,-110.974711,General Coordinates Used,,3/25/2024 1:11pm
211,Adobe Desert Vacation Rentals,520/578-3998,,"(GF),(NS),(SW)",Accommodations,Tucson,AZ,2001,checked,,,32.222607,-110.974711,General Coordinates Used,,3/25/2024 1:11pm
222,Natural B&B,520/881-4582 massage available,,"(M),(NS)",Accommodations,Tucson,AZ,2001,checked,,,32.222607,-110.974711,General Coordinates Used,,3/25/2024 1:11pm
238,The Observer,520/622-7176,,,Publications,Tucson,AZ,2001,checked,,,32.222607,-110.974711,General Coordinates Used,,3/25/2024 1:11pm
239,Megaphone Tucson,"520/791-2345 100% LOCAL! Hot local men waiting to meet you! FREE to Record, Browse & Respond to voice ads. Use code 5050.",,,Men's Services,Tucson,AZ,2001,checked,,,32.222607,-110.974711,General Coordinates Used,,3/25/2024 1:11pm
243,Fort Lowell Park,,,"Cruisy Area,(AYOR)",Cruisy Areas,Tucson,AZ,2001,checked,,,32.259687,-110.874732,Found,,3/25/2024 1:12pm
244,Gollob Park,off Prudence (S of the Hilton Hotel),,"Cruisy Area,(AYOR)",Cruisy Areas,Tucson,AZ,2001,checked,,,32.21477,-110.830294,Found,,3/25/2024 1:11pm
245,Greasewood Park,West Speedway beware of cacti,,"Cruisy Area,(AYOR)",Cruisy Areas,Tucson,AZ,2001,checked,,,32.233257,-111.022954,Found,,3/25/2024 1:12pm
246,Tanque Verde Falls,E on Tanque Verde Rd (to Upper Tanque Verde Falls parking area),,"Cruisy Area,(AYOR)",Cruisy Areas,Tucson,AZ,2001,checked,,,32.257324,-110.656078,Found,,3/25/2024 1:13pm
248,Arkansas Department of Tourism,800/628-8725,,,Info Lines & Services,,AR,2001,checked,,"No specific city listed. Listed under ""Statewide"".",35.20105,-91.831833,General Coordinates Used,,3/25/2024 1:16pm
249,Riverside Park,,,"Cruisy Area,(AYOR)",Cruisy Areas,Batesville,AR,2001,checked,,,35.759271,-91.637518,Found,,3/25/2024 1:16pm
250,Pig Trail Cafe,Rte 16 (E of Elkins) 501/643-3307 6am-9pm,,(*),Cafes,Crossett,AR,2001,checked,,"Actual name of locality ""Crosses""; location in Elkins, AR.",35.875322,-93.912123,Found,,3/25/2024 2:39pm
256,Comfort Inn of Eureka Springs,"Hwy 62 (at Jct 23 S) 501/253-5241, 800/828-0109 3-story Victorian hotel",,"(GF),(SW),(WC)",Accommodations,Eureka Springs,AR,2001,checked,,,35.07861,-92.317823,General Coordinates Used,,3/25/2024 1:16pm
257,The Gardener's Cottage,"501/253-9111, 800/833-3394 seasonal, jacuzzi",,"(GF),(NS)",Accommodations,Eureka Springs,AR,2001,checked,,,35.07861,-92.317823,General Coordinates Used,,3/25/2024 1:16pm
258,Greenwood Hollow Ridge B&B,"501/253-5283 exclusively lesbigay, kitchen, some shared baths",,"(MW),(WC),(GO)",Accommodations,Eureka Springs,AR,2001,checked,,,35.07861,-92.317823,General Coordinates Used,,3/25/2024 1:16pm
262,Pond Mountain Lodge,"501/253-5877, 800/583-8043 full brkfst",,"(GS),(SW),(NS),(WC),(GO)",Accommodations,Eureka Springs,AR,2001,checked,,,35.07861,-92.317823,General Coordinates Used,,3/25/2024 1:16pm
267,Autumn Breeze,"Hwy 23 S 501/253-7734 5pm-9pm, clsd Sun, cont'l",,,Restaurants,Eureka Springs,AR,2001,checked,,,35.07861,-92.317823,General Coordinates Used,,3/25/2024 1:17pm
268,Cottage Inn,"Hwy 62 W 501/253-5282 seasonal, dinner Tue-Sat, full bar, Mediterranean",,,Restaurants,Eureka Springs,AR,2001,checked,,,35.07861,-92.317823,General Coordinates Used,,3/25/2024 1:17pm
275,AA Gay/ Lesbian,501/443-6366 (AA#) call for info,,,Info Lines & Services,Fayetteville,AR,2001,checked,,,36.066242,-94.157853,General Coordinates Used,,3/25/2024 1:25pm
281,Flat Rock Beach,10 miles W of town nude beach,,"Cruisy Area,(AYOR)",Cruisy Areas,Fayetteville,AR,2001,checked,,,36.066242,-94.157853,General Coordinates Used,,3/25/2024 2:36pm
