ID,Title,description,streetaddress,city,state,amenityfeatures,type,unclearaddress,status,lat,lon,Year,uncleartype,notes,dateadded,lastmodified
9532,'Burgh Bears,"PO Box 1451, 15230, 521-2327",,Pittsburgh,PA,,Info Lines & Services,checked,General Coordinates Used,40.440625,-79.995886,1997,,,,12/30/2023 1:25pm
9325,'Daisy Patch',,,Portland,OR,"Cruisy Area,(AYOR)",Cruising Areas,checked,General Coordinates Used,45.515232,-122.678385,1997,,from above entry,,12/30/2023 12:53pm
5787,'Dick Dock',pier at end of Reynolds St.,,Key West,FL,"Cruisy Area,(AYOR)",Cruising Areas,checked,Found,24.547154,-81.788282,1997,,,,12/19/2023 4:53pm
8712,'Getaways' Lounge,,,Asheville,NC,(V),Bars,checked,General Coordinates Used,35.595058,-82.551487,1997,,,,12/27/2023 5:54pm
6811,(MACT) Men of All Colors Together,"PO Box 1838, 40201, 366-2949, 1st Sat of month",,Louisville,KY,,Info Lines & Services,checked,General Coordinates Used,38.252665,-85.758456 ,1997,,,,12/24/2023 8:44am
6711,2nd St.,Ice Harbor area,,Des Moines,IA,(AYOR),Cruising Areas,checked,General Coordinates Used,41.589466,-93.614684,1997,,,,12/24/2023 7:40am
5688,5th Ave. Beach,& S. to Boardwalk,,Jacksonville Beach,FL,Cruisy Area,Cruising Areas,checked,General Coordinates Used,30.282958,-81.394154,1997,,,,12/19/2023 4:52pm
5423,8th St.,btwn. Shipley & Tetnell,,Wilmington,DE,Cruisy Area,Cruising Areas,checked,Found,39.743921,-75.550549,1997,,,,12/19/2023 4:43pm
5817,11th Street Diner,"11th & Washington, 534-6373, til midnight, 24hrs on wknds, full bar",,Miami,FL,,Restaurants & Cafes,checked,Found,25.781799,-80.13226,1997,,,,12/19/2023 5:08pm
7922,15th St.,from 'A' St. to State Capitol,,Lincoln,NE,"Cruisy Area,(AYOR)",Cruising Areas,checked,Found,40.796693,-96.699676,1997,,,,12/24/2023 2:30pm
4715,18th St. Services/Operation Concern,"861-4898, 9am-7pm Mon-Fri, lesbigay AA mtgs. at 15th & Market, offices at 217 Church St.",,San Francisco,CA,,Info Lines & Services,checked,General Coordinates Used,37.76204,-122.41611,1997,,,,12/19/2023 3:44pm
5528,23rd & 'N' St.,,,Washington,DC,"Cruisy Area,(AYOR)",Cruising Areas,checked,Found,38.907243,-77.050102,1997,,,,12/30/2023 5:21pm
9055,1835 House B&B,353-1856 cont'l brkfst,,Portsmouth,OH,"(MW),(SW)",Accommodations,checked,General Coordinates Used,38.731743,-82.997674,1997,,,,12/30/2023 12:20pm
4262,1970,(213) 669-1000 9pm Sun,,Los Angeles,CA,"(MW),(D),(18+)",Bars,checked,General Coordinates Used,34.052234,-118.243685,1997,,,,12/19/2023 3:18pm
3855,AA Gay/Lesbiabn,"624-4183, many meetings, call for info",,Tucson,AZ,,Info Lines & Services,checked,General Coordinates Used,32.222607,-110.974711,1997,,,,12/19/2023 2:39pm
3916,AA Gay/Lesbian,"3rd & Pulaski (Capitol View Methodist) 664-7303, 8pm Wed, 6pm Sun",,Little Rock,AR,,Info Lines & Services,checked,General Coordinates Used,34.827811,-92.345685 ,1997,,,,12/19/2023 2:49pm
8966,AA Gay/Lesbian,253-8501,,Columbus,OH,,Info Lines & Services,checked,General Coordinates Used,39.961176,-82.998794,1997,,,,12/30/2023 12:14pm
6846,AA Gay/Lesbian,"924-0030, 7pm Mon, 8pm Th, 9pm Sat, call for locations",,Baton Rouge,LA,,Info Lines & Services,checked,General Coordinates Used,30.451468,-91.187147,1997,,,,12/24/2023 11:54am
8152,AA Gay/Lesbian,266-1900,,Albuquerque,NM,(WC),Info Lines & Services,checked,General Coordinates Used,35.075459,-106.564133,1997,,,,12/27/2023 12:48pm
5311,AA Gay/Lesbian,"(see listing in 'Metroline' magazine) daily at Gay/Lesbian Community Center, call for info",,Hartford,CT,,Info Lines & Services,checked,General Coordinates Used,41.763964,-72.667475,1997,,,,12/19/2023 4:36pm
8913,AA Gay/Lesbian,241-7387,,Cincinnati ,OH,,Info Lines & Services,checked,General Coordinates Used,39.103118,-84.51202,1997,,,,12/30/2023 12:22pm
6715,AA Gay/Lesbian,338-9111,,Iowa City,IA,,Info Lines & Services,checked,General Coordinates Used,41.661128,-91.530168,1997,,,,12/24/2023 8:10am
6267,AA Gay/Lesbian,"Lahaina, 244-9673, 8pm Wed, 7:30am Sun",,"Lahaina, Maui",HI,,Info Lines & Services,checked,General Coordinates Used,20.878333,-156.6825,1997,,,,12/19/2023 6:38pm
8887,AA Gay/Lesbian,861-9966,,Cincinnati ,OH,,Info Lines & Services,checked,General Coordinates Used,39.103118,-84.51202,1997,,,,12/30/2023 12:22pm
7806,AA Gay/Lesbian,"SMS University @ Ecumenical Ctr (National off Cherry), 862-9264, 6pm Sat",,Springfield,MO,,Info Lines & Services,checked,Found,37.20387,-93.276101,1997,,,,12/30/2023 5:32pm
4382,AA Gay/Lesbian,"at the Little House in the Park, at Central & Forest, 373-3713, 8pm Th, also 10:30am Sat at Unitarian Church, Hwy. 1 @ Aguajito",,Monterey,CA,,Info Lines & Services,checked,General Coordinates Used,36.600238,-121.894676,1997,,,,12/19/2023 3:29pm
9062,AA Gay/Lesbian,472-8242,,Toledo,OH,,Info Lines & Services,checked,General Coordinates Used,41.652805,-83.537867,1997,,,,12/30/2023 12:20pm
10209,AA Gay/Lesbian,"539-8800, call for times & locations",,Salt Lake City,UT,,Info Lines & Services,checked,General Coordinates Used,40.760779,-111.891047,1997,,,,12/30/2023 3:03pm
