"","ID","title","description","streetaddress","city","state","amenityfeatures","type","Year","notes","lon","lat","status"
"14","5","Alpine Room","(Will be moving)","835 King St.","Wilmington","DE","(*)","Bars/Clubs",1980,NA,-75.5481196,39.7439006,"Google Verified Location"
"15","35","Alpine Room ","('The Golden Greeks', A Delaware 'Institution')","835 King Street","Wilmington","DE","(*)","Bars/Clubs",1977,NA,-75.5481196,39.7439006,"Google Verified Location"
"16","24","Arc Club","(Disco)(AH*)(If obtain liquor license, will close earlier)","5101 Gov. Printz Blvd.","Wilmington","DE","(P),(YC),(D),(AH),(*),(BYOB)","Bars/Clubs",1978,NA,-75.4933193,39.7574516,"Google Verified Location"
"17","14","Dance Land","(Semi-P)(Disco)(Some G)(AH 11pm -6am. WE only)","915 Shipley","Wilmington","DE","(P),(D),(YC),(AH),(WE),(BYOB),(G)","Bars/Clubs",1979,NA,-75.5179115,39.7812519,"Google Verified Location"
"18","65","Dog House","","1200 Dupont","Wilmington","DE","(M),(R)","Restaurant",1974,NA,-75.5872301,39.7670517,"Google Verified Location"
"19","56","Dog House","","1200 DuPont Hwy.","Wilmington","DE","(M),(R)","Restaurant",1975,NA,-75.582428,39.6883927,"Google Verified Location"
"20","46","Dog House","","1200 DuPont Hwy","Wilmington","DE","(M),(R)","Restaurant",1976,NA,-75.582428,39.6883927,"Google Verified Location"
"21","47","Gas Lamp","(Some G)","915 Shipley St.","Wilmington","DE","(P),(YC),(G),(D),(*)","Bars/Clubs",1976,NA,-75.548917,39.74543,"Google Verified Location"
"22","36","Michaelangelo's","","207 W. 8th","Wilmington","DE","(D),(*)","Bars/Clubs",1977,NA,-75.5507324,39.7440107,"Google Verified Location"
"23","25","Michaelangelo's","","207 W. 8th","Wilmington","DE","(D)","Bars/Clubs",1978,NA,-75.5507324,39.7440107,"Google Verified Location"
"24","86","Playboy","","109 E. 7th St.","Wilmington","DE","(M)","Bars/Clubs",1969,NA,-75.548891,39.7422892,"Google Verified Location"
"25","80","Playboy","","109 E. 7th St.","Wilmington","DE","(M)","Bars/Clubs",1970,NA,-75.548891,39.7422892,"Google Verified Location"
"26","66","Presto","(bar only - late)","816 Shipley","Wilmington","DE","(M),(R)","Restaurant,Bars/Clubs",1974,NA,-75.5169275,39.7773887,"Google Verified Location"
"27","57","Presto","(bar only -late)","816 Shipley","Wilmington","DE","(M),(R)","Restaurant",1975,NA,-75.5169275,39.7773887,"Google Verified Location"
"28","48","Presto","(bar only -late)","816 Shipley St.","Wilmington","DE","(M),(R)","Bars/Clubs",1976,NA,-75.5494906,39.7437663,"Google Verified Location"
"29","37","Renaissance","(Looks promising)","107 W. 6th St. ","Wilmington","DE","","Bars/Clubs",1977,NA,-75.551228,39.74245,"Google Verified Location"
"30","26","Renaissance","","107 W. 6th St.","Wilmington","DE","(*)","Bars/Clubs",1978,NA,-75.551228,39.74245,"Google Verified Location"
"31","15","Renaissance","","107 W. 6th St.","Wilmington","DE","(*),(PT)","Bars/Clubs",1979,NA,-75.551228,39.74245,"Google Verified Location"
"32","6","Renaissance","","107 W. 6th St.","Wilmington","DE","(PT)","Bars/Clubs",1980,NA,-75.551228,39.74245,"Google Verified Location"
"33","39","Steak 'n' Eggs","","702 Delaware Avenue","Wilmington","DE","(M),(R),(C),(AH)","Restaurant",1977,NA,-75.5531139,39.7494026,"Google Verified Location"
"34","16","Steak 'n' Eggs","","702 Delaware Ave","Wilmington","DE","(M),(R),(C),(AH)","Restaurant",1979,NA,-75.5531139,39.7494026,"Google Verified Location"
"35","7","Steak 'n' Eggs","","702 Delaware Ave","Wilmington","DE","(M),(R),(C),(AH)","Restaurant",1980,NA,-75.5531139,39.7494026,"Google Verified Location"
"36","27","Steak 'n' Eggs ","","702 Delaware Ave.","Wilmington","DE","(M),(R),(C),(AH)","Restaurant",1978,NA,-75.5531139,39.7494026,"Google Verified Location"
"37","28","Tomcat Book Store","","101 W. 8th St.","Wilmington","DE","","Book Store",1978,NA,-75.5499494,39.7438508,"Google Verified Location"
"38","984","'The Dunes' 'B.A.' - Beach about 1 mi. N. o fparking lot at Henlopen St. Park","","","Rehoboth Beach","DE","Cruisy Areas","Crusing Areas",1978,NA,-75.076014,38.720945,"Location could not be verified. General city or location coordinates used."
"39","980","'The Dunes' 'B.A.' - Beach about 1 mi. N. o fparking lot at Henlopen St. Park","","","Rehoboth Beach","DE","Cruisy Areas","Crusing Areas",1979,NA,-75.076014,38.720945,"Location could not be verified. General city or location coordinates used."
"40","979","'The Dunes' 'B.A.' - Beach about 1 mi. N. o fparking lot at Henlopen St. Park","","","Rehoboth Beach","DE","Cruisy Areas","Crusing Areas",1980,NA,-75.076014,38.720945,"Location could not be verified. General city or location coordinates used."
"41","1002","Boat House","(Disco) (some L) (2 bars)","Bellvue & Bayard - on the bay at Dewey Beach","Rehoboth Beach","DE","(YC),(D),(G),(R)","Bars/Clubs",1978,NA,-75.077334,38.69431,"Verified Location"
"42","1001","Boat House","(Disco) (Some G) (2 bars)","Bellevue & Bayard - on the Bay at Dewey Beach","Rehoboth Beach","DE","(YC),(*),(D),(G),(R)","Bars/Clubs",1979,NA,-75.077334,38.69431,"Verified Location"
"43","1000","Boat House","(Disco) (some L) (2 bars)","Bellevue & Bayard - on the Bay at Dewey Beach","Rehoboth Beach","DE","(YC),(*),(D),(L),(R)","Bars/Clubs",1980,NA,-75.077334,38.69431,"Verified Location"
"44","982","Carpenters Beach","","","Rehoboth Beach","DE","Cruisy Areas","Crusing Areas",1978,NA,-75.076014,38.720945,"Location could not be verified. General city or location coordinates used."
"45","1015","Cork 'n' Bottle","","Route 14, 1 mile south of town","Rehoboth Beach","DE","(M),(R)","Restaurant",1976,NA,-75.076014,38.720945,"Location could not be verified. General city or location coordinates used."
"46","1014","Cork 'n' Bottle","","Route 14, 1 mile south of town","Rehoboth Beach","DE","(M),(R)","Restaurant",1977,NA,-75.076014,38.720945,"Location could not be verified. General city or location coordinates used."
"47","1005","Henlopen Hotel Bar","","Boardwalk & Surf","Rehoboth Beach","DE","(M)","Bars/Clubs,Hotels",1972,NA,-75.077116,38.722804,"Verified Location"
"48","1004","Henlopen Hotel Bar","","Boardwalk & Surf","Rehoboth Beach","DE","(M)","Hotels,Bars/Clubs",1973,NA,-75.077116,38.722804,"Verified Location"
"49","1003","Henlopen Hotel Bar","","Boardwalk & Surf","Rehoboth Beach","DE","(M)","Hotels,Bars/Clubs",1974,NA,-75.077116,38.722804,"Verified Location"
"50","995","Market & King Sts betw. 8th & 10th","","","Wilmington","DE","Cruisy Areas","Crusing Areas",1975,NA,-75.548001,39.744486,"Verified Location"
"51","992","Market & King Sts betw. 8th & 10th","","","Wilmington","DE","Cruisy Areas","Crusing Areas",1976,NA,-75.548001,39.744486,"Verified Location"
"52","989","Market & King Sts betw. 8th & 10th","","","Wilmington","DE","Cruisy Areas","Crusing Areas",1977,NA,-75.548001,39.744486,"Verified Location"
"53","986","Market & King Sts betw. 8th & 10th","","","Wilmington","DE","Cruisy Areas","Crusing Areas",1978,NA,-75.548001,39.744486,"Verified Location"
"54","983","Market & King Sts., betw. 8th & 10th","","","Wilmington","DE","Cruisy Areas","Crusing Areas",1979,NA,-75.548001,39.744486,"Verified Location"
"55","978","Market & King Sts., betw. 8th & 10th","","","Wilmington","DE","Cruisy Areas","Crusing Areas",1980,NA,-75.548001,39.744486,"Verified Location"
"56","1006","Nomad","","Broadway & Olive","Rehoboth Beach","DE","(M)","Bars/Clubs",1971,NA,-75.076014,38.720945,"Location could not be verified. General city or location coordinates used."
"57","1019","Nomad Village Motel","","Route 14, P.O. Box 158, Tower Shores","Bethany Beach","DE","(H)","Hotels",1974,NA,-75.055181,38.539556,"Location could not be verified. General city or location coordinates used."
"58","1018","Nomad Village Motel","","Route 14, P.O. Box 158, Tower Shores","Bethany Beach","DE","(H)","Hotels",1975,NA,-75.055181,38.539556,"Location could not be verified. General city or location coordinates used."
"59","1010","Nomad Village Motel","(Bar (H))","P.O. Box 158, Tower Shores","Bethany Beach","DE","(H)","Bars/Clubs,Hotels",1972,NA,-75.055181,38.539556,"Location could not be verified. General city or location coordinates used."
"60","1009","Nomad Village Motel","(Bar (H))","P.O. Box 158, Tower Shores","Bethany Beach","DE","(H)","Bars/Clubs,Hotels",1973,NA,-75.055181,38.539556,"Location could not be verified. General city or location coordinates used."
"61","1017","Nomad Village Motel & Other Room Bar","","Route 14, P.O. Box 158, Tower Shores","Bethany Beach","DE","(H)","Hotels,Bars/Clubs",1976,NA,-75.055181,38.539556,"Location could not be verified. General city or location coordinates used."
"62","1016","Nomad Village Motel & Other Room Bar","","Route 14, P.O. Box 158, Tower Shores","Bethany Beach","DE","(H)","Hotels,Bars/Clubs",1977,NA,-75.055181,38.539556,"Location could not be verified. General city or location coordinates used."
"63","1022","Nomad Village Motel & Other Room Bar","","Rte. 14, P.O. Box 158, Tower Shores","Bethany Beach","DE","(H)","Hotels,Bars/Clubs",1978,NA,-75.055181,38.539556,"Location could not be verified. General city or location coordinates used."
"64","1021","Nomad Village Motel & Other Room Bar","(This has changed hands & is anyone's guess as to what the policy will be when it re-opens for the '78 summer season)","Rte 14, Tower Shores","Bethany Beach","DE","","Hotels,Bars/Clubs",1979,NA,-75.055181,38.539556,"Location could not be verified. General city or location coordinates used."
"65","1020","Nomad Village Motel & Other Room Bar","(Sauna) (Swim Pool) (P-Beach)","Rt. 1, 3 mi. N. in Tower Shores","Bethany Beach","DE","(H),(*)","Hotels,Bars/Clubs",1980,NA,-75.055181,38.539556,"Location could not be verified. General city or location coordinates used."
"66","993","Other Room Bar","Nomad Village Motel","","Bethany Beach","DE","","Hotels,Bars/Clubs",1974,NA,-75.055181,38.539556,"Location could not be verified. General city or location coordinates used."
"67","991","Other Room Bar","Nomad Village Motel","","Bethany Beach","DE","","Hotels,Bars/Clubs",1975,NA,-75.055181,38.539556,"Location could not be verified. General city or location coordinates used."
"68","1008","Pink Pony","","Broadway & Olive","Rehoboth Beach","DE","(M)","Bars/Clubs",1969,NA,-75.076014,38.720945,"Location could not be verified. General city or location coordinates used."
"69","1007","Pink Pony","","Broadway & Olive","Rehoboth Beach","DE","(M)","Bars/Clubs",1970,NA,-75.076014,38.720945,"Location could not be verified. General city or location coordinates used."
"70","999","Sandcastle","(Summers only)","1st & Brooklyn","Rehoboth Beach","DE","(P),(H)","Hotels",1975,NA,-75.07864,38.714003,"Verified Location"
"71","998","Sandcastle","(Summers only)","1st & Brooklyn","Rehoboth Beach","DE","(P),(H)","Hotels",1976,NA,-75.07864,38.714003,"Verified Location"
"72","997","Sandcastle","(Summers only)","1st & Brooklyn","Rehoboth Beach","DE","(P),(H)","Hotels",1977,NA,-75.07864,38.714003,"Verified Location"
"73","994","Square opp. Hotel duPont","","","Wilmington","DE","Cruisy Areas","Crusing Areas",1975,NA,-75.547012,39.745852,"Verified Location"
"74","990","Square opp. Hotel duPont","","","Wilmington","DE","Cruisy Areas","Crusing Areas",1976,NA,-75.547012,39.745852,"Verified Location"
"75","988","Square opp. Hotel duPont","","","Wilmington","DE","Cruisy Areas","Crusing Areas",1977,NA,-75.547012,39.745852,"Verified Location"
"76","987","Square opp. Hotel duPont","","","Wilmington","DE","Cruisy Areas","Crusing Areas",1978,NA,-75.547012,39.745852,"Verified Location"
"77","985","Square opp. Hotel duPont","","","Wilmington","DE","Cruisy Areas","Crusing Areas",1979,NA,-75.547012,39.745852,"Verified Location"
"78","981","Square opp. Hotel duPont","","","Wilmington","DE","Cruisy Areas","Crusing Areas",1980,NA,-75.547012,39.745852,"Verified Location"
"79","996","Square opposite Hotel Dupont","","","Wilmington","DE","Cruisy Areas","Crusing Areas",1974,NA,-75.547012,39.745852,"Verified Location"
"80","1012","Station Cocktail Lounge","","Penn R.R. Station","Wilmington","DE","(M)","Bars/Clubs",1975,NA,-75.550909,39.737065,"Verified Location"
"81","1011","Station Cocktail Lounge","","Penn R.R. Station","Wilmington","DE","(M)","Bars/Clubs",1976,NA,-75.550909,39.737065,"Verified Location"
"82","1013","Station Cocktail Lounge","","Pennsylvania Railroad Station","Wilmington","DE","(M)","Bars/Clubs",1977,NA,-75.550909,39.737065,"Verified Location"
"83","1023","The Lobby(Disco) (May be Closing)","","Rte. 896","Newark","DE","(M),(YC),(D)","Bars/Clubs",1980,NA,-75.749657,39.683723,"Location could not be verified. General city or location coordinates used."
"84","41","Atom Club","","230 W. Lewis","Pocatello","ID","(M),(YC),(*)","Bars/Clubs",1976,NA,-112.4494001,42.8617144,"Google Verified Location"
"85","54","Atom Club","","230 W. Lewis","Pocatello","ID","(M),(YC),(*)","Bars/Clubs",1977,NA,-112.4494001,42.8617144,"Google Verified Location"
"86","67","Bernie's Lounge","(nr. center)","100 So. Main ","Pocatello","ID","(*)","Bars/Clubs",1978,NA,-112.4506275,42.8621121,"Google Verified Location"
"87","82","Bernie's Lounge","nr. Center","100 S. Main","Pocatello","ID","","Bars/Clubs",1979,NA,-112.4506275,42.8621121,"Google Verified Location"
"88","101","Bernie's Lounge","nr. Center","100 S. Main ","Pocatello","ID","","Bars/Clubs",1980,NA,-112.4506275,42.8621121,"Google Verified Location"
"89","97","Book People","(Books & info) ","512 S. Main","Moscow","ID","(*)","Book Store",1980,NA,-117.0010682,46.7306249,"Google Verified Location"
"90","85","Cheap Chic","(Clothing)","222 N. 9th","Boise","ID","","Business",1980,NA,-116.2031439,43.6175313,"Google Verified Location"
"91","77","Headquarters Books","('Toys', 'flicks' & cruisy arcade)","414 Main","Lewiston","ID","(*)","Book Store,Crusing Areas",1979,NA,-117.001189,46.4004089,"Google Verified Location"
"92","94","Headquarters Books","('Toys', 'flicks' & cruisy arcade)","414 Main","Lewiston","ID","(*)","Book Store,Crusing Areas",1980,NA,-117.001189,46.4004089,"Google Verified Location"
"93","18","Office","","251 E. Center","Pocatello","ID","","Bars/Clubs",1973,NA,-112.4466388,42.864336,"Google Verified Location"
"94","24","Office","","251 E. Center","Pocatello","ID","(M)","Bars/Clubs",1974,NA,-112.4466388,42.864336,"Google Verified Location"
"95","42","Office","","251 E. Center","Pocatello","ID","(M)","Bars/Clubs",1976,NA,-112.4466388,42.864336,"Google Verified Location"
"96","55","Office","","251 E. Center St","Pocatello","ID","(M)","Bars/Clubs",1977,NA,-112.4466388,42.864336,"Google Verified Location"
"97","68","Office","","251 E. Center St.","Pocatello","ID","(M)","Bars/Clubs",1978,NA,-112.4466388,42.864336,"Google Verified Location"
"98","83","Office","","251 E. Center St.","Pocatello","ID","(M)","Bars/Clubs",1979,NA,-112.4466388,42.864336,"Google Verified Location"
"99","102","Office","","251 E. Center St.","Pocatello","ID","(*)","Bars/Clubs",1980,NA,-112.4466388,42.864336,"Google Verified Location"
"100","32","Office ","","251 E. Center","Pocatello","ID","(M)","Bars/Clubs",1975,NA,-112.4466388,42.864336,"Google Verified Location"
"101","87","Over 19 Adult Center","","4109 Chinden Ave.","Boise","ID","(*)","Business",1980,NA,-116.2501952,43.6300359,"Google Verified Location"
"102","22","Red Barn","","2528 Cleveland Blvd","Caldwell","ID","(M)","Bars/Clubs",1974,NA,-116.6715342,43.6515523,"Google Verified Location"
"103","27","Red Barn","","2528 Cleveland Blvd","Caldwell","ID","(M)","Bars/Clubs",1975,NA,-116.6715342,43.6515523,"Google Verified Location"
"104","35","Red Barn","","2528 Cleveland Blvd","Caldwell","ID","(M)","Bars/Clubs",1976,NA,-116.6715342,43.6515523,"Google Verified Location"
"105","46","Red Barn","","2528 Cleveland Blvd","Caldwell","ID","(M)","Bars/Clubs",1977,NA,-116.6715342,43.6515523,"Google Verified Location"
"106","60","Red Barn","","2528 Cleveland Blvd","Caldwell","ID","(M)","Bars/Clubs",1978,NA,-116.6715342,43.6515523,"Google Verified Location"
"107","72","Red Barn","","2528 Cleveland Blvd","Caldwell","ID","(M)","Bars/Clubs",1979,NA,-116.6715342,43.6515523,"Google Verified Location"
"108","58","Shuckey's","","223 S. 10th St.","Boise","ID","(D),(PT),(*)","Bars/Clubs",1978,NA,-116.2067467,43.6158696,"Google Verified Location"
"109","88","Shuckey's","('Tops' in Idaho)(Some L)(Boutique)(Recently expanded)(Disco)(Cruisy)","233 S. 10th St.","Boise","ID","(L),(R),(YC),(D),(PT)","Crusing Areas,Bars/Clubs",1980,NA,-116.2068228,43.6157883,"Google Verified Location"
"110","70","Shuckey's ","('Tops' in Idaho)(Some G)(Disco)(Cruisy)","233 S. 10th St.","Boise","ID","(YC),(G),(D),(PT)","Crusing Areas,Bars/Clubs",1979,NA,-116.2068228,43.6157883,"Google Verified Location"
"111","290","Alibi Lounge","","","Boise","ID","","Bars/Clubs",1974,"",-116.202314,43.615019,"Location could not be verified. General city or location coordinates used."
"112","352","Alpine Villa Townhouse","","Box 456, Ketchum Id., 83340","Sun Valley","ID","(H),(M)","Hotels",1980,"",-114.351717,43.697129,"Verified Location"
"113","354","Alpine Villa Townhouses","","Box 456, Ketchum, Idaho 83340","Sun Valley","ID","(H)","Hotels",1977,"",-114.351717,43.697129,"Verified Location"
"114","351","Alpine Villa Townhouses","","Box 456, Ketchum Id. 83340","Sun Valley","ID","(H)","Hotels",1978,"",-114.351717,43.697129,"Verified Location"
"115","353","Apline Villa Townhouses","","Box 456, Ketchum, Id. 83340","Sun Valley","ID","(H)","Hotels",1979,"",-114.351717,43.697129,"Verified Location"
"116","315","Block surrounding Idanha Hotel","","","Boise","ID","Cruisy Areas","Crusing Areas",1980,"",-116.205511,43.617211,"Verified Location"
"117","308","Block surrounding the Idanha Hotel","","","Boise","ID","Cruisy Areas","Crusing Areas",1979,"",-116.205511,43.617211,"Verified Location"
"118","288","Block Surrounding the Idanho Hotel","","","Boise","ID","Cruisy Areas","Crusing Areas",1973,"",-116.205511,43.617211,"Verified Location"
"119","289","Block Surrounding the Idanho Hotel","","","Boise","ID","Cruisy Areas","Crusing Areas",1974,"",-116.205511,43.617211,"Verified Location"
"120","291","Block Surrounding the Idanho Hotel","","","Boise","ID","Cruisy Areas","Crusing Areas",1975,"",-116.205511,43.617211,"Verified Location"
"121","296","Block Surrounding the Idanho Hotel","","","Boise","ID","Cruisy Areas","Crusing Areas",1976,"",-116.205511,43.617211,"Verified Location"
"122","298","Block Surrounding the Idanho Hotel","","","Boise","ID","Cruisy Areas","Crusing Areas",1977,"",-116.205511,43.617211,"Verified Location"
"123","303","Block Surrounding the Idanho Hotel","","","Boise","ID","Cruisy Areas","Crusing Areas",1978,"",-116.205511,43.617211,"Verified Location"
"124","300","Classroom Center - T-Rooms/University of Idaho","","","Moscow","ID","Cruisy Areas","Crusing Areas",1977,"",-117.012608,46.728812,"Verified Location"
"125","287","Coach Lantern","Out of downtown area - inquire locally","","Boise","ID","","Bars/Clubs",1972,"",-116.202314,43.615019,"Location could not be verified. General city or location coordinates used."
"126","342","Idanha Hotel","(downstairs)","10th & Main Sts.","Boise","ID","(M)","Hotels,Bars/Clubs",1966,"",-116.205854,43.616794,"Verified Location"
"127","343","Idanha Hotel","(downstairs bar)","10th & Main Sts.","Boise","ID","(M)","Hotels,Bars/Clubs",1968,"",-116.205854,43.616794,"Verified Location"
"128","344","Idanha Hotel","(downstairs bar)","10th & Main Sts.","Boise","ID","(M)","Hotels,Bars/Clubs",1969,"",-116.205854,43.616794,"Verified Location"
"129","345","Idanha Hotel","(downstairs)","10th & Main Sts.","Boise","ID","(M)","Hotels,Bars/Clubs",1970,"",-116.205854,43.616794,"Verified Location"
"130","346","Idanha Hotel","(downstairs)","10th & Main Sts.","Boise","ID","(M)","Hotels,Bars/Clubs",1971,"",-116.205854,43.616794,"Verified Location"
"131","347","Idanho Hotel Weeds Bar","(downstairs)","10th & Main Sts.","Boise","ID","(M)","Bars/Clubs,Hotels",1972,"",-116.205854,43.616794,"Verified Location"
"132","355","Kopper Kitchen","","I-80 at Vista","Boise","ID","(M),(R),(C),(AH)","Restaurant",1980,"Vista Ave Seems to no longer exist - replaced by an airport maybe?",-116.202314,43.615019,"Location could not be verified. General city or location coordinates used."
"133","327","Lewis & Clark Motel","","2nd & Main","Lewiston","ID","(M),(H)","Hotels",1979,"approximate.",-117.030526,46.421548,"Verified Location"
"134","328","Lewis & Clark Motel","","2nd & Main","Lewiston","ID","(M),(H)","Hotels",1980,"approximate.",-117.030526,46.421548,"Verified Location"
"135","325","Lewis & Clark Motor Inn","","2nd & Main","Lewiston","ID","(M),(H)","Hotels",1977,"approximate.",-117.030526,46.421548,"Verified Location"
"136","326","Lewis & Clarke Motel","","2nd & Main","Lewiston","ID","(M),(H)","Hotels",1978,"approximate.",-117.030526,46.421548,"Verified Location"
"137","331","Little Mac's","","9th & Main St.","Boise","ID","(M)","Bars/Clubs",1966,"",-116.204679,43.61622,"Verified Location"
"138","332","Little Mac's","","9th & Main St.","Boise","ID","(M)","Bars/Clubs",1968,"",-116.204679,43.61622,"Verified Location"
"139","333","Little Mac's","","9th & Main St.","Boise","ID","(M)","Bars/Clubs",1969,"",-116.204679,43.61622,"Verified Location"
"140","334","Little Mac's","","9th & Main St.","Boise","ID","(M)","Bars/Clubs",1970,"",-116.204679,43.61622,"Verified Location"
"141","335","Little Mac's","","9th & Main St.","Boise","ID","(M)","Bars/Clubs",1971,"",-116.204679,43.61622,"Verified Location"
"142","348","Moscow Hotel - T-Room","","313 S. Main","Moscow","ID","Cruisy Areas","Crusing Areas",1979,"",-117.001911,46.731985,"Verified Location"
"143","317","Moscow Hotel - T-Room","","","Moscow","ID","Cruisy Areas","Crusing Areas",1980,"",-117.001911,46.731985,"Verified Location"
"144","361","Northwest Gay Alliance","","P.O. Box 8758, Moscow, Idaho, 83843","Moscow","ID","","Organizations",1980,"",-117.000165,46.732387,"Location could not be verified. General city or location coordinates used."
"145","329","Pioneer Park","(HOT -WE)","5th St. at 3rd Ave.","Lewiston","ID","(WE),(AYOR),(HOT),Cruisy Areas","Crusing Areas",1979,"",-117.025451,46.419486,"Verified Location"
"146","330","Pioneer Park","(HOT -WE)","5th St. at 3rd Ave.","Lewiston","ID","(WE),(AYOR),Cruisy Areas","Crusing Areas",1980,"",-117.025451,46.419486,"Verified Location"
"147","336","Riley's Bar","(downstairs in basement of Idanho Hotel)","10 & Main Sts.","Boise","ID","(M)","Bars/Clubs,Hotels",1973,"",-116.205854,43.616794,"Verified Location"
"148","337","Riley's Bars","(downstairs in basement of Idanho Hotel)","10th & Main","Boise","ID","(M)","Bars/Clubs,Hotels",1974,"",-116.205854,43.616794,"Verified Location"
"149","338","Riley's Bars","(downstairs in basement of Idanho Hotel)","10th & Main","Boise","ID","(M)","Bars/Clubs,Hotels",1975,"",-116.205854,43.616794,"Verified Location"
"150","339","Riley's Bars","(downstairs in basement of Idanho Hotel)","10th & Main","Boise","ID","(M)","Bars/Clubs,Hotels",1976,"",-116.205854,43.616794,"Verified Location"
"151","340","Riley's Bars","(downstairs in basement of Idanho Hotel)","10th & Main","Boise","ID","(M)","Bars/Clubs,Hotels",1977,"",-116.205854,43.616794,"Verified Location"
"152","292","Riverside Drive","","","Idaho Falls","ID","Cruisy Areas","Crusing Areas",1975,"",-112.042787,43.500985,"Verified Location"
"153","295","Riverside Drive","","","Idaho Falls","ID","Cruisy Areas","Crusing Areas",1976,"",-112.042787,43.500985,"Verified Location"
"154","299","Riverside Drive","","","Idaho Falls","ID","Cruisy Areas","Crusing Areas",1977,"",-112.042787,43.500985,"Verified Location"
"155","307","Riverside Drive","","","Idaho Falls","ID","Cruisy Areas","Crusing Areas",1978,"",-112.042787,43.500985,"Verified Location"
"156","310","Riverside Drive","","","Idaho Falls","ID","Cruisy Areas","Crusing Areas",1979,"",-112.042787,43.500985,"Verified Location"
"157","313","Riverside Drive","","","Idaho Falls","ID","Cruisy Areas","Crusing Areas",1980,"",-112.042787,43.500985,"Verified Location"
"158","293","Snake River Falls","","","Idaho Falls","ID","Cruisy Areas","Crusing Areas",1975,"approximate",-112.043772,43.496607,"Verified Location"
"159","294","Snake River Falls","","","Idaho Falls","ID","Cruisy Areas","Crusing Areas",1976,"approximate",-112.043772,43.496607,"Verified Location"
"160","301","Snake River Falls","","","Idaho Falls","ID","Cruisy Areas","Crusing Areas",1977,"approximate",-112.043772,43.496607,"Verified Location"
"161","304","Snake River Falls","","","Idaho Falls","ID","Cruisy Areas","Crusing Areas",1978,"approximate",-112.043772,43.496607,"Verified Location"
"162","309","Snake River Falls","","","Idaho Falls","ID","Cruisy Areas","Crusing Areas",1979,"approximate",-112.043772,43.496607,"Verified Location"
"163","316","Snake River Falls","","","Idaho Falls","ID","Cruisy Areas","Crusing Areas",1980,"approximate",-112.043772,43.496607,"Verified Location"
"164","357","Stables","","On Hatwai (North-South Hwy.) 3 mi N.E. of town","Lewiston","ID","(M)","Bars/Clubs",1974,"",-117.001189,46.400409,"Location could not be verified. General city or location coordinates used."
"165","358","Stables","","On Hatwai (North-South Hwy.) 3 mi N.E. of town","Lewiston","ID","(M)","Bars/Clubs",1975,"",-117.001189,46.400409,"Location could not be verified. General city or location coordinates used."
"166","359","Stables","","On Hatwai (North-South Hwy.) 3 mi N.E. of town","Lewiston","ID","(M)","Bars/Clubs",1976,"",-117.001189,46.400409,"Location could not be verified. General city or location coordinates used."
"167","360","Stables","","On Hatwai (North-South Hwy.) 3 mi N.E. of town","Lewiston","ID","(M)","Bars/Clubs",1977,"",-117.001189,46.400409,"Location could not be verified. General city or location coordinates used."
