"title","description","streetaddress","city","state","Year","amenityfeatures","type","notes","full.address","lon","lat","geoAddress","status","unclear_address"
"Dr. Finfrock's Table","","209 S. 3rd.","Laramie","WY",1978,"(M),(R),(OC)","Restaurant",NA,"209 S. 3rd., Laramie, WY",-105.5932623,41.3114849,"209 s 3rd st, laramie, wy 82070, usa","Geocoded",NA
"Outlaw Bar","","1630 Elk St.","Rock Springs","WY",1978,"(M),(W)","Bars/Clubs",NA,"1630 Elk St., Rock Springs, WY",-109.2295368,41.6125654,"1630 elk st, rock springs, wy 82901, usa","Geocoded",NA
"Holiday Inn Bar","","300 W. F Street","Casper","WY",1977,"(M)","Bars/Clubs,Hotels",NA,"300 W. F Street, Casper, WY",-106.3289038,42.8581433,"300 w f st, casper, wy 82601, usa","Geocoded",NA
"Wonderbar","(Summers only)
","254 S. Center Street","Casper","WY",1977,"(M)","Bars/Clubs",NA,"254 S. Center Street, Casper, WY",-106.3255135,42.8477613,"254 s center st, casper, wy 82601, usa","Geocoded",NA
"Hitching Post Motel Lounge","(Bar only)","1800 W. Lincoln Way","Cheyenne","WY",1977,"(M)","Bars/Clubs",NA,"1800 W. Lincoln Way, Cheyenne, WY",-104.8342849,41.1259067,"1800 w lincolnway, cheyenne, wy 82001, usa","Geocoded",NA
"Mayflower","(Back bar)","112 West 17th","Cheyenne","WY",1977,"(M),(W)","Bars/Clubs",NA,"112 West 17th, Cheyenne, WY",-104.8154317,41.1341035,"112 w 17th st, cheyenne, wy 82001, usa","Geocoded",NA
"Sam's Place","(Some RT. SM)* Plains Hotel","1600 Central Avenue","Cheyenne","WY",1977,"(M),(W),(RT),(SM),(*)","Bars/Clubs,Hotels",NA,"1600 Central Avenue, Cheyenne, WY",-104.8145914,41.1333759,"1600 central ave, cheyenne, wy 82001, usa","Geocoded",NA
"Tippin","1/2 block West of O'Neill","642 West 20th","Cheyenne","WY",1977,"(P),(M),(RT),(AH)","Bars/Clubs",NA,"642 West 20th, Cheyenne, WY",-104.8231249,41.1345651,"642 w 20th st, cheyenne, wy 82001, usa","Geocoded",NA
"Silver Dollar","","86 W. Broadway","Jackson","WY",1977,"(M),(W)","Bars/Clubs",NA,"86 W. Broadway, Jackson, WY",-110.7609973,43.4793793,"86 w broadway, jackson, wy 83001, usa","Geocoded",NA
"Dotsie's","Inquire locally","","Rock Springs","WY",1977,"(M),(C),(AH)","Bars/Clubs",NA,", Rock Springs, WY",-109.2029043,41.5874644,"rock springs, wy 82901, usa","Geocoded",NA
"Outlaw Bar","","1630 Elk St.","Rock Springs","WY",1977,"(M)","Bars/Clubs",NA,"1630 Elk St., Rock Springs, WY",-109.2295368,41.6125654,"1630 elk st, rock springs, wy 82901, usa","Geocoded",NA
"Hitching Post Motel Lounge","(Bar only)","1800 W. Lincoln Way","Cheyenne","WY",1976,"(M)","Bars/Clubs",NA,"1800 W. Lincoln Way, Cheyenne, WY",-104.8342849,41.1259067,"1800 w lincolnway, cheyenne, wy 82001, usa","Geocoded",NA
"Mayflower","(Back bar)","112 W. 17th","Cheyenne","WY",1976,"(M),(W)","Bars/Clubs",NA,"112 W. 17th, Cheyenne, WY",-104.8154317,41.1341035,"112 w 17th st, cheyenne, wy 82001, usa","Geocoded",NA
