"description","streetaddress","city","state","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","title","unclear_address"
"(Book store)","706 S.E. Grand ","Portland","OR","(G)","Book Store",1976,NA,"706 S.E. Grand , Portland, OR",-122.6605585,45.5177852,"706 se grand ave, portland, or 97214, usa","Geocoded",NA,NA
"","628 E. Burnside ","Portland","OR","","Book Store",1979,NA,"628 E. Burnside , Portland, OR",-122.658999,45.5228357,"628 e burnside st, portland, or 97214, usa","Geocoded",NA,NA
"","1237 SW 3rd. ","Portland","OR","","Baths",1966,NA,"1237 SW 3rd. , Portland, OR",-122.6774713,45.5146785,"1237 sw 3rd ave, portland, or 97204, usa","Geocoded",NA,NA
"","1237 SW 3rd. ","Portland","OR","","Baths",1965,NA,"1237 SW 3rd. , Portland, OR",-122.6774713,45.5146785,"1237 sw 3rd ave, portland, or 97204, usa","Geocoded",NA,NA
"","1239 S.W. 3rd ","Portland","OR","","Baths",1971,NA,"1239 S.W. 3rd , Portland, OR",-122.6774785,45.5146654,"1239 sw 3rd ave, portland, or 97204, usa","Geocoded",NA,NA
"","1239 S.W. 3rd Ave. ","Portland","OR","","Baths",1972,NA,"1239 S.W. 3rd Ave. , Portland, OR",-122.6774785,45.5146654,"1239 sw 3rd ave, portland, or 97204, usa","Geocoded",NA,NA
"","1237 SW 3rd ","Portland","OR","","Baths",1968,NA,"1237 SW 3rd , Portland, OR",-122.6774713,45.5146785,"1237 sw 3rd ave, portland, or 97204, usa","Geocoded",NA,NA
"","1237 SW 3rd ","Portland","OR","","Baths",1969,NA,"1237 SW 3rd , Portland, OR",-122.6774713,45.5146785,"1237 sw 3rd ave, portland, or 97204, usa","Geocoded",NA,NA
"","1237 S.W. 3rd ","Portland","OR","","Baths",1970,NA,"1237 S.W. 3rd , Portland, OR",-122.6774713,45.5146785,"1237 sw 3rd ave, portland, or 97204, usa","Geocoded",NA,NA
"","820 S.W. Oak ","Portland","OR","(*)","Bars/Clubs",1972,NA,"820 S.W. Oak , Portland, OR",-122.6797505,45.5224094,"820 sw oak st, portland, or 97205, usa","Geocoded",NA,NA
"","820 SW Oak St. ","Portland","OR","(*)","Bars/Clubs",1965,NA,"820 SW Oak St. , Portland, OR",-122.6797505,45.5224094,"820 sw oak st, portland, or 97205, usa","Geocoded",NA,NA
"","112 S. Empire ","Coos Bay","OR","(M)","Bars/Clubs",1966,NA,"112 S. Empire , Coos Bay, OR",-124.2776025,43.3929679,"112 s empire blvd, coos bay, or 97420, usa","Geocoded",NA,NA
"","112 S. Empire ","Coos Bay","OR","(M)","Bars/Clubs",1968,NA,"112 S. Empire , Coos Bay, OR",-124.2776025,43.3929679,"112 s empire blvd, coos bay, or 97420, usa","Geocoded",NA,NA
"","112 S Empire ","Coos Bay","OR","(M)","Bars/Clubs",1969,NA,"112 S Empire , Coos Bay, OR",-124.2776025,43.3929679,"112 s empire blvd, coos bay, or 97420, usa","Geocoded",NA,NA
"","112 S. Empire ","Coos Bay","OR","(M)","Bars/Clubs",1970,NA,"112 S. Empire , Coos Bay, OR",-124.2776025,43.3929679,"112 s empire blvd, coos bay, or 97420, usa","Geocoded",NA,NA
