"ID","Title","description","streetaddress","city","state","amenityfeatures","type","unclearaddress","uncleartype","Year","notes","dateadded","lastmodified","full.address","lon","lat","geoAddress","status"
28,"Marti's ","","176 Railroad St.","Central Falls","RI","(G),(D)","Bars/Clubs",NA,NA,1979,NA,"4/20/2020 1:25am","7/27/2020 1:16pm","176 Railroad St., Central Falls, RI","-71.385617","41.8892471","176 railroad st, central falls, ri 02863, usa","Geocoded"
29,"David's","","28 Prospect Hill off Thames St.","Newport","RI","(YC),(D),(*)","Bars/Clubs",NA,NA,1979,NA,"4/20/2020 1:27am","7/27/2020 1:16pm","28 Prospect Hill off Thames St., Newport, RI","-71.3139778","41.4853787","28 prospect hill st, newport, ri 02840, usa","Geocoded"
30,"Gov. Collins Inn Guest House","","113 Tours St.","Newport","RI","(H),(*)","Hotels",NA,NA,1979,NA,"4/20/2020 1:28am","7/27/2020 1:16pm","113 Tours St., Newport, RI","-71.3128285","41.4901024","newport, ri, usa","Geocoded"
31,"Venetian Room","(Some G)","3 Farewell St.","Newport","RI","(G),(*)","Bars/Clubs",NA,NA,1979,NA,"4/20/2020 1:28am","7/27/2020 1:16pm","3 Farewell St., Newport, RI","-71.3132894","41.490839","3 farewell st, newport, ri 02840, usa","Geocoded"
33,"Franklin Spa Drug Store","(Lunches)","229 Spring at Franklin","Newport","RI","(M),Cruisy Area","Cruising Areas",NA,NA,1979,NA,"4/20/2020 1:29am","7/27/2020 1:16pm","229 Spring at Franklin, Newport, RI","-71.313379","41.4848546","229 spring st, newport, ri 02840, usa","Geocoded"
34,"Town & Country ","(Some G) (Disco) (Swim pool)","Farnum Pike","N. Smithfield","RI","(G),(D)","Bars/Clubs",NA,NA,1979,NA,"4/20/2020 1:29am","7/27/2020 1:16pm","Farnum Pike, N. Smithfield, RI","-71.53853","41.9062698","farnum pike, smithfield, ri, usa","Geocoded"
35,"Bob's Place","(Some B, YC, G)","124 Snow St.","Providence","RI","(B),(YC),(D),(G),(M),(RT)","Bars/Clubs",NA,NA,1979,NA,"4/20/2020 1:30am","7/27/2020 1:16pm","124 Snow St., Providence, RI","-71.4135536","41.8211599","124 snow st, providence, ri 02903, usa","Geocoded"
36,"Buttery","","68 Dorrence at Weybosset","Providence","RI","(M),(R),(C),(AH)","Restaurant",NA,NA,1979,NA,"4/20/2020 1:31am","7/27/2020 1:16pm","68 Dorrence at Weybosset, Providence, RI","-71.4111205","41.8233223","68 dorrance st, providence, ri 02903, usa","Geocoded"
37,"Cabana","","681 Valley","Providence","RI","(G),(D)","Bars/Clubs",NA,NA,1979,NA,"4/20/2020 1:31am","7/27/2020 1:16pm","681 Valley, Providence, RI","-71.4288774","41.8309289","681 valley st, providence, ri 02908, usa","Geocoded"
38,"Clemence St. Book Store","","35 Clemence St.","Providence","RI","(*)","Book Store",NA,NA,1979,NA,"4/20/2020 1:31am","7/27/2020 1:16pm","35 Clemence St., Providence, RI","-71.4143073","41.8232912","35 clemence st, providence, ri 02903, usa","Geocoded"
39,"Club Providence Baths","","257 Weybosset","Providence","RI","(*)","Baths",NA,NA,1979,NA,"4/20/2020 1:32am","7/27/2020 1:16pm","257 Weybosset, Providence, RI","-71.41319","41.820952","257 weybosset st, providence, ri 02903, usa","Geocoded"
40,"Deja Vu","(Looks promising)","95 Eddy St.","Providence","RI","(W)","Bars/Clubs",NA,NA,1979,NA,"4/20/2020 1:32am","7/27/2020 1:16pm","95 Eddy St., Providence, RI","-71.412156","41.822942","95 eddy st, providence, ri 02903, usa","Geocoded"
41,"Fife & Drum ","(Upstairs) (Some G) (Disco)","123 Weybosset","Providence","RI","(*),(YC),(G),(D)","Bars/Clubs",NA,NA,1979,NA,"4/20/2020 1:32am","7/27/2020 1:16pm","123 Weybosset, Providence, RI","-71.4114172","41.8230957","123 weybosset st, providence, ri 02903, usa","Geocoded"
42,"Gallery","(Unisex) (Disco) ","194 Richmond","Providence","RI","(*),(HIP),(YC),(D)","Bars/Clubs",NA,NA,1979,NA,"4/20/2020 1:33am","7/27/2020 1:16pm","194 Richmond, Providence, RI","-71.409122","41.8194591","194 richmond st, providence, ri 02903, usa","Geocoded"
43,"La Boheme ","('Gold coin') (Some OC) (Below Fife & Drum)","79 Dorrence at Weybosset","Providence","RI","(OC),(E),(*)","Bars/Clubs,Cruising Areas",NA,NA,1979,NA,"4/20/2020 1:33am","7/27/2020 1:16pm","79 Dorrence at Weybosset, Providence, RI","-71.4112482","41.8230785","79 dorrance st, providence, ri 02903, usa","Geocoded"
44,"M.C.C.","","63 Chapin Ave.","Providence","RI","M.C.C.","Church",NA,NA,1979,NA,"4/20/2020 1:34am","7/27/2020 1:16pm","63 Chapin Ave., Providence, RI","-71.433545","41.812067","63 chapin ave, providence, ri 02909, usa","Geocoded"
45,"Mirabar","(Disco) (Opens 11:30 a.m.- Closes 1 a.m. weekdays, 2 a.m. WE)","109 Eddy St.","Providence","RI","(D),(R),(*),(WE)","Bars/Clubs,Restaurant",NA,NA,1979,NA,"4/20/2020 1:34am","7/27/2020 1:16pm","109 Eddy St., Providence, RI","-71.4116268","41.8226411","109 eddy st, providence, ri 02903, usa","Geocoded"
46,"Paris Cinema","(Cruisy - right in the aisles)","291 Weybosset","Providence","RI","","Theatre,Cruising Areas",NA,NA,1979,NA,"4/20/2020 1:35am","7/27/2020 1:16pm","291 Weybosset, Providence, RI","-71.4138968","41.8206498","291 weybosset st, providence, ri 02903, usa","Geocoded"
47,"Y.M.C.A.","(Cruisy gym)","160 Broad St.","Providence","RI","(M),(H)","Cruising Areas,Hotels",NA,NA,1979,NA,"4/20/2020 1:36am","7/27/2020 1:16pm","160 Broad St., Providence, RI","-71.4167171","41.8169108","160 broad st, providence, ri 02903, usa","Geocoded"
56,"High Street Cafe","(Some G) ","281 High St.","Woonsocket","RI","(G),(D)","Bars/Clubs",NA,NA,1979,NA,"4/20/2020 1:38am","7/27/2020 1:16pm","281 High St., Woonsocket, RI","-71.51802","42.003424","281 high st, woonsocket, ri 02895, usa","Geocoded"
57,"Marti's ","(Also called 'The Railroad')","176 Railroad St.","Central Falls","RI","(G),(D),(*)","Bars/Clubs",NA,NA,1978,NA,"4/20/2020 1:41am","7/27/2020 1:16pm","176 Railroad St., Central Falls, RI","-71.385617","41.8892471","176 railroad st, central falls, ri 02863, usa","Geocoded"
