"description","streetaddress","city","state","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","title","unclear_address"
"(liquor- basement of Smith Tower)","506 2nd Ave","Seattle","WA","(G),(D)","Bars/Clubs",1968,NA,"506 2nd Ave, Seattle, WA",-122.3317164,47.6019789,"506 2nd ave, seattle, wa 98104, usa","Geocoded",NA,NA
"","919 W. Sprague","Spokane","WA","(*)","Bars/Clubs",1968,NA,"919 W. Sprague, Spokane, WA",-117.4260106,47.6570103,"919 w sprague ave, spokane, wa 99201, usa","Geocoded",NA,NA
"","927 1st Ave","Spokane","WA","(M)","Bars/Clubs",1968,NA,"927 1st Ave, Spokane, WA",-117.426278,47.656235,"927 w 1st ave, spokane, wa 99201, usa","Geocoded",NA,NA
"","938 Pacific Ave","Tacoma","WA","","Bars/Clubs",1968,NA,"938 Pacific Ave, Tacoma, WA",-122.43915,47.2540515,"938 pacific ave, tacoma, wa 98402, usa","Geocoded",NA,NA
"","118 1/2 Occidental ","Seattle","WA","","Baths",1969,NA,"118 1/2 Occidental , Seattle, WA",-122.3332766,47.5995418,"311 1/2 occidental ave s, seattle, wa 98104, usa","Geocoded",NA,NA
"(semi-private, BYOB, Fri-Sat nites after bars close, 2nd floor) Morrison Hotel ","517 3rd Ave. ","Seattle","WA","(*),(D),(BYOB)","Bars/Clubs,Hotels",1969,NA,"517 3rd Ave. , Seattle, WA",-122.3313474,47.6024509,"517 3rd ave, seattle, wa 98104, usa","Geocoded",NA,NA
"","903 Pine St. ","Seattle","WA","","Book Store",1969,NA,"903 Pine St. , Seattle, WA",-122.3315297,47.6135179,"903 pine st, seattle, wa 98101, usa","Geocoded",NA,NA
"(after hours)","1001 Olive Way ","Seattle","WA","(M),(R)","Restaurant",1969,NA,"1001 Olive Way , Seattle, WA",-122.3326385,47.6149467,"1001 olive way, seattle, wa 98101, usa","Geocoded",NA,NA
"","2402 1st Ave","Seattle","WA","(*)","Baths",1969,NA,"2402 1st Ave, Seattle, WA",-122.3478391,47.6144167,"2402 1st ave, seattle, wa 98121, usa","Geocoded",NA,NA
"","207 2nd Ave So.","Seattle","WA","(YC),(D),(*)","Bars/Clubs",1969,NA,"207 2nd Ave So., Seattle, WA",-122.3319532,47.6005855,"207 2nd ave s, seattle, wa 98104, usa","Geocoded",NA,NA
"(Liquor)","203 Yessler ","Seattle","WA","","Bars/Clubs",1969,NA,"203 Yessler , Seattle, WA",-122.33113,47.6015853,"203 yesler way, seattle, wa 98104, usa","Geocoded",NA,NA
"","922 3rd St. ","Seattle","WA","(SM)","Bars/Clubs",1969,NA,"922 3rd St. , Seattle, WA",-122.204578,47.4798076,"922 s 3rd st, renton, wa 98057, usa","Geocoded",NA,NA
"","824 Pike St. ","Seattle","WA","(*)","Bars/Clubs",1969,NA,"824 Pike St. , Seattle, WA",-122.331423,47.612477,"824 pike st, seattle, wa 98101, usa","Geocoded",NA,NA
"","173 S. Washington","Seattle","WA","(RT),(M)","Bars/Clubs",1969,NA,"173 S. Washington, Seattle, WA",-122.3318191,47.6007134,"173 s washington st, seattle, wa 98104, usa","Geocoded",NA,NA
"","611 2nd Ave","Seattle","WA","","Bars/Clubs",1969,NA,"611 2nd Ave, Seattle, WA",-122.3329967,47.6025555,"611 2nd ave, seattle, wa 98104, usa","Geocoded",NA,NA
"","614 1st St. ","Seattle","WA","(YC),(D),(*)","Bars/Clubs",1969,NA,"614 1st St. , Seattle, WA",-122.3336804,47.6023525,"614 1st ave, seattle, wa 98104, usa","Geocoded",NA,NA
"","158 Washington","Seattle","WA","","Bars/Clubs",1969,NA,"158 Washington, Seattle, WA",-122.3129866,47.7436269,"ne 158th st, washington 98155, usa","Geocoded",NA,NA
"(Liquor-basement Smith Towers)","506 2nd Ave","Seattle","WA","(G),(D)","Bars/Clubs",1969,NA,"506 2nd Ave, Seattle, WA",-122.3317164,47.6019789,"506 2nd ave, seattle, wa 98104, usa","Geocoded",NA,NA
"","919 Sprague ","Spokane","WA","(*)","Bars/Clubs",1969,NA,"919 Sprague , Spokane, WA",-117.4260106,47.6570103,"919 w sprague ave, spokane, wa 99201, usa","Geocoded",NA,NA
"","927 1st Ave ","Spokane","WA","(M)","Bars/Clubs",1969,NA,"927 1st Ave , Spokane, WA",-117.426278,47.656235,"927 w 1st ave, spokane, wa 99201, usa","Geocoded",NA,NA
"","938 Pacific","Tacoma","WA","","Bars/Clubs",1969,NA,"938 Pacific, Tacoma, WA",-122.43915,47.2540515,"938 pacific ave, tacoma, wa 98402, usa","Geocoded",NA,NA
"","118 1/2 Occidental ","Seattle","WA","","Baths",1970,NA,"118 1/2 Occidental , Seattle, WA",-122.3332766,47.5995418,"311 1/2 occidental ave s, seattle, wa 98104, usa","Geocoded",NA,NA
"(semi-private- BYOB, Fri.- Sat. nites after hours, 2nd floor) Morrison Hotel ","517 1/2 3rd Ave. ","Seattle","WA","(BYOB)","Bars/Clubs,Hotels",1970,NA,"517 1/2 3rd Ave. , Seattle, WA",-122.3482766,47.6168581,"2606 1/2 3rd ave #517, seattle, wa 98121, usa","Geocoded",NA,NA
"","2402 1st Ave.","Seattle","WA","(*)","Baths",1970,NA,"2402 1st Ave., Seattle, WA",-122.3478391,47.6144167,"2402 1st ave, seattle, wa 98121, usa","Geocoded",NA,NA
"(after hours) ","307 N. Aurora","Seattle","WA","(C)","Restaurant",1970,NA,"307 N. Aurora, Seattle, WA",-122.3437773,47.6246512,"307 aurora ave n, seattle, wa 98109, usa","Geocoded",NA,NA
"","207 2nd Ave","Seattle","WA","(YC),(D),(*)","Bars/Clubs",1970,NA,"207 2nd Ave, Seattle, WA",-122.3528686,47.6185914,"207 2nd ave, seattle, wa 98121, usa","Geocoded",NA,NA
"(only liquor bar)","203 Yessler ","Seattle","WA","(R),(C)","Restaurant",1970,NA,"203 Yessler , Seattle, WA",-122.33113,47.6015853,"203 yesler way, seattle, wa 98104, usa","Geocoded",NA,NA
