"title","description","streetaddress","city","state","amenityfeatures","type","notes","Year","lon","lat","status","unclear_address","full.address","geoAddress"
"Gym Health Club ","(Baths)","901 S. W. 27th Ave. ","Ft. Lauderdale","FL","(*),(P)","Baths","",1979,-80.17819,26.110238,"Geocoded",NA,NA,NA
"Gym Steam Baths","","901 S.W. 27th Ave.","Ft. Lauderdale","FL","(YC),(*)","Baths","",1973,-80.17819,26.110238,"Geocoded",NA,NA,NA
"Gym Steam Baths","","901 S.W. 27th Ave","Ft. Lauderdale","FL","(YC),(*)","Baths","",1974,-80.17819,26.110238,"Geocoded",NA,NA,NA
"Gym Steam Baths","","901 S. W. 27th Ave.","Ft. Lauderdale","FL","(YC),(*)","Baths","",1975,-80.17819,26.110238,"Geocoded",NA,NA,NA
"H & M (He & Me) Club","","2300 Two Notch Rd","Columbia","SC","(YC),(D),(*)","Bars/Clubs","",1974,-81.012917,34.0231009,"Geocoded",NA,NA,NA
"H & M Club","(Open until 4 or 5 am) (Disco)","2300 Two Notch Road","Columbia","SC","(P),(YC),(D),(*)","Bars/Clubs","",1976,-81.012917,34.0231009,"Geocoded",NA,NA,NA
"H & M Club ","(Disco) (open until 4 or 5 a.m.) ","2300 Two Notch Road ","Columbia","SC","(P),(YC),(D),(WE),(*)","Bars/Clubs","",1977,-81.012917,34.0231009,"Geocoded",NA,NA,NA
"H & M Club ","(Disco) (WE-only * until 4 a.m.) ","2300 Two Notch Rd. ","Columbia","SC","(P),(YC),(D)","Bars/Clubs","",1978,-81.012917,34.0231009,"Geocoded",NA,NA,NA
"H& M","(He & Me) (Liquor bar open 9pm - 2am)
","2300 Two Notch Rd.","Columbia","SC","(P),(YC),(D),(*)","Bars/Clubs","",1975,-81.012917,34.0231009,"Geocoded",NA,NA,NA
"H&M Club","(Disco) (On again, off again) ","2300 Two Notch Rd. ","Columbia","SC","(D)","Bars/Clubs","",1979,-81.012917,34.0231009,"Geocoded",NA,NA,NA
"Hababa's ","","931 W. Grace St.","Richmond","VA","(M),(YC)","Bars/Clubs","",1975,-77.4529824,37.5506364,"Geocoded",NA,NA,NA
"Habitat ","","309 W. Market ","San Antonio","TX","","Bars/Clubs","",1977,-98.4895546,29.4235165,"Geocoded",NA,NA,NA
"Halcyon Guest House","(Weekly or monthly rates)","329 William St.","Key West","FL","(PE),(H)","Hotels","",1980,-81.8001133,24.5594993,"Geocoded",NA,NA,NA
"Halcyon Guest House ","(Weekly or monthly rates)","329 William St. ","Key West","FL","(PE),(H)","Hotels","",1979,-81.8001133,24.5594993,"Geocoded",NA,NA,NA
"Haley Center","(4th floor T-Room) & Stanford Park nr. Langton Hall (Auburn Univ)
","","Auburn","AL","Cruisy Area","Cruising Areas","",1980,-85.4807825,32.6098566,"Geocoded",NA,NA,NA
"Hamlet","(Collegiate)","3416 Main Hwy Coconut Grove","Miami","FL","(M)","Bars/Clubs","",1968,-80.2427755,25.7278553,"Geocoded",NA,NA,NA
"Hamlet","","","Miami","FL","(M),(YC)","Bars/Clubs","",1969,-80.242775,25.727855,"Found",NA,NA,NA
"Hamlet","","3416 Main Hwy Coconut Grove","Miami","FL","(M),(YC),(R)","Restaurant","",1970,-80.2427755,25.7278553,"Geocoded",NA,NA,NA
"Hamlet","(Coconut Grove)","3416 Main Hwy","Miami","FL","(YC),(M),(R)","Restaurant","",1971,-80.2427755,25.7278553,"Geocoded",NA,NA,NA
"Hamlet","(Coconut Grove)","3416 Main Hwy. ","Miami","FL","(R),(*)","Restaurant","",1972,-80.2427755,25.7278553,"Geocoded",NA,NA,NA
"Hamlet","(Coconut Grove)","3416 Main Hwy","Miami","FL","(R),(*)","Restaurant","",1974,-80.2427755,25.7278553,"Geocoded",NA,NA,NA
"Hamlet","(Coconut Grove)","3416 Main Hwy.","Miami","FL","(R),(*)","Restaurant","",1975,-80.2427755,25.7278553,"Geocoded",NA,NA,NA
"Hamlet","(Coconut Grove)","3416 Main Hwy.","Miami","FL","(R)","Restaurant","",1976,-80.2427755,25.7278553,"Geocoded",NA,NA,NA
"Hamlet","(Liquor) (Good Sun. & Mon. when the hairdressers are off)","3416 Main Hwy.","Miami","FL","(R),(*)","Restaurant","",1980,-80.2427755,25.7278553,"Geocoded",NA,NA,NA
