"description","streetaddress","city","state","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","title","unclear_address"
"","712 Bland","Bluefield","WV","(M)","Bars/Clubs",1978,NA,"712 Bland, Bluefield, WV",-81.221881,37.2666074,"712 bland st, bluefield, wv 24701, usa","Geocoded",NA,NA
"(Disco) (Some G)","617 Brooks St.","Charlestown","WV","(*),(P),(D),(G),(S)","Bars/Clubs",1978,NA,"617 Brooks St., Charlestown, WV",-81.6256421,38.3500112,"617 brooks st, charleston, wv 25301, usa","Geocoded",NA,NA
"","5222 Kawanha Blvd. E.","Charlestown","WV","(M),(H),(*)","Hotels",1978,NA,"5222 Kawanha Blvd. E., Charlestown, WV",-81.5623635,38.2815235,"5222 kanawha blvd e, charleston, wv 25306, usa","Geocoded",NA,NA
"(Some RT) (Downstairs at Quarrier Diner)","1022 Quarrier","Charlestown","WV","(M),(RT)","Bars/Clubs",1978,NA,"1022 Quarrier, Charlestown, WV",-81.6325878,38.3482742,"1022 quarrier st, charleston, wv 25301, usa","Geocoded",NA,NA
"(Some G) (Disco)","742 W. Pike St.","Clarksburg","WV","(M),(YC),(G),(D),(*)","Bars/Clubs",1978,NA,"742 W. Pike St., Clarksburg, WV",-80.348299,39.2823675,"742 w pike st, clarksburg, wv 26301, usa","Geocoded",NA,NA
"(Summers)","Box 284-C, R.J., Harpers Ferry, W.V 25425","Harpers Ferry","WV","(P),(H)","Hotels",1978,NA,"Box 284-C, R.J., Harpers Ferry, W.V 25425, Harpers Ferry, WV",-77.7388818,39.3253786,"harpers ferry, wv 25425, usa","Geocoded",NA,NA
"(Out of state guests welcome - opens 4 p.m.)","1121 7th Ave.","Huntington","WV","(P),(YC),(D),(*)","Bars/Clubs",1978,NA,"1121 7th Ave., Huntington, WV",-82.4382673,38.4171622,"1121 7th ave, huntington, wv 25701, usa","Geocoded",NA,NA
"","400 Juliana St. ","Parkersburg","WV","(M),(R),(C)","Restaurant",1978,NA,"400 Juliana St. , Parkersburg, WV",-81.5624153,39.2661413,"400 juliana st, parkersburg, wv 26101, usa","Geocoded",NA,NA
"(8 p.m to 12 midnight - closed Sun. & Mon.)","600 Market St.","Parkersburg","WV","(P),(YC),(*)","Bars/Clubs",1978,NA,"600 Market St., Parkersburg, WV",-81.5591927,39.2664386,"600 market st, parkersburg, wv 26101, usa","Geocoded",NA,NA
"(Books & 'Peep Shows')","657 7th St.","Parkersburg","WV","","Book Store",1978,NA,"657 7th St., Parkersburg, WV",-81.5523534,39.2639591,"657 seventh st, parkersburg, wv 26101, usa","Geocoded",NA,NA
"","806 7th St.","Parkersburg","WV","","Theatre",1978,NA,"806 7th St., Parkersburg, WV",-81.5497114,39.2635942,"806 seventh st, parkersburg, wv 26101, usa","Geocoded",NA,NA
"","712 Bland","Bluefield","WV","(M)","Bars/Clubs",1977,NA,"712 Bland, Bluefield, WV",-81.221881,37.2666074,"712 bland st, bluefield, wv 24701, usa","Geocoded",NA,NA
"(Disco) (Some G)","617 Brooks St.","Charlestown","WV","(P),(D),(G),(S),(*)","Bars/Clubs",1977,NA,"617 Brooks St., Charlestown, WV",-81.6256421,38.3500112,"617 brooks st, charleston, wv 25301, usa","Geocoded",NA,NA
"(Some RT) (Downstairs at Quarrier Diner)","1022 Quarrier","Charlestown","WV","(M),(RT)","Bars/Clubs",1977,NA,"1022 Quarrier, Charlestown, WV",-81.6325878,38.3482742,"1022 quarrier st, charleston, wv 25301, usa","Geocoded",NA,NA
