"description","streetaddress","city","state","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","title","unclear_address"
"","1105 Cathedral","Baltimore","MD","(P),(*)","Baths",1979,NA,"1105 Cathedral, Baltimore, MD",-76.617758,39.302556,"1105 cathedral st, baltimore, md 21201, usa","Geocoded",NA,NA
"(Also C-AH)","1103 E. Pratt","Baltimore","MD","(G),(R),(*),(D),(PT),(C),(AH)","Bars/Clubs,Restaurant",1979,NA,"1103 E. Pratt, Baltimore, MD",-76.6005399,39.2883197,"1103 e pratt st, baltimore, md 21202, usa","Geocoded",NA,NA
"(Adjoins Hippo- opens 4 p.m.) at Charles","1 W. Eager","Baltimore","MD","(YC),(D),(PT),(*)","Bars/Clubs",1979,NA,"1 W. Eager, Baltimore, MD",-76.6163574,39.3008418,"1 w eager st, baltimore, md 21201, usa","Geocoded",NA,NA
"(Some G)","2218 Boston St.","Baltimore","MD","(M),(YC),(D),(PT),(G)","Bars/Clubs",1979,NA,"2218 Boston St., Baltimore, MD",-76.5850064,39.283682,"2218 boston st, baltimore, md 21231, usa","Geocoded",NA,NA
"& Shipmates Disco Room","1735 Maryland","Baltimore","MD","(*),(SM),(W),(R)","Restaurant",1979,NA,"1735 Maryland, Baltimore, MD",-76.6176464,39.3096234,"1735 maryland ave, baltimore, md 21201, usa","Geocoded",NA,NA
"(Unisex)(Disco) at Charles ","1 W. Eager ","Baltimore","MD","(*),(HIP),(YC),(D),(PT)","Bars/Clubs",1979,NA,"1 W. Eager , Baltimore, MD",-76.6163574,39.3008418,"1 w eager st, baltimore, md 21201, usa","Geocoded",NA,NA
"","502 N. Howard St.","Baltimore","MD","(D)","Bars/Clubs",1979,NA,"502 N. Howard St., Baltimore, MD",-76.6200392,39.2951166,"502 n howard st, baltimore, md 21201, usa","Geocoded",NA,NA
"","870 Park Ave.","Baltimore","MD","(*)","Bars/Clubs",1979,NA,"870 Park Ave., Baltimore, MD",-76.6189891,39.3015442,"870 park ave, baltimore, md 21201, usa","Geocoded",NA,NA
"(Some YC, B) (Disco)","1101 Cathedral","Baltimore","MD","(*),(YC),(B),(D)","Bars/Clubs",1979,NA,"1101 Cathedral, Baltimore, MD",-76.6178248,39.302445,"1101 cathedral st, baltimore, md 21201, usa","Geocoded",NA,NA
"","2233 St. Paul St.","Baltimore","MD","M.C.C.","Church",1979,NA,"2233 St. Paul St., Baltimore, MD",-76.6149136,39.3152395,"2233 st paul st, baltimore, md 21218, usa","Geocoded",NA,NA
"('Hustlers')","704 N. Howard","Baltimore","MD","(B),(RT)","Bars/Clubs",1979,NA,"704 N. Howard, Baltimore, MD",-76.6201738,39.2976088,"704 n howard st, baltimore, md 21201, usa","Geocoded",NA,NA
"(Disco)","100 Albemarle","Baltimore","MD","(G),(D)","Bars/Clubs",1979,NA,"100 Albemarle, Baltimore, MD",-76.6039212,39.2884704,"100 albemarle st, baltimore, md 21202, usa","Geocoded",NA,NA
