"description","streetaddress","city","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","title","state","unclear_address"
"(Some G) (Natives)","15 mi. S. of San Juan","Aguas Buenas","(D),(G),(WE)","Bars/Clubs",1979,NA,"15 mi. S. of San Juan, Aguas Buenas, ",-66.1029442,18.2568989,"aguas buenas, puerto rico","Geocoded",NA,NA,NA
"","43 Calle Luna","Ponce","(M)","Bars/Clubs",1979,NA,"43 Calle Luna, Ponce, ",-66.6151379,18.0102754,"43 calle luna, ponce, 00730, puerto rico","Geocoded",NA,NA,NA
"(Some G) (Disco) (Upstairs - $3 minimum)","251 Calle Cruz at Calle Fortaleza","San Juan","(YC),(G),(D),(*)","Bars/Clubs",1979,NA,"251 Calle Cruz at Calle Fortaleza, San Juan, ",-66.1160016,18.4647393,"251 calle de la cruz, san juan, 00901, puerto rico","Geocoded",NA,NA,NA
"","10 Carrion Ct.","Condado","(*)","Bars/Clubs",1979,NA,"10 Carrion Ct., Condado, ",-66.0592925,18.4535765,"10 calle carrion ct, san juan, 00911, puerto rico","Geocoded",NA,NA,NA
"","112 Avenida Condado","Condado","(D),(*)","Bars/Clubs",1979,NA,"112 Avenida Condado, Condado, ",-66.0731888,18.4541588,"112 condado ave, san juan, 00907, puerto rico","Geocoded",NA,NA,NA
"","6 Condado Ave.","Condado","(H)","Hotels",1979,NA,"6 Condado Ave., Condado, ",-66.0714191,18.4567496,"6 condado ave, san juan, 00907, puerto rico","Geocoded",NA,NA,NA
"","4 Condado Ave.","Condado","(M),(H),(OC)","Hotels,Bars/Clubs",1979,NA,"4 Condado Ave., Condado, ",-66.0713763,18.4567631,"4 condado ave, san juan, 00907, puerto rico","Geocoded",NA,NA,NA
"","320 Calle Sol","San Juan","(M),(H),(*)","Hotels",1979,NA,"320 Calle Sol, San Juan, ",-66.1136764,18.4672888,"320 calle sol, san juan, 00901, puerto rico","Geocoded",NA,NA,NA
"(also rooftop bar & R)","151 Calle Tetuan","San Juan","(H),(*),(R)","Hotels,Restaurant",1979,NA,"151 Calle Tetuan, San Juan, ",-66.116707,18.4641136,"151 calle de tetuan, san juan, 00901, puerto rico","Geocoded",NA,NA,NA
"(Above Lion's Den)","205 Calle Luna","San Juan","","Baths",1979,NA,"205 Calle Luna, San Juan, ",-66.115856,18.4663664,"205 calle de la luna, san juan, 00901, puerto rico","Geocoded",NA,NA,NA
"($3. min. - nude go go boys - 'flicks') (adj. Lion's Disco)","205 Calle Luna","San Juan","(YC),(D)","Bars/Clubs",1979,NA,"205 Calle Luna, San Juan, ",-66.115856,18.4663664,"205 calle de la luna, san juan, 00901, puerto rico","Geocoded",NA,NA,NA
