"ID","title","description","streetaddress","city","state","amenityfeatures","type","Year","unclearaddress","unclear.type","notes","dateadded","lastmodified","full.address","lon","lat","geoAddress","status"
86,"Playboy","","109 E. 7th St.","Wilmington","DE","(M)","Bars/Clubs",1969,NA,NA,NA,NA,NA,"109 E. 7th St., Wilmington, DE","-75.548891","39.7422892","109 e 7th st, wilmington, de 19801, usa","Geocoded"
80,"Playboy","","109 E. 7th St.","Wilmington","DE","(M)","Bars/Clubs",1970,NA,NA,NA,NA,NA,"109 E. 7th St., Wilmington, DE","-75.548891","39.7422892","109 e 7th st, wilmington, de 19801, usa","Geocoded"
66,"Presto","(bar only - late)","816 Shipley","Wilmington","DE","(M),(R)","Restaurant,Bars/Clubs",1974,NA,NA,NA,NA,NA,"816 Shipley, Wilmington, DE","-75.5169275","39.7773887","816 shipley rd, wilmington, de 19803, usa","Geocoded"
57,"Presto","(bar only -late)","816 Shipley","Wilmington","DE","(M),(R)","Restaurant",1975,NA,NA,NA,NA,NA,"816 Shipley, Wilmington, DE","-75.5169275","39.7773887","816 shipley rd, wilmington, de 19803, usa","Geocoded"
48,"Presto","(bar only -late)","816 Shipley St.","Wilmington","DE","(M),(R)","Bars/Clubs",1976,NA,NA,NA,NA,NA,"816 Shipley St., Wilmington, DE","-75.5494906","39.7437663","816 n shipley st, wilmington, de 19801, usa","Geocoded"
37,"Renaissance","(Looks promising)","107 W. 6th St. ","Wilmington","DE","","Bars/Clubs",1977,NA,NA,NA,NA,NA,"107 W. 6th St. , Wilmington, DE","-75.551228","39.74245","107 w 6th st, wilmington, de 19801, usa","Geocoded"
26,"Renaissance","","107 W. 6th St.","Wilmington","DE","(*)","Bars/Clubs",1978,NA,NA,NA,NA,NA,"107 W. 6th St., Wilmington, DE","-75.551228","39.74245","107 w 6th st, wilmington, de 19801, usa","Geocoded"
15,"Renaissance","","107 W. 6th St.","Wilmington","DE","(*),(PT)","Bars/Clubs",1979,NA,NA,NA,NA,NA,"107 W. 6th St., Wilmington, DE","-75.551228","39.74245","107 w 6th st, wilmington, de 19801, usa","Geocoded"
6,"Renaissance","","107 W. 6th St.","Wilmington","DE","(PT)","Bars/Clubs",1980,NA,NA,NA,NA,NA,"107 W. 6th St., Wilmington, DE","-75.551228","39.74245","107 w 6th st, wilmington, de 19801, usa","Geocoded"
39,"Steak 'n' Eggs","","702 Delaware Avenue","Wilmington","DE","(M),(R),(C),(AH)","Restaurant",1977,NA,NA,NA,NA,NA,"702 Delaware Avenue, Wilmington, DE","-75.5531139","39.7494026","702 delaware ave, wilmington, de 19801, usa","Geocoded"
16,"Steak 'n' Eggs","","702 Delaware Ave","Wilmington","DE","(M),(R),(C),(AH)","Restaurant",1979,NA,NA,NA,NA,NA,"702 Delaware Ave, Wilmington, DE","-75.5531139","39.7494026","702 delaware ave, wilmington, de 19801, usa","Geocoded"
7,"Steak 'n' Eggs","","702 Delaware Ave","Wilmington","DE","(M),(R),(C),(AH)","Restaurant",1980,NA,NA,NA,NA,NA,"702 Delaware Ave, Wilmington, DE","-75.5531139","39.7494026","702 delaware ave, wilmington, de 19801, usa","Geocoded"
27,"Steak 'n' Eggs ","","702 Delaware Ave.","Wilmington","DE","(M),(R),(C),(AH)","Restaurant",1978,NA,NA,NA,NA,NA,"702 Delaware Ave., Wilmington, DE","-75.5531139","39.7494026","702 delaware ave, wilmington, de 19801, usa","Geocoded"
28,"Tomcat Book Store","","101 W. 8th St.","Wilmington","DE","","Book Store",1978,NA,NA,NA,NA,NA,"101 W. 8th St., Wilmington, DE","-75.5499494","39.7438508","101 w 8th st, wilmington, de 19801, usa","Geocoded"
984,"'The Dunes' 'B.A.' - Beach about 1 mi. N. o fparking lot at Henlopen St. Park","","","Rehoboth Beach","DE","Cruisy Areas","Crusing Areas",1978,"checked",NA,NA,NA,NA,", DE","-75.076014","38.720945","unclear_coded_by_hand","General Coordinates Used"
980,"'The Dunes' 'B.A.' - Beach about 1 mi. N. o fparking lot at Henlopen St. Park","","","Rehoboth Beach","DE","Cruisy Areas","Crusing Areas",1979,"checked",NA,NA,NA,NA,", DE","-75.076014","38.720945","unclear_coded_by_hand","General Coordinates Used"
979,"'The Dunes' 'B.A.' - Beach about 1 mi. N. o fparking lot at Henlopen St. Park","","","Rehoboth Beach","DE","Cruisy Areas","Crusing Areas",1980,"checked",NA,NA,NA,NA,", DE","-75.076014","38.720945","unclear_coded_by_hand","General Coordinates Used"
1002,"Boat House","(Disco) (some L) (2 bars)","Bellvue & Bayard - on the bay at Dewey Beach","Rehoboth Beach","DE","(YC),(D),(G),(R)","Bars/Clubs",1978,"checked",NA,NA,NA,NA,"Bellvue & Bayard - on the bay at Dewey Beach, DE","-75.077334","38.69431","unclear_coded_by_hand","Found"
1001,"Boat House","(Disco) (Some G) (2 bars)","Bellevue & Bayard - on the Bay at Dewey Beach","Rehoboth Beach","DE","(YC),(*),(D),(G),(R)","Bars/Clubs",1979,"checked",NA,NA,NA,NA,"Bellevue & Bayard - on the Bay at Dewey Beach, DE","-75.077334","38.69431","unclear_coded_by_hand","Found"
1000,"Boat House","(Disco) (some L) (2 bars)","Bellevue & Bayard - on the Bay at Dewey Beach","Rehoboth Beach","DE","(YC),(*),(D),(L),(R)","Bars/Clubs",1980,"checked",NA,NA,NA,NA,"Bellevue & Bayard - on the Bay at Dewey Beach, DE","-75.077334","38.69431","unclear_coded_by_hand","Found"
982,"Carpenters Beach","","","Rehoboth Beach","DE","Cruisy Areas","Crusing Areas",1978,"checked",NA,NA,NA,NA,", DE","-75.076014","38.720945","unclear_coded_by_hand","General Coordinates Used"
1015,"Cork 'n' Bottle","","Route 14, 1 mile south of town","Rehoboth Beach","DE","(M),(R)","Restaurant",1976,"checked",NA,NA,NA,NA,"Route 14, 1 mile south of town, DE","-75.076014","38.720945","unclear_coded_by_hand","General Coordinates Used"
1014,"Cork 'n' Bottle","","Route 14, 1 mile south of town","Rehoboth Beach","DE","(M),(R)","Restaurant",1977,"checked",NA,NA,NA,NA,"Route 14, 1 mile south of town, DE","-75.076014","38.720945","unclear_coded_by_hand","General Coordinates Used"
1005,"Henlopen Hotel Bar","","Boardwalk & Surf","Rehoboth Beach","DE","(M)","Bars/Clubs,Hotels",1972,"checked",NA,NA,NA,NA,"Boardwalk & Surf, DE","-75.077116","38.722804","unclear_coded_by_hand","Found"
1004,"Henlopen Hotel Bar","","Boardwalk & Surf","Rehoboth Beach","DE","(M)","Hotels,Bars/Clubs",1973,"checked",NA,NA,NA,NA,"Boardwalk & Surf, DE","-75.077116","38.722804","unclear_coded_by_hand","Found"
1003,"Henlopen Hotel Bar","","Boardwalk & Surf","Rehoboth Beach","DE","(M)","Hotels,Bars/Clubs",1974,"checked",NA,NA,NA,NA,"Boardwalk & Surf, DE","-75.077116","38.722804","unclear_coded_by_hand","Found"
995,"Market & King Sts betw. 8th & 10th","","","Wilmington","DE","Cruisy Areas","Crusing Areas",1975,"checked",NA,NA,NA,NA,", DE","-75.548001","39.744486","unclear_coded_by_hand","Found"
992,"Market & King Sts betw. 8th & 10th","","","Wilmington","DE","Cruisy Areas","Crusing Areas",1976,"checked",NA,NA,NA,NA,", DE","-75.548001","39.744486","unclear_coded_by_hand","Found"
989,"Market & King Sts betw. 8th & 10th","","","Wilmington","DE","Cruisy Areas","Crusing Areas",1977,"checked",NA,NA,NA,NA,", DE","-75.548001","39.744486","unclear_coded_by_hand","Found"
986,"Market & King Sts betw. 8th & 10th","","","Wilmington","DE","Cruisy Areas","Crusing Areas",1978,"checked",NA,NA,NA,NA,", DE","-75.548001","39.744486","unclear_coded_by_hand","Found"
983,"Market & King Sts., betw. 8th & 10th","","","Wilmington","DE","Cruisy Areas","Crusing Areas",1979,"checked",NA,NA,NA,NA,", DE","-75.548001","39.744486","unclear_coded_by_hand","Found"
978,"Market & King Sts., betw. 8th & 10th","","","Wilmington","DE","Cruisy Areas","Crusing Areas",1980,"checked",NA,NA,NA,NA,", DE","-75.548001","39.744486","unclear_coded_by_hand","Found"
1006,"Nomad","","Broadway & Olive","Rehoboth Beach","DE","(M)","Bars/Clubs",1971,"checked",NA,NA,NA,NA,"Broadway & Olive, DE","-75.076014","38.720945","unclear_coded_by_hand","General Coordinates Used"
1019,"Nomad Village Motel","","Route 14, P.O. Box 158, Tower Shores","Bethany Beach","DE","(H)","Hotels",1974,"checked",NA,NA,NA,NA,"Route 14, P.O. Box 158, Tower Shores, DE","-75.055181","38.539556","unclear_coded_by_hand","General Coordinates Used"
1018,"Nomad Village Motel","","Route 14, P.O. Box 158, Tower Shores","Bethany Beach","DE","(H)","Hotels",1975,"checked",NA,NA,NA,NA,"Route 14, P.O. Box 158, Tower Shores, DE","-75.055181","38.539556","unclear_coded_by_hand","General Coordinates Used"
1010,"Nomad Village Motel","(Bar (H))","P.O. Box 158, Tower Shores","Bethany Beach","DE","(H)","Bars/Clubs,Hotels",1972,"checked",NA,NA,NA,NA,"P.O. Box 158, Tower Shores, DE","-75.055181","38.539556","unclear_coded_by_hand","General Coordinates Used"
1009,"Nomad Village Motel","(Bar (H))","P.O. Box 158, Tower Shores","Bethany Beach","DE","(H)","Bars/Clubs,Hotels",1973,"checked",NA,NA,NA,NA,"P.O. Box 158, Tower Shores, DE","-75.055181","38.539556","unclear_coded_by_hand","General Coordinates Used"
1017,"Nomad Village Motel & Other Room Bar","","Route 14, P.O. Box 158, Tower Shores","Bethany Beach","DE","(H)","Hotels,Bars/Clubs",1976,"checked",NA,NA,NA,NA,"Route 14, P.O. Box 158, Tower Shores, DE","-75.055181","38.539556","unclear_coded_by_hand","General Coordinates Used"
1016,"Nomad Village Motel & Other Room Bar","","Route 14, P.O. Box 158, Tower Shores","Bethany Beach","DE","(H)","Hotels,Bars/Clubs",1977,"checked",NA,NA,NA,NA,"Route 14, P.O. Box 158, Tower Shores, DE","-75.055181","38.539556","unclear_coded_by_hand","General Coordinates Used"
1022,"Nomad Village Motel & Other Room Bar","","Rte. 14, P.O. Box 158, Tower Shores","Bethany Beach","DE","(H)","Hotels,Bars/Clubs",1978,"checked",NA,NA,NA,NA,"Rte. 14, P.O. Box 158, Tower Shores, DE","-75.055181","38.539556","unclear_coded_by_hand","General Coordinates Used"
1021,"Nomad Village Motel & Other Room Bar","(This has changed hands & is anyone's guess as to what the policy will be when it re-opens for the '78 summer season)","Rte 14, Tower Shores","Bethany Beach","DE","","Hotels,Bars/Clubs",1979,"checked",NA,NA,NA,NA,"Rte 14, Tower Shores, DE","-75.055181","38.539556","unclear_coded_by_hand","General Coordinates Used"
1020,"Nomad Village Motel & Other Room Bar","(Sauna) (Swim Pool) (P-Beach)","Rt. 1, 3 mi. N. in Tower Shores","Bethany Beach","DE","(H),(*)","Hotels,Bars/Clubs",1980,"checked",NA,NA,NA,NA,"Rt. 1, 3 mi. N. in Tower Shores, DE","-75.055181","38.539556","unclear_coded_by_hand","General Coordinates Used"
993,"Other Room Bar","Nomad Village Motel","","Bethany Beach","DE","","Hotels,Bars/Clubs",1974,"checked",NA,NA,NA,NA,", DE","-75.055181","38.539556","unclear_coded_by_hand","General Coordinates Used"
991,"Other Room Bar","Nomad Village Motel","","Bethany Beach","DE","","Hotels,Bars/Clubs",1975,"checked",NA,NA,NA,NA,", DE","-75.055181","38.539556","unclear_coded_by_hand","General Coordinates Used"
1008,"Pink Pony","","Broadway & Olive","Rehoboth Beach","DE","(M)","Bars/Clubs",1969,"checked",NA,NA,NA,NA,"Broadway & Olive, DE","-75.076014","38.720945","unclear_coded_by_hand","General Coordinates Used"
1007,"Pink Pony","","Broadway & Olive","Rehoboth Beach","DE","(M)","Bars/Clubs",1970,"checked",NA,NA,NA,NA,"Broadway & Olive, DE","-75.076014","38.720945","unclear_coded_by_hand","General Coordinates Used"
999,"Sandcastle","(Summers only)","1st & Brooklyn","Rehoboth Beach","DE","(P),(H)","Hotels",1975,"checked",NA,NA,NA,NA,"1st & Brooklyn, DE","-75.07864","38.714003","unclear_coded_by_hand","Found"
998,"Sandcastle","(Summers only)","1st & Brooklyn","Rehoboth Beach","DE","(P),(H)","Hotels",1976,"checked",NA,NA,NA,NA,"1st & Brooklyn, DE","-75.07864","38.714003","unclear_coded_by_hand","Found"
997,"Sandcastle","(Summers only)","1st & Brooklyn","Rehoboth Beach","DE","(P),(H)","Hotels",1977,"checked",NA,NA,NA,NA,"1st & Brooklyn, DE","-75.07864","38.714003","unclear_coded_by_hand","Found"
994,"Square opp. Hotel duPont","","","Wilmington","DE","Cruisy Areas","Crusing Areas",1975,"checked",NA,NA,NA,NA,", DE","-75.547012","39.745852","unclear_coded_by_hand","Found"
990,"Square opp. Hotel duPont","","","Wilmington","DE","Cruisy Areas","Crusing Areas",1976,"checked",NA,NA,NA,NA,", DE","-75.547012","39.745852","unclear_coded_by_hand","Found"
988,"Square opp. Hotel duPont","","","Wilmington","DE","Cruisy Areas","Crusing Areas",1977,"checked",NA,NA,NA,NA,", DE","-75.547012","39.745852","unclear_coded_by_hand","Found"
987,"Square opp. Hotel duPont","","","Wilmington","DE","Cruisy Areas","Crusing Areas",1978,"checked",NA,NA,NA,NA,", DE","-75.547012","39.745852","unclear_coded_by_hand","Found"
985,"Square opp. Hotel duPont","","","Wilmington","DE","Cruisy Areas","Crusing Areas",1979,"checked",NA,NA,NA,NA,", DE","-75.547012","39.745852","unclear_coded_by_hand","Found"
981,"Square opp. Hotel duPont","","","Wilmington","DE","Cruisy Areas","Crusing Areas",1980,"checked",NA,NA,NA,NA,", DE","-75.547012","39.745852","unclear_coded_by_hand","Found"
996,"Square opposite Hotel Dupont","","","Wilmington","DE","Cruisy Areas","Crusing Areas",1974,"checked",NA,NA,NA,NA,", DE","-75.547012","39.745852","unclear_coded_by_hand","Found"
1012,"Station Cocktail Lounge","","Penn R.R. Station","Wilmington","DE","(M)","Bars/Clubs",1975,"checked",NA,NA,NA,NA,"Penn R.R. Station, DE","-75.550909","39.737065","unclear_coded_by_hand","Found"
1011,"Station Cocktail Lounge","","Penn R.R. Station","Wilmington","DE","(M)","Bars/Clubs",1976,"checked",NA,NA,NA,NA,"Penn R.R. Station, DE","-75.550909","39.737065","unclear_coded_by_hand","Found"
1013,"Station Cocktail Lounge","","Pennsylvania Railroad Station","Wilmington","DE","(M)","Bars/Clubs",1977,"checked",NA,NA,NA,NA,"Pennsylvania Railroad Station, DE","-75.550909","39.737065","unclear_coded_by_hand","Found"
1023,"The Lobby(Disco) (May be Closing)","","Rte. 896","Newark","DE","(M),(YC),(D)","Bars/Clubs",1980,"checked",NA,NA,NA,NA,"Rte. 896, DE","-75.749657","39.683723","unclear_coded_by_hand","General Coordinates Used"
