"title","description","streetaddress","city","state","amenityfeatures","type","Year","notes","lon","lat","status","unclear_address","full.address","geoAddress"
"Loon","(Unisex)(Disco) (May be changing name back to old name ""Heights"")","4021 Central Ave N.E.","Albuquerque","NM","(HIP),(*),(YC),(D),(PT)","Bars/Clubs",1977,NA,-106.5989274,35.0793714,"Geocoded",NA,NA,NA
"Madame Lovejoy's Books","(and cruisy arcade*)","4217 Central Ave. N.E.","Albuquerque","NM","(*)","Book Store,Cruising Areas",1977,NA,-106.5967446,35.0791649,"Geocoded",NA,NA,NA
"Milt's Coffee Shop","","4500 Central Ave. N.E.","Albuquerque","NM","(M),(R),(C),(AH)","Restaurant",1977,NA,-106.6057974,35.0798915,"Geocoded",NA,NA,NA
"Oasis Albuquerque Baths","","244 Wyoming N.E.","Albuquerque","NM","(*)","Baths",1977,NA,-106.550029,35.077668,"Geocoded",NA,NA,NA
"Pump Room Number 1","(some W) (Sunday brunch*) (Adjoins Oasis)","242 Wyoming N.E.","Albuquerque","NM","(W),(*)","Bars/Clubs",1977,NA,-106.5499844,35.0776663,"Geocoded",NA,NA,NA
"Wellington Lounge","(Disco)","3900 Central Avenue S.E.","Albuquerque","NM","(R),(D),(S)","Restaurant,Bars/Clubs",1977,NA,-106.6008025,35.0790322,"Geocoded",NA,NA,NA
"La Fonda Hotel Bar","","100 San Francisco","Santa Fe","NM","(M)","Bars/Clubs,Hotels",1977,NA,-105.937804,35.68665,"Geocoded",NA,NA,NA
"Senate","","221 Galisteo","Santa Fe","NM","(YC),(D),(*)","Bars/Clubs",1977,NA,-105.9409599,35.6860637,"Geocoded",NA,NA,NA
"The Forge","Inn of the Governors","234 Don Gasper","Santa Fe","NM","(M),(PE)","Bars/Clubs,Hotels",1977,NA,-105.9403374,35.6853861,"Geocoded",NA,NA,NA
"Holiday Inn Lounge","","1401 S. White Sands Bl.","Alamagordo","NM","(M)","Bars/Clubs,Hotels",1976,NA,-105.9594306,32.8775423,"Geocoded",NA,NA,NA
"Height's Lounge","","4021 Central Ave. N.E.","Albuquerque","NM","(YC),(D),(S),(R),(G),(*)","Bars/Clubs,Restaurant",1976,NA,-106.5989274,35.0793714,"Geocoded",NA,NA,NA
"Kap's Coffee Shop","","4500 Central Ave. N.E.","Albuquerque","NM","(M),(R),(C),(AH)","Restaurant",1976,NA,-106.6057974,35.0798915,"Geocoded",NA,NA,NA
