"title","description","streetaddress","city","state","amenityfeatures","type","Year","notes","lon","lat","status","unclear_address","full.address","geoAddress"
"U. of N.M.","Administration Bldg.",NA,"Albuquerque","NM","Cruisy Area","Crusiy Areas",1976,NA,-106.619781,35.084319,"Found",NA,NA,NA
"U. of N.M.","Administration Bldg. T-Room",NA,"Albuquerque","NM","Cruisy Area","Crusiy Areas",1979,NA,-106.619781,35.084319,"Found",NA,NA,NA
"U. of N.M.","Geology Bldg. T-Room, Electrical Bldg. T-Room & gym (north showers)",NA,"Albuquerque","NM","Cruisy Area","Crusiy Areas",1980,NA,-106.619781,35.084319,"Found",NA,NA,NA
"U. of N.M.","Administration Bldg. T-Room",NA,"Albuquerque","NM","Cruisy Area","Crusiy Areas",1978,NA,-106.619781,35.084319,"Found",NA,NA,NA
"University Drug Store","",NA,"Albuquerque","NM","Cruisy Area","Crusiy Areas",1975,NA,-106.619781,35.084319,"Found",NA,NA,NA
"University Drug Store","",NA,"Albuquerque","NM","Cruisy Area","Crusiy Areas",1976,NA,-106.619781,35.084319,"Found",NA,NA,NA
"University Drug Store","",NA,"Albuquerque","NM","Cruisy Area","Crusiy Areas",1977,NA,-106.619781,35.084319,"Found",NA,NA,NA
"University Drug Store","",NA,"Albuquerque","NM","Cruisy Area","Crusiy Areas",1978,NA,-106.619781,35.084319,"Found",NA,NA,NA
"University Drug Store","",NA,"Albuquerque","NM","Cruisy Area","Crusiy Areas",1979,NA,-106.619781,35.084319,"Found",NA,NA,NA
"University Drug Store","",NA,"Albuquerque","NM","Cruisy Area","Crusiy Areas",1980,NA,-106.619781,35.084319,"Found",NA,NA,NA
"University of New Mexico","Administration Building",NA,"Albuquerque","NM","Cruisy Area","Crusiy Areas",1977,NA,-106.619781,35.084319,"Found",NA,NA,NA
"Walking the Block","around La Fonda Hotel (& infamous T-Room)",NA,"Santa Fe","NM","Cruisy Area","Crusiy Areas",1979,NA,-105.937804,35.68665,"Found",NA,NA,NA
"Walking the Block","around La Fonda Hotel (& infamous T-Room)",NA,"Santa Fe","NM","Cruisy Area","Crusiy Areas",1980,NA,-105.937804,35.68665,"Found",NA,NA,NA
