"ID","title","description","streetaddress","city","state","Year","amenityfeatures","type","unclearaddress","notes","dateadded","lastmodified","full.address","lon","lat","geoAddress","status"
38,"Clance Parker Hotel Bar","","14 S.E. 1st ","Minot","ND",1976,"(M)","Hotels,Bars/Clubs",NA,NA,"2/15/2020 6:00pm","2/15/2020 6:42pm","14 S.E. 1st , Minot, ND","-101.291994","48.2218862","1st st se & 14th ave se, minot, nd 58701, usa","Geocoded"
41,"Five Spot","(bar only)","205 Broadway","Fargo","ND",1975,"(M)","Bars/Clubs",NA,NA,"2/15/2020 6:00pm","2/15/2020 6:42pm","205 Broadway, Fargo, ND","-96.7873669","46.878083","205 broadway n, fargo, nd 58102, usa","Geocoded"
42,"Gaslight Lounge","Graver Hotel","123 Roberts St.","Fargo","ND",1975,"(M)","Bars/Clubs,Hotels",NA,NA,"2/15/2020 6:00pm","2/15/2020 6:42pm","123 Roberts St., Fargo, ND","-96.7893648","46.8777375","123 roberts st n, fargo, nd 58102, usa","Geocoded"
43,"River Queen","","113 N. 3rd","Grand Forks","ND",1975,"(M)","Bars/Clubs",NA,NA,"2/15/2020 6:00pm","2/15/2020 6:42pm","113 N. 3rd, Grand Forks, ND","-97.0319312","47.9259496","113 n 3rd st, grand forks, nd 58203, usa","Geocoded"
46,"Five Spot","(bar only)","205 Broadway","Fargo","ND",1974,"(M)","Bars/Clubs",NA,NA,"2/15/2020 6:00pm","2/15/2020 6:42pm","205 Broadway, Fargo, ND","-96.7873669","46.878083","205 broadway n, fargo, nd 58102, usa","Geocoded"
47,"Gaslight Lounge","Graver Hotel","123 Roberts St.","Fargo","ND",1974,"(M)","Bars/Clubs,Hotels",NA,NA,"2/15/2020 6:00pm","2/15/2020 6:42pm","123 Roberts St., Fargo, ND","-96.7893648","46.8777375","123 roberts st n, fargo, nd 58102, usa","Geocoded"
48,"River Queen","","113 N. 3rd","Grand Forks","ND",1974,"(M)","Bars/Clubs",NA,NA,"2/15/2020 6:00pm","2/15/2020 6:42pm","113 N. 3rd, Grand Forks, ND","-97.0319312","47.9259496","113 n 3rd st, grand forks, nd 58203, usa","Geocoded"
51,"Five Spot","(bar area only)","205 Broadway","Fargo","ND",1973,"(M)","Bars/Clubs",NA,NA,"2/15/2020 6:00pm","2/15/2020 6:42pm","205 Broadway, Fargo, ND","-96.7873669","46.878083","205 broadway n, fargo, nd 58102, usa","Geocoded"
52,"Gaslight Lounge","Graver Hotel","123 Roberts St.","Fargo","ND",1973,"(M)","Hotels,Bars/Clubs",NA,NA,"2/15/2020 6:00pm","2/15/2020 6:42pm","123 Roberts St., Fargo, ND","-96.7893648","46.8777375","123 roberts st n, fargo, nd 58102, usa","Geocoded"
53,"River Queen","","113 N. 3rd","Grand Forks","ND",1973,"(M)","Bars/Clubs",NA,NA,"2/15/2020 6:00pm","2/15/2020 6:42pm","113 N. 3rd, Grand Forks, ND","-97.0319312","47.9259496","113 n 3rd st, grand forks, nd 58203, usa","Geocoded"
56,"Five Spot","(bar area only)","205 Broadway","Fargo","ND",1972,"(M)","Bars/Clubs",NA,NA,"2/15/2020 6:24pm","2/15/2020 6:42pm","205 Broadway, Fargo, ND","-96.7873669","46.878083","205 broadway n, fargo, nd 58102, usa","Geocoded"
59,"Five Spot","(bar area only)","205 Broadway","Fargo","ND",1971,"(M)","Bars/Clubs",NA,NA,"2/15/2020 6:26pm","2/15/2020 6:42pm","205 Broadway, Fargo, ND","-96.7873669","46.878083","205 broadway n, fargo, nd 58102, usa","Geocoded"
60,"Clarence Parker Hotel Bar","","14 S. E. 1st","Minot","ND",1971,"(M)","Bars/Clubs,Hotels",NA,NA,"2/15/2020 6:28pm","2/15/2020 6:42pm","14 S. E. 1st, Minot, ND","-101.291994","48.2218862","1st st se & 14th ave se, minot, nd 58701, usa","Geocoded"
63,"Five Spot","(bar area only)","205 Broadway","Fargo","ND",1970,"(M)","Bars/Clubs",NA,NA,"2/15/2020 6:29pm","2/15/2020 6:42pm","205 Broadway, Fargo, ND","-96.7873669","46.878083","205 broadway n, fargo, nd 58102, usa","Geocoded"
