"ID","title","streetaddress","description","city","state","amenityfeatures","Year","type","unclear_address","uncleartype","notes","Last.Modified","full.address","lon","lat","geoAddress","status"
5346,"Crescent Tavern","1413 E. Olive Way","","Seattle","WA","(NH)",1990,"Bars",NA,"","","4/25/2023 9:36pm","1413 E. Olive Way, Seattle, WA",-122.3263031,47.6174453,"1413 e olive wy, seattle, wa 98122, usa","Geocoded"
4939,"M.C.C.","2701 Reagan","526-6221 9am, 11am, 7:15pm Sun, 7:15pm Wed","Dallas","TX","",1990,"Religious Organizations",NA,"","","4/25/2023 9:36pm","2701 Reagan, Dallas, TX",-96.8137749,32.8078536,"2701 reagan st, dallas, tx 75219, usa","Geocoded"
5177,"Resurrection M.C.C.","823 S. 600 East","595-0052 worship 11am Sun","Salt Lake City","UT","",1990,"Religious Organizations",NA,"","","4/25/2023 9:36pm","823 S. 600 East, Salt Lake City, UT",-111.873539,40.7512807,"823 s 600 e, salt lake city, ut 84102, usa","Geocoded"
5530,"Jet's Place","1753 S. Kinnickinnic Ave.","672-5580 3pm-2am Sun-Thurs, noon-2am Fri, Sat","Milwaukee","WI","(MW),(NH),(D),(E)",1990,"Bars",NA,"","","4/25/2023 9:36pm","1753 S. Kinnickinnic Ave., Milwaukee, WI",-87.9102327,43.0112383,"1753 s kinnickinnic ave, milwaukee, wi 53204, usa","Geocoded"
5412,"Walt's Cut Above","415 W. Sprague","455-8874/838-6947 6am-2am","Spokane","WA","(S),(D),(F)",1990,"Bars",NA,"","","4/25/2023 9:36pm","415 W. Sprague, Spokane, WA",-117.4189323,47.6570443,"415 w sprague ave, spokane, wa 99201, usa","Geocoded"
5110,"One-O-Six Off Broadway","106 Pershing St.","820-0906 noon-2am","San Antonio","TX","(NH),(OC)",1990,"Bars",NA,"","","4/25/2023 9:36pm","106 Pershing St., San Antonio, TX",-98.466092,29.4608675,"106 pershing ave, san antonio, tx 78209, usa","Geocoded"
5116,"Executive Services","723 Ave. 'B'","225-8807","San Antonio","TX","(PC)",1990,"Gym/Health Club",NA,"","","4/25/2023 9:36pm","723 Ave. 'B', San Antonio, TX",-98.483822,29.433354,"723 avenue b, san antonio, tx 78215, usa","Geocoded"
5283,"MCC Richmond","4500 Kensington Ave.","(Friends Mtg House) 353-9477 worship 6:30pm Sun","Richmond","VA","",1990,"Religious Organizations",NA,"","","4/25/2023 9:36pm","4500 Kensington Ave., Richmond, VA",-77.4960979,37.5674925,"4500 kensington ave, richmond, va 23221, usa","Geocoded"
4759,"Knoxville 10%","1538 Laurel Ave","(Laurel Theatre) call helpline, sponsor social events, 2nd & 4th Tues","Knoxville","TN","",1990,"Info Lines & Services",NA,"","","4/25/2023 9:36pm","1538 Laurel Ave, Knoxville, TN",-83.9312636,35.959536,"1538 laurel ave, knoxville, tn 37916, usa","Geocoded"
4914,"Rumors","5039 Willis Ave.","828-4471 no sign, look for warehouse with a white canopy","Dallas","TX","(MW),(D),(E),(P)",1990,"Bars",NA,"","","4/25/2023 9:36pm","5039 Willis Ave., Dallas, TX",-96.785361,32.82052,"5039 willis ave, dallas, tx 75206, usa","Geocoded"
5536,"Shadows II, Top Shelf","814 S. 2nd St.","645-7500","Milwaukee","WI","(NH),(P),(D)",1990,"Bars",NA,"","","4/25/2023 9:36pm","814 S. 2nd St., Milwaukee, WI",-87.9123152,43.0228069,"814 s 2nd st, milwaukee, wi 53204, usa","Geocoded"
2,"Noble St. betw. 8th & 16th","","","Anniston","AL","Cruisy Area",1990,"Cruising Areas","checked",NA,"","6/12/2023 11:39am",", AL",-85.829655,33.658482,"unclear_coded_by_hand","Found"
1,"Lagarde Park","","","Anniston","AL","Cruisy Area",1990,"Cruising Areas","checked",NA,"","6/12/2023 11:35am",", AL",-85.823936,33.692729,"unclear_coded_by_hand","Found"
3,"Haley Center Library & Sanford Park nr. Langton Hall (Auburn U)","","","Auburn","AL","Cruisy Area",1990,"Cruising Areas","checked",NA,"","6/12/2023 11:39am",", AL",-85.486793,32.603395,"unclear_coded_by_hand","Found"
22,"Rushton Park","","","Birmingham","AL","Cruisy Area",1990,"Cruising Areas","checked",NA,"(205) area code","6/12/2023 12:24pm",", AL",-86.780064,33.506402,"unclear_coded_by_hand","Found"
23,"'The Pumps'","","","Decatur","AL","Cruisy Area,(AYOR)",1990,"Cruising Areas","checked",NA,"(205) area code","6/12/2023 12:25pm",", AL",-86.983342,34.605925,"unclear_coded_by_hand","General Coordinates Used"
26,"Delano Park nr. Picnic Tables","","","Decatur","AL","Cruisy Area",1990,"Cruising Areas","checked",NA,"(205) area code","6/12/2023 12:27pm",", AL",-86.976437,34.597248,"unclear_coded_by_hand","Found"
