"ID2","title","description","streetaddress","type","amenityfeatures","city","state","Year","unclear_address","unclear.type.or.question","notes","Last.Modified","full.address","lon","lat","geoAddress"
31,"Denver Book Fair","","416 15th St.","Book Store","(M)","Denver","CO",1981,NA,"","","3/17/2022 3:10pm","416 15th St., Denver, CO",-104.9911836,39.7425689,"416 15th st, denver, co 80202, usa"
32,"Empire Baths","(Action)","6923 E. Colfax","Bathhouses","(*)","Denver","CO",1981,NA,"","","3/17/2022 3:10pm","6923 E. Colfax, Denver, CO",-104.9075404,39.7404015,"6923 e colfax ave, denver, co 80220, usa"
33,"Empress Theatre","(All Male)","139 Broadway","Theatre","","Denver","CO",1981,NA,"","","3/17/2022 3:10pm","139 Broadway, Denver, CO",-104.9876796,39.7190045,"139 n broadway, denver, co 80203, usa"
34,"Fox Hole","(Lunch)(Patio-wild Sunday afternoons*)(Disco) off 20th St. Viaduct","2936 Fox","Restaurant,Bars/Clubs","(SM),(W),(*)","Denver","CO",1981,NA,"","","3/22/2022 8:02am","2936 Fox, Denver, CO",-104.9951802,39.7591964,"2936 fox st, denver, co 80202, usa"
35,"Galaxie Theatre & Book Store","","633 E. Colfax","Theatre,Book Store","(*)","Denver","CO",1981,NA,"","","3/17/2022 3:10pm","633 E. Colfax, Denver, CO",-104.9788853,39.7402371,"633 e colfax ave, denver, co 80203, usa"
36,"Geno's Redpine Motel","","1572 S. Broadway","Hotel","(M),(H)","Denver","CO",1981,NA,"","","3/17/2022 3:10pm","1572 S. Broadway, Denver, CO",-104.9872836,39.6881145,"1572 s broadway, denver, co 80210, usa"
37,"Gentlemen's Quarters Club Baths of Denver","","1359 Court Place","Bathhouses","(*)","Denver","CO",1981,NA,"","","3/17/2022 3:10pm","1359 Court Place, Denver, CO",-104.9915703,39.7404645,"1359 court pl, denver, co 80204, usa"
38,"Globe International","(Disco)","4503 Logan","Bars/Clubs","(YC),(L),(D),(*)","Denver","CO",1981,NA,"","","3/17/2022 3:10pm","4503 Logan, Denver, CO",-104.9825742,39.7785394,"4503 logan st, denver, co 80216, usa"
39,"Haberdashery","(Men's clothing)","1245 E. Colfax","Business","","Denver","CO",1981,NA,"","","3/17/2022 3:10pm","1245 E. Colfax, Denver, CO",-104.9711492,39.7403289,"1245 e colfax ave, denver, co 80218, usa"
40,"Headstrong","(Gifts & Head shop)","1431 Ogden","Business","","Denver","CO",1981,NA,"","","3/17/2022 3:10pm","1431 Ogden, Denver, CO",-104.9755535,39.7390213,"1431 n ogden st, denver, co 80218, usa"
41,"Hot Delivery","(No booze - 'wild back room')","160 S. Broadway","Bars/Clubs","","Denver","CO",1981,NA,"","","3/17/2022 3:10pm","160 S. Broadway, Denver, CO",-104.9872152,39.7134013,"160 s broadway, denver, co 80209, usa"
42,"Inches","(Disco)","51 W. 4th Ave.","Bars/Clubs,Restaurant","(R),(D),(M)","Denver","CO",1981,NA,"","","3/17/2022 3:10pm","51 W. 4th Ave., Denver, CO",-104.9888506,39.7227633,"51 w 4th ave, denver, co 80223, usa"
43,"Kitty's Book Store","","735 E. Colfax","Book Store","(M)","Denver","CO",1981,NA,"","","3/17/2022 3:10pm","735 E. Colfax, Denver, CO",-104.9780538,39.7402077,"735 e colfax ave, denver, co 80203, usa"
44,"Lambda Connection","(Books)","9 E. Ellsworth Ave.","Book Store,Organization","","Denver","CO",1981,NA,"","","3/17/2022 3:10pm","9 E. Ellsworth Ave., Denver, CO",-104.9870054,39.7167216,"9 e ellsworth ave, denver, co 80209, usa"
