"ID","Title","description","streetaddress","state","amenityfeatures","Type","city","unclearaddress","Year","uncleartype","notes","dateadded","lastmodified","full.address","lon","lat","geoAddress","status"
449,"Three-O-Seven Club","","E. Roosevelt at N. 3rd St.","AZ","(RT)","Bars/Clubs","Phoenix","checked",1969,"","","4/20/2020 10:24pm","4/21/2020 9:53am","E. Roosevelt at N. 3rd St., AZ","-112.070155","33.458785","unclear_coded_by_hand","Found"
437,"Three-O-Seven Club","","E. Roosevelt 3rd St.","AZ","(*)","Bars/Clubs","Phoenix","checked",1970,"","","4/20/2020 10:24pm","4/21/2020 9:48am","E. Roosevelt 3rd St., AZ","-112.070155","33.458785","unclear_coded_by_hand","Found"
419,"Three-O-Seven Club","","E. Roosevelt & N. 3rd St.","AZ","(*)","Bars/Clubs","Phoenix","checked",1971,"","","4/20/2020 10:24pm","4/21/2020 9:36am","E. Roosevelt & N. 3rd St., AZ","-112.070155","33.458785","unclear_coded_by_hand","Found"
402,"Three-O-Seven Club","","E. Roosevelt & N. 3rd St.","AZ","(*)","Bars/Clubs","Phoenix","checked",1972,"","","4/20/2020 10:24pm","4/21/2020 9:28am","E. Roosevelt & N. 3rd St., AZ","-112.070155","33.458785","unclear_coded_by_hand","Found"
388,"Three-O-Seven Club","","E. Roosevelt at N. 3rd St.","AZ","(RT),(*)","Bars/Clubs","Phoenix","checked",1973,"","","4/20/2020 10:24pm","4/21/2020 9:19am","E. Roosevelt at N. 3rd St., AZ","-112.070155","33.458785","unclear_coded_by_hand","Found"
342,"Three-O-Seven Club","","222 E. Roosevelt at N. 3rd St.","AZ","(RT),(*)","Bars/Clubs","Phoenix","checked",1975,"","","4/20/2020 10:24pm","4/21/2020 8:57am","222 E. Roosevelt at N. 3rd St., AZ","-112.070155","33.458785","unclear_coded_by_hand","Found"
303,"Three-O-Seven Club","","222 E. Roosevelt at N. 3rd St.","AZ","(OC),(*)","Bars/Clubs","Phoenix","checked",1976,"","","4/20/2020 10:23pm","4/21/2020 12:00am","222 E. Roosevelt at N. 3rd St., AZ","-112.070155","33.458785","unclear_coded_by_hand","Found"
251,"Three-O-Seven Club","","222 E. Roosevelt at N. 3rd St.","AZ","(OC),(*)","Bars/Clubs","Phoenix","checked",1977,"","","4/20/2020 10:23pm","4/20/2020 11:30pm","222 E. Roosevelt at N. 3rd St., AZ","-112.070155","33.458785","unclear_coded_by_hand","Found"
185,"Three-O-Seven Lounge","(Some OC)","222 E. Roosevelt at N. 3rd St.","AZ","(OC),(PT),(*)","Bars/Clubs","Phoenix","checked",1978,"","","4/20/2020 9:18pm","4/20/2020 10:50pm","222 E. Roosevelt at N. 3rd St., AZ","-112.070155","33.458785","unclear_coded_by_hand","Found"
161,"Tri-City Mall","","","AZ","Cruisy Area","Cruising Areas","Mesa","checked",1978,"","","4/20/2020 9:18pm","4/20/2020 10:51pm",", AZ","-111.873996","33.414851","unclear_coded_by_hand","Found"
83,"Tri-City Mall","","","AZ","Cruisy Area","Cruising Areas","Mesa","checked",1979,"","","4/20/2020 12:47am","4/20/2020 9:39pm",", AZ","-111.873996","33.414851","unclear_coded_by_hand","Found"
5,"Tri-City Mall","","","AZ","Cruisy Area","Cruising Areas","Mesa","checked",1980,"","","4/20/2020 12:46am","4/20/2020 9:00pm",", AZ","-111.873996","33.414851","unclear_coded_by_hand","Found"
220,"U. of Ariz.","Economics Bldg-1st floor T-Room","","AZ","Cruisy Area","Cruising Areas","Tucson","checked",1978,"","","4/20/2020 10:23pm","4/20/2020 10:50pm",", AZ","-110.950109","32.231885","unclear_coded_by_hand","Found"
320,"U. of Arizona","Economics Bldg-1st floor T-Room","","AZ","Cruisy Area","Cruising Areas","Tucson","checked",1976,"","","4/20/2020 10:24pm","4/21/2020 12:00am",", AZ","-110.950109","32.231885","unclear_coded_by_hand","Found"
