"title","description","streetaddress","city","state","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","unclear_address"
"Alpine Villa Townhouse","","Box 456, Ketchum Id., 83340","Sun Valley","ID","(H),(M)","Hotels",1980,"","Box 456, Ketchum Id., 83340, ID",-114.351717,43.697129,"unclear_coded_by_hand","Found",NA
"Alpine Villa Townhouses","","Box 456, Ketchum, Idaho 83340","Sun Valley","ID","(H)","Hotels",1977,"","Box 456, Ketchum, Idaho 83340, ID",-114.351717,43.697129,"unclear_coded_by_hand","Found",NA
"Alpine Villa Townhouses","","Box 456, Ketchum Id. 83340","Sun Valley","ID","(H)","Hotels",1978,"","Box 456, Ketchum Id. 83340, ID",-114.351717,43.697129,"unclear_coded_by_hand","Found",NA
"Apline Villa Townhouses","","Box 456, Ketchum, Id. 83340","Sun Valley","ID","(H)","Hotels",1979,"","Box 456, Ketchum, Id. 83340, ID",-114.351717,43.697129,"unclear_coded_by_hand","Found",NA
"Block surrounding Idanha Hotel","","","Boise","ID","Cruisy Areas","Crusing Areas",1980,"",", ID",-116.205511,43.617211,"unclear_coded_by_hand","Found",NA
"Block surrounding the Idanha Hotel","","","Boise","ID","Cruisy Areas","Crusing Areas",1979,"",", ID",-116.205511,43.617211,"unclear_coded_by_hand","Found",NA
"Block Surrounding the Idanho Hotel","","","Boise","ID","Cruisy Areas","Crusing Areas",1973,"",", ID",-116.205511,43.617211,"unclear_coded_by_hand","Found",NA
"Block Surrounding the Idanho Hotel","","","Boise","ID","Cruisy Areas","Crusing Areas",1974,"",", ID",-116.205511,43.617211,"unclear_coded_by_hand","Found",NA
"Block Surrounding the Idanho Hotel","","","Boise","ID","Cruisy Areas","Crusing Areas",1975,"",", ID",-116.205511,43.617211,"unclear_coded_by_hand","Found",NA
"Block Surrounding the Idanho Hotel","","","Boise","ID","Cruisy Areas","Crusing Areas",1976,"",", ID",-116.205511,43.617211,"unclear_coded_by_hand","Found",NA
"Block Surrounding the Idanho Hotel","","","Boise","ID","Cruisy Areas","Crusing Areas",1977,"",", ID",-116.205511,43.617211,"unclear_coded_by_hand","Found",NA
"Block Surrounding the Idanho Hotel","","","Boise","ID","Cruisy Areas","Crusing Areas",1978,"",", ID",-116.205511,43.617211,"unclear_coded_by_hand","Found",NA
"Classroom Center - T-Rooms/University of Idaho","","","Moscow","ID","Cruisy Areas","Crusing Areas",1977,"",", ID",-117.012608,46.728812,"unclear_coded_by_hand","Found",NA
"Coach Lantern","Out of downtown area - inquire locally","","Boise","ID","","Bars/Clubs",1972,"",", ID",-116.202314,43.615019,"unclear_coded_by_hand","General Coordinates Used",NA
"Idanha Hotel","(downstairs)","10th & Main Sts.","Boise","ID","(M)","Hotels,Bars/Clubs",1966,"","10th & Main Sts., ID",-116.205854,43.616794,"unclear_coded_by_hand","Found",NA
"Idanha Hotel","(downstairs bar)","10th & Main Sts.","Boise","ID","(M)","Hotels,Bars/Clubs",1968,"","10th & Main Sts., ID",-116.205854,43.616794,"unclear_coded_by_hand","Found",NA
"Idanha Hotel","(downstairs bar)","10th & Main Sts.","Boise","ID","(M)","Hotels,Bars/Clubs",1969,"","10th & Main Sts., ID",-116.205854,43.616794,"unclear_coded_by_hand","Found",NA
"Idanha Hotel","(downstairs)","10th & Main Sts.","Boise","ID","(M)","Hotels,Bars/Clubs",1970,"","10th & Main Sts., ID",-116.205854,43.616794,"unclear_coded_by_hand","Found",NA
"Idanha Hotel","(downstairs)","10th & Main Sts.","Boise","ID","(M)","Hotels,Bars/Clubs",1971,"","10th & Main Sts., ID",-116.205854,43.616794,"unclear_coded_by_hand","Found",NA
"Idanho Hotel Weeds Bar","(downstairs)","10th & Main Sts.","Boise","ID","(M)","Bars/Clubs,Hotels",1972,"","10th & Main Sts., ID",-116.205854,43.616794,"unclear_coded_by_hand","Found",NA
"Kopper Kitchen","","I-80 at Vista","Boise","ID","(M),(R),(C),(AH)","Restaurant",1980,"Vista Ave Seems to no longer exist - replaced by an airport maybe?","I-80 at Vista, ID",-116.202314,43.615019,"unclear_coded_by_hand","General Coordinates Used",NA
"Lewis & Clark Motel","","2nd & Main","Lewiston","ID","(M),(H)","Hotels",1979,"approximate.","2nd & Main, ID",-117.030526,46.421548,"unclear_coded_by_hand","Found",NA
"Lewis & Clark Motel","","2nd & Main","Lewiston","ID","(M),(H)","Hotels",1980,"approximate.","2nd & Main, ID",-117.030526,46.421548,"unclear_coded_by_hand","Found",NA
"Lewis & Clark Motor Inn","","2nd & Main","Lewiston","ID","(M),(H)","Hotels",1977,"approximate.","2nd & Main, ID",-117.030526,46.421548,"unclear_coded_by_hand","Found",NA
"Lewis & Clarke Motel","","2nd & Main","Lewiston","ID","(M),(H)","Hotels",1978,"approximate.","2nd & Main, ID",-117.030526,46.421548,"unclear_coded_by_hand","Found",NA
"Little Mac's","","9th & Main St.","Boise","ID","(M)","Bars/Clubs",1966,"","9th & Main St., ID",-116.204679,43.61622,"unclear_coded_by_hand","Found",NA
"Little Mac's","","9th & Main St.","Boise","ID","(M)","Bars/Clubs",1968,"","9th & Main St., ID",-116.204679,43.61622,"unclear_coded_by_hand","Found",NA
"Little Mac's","","9th & Main St.","Boise","ID","(M)","Bars/Clubs",1969,"","9th & Main St., ID",-116.204679,43.61622,"unclear_coded_by_hand","Found",NA
"Little Mac's","","9th & Main St.","Boise","ID","(M)","Bars/Clubs",1970,"","9th & Main St., ID",-116.204679,43.61622,"unclear_coded_by_hand","Found",NA
"Little Mac's","","9th & Main St.","Boise","ID","(M)","Bars/Clubs",1971,"","9th & Main St., ID",-116.204679,43.61622,"unclear_coded_by_hand","Found",NA
"Moscow Hotel - T-Room","","313 S. Main","Moscow","ID","Cruisy Areas","Crusing Areas",1979,"","313 S. Main, ID",-117.001911,46.731985,"unclear_coded_by_hand","Found",NA
"Moscow Hotel - T-Room","","","Moscow","ID","Cruisy Areas","Crusing Areas",1980,"",", ID",-117.001911,46.731985,"unclear_coded_by_hand","Found",NA
"Northwest Gay Alliance","","P.O. Box 8758, Moscow, Idaho, 83843","Moscow","ID","","Organizations",1980,"","P.O. Box 8758, Moscow, Idaho, 83843, ID",-117.000165,46.732387,"unclear_coded_by_hand","General Coordinates Used",NA
"Pioneer Park","(HOT -WE)","5th St. at 3rd Ave.","Lewiston","ID","(WE),(AYOR),(HOT),Cruisy Areas","Crusing Areas",1979,"","5th St. at 3rd Ave., ID",-117.025451,46.419486,"unclear_coded_by_hand","Found",NA
"Pioneer Park","(HOT -WE)","5th St. at 3rd Ave.","Lewiston","ID","(WE),(AYOR),Cruisy Areas","Crusing Areas",1980,"","5th St. at 3rd Ave., ID",-117.025451,46.419486,"unclear_coded_by_hand","Found",NA
"Riley's Bar","(downstairs in basement of Idanho Hotel)","10 & Main Sts.","Boise","ID","(M)","Bars/Clubs,Hotels",1973,"","10 & Main Sts., ID",-116.205854,43.616794,"unclear_coded_by_hand","Found",NA
"Riley's Bars","(downstairs in basement of Idanho Hotel)","10th & Main","Boise","ID","(M)","Bars/Clubs,Hotels",1974,"","10th & Main, ID",-116.205854,43.616794,"unclear_coded_by_hand","Found",NA
"Riley's Bars","(downstairs in basement of Idanho Hotel)","10th & Main","Boise","ID","(M)","Bars/Clubs,Hotels",1975,"","10th & Main, ID",-116.205854,43.616794,"unclear_coded_by_hand","Found",NA
"Riley's Bars","(downstairs in basement of Idanho Hotel)","10th & Main","Boise","ID","(M)","Bars/Clubs,Hotels",1976,"","10th & Main, ID",-116.205854,43.616794,"unclear_coded_by_hand","Found",NA
"Riley's Bars","(downstairs in basement of Idanho Hotel)","10th & Main","Boise","ID","(M)","Bars/Clubs,Hotels",1977,"","10th & Main, ID",-116.205854,43.616794,"unclear_coded_by_hand","Found",NA
"Riverside Drive","","","Idaho Falls","ID","Cruisy Areas","Crusing Areas",1975,"",", ID",-112.042787,43.500985,"unclear_coded_by_hand","Found",NA
"Riverside Drive","","","Idaho Falls","ID","Cruisy Areas","Crusing Areas",1976,"",", ID",-112.042787,43.500985,"unclear_coded_by_hand","Found",NA
"Riverside Drive","","","Idaho Falls","ID","Cruisy Areas","Crusing Areas",1977,"",", ID",-112.042787,43.500985,"unclear_coded_by_hand","Found",NA
"Riverside Drive","","","Idaho Falls","ID","Cruisy Areas","Crusing Areas",1978,"",", ID",-112.042787,43.500985,"unclear_coded_by_hand","Found",NA
"Riverside Drive","","","Idaho Falls","ID","Cruisy Areas","Crusing Areas",1979,"",", ID",-112.042787,43.500985,"unclear_coded_by_hand","Found",NA
"Riverside Drive","","","Idaho Falls","ID","Cruisy Areas","Crusing Areas",1980,"",", ID",-112.042787,43.500985,"unclear_coded_by_hand","Found",NA
"Snake River Falls","","","Idaho Falls","ID","Cruisy Areas","Crusing Areas",1975,"approximate",", ID",-112.043772,43.496607,"unclear_coded_by_hand","Found",NA
"Snake River Falls","","","Idaho Falls","ID","Cruisy Areas","Crusing Areas",1976,"approximate",", ID",-112.043772,43.496607,"unclear_coded_by_hand","Found",NA
"Snake River Falls","","","Idaho Falls","ID","Cruisy Areas","Crusing Areas",1977,"approximate",", ID",-112.043772,43.496607,"unclear_coded_by_hand","Found",NA
"Snake River Falls","","","Idaho Falls","ID","Cruisy Areas","Crusing Areas",1978,"approximate",", ID",-112.043772,43.496607,"unclear_coded_by_hand","Found",NA
"Snake River Falls","","","Idaho Falls","ID","Cruisy Areas","Crusing Areas",1979,"approximate",", ID",-112.043772,43.496607,"unclear_coded_by_hand","Found",NA
