"description","streetaddress","city","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","title","state","unclear_address"
"('Wild back room')","225 N. Water St.","Milwaukee","","Book Store",1980,"","225 N. Water St., Milwaukee, ",-87.9093872,43.0331806,"225 n water st, milwaukee, wi 53202, usa","Geocoded",NA,NA,NA
"(Disco)","235 S. 2nd St.","Milwaukee","(D)","Bars/Clubs",1980,"","235 S. 2nd St., Milwaukee, ",-87.9128899,43.0285834,"235 s 2nd st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"(Sun. brunch)","814 2nd St.","Milwaukee","(R),(E),(*)","Restaurant",1980,"","814 2nd St., Milwaukee, ",-87.9123152,43.0228069,"814 s 2nd st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"","124 Water St.","Milwaukee","(R)","Restaurant",1980,"","124 Water St., Milwaukee, ",-87.9092379,43.031955,"124 n water st, milwaukee, wi 53202, usa","Geocoded",NA,NA,NA
"","135 E. National","Milwaukee","(L),(D),(E),(*)","Bars/Clubs",1980,"","135 E. National, Milwaukee, ",-87.9100927,43.02307,"135 e national ave, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"(looking up)","1000 E. North St.","Milwaukee","(D)","Bars/Clubs",1980,"","1000 E. North St., Milwaukee, ",-87.8990555,43.060336,"1000 e north ave, milwaukee, wi 53212, usa","Geocoded",NA,NA,NA
"(Cruisy cocktain hour)","418 E. Wells St.","Milwaukee","(*)","Cruising Areas,Bars/Clubs",1980,"","418 E. Wells St., Milwaukee, ",-87.9060209,43.0414743,"418 e wells st, milwaukee, wi 53202, usa","Geocoded",NA,NA,NA
"(Some SM, W,) (Cruisy)","266 E. Erie St.","Milwaukee","(*),(SM),(W),(D),(PT)","Cruising Areas,Bars/Clubs",1980,"","266 E. Erie St., Milwaukee, ",-87.9075636,43.0312555,"266 e erie st, milwaukee, wi 53202, usa","Geocoded",NA,NA,NA
"(Disco) (Cruisy)","813 S. 1st St.","Milwaukee","(D),(PT),(*)","Cruising Areas,Bars/Clubs",1980,"","813 S. 1st St., Milwaukee, ",-87.9115871,43.0228695,"813 s 1st st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"(Best to avoid)","13 Washington Ave","Oshkosh","(AYOR)","Book Store",1980,"","13 Washington Ave, Oshkosh, ",-88.5373579,44.0175618,"13 washington ave, oshkosh, wi 54901, usa","Geocoded",NA,NA,NA
"(Some L) (Snacks) (Beer garden)","2139 Racine","Racine","(L),(D),(*)","Bars/Clubs",1980,"","2139 Racine, Racine, ",-87.6580546,41.9210132,"2139 n racine ave, chicago, il 60614, usa","Geocoded",NA,NA,NA
"","318 Tower Ave.","Superior","(M)","Bars/Clubs",1980,"","318 Tower Ave., Superior, ",-92.1035382,46.7344866,"318 tower ave, superior, wi 54880, usa","Geocoded",NA,NA,NA
"(Some L)","405 Tower Ave.","Superior","(D),(L),(*)","Bars/Clubs",1980,"","405 Tower Ave., Superior, ",-92.1041948,46.733596,"405 tower ave, superior, wi 54880, usa","Geocoded",NA,NA,NA
"(Unfriendly)","205 W. College","Appleton","(M)","Bars/Clubs",1979,"","205 W. College, Appleton, ",-88.407562,44.261532,"205 w college ave, appleton, wi 54911, usa","Geocoded",NA,NA,NA
"(Some G) (Snacks)","343 W. College","Appleton","(*),(D),(PT),(G)","Bars/Clubs",1979,"","343 W. College, Appleton, ",-88.4103184,44.2615253,"343 w college ave, appleton, wi 54911, usa","Geocoded",NA,NA,NA
"(Disco) (Wed., Fri., Sat.) (Some G, YC, SM)","207 S. Washington","Green Bay","(*),(D),(PT),(YC),(SM),(G)","Bars/Clubs",1979,"","207 S. Washington, Green Bay, ",-88.0172161,44.5127204,"207 s washington st, green bay, wi 54301, usa","Geocoded",NA,NA,NA
"","10936 Sheridan Rd.","Kenosha","(YC),(D),(*)","Bars/Clubs",1979,"","10936 Sheridan Rd., Kenosha, ",-87.8236003,42.5149455,"10936 sheridan rd, pleasant prairie, wi 53158, usa","Geocoded",NA,NA,NA
"(Some G)","120 3rd Sr.","La Crosse","(D),(*)","Bars/Clubs",1979,"","120 3rd Sr., La Crosse, ",-91.2531372,43.8122994,"120 3rd st s, la crosse, wi 54601, usa","Geocoded",NA,NA,NA
"(Below Hot L Cafe)","636 W. Washington","Madison","(M),(E)","Bars/Clubs",1979,"","636 W. Washington, Madison, ",-89.3936828,43.0684457,"636 w washington ave, madison, wi 53703, usa","Geocoded",NA,NA,NA
"(G.M.W) (Guys on main floor, M-YC-Disco-D-upstairs)) (M-YC-Disco D","111 W. Main","Madison","(*),(M),(YC),(D)","Bars/Clubs",1979,"","111 W. Main, Madison, ",-89.3844316,43.0725799,"111 w main st, madison, wi 53703, usa","Geocoded",NA,NA,NA
"(Best late, 12-3am*)","636 W. Washington","Madison","(M),(R),(C),(*)","Restaurant",1979,"","636 W. Washington, Madison, ",-89.3936828,43.0684457,"636 w washington ave, madison, wi 53703, usa","Geocoded",NA,NA,NA
"(WE-midnight-3a.m.)","111 W. Main","Madison","(R),(WE)","Bars/Clubs",1979,"","111 W. Main, Madison, ",-89.3844316,43.0725799,"111 w main st, madison, wi 53703, usa","Geocoded",NA,NA,NA
"(Some OC, W, SM)","116 N. Fairchild","Madison","(OC),(W),(SM),(*)","Bars/Clubs",1979,"","116 N. Fairchild, Madison, ",-89.3874661,43.0742053,"116 n fairchild st, madison, wi 53703, usa","Geocoded",NA,NA,NA
"(Top floor)","616 N. 2nd St.","Milwaukee","(M),(RT),(H)","Hotels",1979,"","616 N. 2nd St., Milwaukee, ",-87.9130623,43.0381823,"616 n 2nd st, milwaukee, wi 53203, usa","Geocoded",NA,NA,NA
"","196 S. 2nd St.","Milwaukee","(D),(*)","Bars/Clubs",1979,"","196 S. 2nd St., Milwaukee, ",-87.9122563,43.0295497,"196 s 2nd st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"(Disco) (Shows promise)","625 E. St Paul","Milwaukee","(D),(YC),(R)","Restaurant,Bars/Clubs",1979,"","625 E. St Paul, Milwaukee, ",-87.9027157,43.0351306,"625 e st paul ave, milwaukee, wi 53202, usa","Geocoded",NA,NA,NA
"(Some SM)","753 N. Plankinton","Milwaukee","(SM)","Book Store",1979,"the sm is throwing me off","753 N. Plankinton, Milwaukee, ",-87.912392,43.0397223,"753 n plankinton ave, milwaukee, wi 53203, usa","Geocoded",NA,NA,NA
"(Sun. Brunch)","3743 W. Vliet","Milwaukee","(D),(G)","Restaurant",1979,"","3743 W. Vliet, Milwaukee, ",-87.960924,43.048481,"3743 w vliet st, milwaukee, wi 53208, usa","Geocoded",NA,NA,NA
"(Disco)","231 S. 2nd St.","Milwaukee","(YC),(D),(*)","Bars/Clubs",1979,"","231 S. 2nd St., Milwaukee, ",-87.9130049,43.0286235,"231-233 s 2nd st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"(Disco) (2 floors)","219 S. 2nd St","Milwaukee","(YC),(D),(*)","Bars/Clubs",1979,"","219 S. 2nd St, Milwaukee, ",-87.9127551,43.0289135,"219 s 2nd st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"(use rear entrance)","704 A. W. Wisconsin Ave.","Milwaukee","(*),(P)","Baths",1979,"","704 A. W. Wisconsin Ave., Milwaukee, ",-87.9207032,43.0390592,"704 w wisconsin ave, milwaukee, wi 53233, usa","Geocoded",NA,NA,NA
"(2 floors)","808 E. Center St.","Milwaukee","(D),(PT)","Bars/Clubs",1979,"","808 E. Center St., Milwaukee, ",-87.9011827,43.0676339,"808 e center st, milwaukee, wi 53212, usa","Geocoded",NA,NA,NA
"","819 S. 2nd St.","Milwaukee","(D)","Bars/Clubs",1979,"","819 S. 2nd St., Milwaukee, ",-87.9128899,43.0227415,"819 s 2nd st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"(Current 'top' disco) (Some G) (2 floors)","132 E. Juneay","Milwaukee","(*),(YC),(D),(G)","Bars/Clubs",1979,"","132 E. Juneay, Milwaukee, ",-87.9119775,43.0459671,"132 e juneau ave, milwaukee, wi 53202, usa","Geocoded",NA,NA,NA
"","157 S. 1st St.","Milwaukee","(G),(D),(R),(PT)","Restaurant,Bars/Clubs",1979,"","157 S. 1st St., Milwaukee, ",-87.9113572,43.0297315,"157 s 1st st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"(Baths)","707 E. Knapp","Milwaukee","","Baths",1979,"","707 E. Knapp, Milwaukee, ",-87.9032533,43.0467591,"707 e knapp st, milwaukee, wi 53202, usa","Geocoded",NA,NA,NA
"","2308 E. Belleview Pl.","Milwaukee","","Church",1979,"","2308 E. Belleview Pl., Milwaukee, ",-87.8814278,43.0662863,"2308 e belleview pl, milwaukee, wi 53211, usa","Geocoded",NA,NA,NA
"","422 W. State St.","Milwaukee","(OC),(RT),(B)","Bars/Clubs",1979,"","422 W. State St., Milwaukee, ",-87.9164092,43.0429265,"422 w state st, milwaukee, wi 53203, usa","Geocoded",NA,NA,NA
"(Cl.Sun.)","714 N. Broadway","Milwaukee","(R)","Restaurant",1979,"","714 N. Broadway, Milwaukee, ",-87.9075798,43.0390647,"714 n broadway, milwaukee, wi 53202, usa","Geocoded",NA,NA,NA
"(the old 'Factory' or 'Inferno' is supposedly opening in early '78 as (P) (Baths) (Sauna) (Gym) (D) & (Liquor) (Should be a winner)","158 N. Broadway","Milwaukee","(P),(D)","Bars/Clubs,Baths",1979,"","158 N. Broadway, Milwaukee, ",-87.9066247,43.0317884,"158 n broadway, milwaukee, wi 53202, usa","Geocoded",NA,NA,NA
"","235 S. 2nd St.","Milwaukee","","Bars/Clubs",1979,"","235 S. 2nd St., Milwaukee, ",-87.9128899,43.0285834,"235 s 2nd st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"(C-AH)","500 S. 5th Virginia","Milwaukee","(M),(R),(C),(AH)","Restaurant",1979,"","500 S. 5th Virginia, Milwaukee, ",-87.9167021,43.026061,"500 s 5th st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"","225 N. Water St.","Milwaukee","","Book Store",1979,"","225 N. Water St., Milwaukee, ",-87.9093872,43.0331806,"225 n water st, milwaukee, wi 53202, usa","Geocoded",NA,NA,NA
"(Sun. brunch)","814 S. 2nd St.","Milwaukee","(R),(E),(*)","Restaurant",1979,"","814 S. 2nd St., Milwaukee, ",-87.9123152,43.0228069,"814 s 2nd st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"","135 E. National","Milwaukee","(G)","Bars/Clubs",1979,"","135 E. National, Milwaukee, ",-87.9100927,43.02307,"135 e national ave, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"(looking up)","1000 E. North St.","Milwaukee","(D)","Bars/Clubs",1979,"","1000 E. North St., Milwaukee, ",-87.8990555,43.060336,"1000 e north ave, milwaukee, wi 53212, usa","Geocoded",NA,NA,NA
"","418 E. Wells St.","Milwaukee","(*),(D)","Bars/Clubs",1979,"","418 E. Wells St., Milwaukee, ",-87.9060209,43.0414743,"418 e wells st, milwaukee, wi 53202, usa","Geocoded",NA,NA,NA
"(Some SM, W,) (Cruisy)","266 E. Erie St.","Milwaukee","(*),(SM),(W),(D),(PT)","Cruising Areas,Bars/Clubs",1979,"","266 E. Erie St., Milwaukee, ",-87.9075636,43.0312555,"266 e erie st, milwaukee, wi 53202, usa","Geocoded",NA,NA,NA
"","813 S. 1st St.","Milwaukee","(D),(PT),(*)","Bars/Clubs",1979,"","813 S. 1st St., Milwaukee, ",-87.9115871,43.0228695,"813 s 1st st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"(Best to avoid)","13 Washington Ave","Oshkosh","(AYOR)","Book Store",1979,"","13 Washington Ave, Oshkosh, ",-88.5373579,44.0175618,"13 washington ave, oshkosh, wi 54901, usa","Geocoded",NA,NA,NA
"(Some G) (Snacks) (Beer garden)","2139 Racine","Racine","(D),(*),(G)","Bars/Clubs",1979,"","2139 Racine, Racine, ",-87.6580546,41.9210132,"2139 n racine ave, chicago, il 60614, usa","Geocoded",NA,NA,NA
"","205 W. College","Appleton","(M)","Bars/Clubs",1978,"","205 W. College, Appleton, ",-88.407562,44.261532,"205 w college ave, appleton, wi 54911, usa","Geocoded",NA,NA,NA
"(Some G)","325 W. College","Appleton","(D),(G),(*)","Bars/Clubs",1978,"","325 W. College, Appleton, ",-88.4092427,44.261541,"325 w college ave, appleton, wi 54911, usa","Geocoded",NA,NA,NA
"(Some G)","1101 W. Main","Green Bay","(G)","Bars/Clubs",1978,"","1101 W. Main, Green Bay, ",-88.1000732,44.4557808,"1101 w main ave, de pere, wi 54115, usa","Geocoded",NA,NA,NA
"(Disco-D-Wed., Fri. & Sat.) (Some G, YC, SM)","207 S. Washington","Green Bay","(*),(D),(PT),(YC),(SM),(G)","Bars/Clubs",1978,"","207 S. Washington, Green Bay, ",-88.0172161,44.5127204,"207 s washington st, green bay, wi 54301, usa","Geocoded",NA,NA,NA
"(Some G)","209 Pine St.","Green Bay","(YC),(G),(D),(*)","Bars/Clubs",1978,"","209 Pine St., Green Bay, ",-88.0147992,44.5162465,"209 pine st, green bay, wi 54301, usa","Geocoded",NA,NA,NA
"","3504-60th St.","Kenosha","","Baths",1978,"","3504-60th St., Kenosha, ",-87.8514073,42.581227,"3504 60th st, kenosha, wi 53144, usa","Geocoded",NA,NA,NA
"","10936 Sheridan Rd.","Kenosha","(YC),(D),(*)","Bars/Clubs",1978,"","10936 Sheridan Rd., Kenosha, ",-87.8236003,42.5149455,"10936 sheridan rd, pleasant prairie, wi 53158, usa","Geocoded",NA,NA,NA
"(Disco) (G-up-stairs) Under Monogan Bridge (US Hwy 16.)","787 Losey Blvd.","La Crosse","(YC),(FFA),(*),(G)","Bars/Clubs",1978,"Desc. has details on address","787 Losey Blvd., La Crosse, ",-91.2196703,43.802859,"787 losey blvd s, la crosse, wi 54601, usa","Geocoded",NA,NA,NA
"(Some G)","120 3rd Sr.","La Crosse","(M),(G)","Bars/Clubs",1978,"","120 3rd Sr., La Crosse, ",-91.2531372,43.8122994,"120 3rd st s, la crosse, wi 54601, usa","Geocoded",NA,NA,NA
"( Looks promising-basement below Hot L Cafe)","636 W. Washington","Madison","(M),(D)","Bars/Clubs",1978,"","636 W. Washington, Madison, ",-89.3936828,43.0684457,"636 w washington ave, madison, wi 53703, usa","Geocoded",NA,NA,NA
"(Best late, 12-3am*)","636 W. Washington","Madison","(M),(R),(C),(*)","Restaurant",1978,"","636 W. Washington, Madison, ",-89.3936828,43.0684457,"636 w washington ave, madison, wi 53703, usa","Geocoded",NA,NA,NA
"","529 N. Lake","Madison","(M),(YC)","Bars/Clubs",1978,"","529 N. Lake, Madison, ",-89.3970644,43.0756224,"529 n lake st, madison, wi 53703, usa","Geocoded",NA,NA,NA
"(Some RT) (Late *)","116 N. Fairchild","Madison","(OC),(RT),(*)","Bars/Clubs",1978,"","116 N. Fairchild, Madison, ",-89.3874661,43.0742053,"116 n fairchild st, madison, wi 53703, usa","Geocoded",NA,NA,NA
"","116 King St.","Madison","(*)","Book Store",1978,"","116 King St., Madison, ",-89.3808789,43.0748356,"116 king st, madison, wi 53703, usa","Geocoded",NA,NA,NA
"(Some G, B) (C-AH)","500 S. 5th Virginia","Milwaukee","(D),(G),(B),(PT),(C),(AH)","Bars/Clubs",1978,"","500 S. 5th Virginia, Milwaukee, ",-87.9167021,43.026061,"500 s 5th st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"(Top floor)","616 N. 2nd St.","Milwaukee","(M),(RT),(H)","Hotels",1978,"","616 N. 2nd St., Milwaukee, ",-87.9130623,43.0381823,"616 n 2nd st, milwaukee, wi 53203, usa","Geocoded",NA,NA,NA
"","196 S. 2nd St.","Milwaukee","(D),(*)","Bars/Clubs",1978,"","196 S. 2nd St., Milwaukee, ",-87.9122563,43.0295497,"196 s 2nd st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"","753 N. Plankinton","Milwaukee","(SM)","Book Store",1978,"the sm is throwing me off","753 N. Plankinton, Milwaukee, ",-87.912392,43.0397223,"753 n plankinton ave, milwaukee, wi 53203, usa","Geocoded",NA,NA,NA
"(Many G)","3743 W. Vliet","Milwaukee","(D),(G),(*)","Bars/Clubs",1978,"","3743 W. Vliet, Milwaukee, ",-87.960924,43.048481,"3743 w vliet st, milwaukee, wi 53208, usa","Geocoded",NA,NA,NA
"","814 S 2nd St.","Milwaukee","(D),(*)","Bars/Clubs",1978,"","814 S 2nd St., Milwaukee, ",-87.9123152,43.0228069,"814 s 2nd st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"","231 S. 2nd St.","Milwaukee","(D),(*)","Bars/Clubs",1978,"","231 S. 2nd St., Milwaukee, ",-87.9130049,43.0286235,"231-233 s 2nd st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"(Disco) (2 floors)","219 S. 2nd St","Milwaukee","(YC),(D),(*)","Bars/Clubs",1978,"","219 S. 2nd St, Milwaukee, ",-87.9127551,43.0289135,"219 s 2nd st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"(P-use rear entrance)","704 A. W. Wisconsin Ave.","Milwaukee","(*),(P)","Baths",1978,"","704 A. W. Wisconsin Ave., Milwaukee, ",-87.9207032,43.0390592,"704 w wisconsin ave, milwaukee, wi 53233, usa","Geocoded",NA,NA,NA
"","716 N Plankinton","Milwaukee","(E)","Bars/Clubs",1978,"","716 N Plankinton, Milwaukee, ",-87.9110738,43.0392123,"716 n plankinton ave, milwaukee, wi 53203, usa","Geocoded",NA,NA,NA
"(2 floors)","808 E. Center St.","Milwaukee","(D),(PT),(*)","Bars/Clubs",1978,"","808 E. Center St., Milwaukee, ",-87.9011827,43.0676339,"808 e center st, milwaukee, wi 53212, usa","Geocoded",NA,NA,NA
"","819 S. 2nd St.","Milwaukee","(D)","Bars/Clubs",1978,"","819 S. 2nd St., Milwaukee, ",-87.9128899,43.0227415,"819 s 2nd st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"","707 E. Knapp","Milwaukee","","Baths",1978,"","707 E. Knapp, Milwaukee, ",-87.9032533,43.0467591,"707 e knapp st, milwaukee, wi 53202, usa","Geocoded",NA,NA,NA
" (Some B) (Unisex) (Several bars & rooms)","158 N. Broadway","Milwaukee","(*),(YC),(B),(D),(HIP)","Bars/Clubs",1978,"","158 N. Broadway, Milwaukee, ",-87.9066247,43.0317884,"158 n broadway, milwaukee, wi 53202, usa","Geocoded",NA,NA,NA
"","157 S. 1st St.","Milwaukee","(G),(D),(R),(PT),(*)","Restaurant,Bars/Clubs",1978,"","157 S. 1st St., Milwaukee, ",-87.9113572,43.0297315,"157 s 1st st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"(Some OC, RT, B,)","422 W. State St.","Milwaukee","(OC),(RT),(B),(D),(SM)","Bars/Clubs",1978,"","422 W. State St., Milwaukee, ",-87.9164092,43.0429265,"422 w state st, milwaukee, wi 53203, usa","Geocoded",NA,NA,NA
"","235 S. 2nd St.","Milwaukee","","Bars/Clubs",1978,"","235 S. 2nd St., Milwaukee, ",-87.9128899,43.0285834,"235 s 2nd st, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"","225 N. Water St.","Milwaukee","","Book Store",1978,"","225 N. Water St., Milwaukee, ",-87.9093872,43.0331806,"225 n water st, milwaukee, wi 53202, usa","Geocoded",NA,NA,NA
"","212 E. St. Paul","Milwaukee","","Bars/Clubs",1978,"","212 E. St. Paul, Milwaukee, ",-87.9086086,43.0352226,"212 e st paul ave, milwaukee, wi 53202, usa","Geocoded",NA,NA,NA
"","135 E. National","Milwaukee","(G)","Bars/Clubs",1978,"","135 E. National, Milwaukee, ",-87.9100927,43.02307,"135 e national ave, milwaukee, wi 53204, usa","Geocoded",NA,NA,NA
"","1187 N. 68th St.","Milwaukee","(M),(OC),(WE)","Bars/Clubs",1978,"","1187 N. 68th St., Milwaukee, ",-87.9976176,43.0458519,"1187 n 68th st, milwaukee, wi 53213, usa","Geocoded",NA,NA,NA
"","1000 E. North St.","Milwaukee","(D)","Bars/Clubs",1978,"","1000 E. North St., Milwaukee, ",-87.8990555,43.060336,"1000 e north ave, milwaukee, wi 53212, usa","Geocoded",NA,NA,NA
"(Boutique, books, gifts) ","818 E. Center St.","Milwaukee","","Business,Book Store",1978,"","818 E. Center St., Milwaukee, ",-87.9009152,43.0676412,"818 e center st, milwaukee, wi 53212, usa","Geocoded",NA,NA,NA
"","418 E. Wells St.","Milwaukee","(*),(D)","Bars/Clubs",1978,"","418 E. Wells St., Milwaukee, ",-87.9060209,43.0414743,"418 e wells st, milwaukee, wi 53202, usa","Geocoded",NA,NA,NA
"","266 E. Erie St.","Milwaukee","(*),(SM),(W),(D),(PT)","Bars/Clubs",1978,"","266 E. Erie St., Milwaukee, ",-87.9075636,43.0312555,"266 e erie st, milwaukee, wi 53202, usa","Geocoded",NA,NA,NA
