"title","description","streetaddress","city","state","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","unclear_address"
"Kearsarge Hotel Bar","","104 Congress","Portsmouth","NH","(M)","Hotels,Bars/Clubs",1971,NA,"104 Congress, Portsmouth, NH",-70.7596382,43.0759798,"104 congress street, portsmouth, nh 03801, usa","Geocoded",NA
"Kearsarge Hotel Bar","","104 Congress","Portsmouth","NH","(M)","Hotels,Bars/Clubs",1972,NA,"104 Congress, Portsmouth, NH",-70.7596382,43.0759798,"104 congress street, portsmouth, nh 03801, usa","Geocoded",NA
"Kearsarge Hotel Bar","","104 Congress","Portsmouth","NH","(M)","Hotels,Bars/Clubs",1973,NA,"104 Congress, Portsmouth, NH",-70.7596382,43.0759798,"104 congress street, portsmouth, nh 03801, usa","Geocoded",NA
"Kearsarge Hotel Lounge","","104 Congress","Portsmouth","NH","(M)","Hotels,Bars/Clubs",1974,NA,"104 Congress, Portsmouth, NH",-70.7596382,43.0759798,"104 congress street, portsmouth, nh 03801, usa","Geocoded",NA
"Kearsarge Hotel Lounge","","104 Congress","Portsmouth","NH","(M)","Hotels,Bars/Clubs",1975,NA,"104 Congress, Portsmouth, NH",-70.7596382,43.0759798,"104 congress street, portsmouth, nh 03801, usa","Geocoded",NA
"Kearsarge Hotel Lounge","","104 Congress","Portsmouth","NH","(M),(OC)","Bars/Clubs",1976,NA,"104 Congress, Portsmouth, NH",-70.7596382,43.0759798,"104 congress street, portsmouth, nh 03801, usa","Geocoded",NA
"Kearsarge Hotel Lounge","","104 Congress","Portsmouth","NH","(M),(OC)","Hotels,Bars/Clubs",1977,NA,"104 Congress, Portsmouth, NH",-70.7596382,43.0759798,"104 congress street, portsmouth, nh 03801, usa","Geocoded",NA
"Odd Shop","(Books & 'toys')","109 Daniel St.","Portsmouth","NH","","Book Store",1976,NA,"109 Daniel St., Portsmouth, NH",-70.7554999,43.0775988,"109 daniel st, portsmouth, nh 03801, usa","Geocoded",NA
"Odd Shop","(books, toys, etc)","109 Daniel St.","Portsmouth","NH","(*)","Book Store",1977,NA,"109 Daniel St., Portsmouth, NH",-70.7554999,43.0775988,"109 daniel st, portsmouth, nh 03801, usa","Geocoded",NA
"Odd Shop","(Books, etc)","136 Lafayette Rd","North Hampton","NH","(*)","Book Store",1978,NA,"136 Lafayette Rd, North Hampton, NH",-70.8269734,42.9871186,"136 lafayette rd, north hampton, nh 03862, usa","Geocoded",NA
"Sagamore Club","(above Fran's 'Rio')","77 Daniel St. ","Portsmouth","NH","(P),(D),(*)","Bars/Clubs",1972,NA,"77 Daniel St. , Portsmouth, NH",-70.7559911,43.0772645,"77 daniel st, portsmouth, nh 03801, usa","Geocoded",NA
"Sagamore Club","","3241 Lafayette Rd.","Portsmouth","NH","(YC),(D),(P),(*)","Bars/Clubs",1973,NA,"3241 Lafayette Rd., Portsmouth, NH",-70.7962246,43.0232094,"3241 lafayette rd, portsmouth, nh 03801, usa","Geocoded",NA
"Sagimore","(Above Fran's 'Rio')","77 Daniel St. ","Portsmouth","NH","(P),(D),(*)","Bars/Clubs",1971,NA,"77 Daniel St. , Portsmouth, NH",-70.7559911,43.0772645,"77 daniel st, portsmouth, nh 03801, usa","Geocoded",NA
"Seaport Club","(upstairs - above Big Daddy's)","77 Daniel St.","Portsmouth","NH","(P),(D),(YC),(*)","Bars/Clubs",1975,NA,"77 Daniel St., Portsmouth, NH",-70.7559911,43.0772645,"77 daniel st, portsmouth, nh 03801, usa","Geocoded",NA
"Seaport Club","(upstairs - above Big Daddy's)","77 Daniel St.","Portsmouth","NH","(P),(D),(YC),(*)","Bars/Clubs",1976,NA,"77 Daniel St., Portsmouth, NH",-70.7559911,43.0772645,"77 daniel st, portsmouth, nh 03801, usa","Geocoded",NA
"Seaport Club","('where its happening in N.H.) (Upstairs -- above Big Daddy's - (P) (YC) (Disco-WE)(D) on 2nd floor - (R) on third)","77 Daniel St.","Portsmouth","NH","(P),(YC),(WE),(D),(R)","Bars/Clubs,Restaurant",1977,NA,"77 Daniel St., Portsmouth, NH",-70.7559911,43.0772645,"77 daniel st, portsmouth, nh 03801, usa","Geocoded",NA
"Seaport Club","('Tops' in state - upstairs, above Big Daddy's) (Disco - D - WE) (R) on 3rd floor","77 Daniel St.","Portsmouth","NH","(*),(P),(YC),(D),(WE)","Bars/Clubs",1978,NA,"77 Daniel St., Portsmouth, NH",-70.7559911,43.0772645,"77 daniel st, portsmouth, nh 03801, usa","Geocoded",NA
"Sheraton-Carpenter Hotel","","323 Franklin St.","Manchester","NH","(M)","Hotels,Bars/Clubs",1975,NA,"323 Franklin St., Manchester, NH",-71.4638405,42.9897015,"323 franklin st, manchester, nh 03101, usa","Geocoded",NA
"Sheraton-Carpenter Hotel Bar","","323 Franklin St.","Manchester","NH","(M),(PE)","Hotels,Bars/Clubs",1976,NA,"323 Franklin St., Manchester, NH",-71.4638405,42.9897015,"323 franklin st, manchester, nh 03101, usa","Geocoded",NA
"Sheraton-Carpenter Hotel Bar","","323 Franklin St.","Manchester","NH","(M)","Bars/Clubs",1977,NA,"323 Franklin St., Manchester, NH",-71.4638405,42.9897015,"323 franklin st, manchester, nh 03101, usa","Geocoded",NA
"Sheraton-Carpenter Hotel Bar","","323 Franklin St.","Manchester","NH","(M)","Bars/Clubs,Hotels",1978,NA,"323 Franklin St., Manchester, NH",-71.4638405,42.9897015,"323 franklin st, manchester, nh 03101, usa","Geocoded",NA
"Sheraton-Carpenter Hotel Lounge","","323 Franklin St.","Manchester","NH","(M)","Bars/Clubs,Hotels",1972,NA,"323 Franklin St., Manchester, NH",-71.4638405,42.9897015,"323 franklin st, manchester, nh 03101, usa","Geocoded",NA
"Sheraton-Carpenter Hotel Lounge","","323 Franklin St.","Manchester","NH","(M)","Hotels,Bars/Clubs",1973,NA,"323 Franklin St., Manchester, NH",-71.4638405,42.9897015,"323 franklin st, manchester, nh 03101, usa","Geocoded",NA
"Sheraton-Carpenter Hotel Lounge","","323 Franklin St.","Manchester","NH","(M)","Bars/Clubs",1974,NA,"323 Franklin St., Manchester, NH",-71.4638405,42.9897015,"323 franklin st, manchester, nh 03101, usa","Geocoded",NA
"Three-Two-Forty-One Club","(Old Rt. 1)","3241 Lafayette Rd ","Portsmouth","NH","(YC),(D),(P),(*)","Bars/Clubs",1971,NA,"3241 Lafayette Rd , Portsmouth, NH",-70.7962246,43.0232094,"3241 lafayette rd, portsmouth, nh 03801, usa","Geocoded",NA
"Three-Two-Forty-One Club","","3241 Lafayette Rd.","Portsmouth","NH","(YC),(D),(P),(*)","Bars/Clubs",1972,NA,"3241 Lafayette Rd., Portsmouth, NH",-70.7962246,43.0232094,"3241 lafayette rd, portsmouth, nh 03801, usa","Geocoded",NA
"Tom's Pizza","","5 Allen St.","Hanover","NH","(M)","Restaurant",1975,NA,"5 Allen St., Hanover, NH",-72.2903417,43.7017035,"5 allen st, hanover, nh 03755, usa","Geocoded",NA
"Tom's Pizza","","5 Allen St.","Hanover","NH","(M)","Bars/Clubs",1976,NA,"5 Allen St., Hanover, NH",-72.2903417,43.7017035,"5 allen st, hanover, nh 03755, usa","Geocoded",NA
"Tom's Pizza","","5 Allen St.","Hanover","NH","(M)","Bars/Clubs",1977,NA,"5 Allen St., Hanover, NH",-72.2903417,43.7017035,"5 allen st, hanover, nh 03755, usa","Geocoded",NA
"Tom's Pizza","","5 Allen St.","Hanover","NH","(M)","Bars/Clubs",1978,NA,"5 Allen St., Hanover, NH",-72.2903417,43.7017035,"5 allen st, hanover, nh 03755, usa","Geocoded",NA
