"title","description","streetaddress","city","state","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","unclear_address"
"'Hitch-hikers' on Minnesota Ave","","","Sioux Falls","SD","Cruisy Areas","Crusing Areas",1979,NA,", SD",-96.728333,43.547303,"unclear_coded_by_hand","General Coordinates Used",NA
"'Hitch-hikers' on Minnesota Ave","","","Sioux Falls","SD","Cruisy Areas","Crusing Areas",1980,NA,", SD",-96.728333,43.547303,"unclear_coded_by_hand","General Coordinates Used",NA
"'Hitch-hikers' on Minnesota Ave.","","","Sioux Falls","SD","Cruisy Areas","Crusing Areas",1978,NA,", SD",-96.728333,43.547303,"unclear_coded_by_hand","General Coordinates Used",NA
"Ahab's Imports","Brookings Mall","","Brookings","SD","Cruisy Areas,(HIP),(YC)","Crusing Areas",1978,NA,", SD",-96.769318,44.295127,"unclear_coded_by_hand","Found",NA
"Ahab's Imports -Brookings Mall","","","Brookings","SD","Cruisy Areas","Crusing Areas",1979,NA,", SD",-96.769318,44.295127,"unclear_coded_by_hand","Found",NA
"Bull & Lion","Cataract Hotel","9th St & Phillips","Sioux Falls","SD","(M),(R),(PE)","Restaurant",1971,NA,"9th St & Phillips, SD",-96.726828,43.547312,"unclear_coded_by_hand","Found",NA
"Bull & Lion","Sheraton-Cataract Hotel","Phillips at 9th St.","Sioux Falls","SD","(M),(R),(PE)","Restaurant",1972,NA,"Phillips at 9th St., SD",-96.726828,43.547312,"unclear_coded_by_hand","Found",NA
"Hitchhikers on Minnesota Ave","","","Sioux Falls","SD","Cruisy Areas","Crusing Areas",1975,NA,", SD",-96.728333,43.547303,"unclear_coded_by_hand","General Coordinates Used",NA
"Hitchhikers on Minnesota Ave","","","Sioux Falls","SD","Cruisy Areas","Crusing Areas",1976,NA,", SD",-96.728333,43.547303,"unclear_coded_by_hand","General Coordinates Used",NA
"Hitchhikers on Minnesota Ave","","","Sioux Falls","SD","Cruisy Areas","Crusing Areas",1977,NA,", SD",-96.728333,43.547303,"unclear_coded_by_hand","General Coordinates Used",NA
"Holiday Inn & Sheraton Bars","","","Aberdeen","SD","Cruisy Areas","Crusing Areas",1979,NA,", SD",-98.486483,45.464699,"unclear_coded_by_hand","General Coordinates Used",NA
"Holiday Inn & Sheraton Bars","","","Aberdeen","SD","Cruisy Areas","Crusing Areas",1980,NA,", SD",-98.486483,45.464699,"unclear_coded_by_hand","General Coordinates Used",NA
"Holiday Inn T-Room","","","Pierre","SD","Cruisy Areas","Crusing Areas,Hotels",1979,NA,", SD",-100.353752,44.366788,"unclear_coded_by_hand","General Coordinates Used",NA
"Holiday Inn T-Room","","","Pierre","SD","Cruisy Areas","Crusing Areas,Hotels",1980,NA,", SD",-100.353752,44.366788,"unclear_coded_by_hand","General Coordinates Used",NA
"Kings Inn","Best Western Motel","Inquire Locally","Pierre","SD","(M)","Hotels,Bars/Clubs",1979,NA,"Inquire Locally, SD",-100.353752,44.366788,"unclear_coded_by_hand","General Coordinates Used",NA
"Kings Inn","Best Western Motel","Inquire Locally","Pierre","SD","(M)","Hotels,Bars/Clubs",1980,NA,"Inquire Locally, SD",-100.353752,44.366788,"unclear_coded_by_hand","General Coordinates Used",NA
