"ID","Title","description","streetaddress","city","state","amenityfeatures","type","unclearaddress","uncleartype","Year","notes","dateadded","lastmodified","full.address","lon","lat","geoAddress","status"
40,"Miller's","","427 Main St.","Bangor","ME","(M),(R)","Restaurant",NA,NA,1979,NA,"4/20/2020 2:34pm","7/27/2020 11:34am","427 Main St., Bangor, ME","-68.7767937","44.7916953","427 main st, bangor, me 04401, usa","Geocoded"
41,"Peter's Candlelight ","(Some RT)","158 Main St.","Bangor","ME","(RT),(M)","Bars/Clubs",NA,NA,1979,NA,"4/20/2020 2:35pm","7/27/2020 11:34am","158 Main St., Bangor, ME","-68.7723463","44.7988663","158 main st, bangor, me 04401, usa","Geocoded"
46,"Chuckwagon","","Cooks Corners","Brunswick","ME","(M),(R)","Restaurant",NA,NA,1979,NA,"4/20/2020 2:36pm","7/27/2020 11:34am","Cooks Corners, Brunswick, ME","-69.9153266","43.9078578","cooks corner, brunswick, me 04011, usa","Geocoded"
49,"Moonlight Reader","(Books)","54 Wallingford Rd.","Kittery","ME","","Book Store",NA,NA,1979,NA,"4/20/2020 2:37pm","7/27/2020 11:34am","54 Wallingford Rd., Kittery, ME","-70.743372","43.0856515","54 wallingford square, kittery, me 03904, usa","Geocoded"
50,"Blue Swan","(Some G) (Look for blue swan on door)","18 Canal St.","Lewiston","ME","(YC),(D),(*),(G)","Bars/Clubs",NA,NA,1979,NA,"4/20/2020 2:37pm","7/27/2020 11:34am","18 Canal St., Lewiston, ME","-70.2185063","44.0983312","18 canal st, lewiston, me 04240, usa","Geocoded"
51,"Admiral's Loft Guest House","Tel: (207) 646 - 5496 ","Main St.","Ogunquit","ME","(H),(*)","Hotels",NA,NA,1979,NA,"4/20/2020 2:38pm","7/27/2020 11:34am","Main St., Ogunquit, ME","-70.6001928","43.2540678","main st, ogunquit, me, usa","Geocoded"
52,"Annabelle's","(Nights)","US Hwy. 1","Ogunquit","ME","(R),(YC),(D),(*)","Restaurant,Bars/Clubs",NA,NA,1979,NA,"4/20/2020 2:39pm","7/27/2020 11:34am","US Hwy. 1, Ogunquit, ME","-70.6005463","43.2472892","us-1, ogunquit, me, usa","Geocoded"
53,"Eidleweiss ","(Downstairs lounge - cocktail hour - 4 - 7 p.m.)","Main St.","Ogunquit","ME","(*)","Bars/Clubs",NA,NA,1979,NA,"4/20/2020 2:39pm","7/27/2020 11:34am","Main St., Ogunquit, ME","-70.6001928","43.2540678","main st, ogunquit, me, usa","Geocoded"
54,"Fan Club","","US Hwy. 1","Ogunquit","ME","(M),(R)","Restaurant",NA,NA,1979,NA,"4/20/2020 2:40pm","7/27/2020 11:34am","US Hwy. 1, Ogunquit, ME","-70.6005463","43.2472892","us-1, ogunquit, me, usa","Geocoded"
55,"The Tavern ","(Sundays only)","Agamenticus Rd.","Ogunquit","ME","(*)","Bars/Clubs",NA,NA,1979,NA,"4/20/2020 2:40pm","7/27/2020 11:34am","Agamenticus Rd., Ogunquit, ME","-70.6051378","43.2420342","agamenticus rd, ogunquit, me, usa","Geocoded"
56,"Valerie's","(Bar only)","At the Crossroads","Ogunquit","ME","(M),(R)","Restaurant,Bars/Clubs",NA,NA,1979,NA,"4/20/2020 2:40pm","7/27/2020 11:34am","At the Crossroads, Ogunquit, ME","-70.600963","43.240212","36 main st, ogunquit, me 03907, usa","Geocoded"
60,"Denny's","","1210 Brighton Ave.","Portland","ME","(M),(R),(C),(AH)","Restaurant",NA,NA,1979,NA,"4/20/2020 2:41pm","7/27/2020 11:34am","1210 Brighton Ave., Portland, ME","-70.3293995","43.6764451","1210 brighton ave, portland, me 04102, usa","Geocoded"
61,"One Way Pub","(Some G, YC)","10 Union St.","Portland","ME","(R),(E),(D),(*),(G),(YC)","Bars/Clubs,Restaurant",NA,NA,1979,NA,"4/20/2020 2:42pm","7/27/2020 11:34am","10 Union St., Portland, ME","-70.2550662","43.655149","10 union st, portland, me 04101, usa","Geocoded"
62,"Phoenix ","(Disco) (Also C-AH-WE)","83 Oak St.","Portland","ME","(R),(E),(PT),(D),(C),(AH),(WE)","Restaurant,Bars/Clubs",NA,NA,1979,NA,"4/20/2020 2:42pm","7/27/2020 11:34am","83 Oak St., Portland, ME","-70.2625069","43.6559368","83 oak st, portland, me 04101, usa","Geocoded"
63,"Roland's Tavern","(Some G) (Sun. 1 p.m. midnight) ","413 A Cumberland Ave.","Portland","ME","(D),(S),(G),(*)","Bars/Clubs",NA,NA,1979,NA,"4/20/2020 2:43pm","7/27/2020 11:34am","413 A Cumberland Ave., Portland, ME","-70.2645269","43.6561324","413 cumberland ave, portland, me 04101, usa","Geocoded"
64,"Treasure Chest","(Books)","613 Congress St.","Portland","ME","(M)","Book Store",NA,NA,1979,NA,"4/20/2020 2:43pm","7/27/2020 11:34am","613 Congress St., Portland, ME","-70.2638777","43.6539103","613 congress st, portland, me 04101, usa","Geocoded"
65,"Wayne's Country I","(Books, ect.)","61 Forest Ave.","Portland","ME","(*)","Book Store",NA,NA,1979,NA,"4/20/2020 2:44pm","7/27/2020 11:34am","61 Forest Ave., Portland, ME","-70.264412","43.6563313","61 forest ave, portland, me 04101, usa","Geocoded"
66,"Wayne's Country II","(Books n' things)","10 Union St.","Portland","ME","","Book Store",NA,NA,1979,NA,"4/20/2020 2:44pm","7/27/2020 11:34am","10 Union St., Portland, ME","-70.2550662","43.655149","10 union st, portland, me 04101, usa","Geocoded"
69,"Flo's Tavern ","(Hopefully over last year's problems)","4 mi. E. on Hwy. 3","Augusta","ME","(YC),(D),(*)","Bars/Clubs",NA,NA,1978,NA,"4/20/2020 2:47pm","7/27/2020 11:34am","4 mi. E. on Hwy. 3, Augusta, ME","-69.7613446","44.3333716","me-3, augusta, me, usa","Geocoded"
71,"Miller's ","","427 Main St.","Bangor","ME","(M),(R)","Restaurant",NA,NA,1978,NA,"4/20/2020 2:48pm","7/27/2020 11:34am","427 Main St., Bangor, ME","-68.7767937","44.7916953","427 main st, bangor, me 04401, usa","Geocoded"
72,"Peter's Candlelight","(Some RT) (After 8 p.m. this serves as a bus depot)","158 Main St.","Bangor","ME","(M),(RT)","Bars/Clubs",NA,NA,1978,NA,"4/20/2020 2:48pm","7/27/2020 11:34am","158 Main St., Bangor, ME","-68.7723463","44.7988663","158 main st, bangor, me 04401, usa","Geocoded"
77,"Chuckwagon","","Cook's Corners","Brunswick","ME","(M),(R)","Restaurant",NA,NA,1978,NA,"4/20/2020 2:51pm","7/27/2020 11:34am","Cook's Corners, Brunswick, ME","-69.9153266","43.9078578","cooks corner, brunswick, me 04011, usa","Geocoded"
80,"Moonlight Reader","(Books)","54 Wallingford Rd.","Kittery","ME","","Book Store",NA,NA,1978,NA,"4/20/2020 2:52pm","7/27/2020 11:34am","54 Wallingford Rd., Kittery, ME","-70.743372","43.0856515","54 wallingford square, kittery, me 03904, usa","Geocoded"
81,"Blue Swan ","(Some G) (look for blue swan on door)","18 Canal St. nr. Main ","Lewiston","ME","(YC),(D),(G),(*)","Bars/Clubs",NA,NA,1978,NA,"4/20/2020 2:52pm","7/27/2020 11:34am","18 Canal St. nr. Main , Lewiston, ME","-70.2185063","44.0983312","18 canal st, lewiston, me 04240, usa","Geocoded"
82,"Annabelle's","(Nights)","US Hwy. 1 ","Ogunquit","ME","(R),(YC),(D),(*)","Bars/Clubs,Restaurant",NA,NA,1978,NA,"4/20/2020 2:52pm","7/27/2020 11:34am","US Hwy. 1 , Ogunquit, ME","-70.6005463","43.2472892","us-1, ogunquit, me, usa","Geocoded"
84,"Fan Club","","US Hwy. 1","Ogunquit","ME","(M),(R)","Restaurant",NA,NA,1978,NA,"4/20/2020 2:53pm","7/27/2020 11:34am","US Hwy. 1, Ogunquit, ME","-70.6005463","43.2472892","us-1, ogunquit, me, usa","Geocoded"
85,"Poor Richard's Pub","","Shore Rd. US Hwy. 1","Ogunquit","ME","(M),(PE),(R),(E)","Restaurant",NA,NA,1978,NA,"4/20/2020 2:53pm","7/27/2020 11:34am","Shore Rd. US Hwy. 1, Ogunquit, ME","-70.5984074","43.2477192","50 shore rd, ogunquit, me 03907, usa","Geocoded"
86,"The Tavern","(Sundays only)","Agamenticus Rd.","Ogunquit","ME","(*)","Bars/Clubs",NA,NA,1978,NA,"4/20/2020 2:54pm","7/27/2020 11:34am","Agamenticus Rd., Ogunquit, ME","-70.6051378","43.2420342","agamenticus rd, ogunquit, me, usa","Geocoded"
87,"Valerie's ","(Bar only)","At the Crossroads","Ogunquit","ME","(M),(R)","Restaurant",NA,NA,1978,NA,"4/20/2020 2:55pm","7/27/2020 11:34am","At the Crossroads, Ogunquit, ME","-70.600963","43.240212","36 main st, ogunquit, me 03907, usa","Geocoded"
91,"Denny's ","","1210 Brighton Ave.","Portland","ME","(M),(R),(C),(AH)","Restaurant",NA,NA,1978,NA,"4/20/2020 2:56pm","7/27/2020 11:34am","1210 Brighton Ave., Portland, ME","-70.3293995","43.6764451","1210 brighton ave, portland, me 04102, usa","Geocoded"
92,"Phoenix","(Game room) (Disco) (Upstairs) (Also C-AH-WE)","83 Oak St.","Portland","ME","(R),(E),(*),(YC),(D),(C),(AH),(WE)","Restaurant,Bars/Clubs",NA,NA,1978,NA,"4/20/2020 2:56pm","7/27/2020 11:34am","83 Oak St., Portland, ME","-70.2625069","43.6559368","83 oak st, portland, me 04101, usa","Geocoded"
93,"Roland's Tavern","(Some G) (Sundays 1 p.m. to midnight)","413 A Cumberland Ave.","Portland","ME","(*),(D),(S),(G)","Bars/Clubs",NA,NA,1978,NA,"4/20/2020 2:57pm","7/27/2020 11:34am","413 A Cumberland Ave., Portland, ME","-70.2645269","43.6561324","413 cumberland ave, portland, me 04101, usa","Geocoded"
94,"Rook & Pawn","(Sundays only)","High & Spring ","Portland","ME","(M)","Bars/Clubs",NA,NA,1978,NA,"4/20/2020 2:57pm","7/27/2020 11:34am","High & Spring , Portland, ME","-95.632596","37.0370476","1110 w 8th st, coffeyville, ks 67337, usa","Geocoded"
95,"Sybil's","(Disco) (Open till 4 a.m. WE)","135 Middle St.","Portland","ME","(M),(YC),(D)","Bars/Clubs",NA,NA,1978,NA,"4/20/2020 2:58pm","7/27/2020 11:34am","135 Middle St., Portland, ME","-70.2532667","43.6586583","135 middle st, portland, me 04101, usa","Geocoded"
96,"Wayne's Country ","(Books, ect.)","61 Forest Ave.","Portland","ME","","Book Store",NA,NA,1978,NA,"4/20/2020 2:58pm","7/27/2020 11:34am","61 Forest Ave., Portland, ME","-70.264412","43.6563313","61 forest ave, portland, me 04101, usa","Geocoded"
99,"Northeastland Hotel Bar","","436 Main St.","Presque Isle","ME","(M)","Bars/Clubs",NA,NA,1978,NA,"4/20/2020 2:59pm","7/27/2020 11:34am","436 Main St., Presque Isle, ME","-68.0151219","46.6805608","436 main st, presque isle, me 04769, usa","Geocoded"
100,"Ray's Riverview","(Nights - WE)","29 Water St.","Augusta","ME","(M),(R),(WE),(*)","Restaurant",NA,NA,1977,NA,"4/20/2020 3:00pm","7/27/2020 11:34am","29 Water St., Augusta, ME","-69.7732719","44.3201734","29 water st, augusta, me 04330, usa","Geocoded"
102,"Bangor House","(""coming back nicely with new management - left corner is best)","174 Main St.","Bangor","ME","(M)","Bars/Clubs",NA,NA,1977,NA,"4/20/2020 3:03pm","7/27/2020 11:34am","174 Main St., Bangor, ME","-68.7724581","44.7984331","174 main st, bangor, me 04401, usa","Geocoded"
103,"Benjamin's Tavern","(R on main floor - bar in basement)","119 Franklin St.","Bangor","ME","(M),(HIP),(YC),(*),(R)","Restaurant,Bars/Clubs",NA,NA,1977,NA,"4/20/2020 3:03pm","7/27/2020 11:34am","119 Franklin St., Bangor, ME","-68.771886","44.803462","119 franklin st, bangor, me 04401, usa","Geocoded"
104,"Miller's","(""humpy help"")","427 Main St.","Bangor","ME","(M),(R)","Restaurant",NA,NA,1977,NA,"4/20/2020 3:04pm","7/27/2020 11:34am","427 Main St., Bangor, ME","-68.7767937","44.7916953","427 main st, bangor, me 04401, usa","Geocoded"
105,"Peter's Candlelight ","(Some RT) (After 8 PM this serves as Greyhound Bus Depot)","158 Main St.","Bangor","ME","(M),(RT)","Bars/Clubs",NA,NA,1977,NA,"4/20/2020 3:04pm","7/27/2020 11:34am","158 Main St., Bangor, ME","-68.7723463","44.7988663","158 main st, bangor, me 04401, usa","Geocoded"
110,"Amy's Place","","117 Wilson St.","Brewer","ME","(P),(BYOB),(AH)","Bars/Clubs",NA,NA,1977,NA,"4/20/2020 3:06pm","7/27/2020 11:34am","117 Wilson St., Brewer, ME","-68.765492","44.7944021","117 wilson st, brewer, me 04412, usa","Geocoded"
113,"Eidleweiss","(Upstairs lounge)","Main St.","Ogunquit","ME","(M)","Bars/Clubs",NA,NA,1977,NA,"4/20/2020 3:08pm","7/27/2020 11:34am","Main St., Ogunquit, ME","-70.6001928","43.2540678","main st, ogunquit, me, usa","Geocoded"
119,"Red Carpet Club","(Disco) (Route 9)","95 West Grand Ave.","Old Orchard Beach","ME","(YC),(D),(*)","Bars/Clubs",NA,NA,1977,NA,"4/20/2020 3:10pm","7/27/2020 11:34am","95 West Grand Ave., Old Orchard Beach, ME","-70.3798607","43.5091074","95 w grand ave, old orchard beach, me 04064, usa","Geocoded"
121,"Roland's Tavern","(Some G) (Sundays from 1 PM to midnight - ask Mark about 2 level disco on Oak St. planned for Spring or Summer of '76)","413 A Cumberland Ave.","Portland","ME","(*),(G),(D),(S)","Bars/Clubs",NA,NA,1977,NA,"4/20/2020 3:12pm","7/27/2020 11:34am","413 A Cumberland Ave., Portland, ME","-70.2645269","43.6561324","413 cumberland ave, portland, me 04101, usa","Geocoded"
125,"Northeastland Hotel Bar","","436 Main St.","Presque Isle","ME","(M)","Bars/Clubs",NA,NA,1977,NA,"4/20/2020 3:14pm","7/27/2020 11:34am","436 Main St., Presque Isle, ME","-68.0151219","46.6805608","436 main st, presque isle, me 04769, usa","Geocoded"
126,"Riverview","","29 Water St.","Augusta","ME","(M),(R),(RT),(WE),(*)","Bars/Clubs,Restaurant",NA,NA,1976,NA,"4/20/2020 3:16pm","7/27/2020 11:34am","29 Water St., Augusta, ME","-69.7732719","44.3201734","29 water st, augusta, me 04330, usa","Geocoded"
127,"Benjamin's Tavern","","119 Franklin St.","Bangor","ME","(M),(*)","Bars/Clubs",NA,NA,1976,NA,"4/20/2020 3:17pm","7/27/2020 11:34am","119 Franklin St., Bangor, ME","-68.771886","44.803462","119 franklin st, bangor, me 04401, usa","Geocoded"
128,"Peter's Candlelight","","158 Main St.","Bangor","ME","(M),(RT)","Bars/Clubs",NA,NA,1976,NA,"4/20/2020 3:18pm","7/27/2020 11:34am","158 Main St., Bangor, ME","-68.7723463","44.7988663","158 main st, bangor, me 04401, usa","Geocoded"
130,"Eidleweiss","(upstairs lounge)","Main St.","Ogunquit","ME","(M)","Bars/Clubs",NA,NA,1976,NA,"4/20/2020 4:34pm","7/27/2020 11:34am","Main St., Ogunquit, ME","-70.6001928","43.2540678","main st, ogunquit, me, usa","Geocoded"
131,"Fan Club","","Shore Rd. (U.S. Hwy. 1)","Ogunquit","ME","(M),(R)","Restaurant",NA,NA,1976,NA,"4/20/2020 4:34pm","7/27/2020 11:34am","Shore Rd. (U.S. Hwy. 1), Ogunquit, ME","-70.5984074","43.2477192","50 shore rd, ogunquit, me 03907, usa","Geocoded"
136,"Cremos","(Sundays only)","Forest Ave.","Portland","ME","(M),(RT)","Bars/Clubs",NA,NA,1976,NA,"4/20/2020 4:36pm","7/27/2020 11:34am","Forest Ave., Portland, ME","-70.2893605","43.6805225","forest ave, portland, me, usa","Geocoded"
