"description","streetaddress","city","state","amenityfeatures","type","Year","notes","full.address","lon","lat","geoAddress","status","title","unclear_address"
"","205 E Broadway","Monmouth","IL","(*)","Bars/Clubs",1965,NA,"205 E Broadway, Monmouth, IL",-90.6467413,40.9117404,"205 e broadway, monmouth, il 61462, usa","Geocoded",NA,NA
"","117 1st St","Monmouth","IL","(M),(RT)","Bars/Clubs",1965,NA,"117 1st St, Monmouth, IL",-90.6467302,40.9113995,"117 s 1st st, monmouth, il 61462, usa","Geocoded",NA,NA
"","215 Main","Peoria","IL","(M),(RT)","Bars/Clubs",1965,NA,"215 Main, Peoria, IL",-89.5891349,40.691257,"215 main st, peoria, il 61602, usa","Geocoded",NA,NA
"","631 W Main ","Peoria","IL","(*)","Bars/Clubs",1965,NA,"631 W Main , Peoria, IL",-89.6034941,40.6998488,"631 w main st, peoria, il 61606, usa","Geocoded",NA,NA
"","513 E State St","Rockford","IL","(M)","Bars/Clubs",1965,NA,"513 E State St, Rockford, IL",-89.0871622,42.2672727,"513 e state st, rockford, il 61104, usa","Geocoded",NA,NA
"","314 20th St","Rock Island","IL","(D),(*)","Bars/Clubs",1965,NA,"314 20th St, Rock Island, IL",-90.5718471,41.5098482,"314 20th st, rock island, il 61201, usa","Geocoded",NA,NA
"","18th St","Rock Island","IL","(M)","Bars/Clubs",1965,NA,"18th St, Rock Island, IL",-90.5746602,41.5082861,"18th st, rock island, il 61201, usa","Geocoded",NA,NA
"","1601 2nd Av ","Rock Island","IL","(M)","Bars/Clubs",1965,NA,"1601 2nd Av , Rock Island, IL",-90.5776228,41.5108128,"1601 2nd ave, rock island, il 61201, usa","Geocoded",NA,NA
"","212 N 5th","Springfield","IL","(*)","Bars/Clubs",1965,NA,"212 N 5th, Springfield, IL",-89.6485431,39.8032587,"212 n 5th st, springfield, il 62701, usa","Geocoded",NA,NA
"","309 E Monroe","Springfield","IL","(M)","Bars/Clubs",1965,NA,"309 E Monroe, Springfield, IL",-89.6514364,39.7997578,"309 e monroe st, springfield, il 62701, usa","Geocoded",NA,NA
"","706 State Line Av","Calumet City","IL","(G)","Bars/Clubs",1966,NA,"706 State Line Av, Calumet City, IL",-87.5254563,41.6151834,"706 state line ave, hammond, il 46320, usa","Geocoded",NA,NA
"","606 State Line Av","Calumet City","IL","(*)","Bars/Clubs",1966,NA,"606 State Line Av, Calumet City, IL",-87.5254537,41.6181672,"606 state line ave, calumet city, il 60409, usa","Geocoded",NA,NA
"","307 State St","Calumet City","IL","","Bars/Clubs",1966,NA,"307 State St, Calumet City, IL",-87.52902,41.622721,"307 state st, calumet city, il 60409, usa","Geocoded",NA,NA
"","46 10054th St ","Calumet City","IL","","Bars/Clubs",1966,NA,"46 10054th St , Calumet City, IL",-87.5294871,41.6155909,"calumet city, il, usa","Geocoded",NA,NA
"","3100 W Irving Park Rd","Chicago","IL","","Bars/Clubs",1966,NA,"3100 W Irving Park Rd, Chicago, IL",-87.7057537,41.9542554,"3100 irving park rd, chicago, il 60618, usa","Geocoded",NA,NA
"","106 N Walnut","Champaign","IL","(M)","Bars/Clubs",1966,NA,"106 N Walnut, Champaign, IL",-88.242292,40.116597,"106 n walnut st, champaign, il 61820, usa","Geocoded",NA,NA
"","2546 N Clark St","Chicago","IL","","Bars/Clubs",1966,NA,"2546 N Clark St, Chicago, IL",-87.6427259,41.9289435,"2546 n clark st, chicago, il 60614, usa","Geocoded",NA,NA
"","800 N Dearborn St","Chicago","IL","","Bars/Clubs",1966,NA,"800 N Dearborn St, Chicago, IL",-87.6301121,41.8968057,"800 n dearborn st, chicago, il 60610, usa","Geocoded",NA,NA
"","3010 Broadway","Chicago","IL","(*)","Bars/Clubs",1966,NA,"3010 Broadway, Chicago, IL",-87.6445924,41.9368205,"3010 n broadway, chicago, il 60657, usa","Geocoded",NA,NA
"","6654 S Western","Chicago","IL","","Bars/Clubs",1966,NA,"6654 S Western, Chicago, IL",-87.6835243,41.7723794,"6654 s western ave, chicago, il 60636, usa","Geocoded",NA,NA
"","4156 W Kedzie","Chicago","IL","","Bars/Clubs",1966,NA,"4156 W Kedzie, Chicago, IL",-87.708462,41.957442,"4156 n kedzie ave, chicago, il 60618, usa","Geocoded",NA,NA
"","745 Rush St","Chicago","IL","(PE)","Bars/Clubs",1966,NA,"745 Rush St, Chicago, IL",-87.6253325,41.8962636,"745 n rush st, chicago, il 60611, usa","Geocoded",NA,NA
"(formerly Kona Winds)","1114 W Argyle","Chicago","IL","","Bars/Clubs",1966,NA,"1114 W Argyle, Chicago, IL",-87.6583222,41.9734108,"1114 w argyle st, chicago, il 60640, usa","Geocoded",NA,NA
"","2959 Irving Park Rd","Chicago","IL","(G)","Bars/Clubs",1966,NA,"2959 Irving Park Rd, Chicago, IL",-87.7028281,41.9536551,"2959 irving park rd, chicago, il 60618, usa","Geocoded",NA,NA
"","6213 Broadway","Chicago","IL","(*)","Bars/Clubs",1966,NA,"6213 Broadway, Chicago, IL",-87.660381,41.9949936,"6213 n broadway, chicago, il 60660, usa","Geocoded",NA,NA
"","931 N State St","Chicago","IL","(M),(S)","Bars/Clubs",1966,NA,"931 N State St, Chicago, IL",-87.628304,41.8999393,"931 n state st, chicago, il 60610, usa","Geocoded",NA,NA
"","1745 W Howard St","Chicago","IL","","Bars/Clubs",1966,NA,"1745 W Howard St, Chicago, IL",-87.6981714,42.0195645,"1745 howard st, evanston, il 60202, usa","Geocoded",NA,NA
"","4636 Broadway","Chicago","IL","","Bars/Clubs",1966,NA,"4636 Broadway, Chicago, IL",-87.6581766,41.965964,"4636 n broadway, chicago, il 60640, usa","Geocoded",NA,NA
"","2836 N Clark St","Chicago","IL","(*)","Bars/Clubs",1966,NA,"2836 N Clark St, Chicago, IL",-87.6460455,41.9336992,"2836 n clark st, chicago, il 60657, usa","Geocoded",NA,NA
"(cocktail hour)","800 N Michigan Av","Chicago","IL","(M),(PE)","Bars/Clubs",1966,NA,"800 N Michigan Av, Chicago, IL",-87.6255019,41.8971181,"park tower, 800 n michigan ave, chicago, il 60611, usa","Geocoded",NA,NA
"","24 W Van Buren St","Chicago","IL","(RT)","Bars/Clubs",1966,NA,"24 W Van Buren St, Chicago, IL",-87.6285822,41.8771122,"24 w van buren st, chicago, il 60605, usa","Geocoded",NA,NA
"","125 E Main St","Danville","IL","(*),(M)","Bars/Clubs",1966,NA,"125 E Main St, Danville, IL",-87.6266887,40.1246675,"125 e main st, danville, il 61832, usa","Geocoded",NA,NA
